sulamif_s000001|Все суета сует и томление духа, — так говорит Екклезиаст.|Все суета сует и томление духа, - так говорит Екклезиаст.
sulamif_s000617|И вот возникла между меньшими братьями зависть к старшему и вражда, и жизнь их сделалась под конец такой невыносимой, что решили они обратиться к царю за советом и судом.|И вот возникла между меньшими братьями зависть к старшему и вражда, и жизнь их сделалась под конец такой невыносимой, что решили они обратиться к царю за советом и судом.
sulamif_s000618|Ты царица, Суламифь. Ты родилась настоящей царицей. Ты смела и щедра в любви. Семьсот жен у меня и триста наложниц, а девиц я знал без числа,|Ты царица, Суламифь. Ты родилась настоящей царицей. Ты смела и щедра в любви. Семьсот жен у меня и триста наложниц, а девиц я знал без числа,
sulamif_s000619|как будто бы это совершилось при сотне свидетелей.|как будто бы это совершилось при сотне свидетелей.
sulamif_s000620|Мальчики в белых одеждах разносили на серебряных подносах мясо, хлеб, сухие плоды и сладкое пелузское вино. Другие разливали из узкогорлых тирских сосудов сикеру,|Мальчики в белых одеждах разносили на серебряных подносах мясо, хлеб, сухие плоды и сладкое пелузское вино. Другие разливали из узкогорлых тирских сосудов сикеру,
sulamif_s000621|падающих с высоты темных скал Аэрмона;|падающих с высоты темных скал Аэрмона;
sulamif_s000622|Склонившись к самому ее уху, царь шепчет ей что-то, царь нежно извиняется, и Суламифь краснеет от его слов и закрывает глаза. Потом с невыразимо прелестной улыбкой смущения она говорит:|Склонившись к самому ее уху, царь шепчет ей что-то, царь нежно извиняется, и Суламифь краснеет от его слов и закрывает глаза. Потом с невыразимо прелестной улыбкой смущения она говорит:
sulamif_s000623|Тысячи женщин до тебя, о моя прекрасная, задавали своим милым этот вопрос, и сотни веков после тебя они будут спрашивать об этом своих милых.|Тысячи женщин до тебя, о моя прекрасная, задавали своим милым этот вопрос, и сотни веков после тебя они будут спрашивать об этом своих милых.
sulamif_s000624|И вот уже целый год ложе его в храме оставалось пустым. И напрасно пламенные глаза царицы жадно глядели теперь на неподвижные занавески.|И вот уже целый год ложе его в храме оставалось пустым. И напрасно пламенные глаза царицы жадно глядели теперь на неподвижные занавески.
sulamif_s000625|А где же там твое окно, Суламифь?|А где же там твое окно, Суламифь?
sulamif_s000626|Но она только затаивает дыхание, съеживается, как молодая кошка, и на цыпочках, беззвучно пробегает мимо.|Но она только затаивает дыхание, съеживается, как молодая кошка, и на цыпочках, беззвучно пробегает мимо.
sulamif_s000627|беспечных и расточительных аммонитянок с огненными волосами и с телом такой белизны, что оно светилось во тьме; хрупких голубоглазых женщин с льняными волосами и нежным запахом кожи,|беспечных и расточительных аммонитянок с огненными волосами и с телом такой белизны, что оно светилось во тьме; хрупких голубоглазых женщин с льняными волосами и нежным запахом кожи,
sulamif_s000628|И он, быстро нагнувшись, сделал какое-то движение, выпрямился и с воплем боли и восторга вдруг бросил к ногам богини бесформенный кровавый кусок мяса.|И он, быстро нагнувшись, сделал какое-то движение, выпрямился и с воплем боли и восторга вдруг бросил к ногам богини бесформенный кровавый кусок мяса.
sulamif_s000629|Она еще мала. Ей только девять лет.|Она еще мала. Ей только девять лет.
sulamif_s000630|Возвращайся скорее, мой милый, Будь легок, как серна, Как молодой олень среди горных ущелий.|Возвращайся скорее, мой милый, Будь легок, как серна, Как молодой олень среди горных ущелий.
sulamif_s000631|под звон тимпанов и дребезжание систр.|под звон тимпанов и дребезжание систр.
sulamif_s000632|Стан твой был похож на пальму и груди твои на грозди виноградные.|Стан твой был похож на пальму и груди твои на грозди виноградные.
sulamif_s000633|Но Соломон страстно шепчет около самого ее рта:|Но Соломон страстно шепчет около самого ее рта:
sulamif_s000634|Было у Соломона сорок тысяч стойл для мулов и коней колесничных и двенадцать тысяч для конницы; ежедневно привозили для лошадей ячмень и солому из провинций.|Было у Соломона сорок тысяч стойл для мулов и коней колесничных и двенадцать тысяч для конницы; ежедневно привозили для лошадей ячмень и солому из провинций.
sulamif_s000635|Царица знала, отчего горит такой яркой краской его смуглое лицо, отчего с такою страстной тоской устремлены его горячие глаза сюда, на занавески,|Царица знала, отчего горит такой яркой краской его смуглое лицо, отчего с такою страстной тоской устремлены его горячие глаза сюда, на занавески,
sulamif_s000636|В таком наряде предстала она пред Соломоном, и царь воскликнул радостно:|В таком наряде предстала она пред Соломоном, и царь воскликнул радостно:
sulamif_s000637|Она быстро выпрямляется и оборачивается лицом к царю. Сильный ветер срывается в эту секунду и треплет на ней легкое платье и вдруг плотно облепляет его вокруг ее тела и между ног.|Она быстро выпрямляется и оборачивается лицом к царю. Сильный ветер срывается в эту секунду и треплет на ней легкое платье и вдруг плотно облепляет его вокруг ее тела и между ног.
sulamif_s000638|Легкое узкое платье из льняного газа, затканное серебром, вплотную облегало тело царицы, оставляя обнаженными руки до плеч и ноги до половины икр.|Легкое узкое платье из льняного газа, затканное серебром, вплотную облегало тело царицы, оставляя обнаженными руки до плеч и ноги до половины икр.
sulamif_s000639|Нет, я не могу сделать этого.|Нет, я не могу сделать этого.
sulamif_s000640|В давнее время этот храм Озириса и Изиды отличался небольшими размерами и беднотою и был выдолблен наподобие пещеры в глубине горы. Узкий подземный коридор вел к нему снаружи.|В давнее время этот храм Озириса и Изиды отличался небольшими размерами и беднотою и был выдолблен наподобие пещеры в глубине горы. Узкий подземный коридор вел к нему снаружи.
sulamif_s000641|Дрожа от робости, ожиданья и счастья, расстегнула Суламифь свои одежды, опустила их вниз к ногам и, перешагнув через них, осталась среди комнаты нагая,|Дрожа от робости, ожиданья и счастья, расстегнула Суламифь свои одежды, опустила их вниз к ногам и, перешагнув через них, осталась среди комнаты нагая,
sulamif_s000642|Нет, нет, нет. Я не скажу тебе это. Пусти меня. Я не скажу тебе.|Нет, нет, нет. Я не скажу тебе это. Пусти меня. Я не скажу тебе.
sulamif_s000643|пальмовыми листами и амфорами, с таинственными символами богов и со священными изображениями Фаллуса.|пальмовыми листами и амфорами, с таинственными символами богов и со священными изображениями Фаллуса.
sulamif_s000644|весь обнаженный, как и она, не замечая, что его колени купаются в ее крови и что руки его обагрены алою кровью.|весь обнаженный, как и она, не замечая, что его колени купаются в ее крови и что руки его обагрены алою кровью.
sulamif_s000645|О Суламифь, тот день, когда ты сделаешься моей женой и царицей, будет самым счастливым для моего сердца.|О Суламифь, тот день, когда ты сделаешься моей женой и царицей, будет самым счастливым для моего сердца.
sulamif_s000646|Ответь мне что-нибудь, возлюбленный, — робко попросила Суламифь.|Ответь мне что-нибудь, возлюбленный, - робко попросила Суламифь.
sulamif_s000647|И не было человека во вселенной, который мог бы выдержать взгляд Соломона, не потупив своих глаз. И молнии гнева в очах царя повергали людей на землю.|И не было человека во вселенной, который мог бы выдержать взгляд Соломона, не потупив своих глаз. И молнии гнева в очах царя повергали людей на землю.
sulamif_s000648|Подожди, мой милый. сюда идут. Да. Я слышу шаги.|Подожди, мой милый. сюда идут. Да. Я слышу шаги.
sulamif_s000649|Она нерешительно обувает сандалии, надевает на голое тело легкий хитон, накидывает сверху него покрывало и открывает дверь, оставляя на ее замке следы мирры.|Она нерешительно обувает сандалии, надевает на голое тело легкий хитон, накидывает сверху него покрывало и открывает дверь, оставляя на ее замке следы мирры.
sulamif_s000650|Царь, прости меня, не угрожай мне своим гневом, прикажи это сделать кому-нибудь другому. Элиав, выйдя из дворца, побежал в храм и схватился за рога жертвенника.|Царь, прости меня, не угрожай мне своим гневом, прикажи это сделать кому-нибудь другому. Элиав, выйдя из дворца, побежал в храм и схватился за рога жертвенника.
sulamif_s000651|Старший врач сказал:|Старший врач сказал:
sulamif_s000652|но и я, и весь мой двор увидели, что у прекрасной Савской царицы Балкис-Македы обыкновенные человеческие ноги, но кривые и обросшие густыми волосами.|но и я, и весь мой двор увидели, что у прекрасной Савской царицы Балкис-Македы обыкновенные человеческие ноги, но кривые и обросшие густыми волосами.
sulamif_s000653|которое своими неисчислимыми богатствами, скрытыми в подвалах под узкими улицами с тесными домами, давно уже привлекает жадные взоры восточных владык.|которое своими неисчислимыми богатствами, скрытыми в подвалах под узкими улицами с тесными домами, давно уже привлекает жадные взоры восточных владык.
sulamif_s000654|не утеряло своей гибкости, красоты и свежести.|не утеряло своей гибкости, красоты и свежести.
sulamif_s000655|Она стыдливо опускает глаза и сама краснеет, но под ее длинными ресницами и в углах губ дрожит тайная улыбка.|Она стыдливо опускает глаза и сама краснеет, но под ее длинными ресницами и в углах губ дрожит тайная улыбка.
sulamif_s000656|Теперь и для слепого ясно, что свидетели подкуплены Захарией. Итак, пусть Захария возвратит камень Ахиору, и вместе с ним уплатит ему тридцать гражданских сиклей судебных издержек,|Теперь и для слепого ясно, что свидетели подкуплены Захарией. Итак, пусть Захария возвратит камень Ахиору, и вместе с ним уплатит ему тридцать гражданских сиклей судебных издержек,
sulamif_s000657|Затем прислала она Соломону большой алмаз величиною с лесной орех. В камне этом была тонкая, весьма извилистая трещина, которая узким сложным ходом пробуравливала насквозь все его тело.|Затем прислала она Соломону большой алмаз величиною с лесной орех. В камне этом была тонкая, весьма извилистая трещина, которая узким сложным ходом пробуравливала насквозь все его тело.
sulamif_s000658|в желудке рыси, зрение которой так остро, что она видит сквозь стены, — поэтому и носящие лигирий отличаются зоркостью глаз, — кроме того, он останавливает кровотечение из носу и заживляет всякие раны,|в желудке рыси, зрение которой так остро, что она видит сквозь стены, - поэтому и носящие лигирий отличаются зоркостью глаз, - кроме того, он останавливает кровотечение из носу и заживляет всякие раны,
sulamif_s000659|средние и двое боковых маленьких — вели в святилище.|средние и двое боковых маленьких - вели в святилище.
sulamif_s000660|Глава восьмая|Глава восьмая
sulamif_s000661|другой — в виде овечьей головы, и только у двоих — у Ахиора и Захарии слепки были одинаковы, похожие формой на женскую грудь.|другой - в виде овечьей головы, и только у двоих - у Ахиора и Захарии слепки были одинаковы, похожие формой на женскую грудь.
sulamif_s000662|Никого не хотел Соломон видеть в этот день несчастным. Он роздал столько наград, пенсий и подарков, сколько не раздавал иногда в целый год, и простил он Ахимааса,|Никого не хотел Соломон видеть в этот день несчастным. Он роздал столько наград, пенсий и подарков, сколько не раздавал иногда в целый год, и простил он Ахимааса,
sulamif_s000663|Кто это, блистающая, как заря, прекрасная, как луна, светлая, как солнце? О Суламифь, красота твоя грознее, чем полки с распущенными знаменами!|Кто это, блистающая, как заря, прекрасная, как луна, светлая, как солнце? О Суламифь, красота твоя грознее, чем полки с распущенными знаменами!
sulamif_s000664|Глава третья|Глава третья
sulamif_s000665|Однажды, почти шутя, повинуясь минутному капризу, она заставила Элиава провести у нее целую длинную блаженную ночь.|Однажды, почти шутя, повинуясь минутному капризу, она заставила Элиава провести у нее целую длинную блаженную ночь.
sulamif_s000666|Но ничего не находил царь в обрядах языческих, кроме пьянства, ночных оргий, блуда, кровосмешения и противоестественных страстей, и в догматах их видел суесловие и обман.|Но ничего не находил царь в обрядах языческих, кроме пьянства, ночных оргий, блуда, кровосмешения и противоестественных страстей, и в догматах их видел суесловие и обман.
sulamif_s000667|Но она сама изгибает назад спину и кладет голову на грудь Соломона. Губы ее рдеют над блестящими зубами, веки дрожат от мучительного желания.|Но она сама изгибает назад спину и кладет голову на грудь Соломона. Губы ее рдеют над блестящими зубами, веки дрожат от мучительного желания.
sulamif_s000668|Серебро же во дни Соломоновы стало ценою, как простой камень, и красное дерево не дороже простых сикимор, растущих на низинах.|Серебро же во дни Соломоновы стало ценою, как простой камень, и красное дерево не дороже простых сикимор, растущих на низинах.
sulamif_s000669|и еще быстрее бежит назад прежней дорогой.|и еще быстрее бежит назад прежней дорогой.
sulamif_s000670|чудные узорчатые ткани из Хатуара; златокованые кубки из Тира; из Сидона — цветные стекла, а из Пунта, близ Баб-эль-Мандеба, те редкие благовония — нард,|чудные узорчатые ткани из Хатуара; златокованые кубки из Тира; из Сидона - цветные стекла, а из Пунта, близ Баб-эль-Мандеба, те редкие благовония - нард,
sulamif_s000671|И она произносит еле слышно:|И она произносит еле слышно:
sulamif_s000672|Вот лежит твой отец, собаки могут растерзать его труп. Что нам делать? Почтить ли память царя и осквернить субботу или соблюсти субботу, но оставить труп твоего отца на съедение собакам?|Вот лежит твой отец, собаки могут растерзать его труп. Что нам делать? Почтить ли память царя и осквернить субботу или соблюсти субботу, но оставить труп твоего отца на съедение собакам?
sulamif_s000673|Глава пятая|Глава пятая
sulamif_s000674|точно жадный и сребролюбивый человек.|точно жадный и сребролюбивый человек.
sulamif_s000675|Я приду к тебе этой ночью, — говорит он настойчиво. — В полночь приду. Это так будет, так будет. Я хочу этого.|Я приду к тебе этой ночью, - говорит он настойчиво. - В полночь приду. Это так будет, так будет. Я хочу этого.
sulamif_s000676|Медленно колыхалось в жарком воздухе опахало. В безмолвном восторге созерцали жрецы свою ужасную повелительницу. Но она точно забыла об их присутствии.|Медленно колыхалось в жарком воздухе опахало. В безмолвном восторге созерцали жрецы свою ужасную повелительницу. Но она точно забыла об их присутствии.
sulamif_s000677|Темные брови царицы сдвинулись, и ее зеленые длинные глаза вдруг потемнели от страшной мысли. Едва заметным движением руки она приказала кастрату опустить вниз опахало и сказала тихо:|Темные брови царицы сдвинулись, и ее зеленые длинные глаза вдруг потемнели от страшной мысли. Едва заметным движением руки она приказала кастрату опустить вниз опахало и сказала тихо:
sulamif_s000678|И когда после его смерти они пошли и сделали, как он завещал, то нашли, что верхнее отделение было наполнено доверху золотыми монетами, между тем как в среднем лежали только простые кости, а в нижнем куски дерева.|И когда после его смерти они пошли и сделали, как он завещал, то нашли, что верхнее отделение было наполнено доверху золотыми монетами, между тем как в среднем лежали только простые кости, а в нижнем куски дерева.
sulamif_s000679|Между ними сидели военачальники Соломоновы, его министры, начальники провинций и придворные. Здесь был Ванея — некогда царский палач, убийца Иоава,|Между ними сидели военачальники Соломоновы, его министры, начальники провинций и придворные. Здесь был Ванея - некогда царский палач, убийца Иоава,
sulamif_s000680|и потому также, что слова мудрых остры, как иглы, крепки, как вбитые гвозди, и составители их все от единого пастыря.|и потому также, что слова мудрых остры, как иглы, крепки, как вбитые гвозди, и составители их все от единого пастыря.
sulamif_s000681|Я пастух, моя красавица. Я пасу чудесные стада белых ягнят на горах, где зеленая трава пестреет нарциссами. Не придешь ли ты ко мне, на мое пастбище?|Я пастух, моя красавица. Я пасу чудесные стада белых ягнят на горах, где зеленая трава пестреет нарциссами. Не придешь ли ты ко мне, на мое пастбище?
sulamif_s000682|Но вот Соломон встает и прислушивается. Милый женский голос, ясный и чистый, как это росистое утро, поет где-то невдалеке, за деревьями. Простой и нежный мотив льется,|Но вот Соломон встает и прислушивается. Милый женский голос, ясный и чистый, как это росистое утро, поет где-то невдалеке, за деревьями. Простой и нежный мотив льется,
sulamif_s000683|потому что они особой пастой истребляли на нем волосы;|потому что они особой пастой истребляли на нем волосы;
sulamif_s000684|И давно уже ее пламенная любовь к царю так тесно срослась с жгучей ненавистью, что сама Астис не умела отличить их.|И давно уже ее пламенная любовь к царю так тесно срослась с жгучей ненавистью, что сама Астис не умела отличить их.
sulamif_s000685|я до конца моей жизни буду произносить с благодарностью твое имя, Соломон!|я до конца моей жизни буду произносить с благодарностью твое имя, Соломон!
sulamif_s000686|Так говорит она самой себе и легкими, послушными шагами бежит по дороге к городу. У Навозных ворот около стены сидят и дремлют в утренней прохладе двое сторожей, обходивших ночью город.|Так говорит она самой себе и легкими, послушными шагами бежит по дороге к городу. У Навозных ворот около стены сидят и дремлют в утренней прохладе двое сторожей, обходивших ночью город.
sulamif_s000687|Понуждаемая родителями, она не решилась от стыда и страха сказать ему о своем обещании и вышла за него замуж. Когда же по окончании брачного пира он повел ее в спальню и хотел лечь с нею, она стала умолять его:|Понуждаемая родителями, она не решилась от стыда и страха сказать ему о своем обещании и вышла за него замуж. Когда же по окончании брачного пира он повел ее в спальню и хотел лечь с нею, она стала умолять его:
sulamif_s000688|Но царь возразил:|Но царь возразил:
sulamif_s000689|И часто гордая царица приказывала в урочные часы проносить себя мимо дома Ливанского, чтобы хоть издали, незаметно, сквозь тяжелые ткани носилок,|И часто гордая царица приказывала в урочные часы проносить себя мимо дома Ливанского, чтобы хоть издали, незаметно, сквозь тяжелые ткани носилок,
sulamif_s000690|Кто там? — воскликнул Соломон.|Кто там? - воскликнул Соломон.
sulamif_s000691|Ты пела о своем милом. Он легок, как серна, как молодой горный олень. Ведь он очень красив, твой милый, девушка, не правда ли?|Ты пела о своем милом. Он легок, как серна, как молодой горный олень. Ведь он очень красив, твой милый, девушка, не правда ли?
sulamif_s000692|Твоя сестра так же красива, как и ты?|Твоя сестра так же красива, как и ты?
sulamif_s000693|Но так как ни один из них не соглашался признать себя худшим, то и обратились они к царю.|Но так как ни один из них не соглашался признать себя худшим, то и обратились они к царю.
sulamif_s000694|которую господь имел на своем пути прежде всех созданий своих искони, от начала, прежде бытия земли, той мудрости, которая была при нем великой художницей,|которую господь имел на своем пути прежде всех созданий своих искони, от начала, прежде бытия земли, той мудрости, которая была при нем великой художницей,
sulamif_s000695|Самодельное ожерелье из каких-то красных сухих ягод трогательно и невинно обвивает в два раза ее темную, высокую, тонкую шею.|Самодельное ожерелье из каких-то красных сухих ягод трогательно и невинно обвивает в два раза ее темную, высокую, тонкую шею.
sulamif_s000696|Благодарю тебя, мой царь, за все: за твою любовь, за твою красоту, за твою мудрость, к которой ты позволил мне прильнуть устами, как к сладкому источнику.|Благодарю тебя, мой царь, за все: за твою любовь, за твою красоту, за твою мудрость, к которой ты позволил мне прильнуть устами, как к сладкому источнику.
sulamif_s000697|Также искал он мудрости в тайнодействиях древних языческих верований и потому посещал капища и приносил жертвы: могущественному Ваалу-Либанону,|Также искал он мудрости в тайнодействиях древних языческих верований и потому посещал капища и приносил жертвы: могущественному Ваалу-Либанону,
sulamif_s000698|И когда они явились, встревоженные, в залу судилища, царь спросил их:|И когда они явились, встревоженные, в залу судилища, царь спросил их:
sulamif_s000699|Носящий его приобретает власть над людьми. Он врачует сердце, мозг и память. Но при детях не следует его носить, потому что он будит вокруг себя любовные страсти.|Носящий его приобретает власть над людьми. Он врачует сердце, мозг и память. Но при детях не следует его носить, потому что он будит вокруг себя любовные страсти.
sulamif_s000700|Изливал он елей и возжигал курение Изиде и Озирису египетским, брату и сестре, соединившимся браком еще во чреве матери своей и зачавшим там бога Гора,|Изливал он елей и возжигал курение Изиде и Озирису египетским, брату и сестре, соединившимся браком еще во чреве матери своей и зачавшим там бога Гора,
sulamif_s000701|Темные, злые, страшные и пленительные слухи ходили о царице Астис в Иерусалиме. Родители красивых мальчиков и девушек прятали детей от ее взгляда;|Темные, злые, страшные и пленительные слухи ходили о царице Астис в Иерусалиме. Родители красивых мальчиков и девушек прятали детей от ее взгляда;
sulamif_s000702|те уже не могли ее забыть никогда и делались навеки ее жалкими, отвергнутыми рабами.|те уже не могли ее забыть никогда и делались навеки ее жалкими, отвергнутыми рабами.
sulamif_s000703|окутывала богиню с ног до головы, оставляя видимыми только ее серебряные ноги, обвитые змеей, а над головою серебряный диск, включенный в коровьи рога.|окутывала богиню с ног до головы, оставляя видимыми только ее серебряные ноги, обвитые змеей, а над головою серебряный диск, включенный в коровьи рога.
sulamif_s000704|Выйди, — приказал Соломон. — Скажи очередной страже, чтобы она стерегла тебя.|Выйди, - приказал Соломон. - Скажи очередной страже, чтобы она стерегла тебя.
sulamif_s000705|На другой же день она собралась в путь, не простилась со мною и уехала с своим великолепным караваном. Я не хотел ее обидеть. Вслед ей я послал надежного гонца,|На другой же день она собралась в путь, не простилась со мною и уехала с своим великолепным караваном. Я не хотел ее обидеть. Вслед ей я послал надежного гонца,
sulamif_s000706|египетский фараон Суссаким, которому этот камень достался от пленного царя.|египетский фараон Суссаким, которому этот камень достался от пленного царя.
sulamif_s000707|Он говорит гнусавым и хриплым голосом:|Он говорит гнусавым и хриплым голосом:
sulamif_s000708|и тело Суламифи казалось пенно-розовым, и любовная усталость окружала голубыми тенями ее прекрасные глаза, она говорила с нежной улыбкою:|и тело Суламифи казалось пенно-розовым, и любовная усталость окружала голубыми тенями ее прекрасные глаза, она говорила с нежной улыбкою:
sulamif_s000709|Глава шестая|Глава шестая
sulamif_s000710|О, говори, говори еще.|О, говори, говори еще.
sulamif_s000711|И царь, тихо склоняясь головой к нежным коленям Суламифи, ласково улыбнулся и ответил:|И царь, тихо склоняясь головой к нежным коленям Суламифи, ласково улыбнулся и ответил:
sulamif_s000712|Я вымыла ноги мои, — шепчет Суламифь, — как же мне ступить ими на пол?|Я вымыла ноги мои, - шепчет Суламифь, - как же мне ступить ими на пол?
sulamif_s000713|И царь на мгновенье, пока она не становится спиною к ветру, видит всю ее под одеждой, как нагую, высокую и стройную, в сильном расцвете тринадцати лет;|И царь на мгновенье, пока она не становится спиною к ветру, видит всю ее под одеждой, как нагую, высокую и стройную, в сильном расцвете тринадцати лет;
sulamif_s000714|Я не пущу тебя, Суламифь, пока ты не скажешь. Я хочу тебя!|Я не пущу тебя, Суламифь, пока ты не скажешь. Я хочу тебя!
sulamif_s000715|Прости меня! Пощади меня, царь!|Прости меня! Пощади меня, царь!
sulamif_s000716|Ты веришь этому, царь?|Ты веришь этому, царь?
sulamif_s000717|и Утсабу, идолу ниневийскому, и мрачной Киббеле, и Бэл-Меродоху, покровителю Вавилона — богу планеты Юпитер, и халдейскому Ору — богу вечного огня,|и Утсабу, идолу ниневийскому, и мрачной Киббеле, и Бэл-Меродоху, покровителю Вавилона - богу планеты Юпитер, и халдейскому Ору - богу вечного огня,
sulamif_s000718|какого он еще никогда не знал в жизни.|какого он еще никогда не знал в жизни.
sulamif_s000719|Лунный камень, бледный и кроткий, как сияние луны, — это камень магов халдейских и вавилонских. Перед прорицаниями они кладут его под язык, и он сообщает им дар видеть будущее.|Лунный камень, бледный и кроткий, как сияние луны, - это камень магов халдейских и вавилонских. Перед прорицаниями они кладут его под язык, и он сообщает им дар видеть будущее.
sulamif_s000720|За дверями его дожидался первосвященник Азария, сын Садокии. Приблизившись к царю, он спросил:|За дверями его дожидался первосвященник Азария, сын Садокии. Приблизившись к царю, он спросил:
sulamif_s000721|Но Соломон берет ее маленькую темную руку и горячо прижимает ее к губам.|Но Соломон берет ее маленькую темную руку и горячо прижимает ее к губам.
sulamif_s000722|Пишите!|Пишите!
sulamif_s000723|совершенно обнаженного, ужасного своим высоким, костлявым, желтым телом.|совершенно обнаженного, ужасного своим высоким, костлявым, желтым телом.
sulamif_s000724|Пусть он снимет с меня клятву, тогда я возвращусь к тебе и сделаю все, что ты хочешь! И так как юноша очень любил ее, то согласился на ее просьбу, отпустил ее, и она пошла.|Пусть он снимет с меня клятву, тогда я возвращусь к тебе и сделаю все, что ты хочешь! И так как юноша очень любил ее, то согласился на ее просьбу, отпустил ее, и она пошла.
sulamif_s000725|Тогда царь встал, велел дать себе умыться и надел самый роскошный пурпуровый хитон, вышитый золотыми скарабеями, и возложил на свою голову венец из кроваво-красных рубинов.|Тогда царь встал, велел дать себе умыться и надел самый роскошный пурпуровый хитон, вышитый золотыми скарабеями, и возложил на свою голову венец из кроваво-красных рубинов.
