undine_01_f000001|Erstes Kapitel von Undine von Friedrich de la Motte Fouque.|Erstes Kapitel von Undine von Friedrich de la Motte Fouque.
undine_14_f000025|Er sah ein abscheulich verzerrtes Antlitz dicht vor sich, das mit dumpfer Stimme rief: Gib mir enen Kuß, du verliebter Schäfer.|Er sah ein abscheulich verzerrtes Antlitz dicht vor sich, das mit dumpfer Stimme rief: Gib mir enen Kuß, du verliebter Schäfer.
undine_14_f000026|Vor Entsetzen schreiend fuhr Huldbrand in die Höh, die häßliche Gestalt ihm nach. – Zu Haus! murmelte sie; die Unholde sind wach.|Vor Entsetzen schreiend fuhr Huldbrand in die Höh, die häßliche Gestalt ihm nach. - Zu Haus! murmelte sie; die Unholde sind wach.
undine_14_f000027|Zu Haus! Sonst hab ich dich! – Und es griff nach ihm mit langen weißen Armen. – Tückischer Kühleborn, rief der Ritter, sich ermannend, was giltes, du bist es, du Kobold!|Zu Haus! Sonst hab ich dich! - Und es griff nach ihm mit langen weißen Armen. - Tückischer Kühleborn, rief der Ritter, sich ermannend, was giltes, du bist es, du Kobold!
undine_14_f000028|Da hast du enen Kuß! – Und wütend hieb er mit dem Schwerte gegen die Gestalt.|Da hast du enen Kuß! - Und wütend hieb er mit dem Schwerte gegen die Gestalt.
undine_14_f000029|Aber die zerstob, und ein durchnässender Wasserguß ließ dem Ritter keinen Zweifel darüber, mit welchem Feinde er gestritten habe.|Aber die zerstob, und ein durchnässender Wasserguß ließ dem Ritter keinen Zweifel darüber, mit welchem Feinde er gestritten habe.
undine_14_f000030|Er will mich zurückschrecken von Bertalden, sagte er laut zu sich selbst; er denkt, ich soll mich vor seinen albernen Spukereien fürchten und ihm das arme,|Er will mich zurückschrecken von Bertalden, sagte er laut zu sich selbst; er denkt, ich soll mich vor seinen albernen Spukereien fürchten und ihm das arme,
undine_14_f000031|geängstete Mädchen hingeben, damit er sie seine Rache könne fühlen lassen.|geängstete Mädchen hingeben, damit er sie seine Rache könne fühlen lassen.
undine_14_f000032|Das soll er doch nicht, der schwächliche Elementargeist. Was eine Menschenbrust vermag, wenn sie so recht will, so recht aus ihrem besten Leben will,|Das soll er doch nicht, der schwächliche Elementargeist. Was eine Menschenbrust vermag, wenn sie so recht will, so recht aus ihrem besten Leben will,
undine_14_f000033|das versteht der ohnmächtige Gaukler nicht.|das versteht der ohnmächtige Gaukler nicht.
undine_14_f000034|Er fühlte die Wahrheit seiner Worte und daß er sich selbst dadurch einen ganz erneuten Mut in das Herz gesprochen habe.|Er fühlte die Wahrheit seiner Worte und daß er sich selbst dadurch einen ganz erneuten Mut in das Herz gesprochen habe.
undine_14_f000035|Auch schien es, als trete das Glück mit ihm in Bund, denn noch war er nicht wieder bei seinem angebundenen Rosse, da hörte er schon ganz deutlich Bertaldas klagende Stimme,|Auch schien es, als trete das Glück mit ihm in Bund, denn noch war er nicht wieder bei seinem angebundenen Rosse, da hörte er schon ganz deutlich Bertaldas klagende Stimme,
undine_14_f000036|wie sie unfern von ihm durch das immer lauter werdende Geräusch des Donners und Sturmwindes herüber weinte.|wie sie unfern von ihm durch das immer lauter werdende Geräusch des Donners und Sturmwindes herüber weinte.
undine_14_f000037|Beflügelten Fußes eilte er dem Schalle nach und fand die erbebende Jungfrau, wie sie eben die Höhe hinanzuklimmen versuchte, um sich auf alle Weise aus dem schaurigen Dunkel dieses Tales zu retten.|Beflügelten Fußes eilte er dem Schalle nach und fand die erbebende Jungfrau, wie sie eben die Höhe hinanzuklimmen versuchte, um sich auf alle Weise aus dem schaurigen Dunkel dieses Tales zu retten.
undine_14_f000038|Er aber trat ihr liebkosend in den Weg, und so kühn und stolz auch früher ihr Entschluß mochte gewesen sein, empfand sie doch jetzt nur allzu lebendig das Glück,|Er aber trat ihr liebkosend in den Weg, und so kühn und stolz auch früher ihr Entschluß mochte gewesen sein, empfand sie doch jetzt nur allzu lebendig das Glück,
undine_14_f000039|das ihr im Herzen geliebter Freund sie aus der furchtbaren Einsamkeit erlöse und das helle Leben in der befreundeten Burg so anmutige Arme nach ihr ausstrecke.|das ihr im Herzen geliebter Freund sie aus der furchtbaren Einsamkeit erlöse und das helle Leben in der befreundeten Burg so anmutige Arme nach ihr ausstrecke.
undine_14_f000040|Sie folgte fast ohne Widerspruch, aber so ermattet, daß der Ritter froh war, sie bis zu seinem Rosse geleitet zu haben, welches er nun eilig losknüpfte,|Sie folgte fast ohne Widerspruch, aber so ermattet, daß der Ritter froh war, sie bis zu seinem Rosse geleitet zu haben, welches er nun eilig losknüpfte,
undine_14_f000041|um die schöne Wandrerin hinaufzuheben und es alsdann am Zügel sich durch die ungewissen Schatten der Talgegend vorsichtig nachzuleiten.|um die schöne Wandrerin hinaufzuheben und es alsdann am Zügel sich durch die ungewissen Schatten der Talgegend vorsichtig nachzuleiten.
undine_14_f000042|Aber das Pferd war ganz verwildert durch Kühleborns tolle Erscheinung. Selbst der Ritter würde Mühe gebraucht haben, auf des bäumenden, wildschnaubenden Tieres Rücken zu springen;|Aber das Pferd war ganz verwildert durch Kühleborns tolle Erscheinung. Selbst der Ritter würde Mühe gebraucht haben, auf des bäumenden, wildschnaubenden Tieres Rücken zu springen;
undine_14_f000043|die zitternde Bertalda hinaufzuheben, war eine volle Unmöglichkeit.|die zitternde Bertalda hinaufzuheben, war eine volle Unmöglichkeit.
undine_14_f000044|Man beschloß also, zu Fuße heimzukehren. Das Roß am Zügel nachzerrend, unterstützte der Ritter mit der andern Hand das schwankende Mägdlein.|Man beschloß also, zu Fuße heimzukehren. Das Roß am Zügel nachzerrend, unterstützte der Ritter mit der andern Hand das schwankende Mägdlein.
undine_14_f000045|Bertalda machte sich so stark als möglich, um den furchtbaren Talgrund schnell zu durchwandeln, aber wie Blei zog die Müdigkeit sie herab, und zugleich bebten ihr alle Glieder zusammen,|Bertalda machte sich so stark als möglich, um den furchtbaren Talgrund schnell zu durchwandeln, aber wie Blei zog die Müdigkeit sie herab, und zugleich bebten ihr alle Glieder zusammen,
undine_14_f000046|teils noch von mancher überstandnen Angst, womit Kühleborn sie vorwärtsgehetzt hatte, teils auch in der fortdauernden Bangigkeit vor dem Geheul des Sturmes und Donners durch die Waldung des Gebirgs.|teils noch von mancher überstandnen Angst, womit Kühleborn sie vorwärtsgehetzt hatte, teils auch in der fortdauernden Bangigkeit vor dem Geheul des Sturmes und Donners durch die Waldung des Gebirgs.
undine_14_f000047|Endlich entglitt sie dem stützenden Arm ihres Führers, und auf das Moos hingesunken, sagte sie: Laßt mich nur hier liegen, edler Herr.|Endlich entglitt sie dem stützenden Arm ihres Führers, und auf das Moos hingesunken, sagte sie: Laßt mich nur hier liegen, edler Herr.
undine_14_f000048|Ich büße meiner Torheit Schuld und muß nun doch auf alle Weise hier verkommen vor Mattigkeit und Angst. – Nimmermehr, holde Freundin, verlaß ich Euch!|Ich büße meiner Torheit Schuld und muß nun doch auf alle Weise hier verkommen vor Mattigkeit und Angst. - Nimmermehr, holde Freundin, verlaß ich Euch!
undine_14_f000049|rief Huldbrand, vergeblich bemüht, den brausenden Hengst an seiner Hand zu bändigen, der ärger als vorhin zu tosen und zu schäumen begann; der Ritter war endlich nur froh,|rief Huldbrand, vergeblich bemüht, den brausenden Hengst an seiner Hand zu bändigen, der ärger als vorhin zu tosen und zu schäumen begann; der Ritter war endlich nur froh,
undine_14_f000050|daß er ihn von der hingesunknen Jungfrau fern genug hielt, um sie nicht durch die Furcht vor ihm noch mehr zu erschrecken.|daß er ihn von der hingesunknen Jungfrau fern genug hielt, um sie nicht durch die Furcht vor ihm noch mehr zu erschrecken.
undine_14_f000051|Wie er sich aber mit dem tollen Pferde nur kaum einige Schritte entfernte, begann sie auch gleich, ihm auf das allerjämmerlichste nachzurufen,|Wie er sich aber mit dem tollen Pferde nur kaum einige Schritte entfernte, begann sie auch gleich, ihm auf das allerjämmerlichste nachzurufen,
undine_14_f000052|des Glaubens, er wolle sie wirklich hier in der entsetzlichen Wildnis verlassen.|des Glaubens, er wolle sie wirklich hier in der entsetzlichen Wildnis verlassen.
undine_14_f000053|Er wußte gar nicht mehr, was er beginnen sollte. Gern hätte er dem wütenden Tiere volle Freiheit gegeben, durch die Nacht hinzustürmen und seine Raserei auszutoben,|Er wußte gar nicht mehr, was er beginnen sollte. Gern hätte er dem wütenden Tiere volle Freiheit gegeben, durch die Nacht hinzustürmen und seine Raserei auszutoben,
undine_14_f000054|hätte er nur nicht fürchten müssen, es würde in diesem engen Paß mit seinen beerzten Hufen eben über die Stelle hindonnern, wo Bertalda lag.|hätte er nur nicht fürchten müssen, es würde in diesem engen Paß mit seinen beerzten Hufen eben über die Stelle hindonnern, wo Bertalda lag.
undine_14_f000055|Während dieser großen Not und Verlegenheit war es ihm unendlich trostreich, daß er einen Wagen langsam den steinigen Weg hinter sich herabfahren hörte.|Während dieser großen Not und Verlegenheit war es ihm unendlich trostreich, daß er einen Wagen langsam den steinigen Weg hinter sich herabfahren hörte.
undine_14_f000056|Er rief um Beistand; eine männliche Stimme antwortete, verwies ihn zur Geduld, aber versprach zu helfen, und bald darauf leuchteten schon zwei Schimmel durch das Gebüsch,|Er rief um Beistand; eine männliche Stimme antwortete, verwies ihn zur Geduld, aber versprach zu helfen, und bald darauf leuchteten schon zwei Schimmel durch das Gebüsch,
undine_14_f000057|der weiße Kärrnerkittel ihres Führers nebenher, worauf sich denn auch die große weiße Leinewand sehen ließ, mit welcher die Waren, die er bei sich führen mochte, überdeckt waren.|der weiße Kärrnerkittel ihres Führers nebenher, worauf sich denn auch die große weiße Leinewand sehen ließ, mit welcher die Waren, die er bei sich führen mochte, überdeckt waren.
undine_14_f000058|Auf ein lautes Brr! aus dem Munde ihres Herrn standen die gehorsamen Schimmel. Er kam gegen den Ritter heran und half ihm das schäumende Tier bändigen.|Auf ein lautes Brr! aus dem Munde ihres Herrn standen die gehorsamen Schimmel. Er kam gegen den Ritter heran und half ihm das schäumende Tier bändigen.
undine_14_f000059|Ich merke wohl, sagte er dabei, was der Bestie fehlt. Als ich zuerst durch diese Gegend zog, ging es meinen Pferden nicht besser.|Ich merke wohl, sagte er dabei, was der Bestie fehlt. Als ich zuerst durch diese Gegend zog, ging es meinen Pferden nicht besser.
undine_14_f000060|Das macht, hier wohnt ein böser Wassernix, der an solchen Neckereien Lust hat. Aber ich hab ein Sprüchlein gelernt; wenn Ihr mir vergönnen wolltet,|Das macht, hier wohnt ein böser Wassernix, der an solchen Neckereien Lust hat. Aber ich hab ein Sprüchlein gelernt; wenn Ihr mir vergönnen wolltet,
undine_14_f000061|dem Rosse das ins Ohr zu sagen, so sollt es gleich so ruhig stehn wie meine Schimmel da.|dem Rosse das ins Ohr zu sagen, so sollt es gleich so ruhig stehn wie meine Schimmel da.
undine_14_f000062|Versucht Eur Heil und helft nur bald! schrie der ungeduldige Ritter. Da bog der Fuhrmann den Kopf des bäumenden Pferdes zu sich herunter und sagte ihm einige Worte ins Ohr.|Versucht Eur Heil und helft nur bald! schrie der ungeduldige Ritter. Da bog der Fuhrmann den Kopf des bäumenden Pferdes zu sich herunter und sagte ihm einige Worte ins Ohr.
undine_14_f000063|Augenblicklich stand der Hengst gezähmt und friedlich still, und nur sein erhitztes Keuchen und Dampfen zeugte noch von der vorherigen Unbändigkeit.|Augenblicklich stand der Hengst gezähmt und friedlich still, und nur sein erhitztes Keuchen und Dampfen zeugte noch von der vorherigen Unbändigkeit.
undine_14_f000064|Es war nicht viel Zeit für Huldbranden, lange zu fragen, wie dies zugegangen sei. Er ward mit dem Kärrner einig, daß er Bertalden auf den Wagen nehmen solle,|Es war nicht viel Zeit für Huldbranden, lange zu fragen, wie dies zugegangen sei. Er ward mit dem Kärrner einig, daß er Bertalden auf den Wagen nehmen solle,
undine_14_f000065|wo, seiner Aussage nach, die weichste Baumwolle in Ballen lag, und so möge er sie bis nach Burg Ringstetten führen;|wo, seiner Aussage nach, die weichste Baumwolle in Ballen lag, und so möge er sie bis nach Burg Ringstetten führen;
undine_14_f000066|der Ritter wolle den Zug zu Pferde begleiten. Aber das Roß schien von seinem vorigen Toben zu erschöpft, um noch seinen Herrn so weit zu tragen,|der Ritter wolle den Zug zu Pferde begleiten. Aber das Roß schien von seinem vorigen Toben zu erschöpft, um noch seinen Herrn so weit zu tragen,
undine_14_f000067|weshalb diesem der Kärrner zuredete, mit Bertalden in den Wagen zu steigen.|weshalb diesem der Kärrner zuredete, mit Bertalden in den Wagen zu steigen.
undine_14_f000068|Das Pferd könne man ja hinten anbinden. – Es geht bergunter, sagte er, und da wirdes meinen Schimmeln leicht. – Der Ritter nahm dies Erbieten an,|Das Pferd könne man ja hinten anbinden. - Es geht bergunter, sagte er, und da wirdes meinen Schimmeln leicht. - Der Ritter nahm dies Erbieten an,
undine_14_f000069|er bestieg mit Bertalden den Wagen, der Hengst folgte geduldig nach, und rüstig und achtsam schritt der Fuhrmann beiher.|er bestieg mit Bertalden den Wagen, der Hengst folgte geduldig nach, und rüstig und achtsam schritt der Fuhrmann beiher.
undine_14_f000070|In der Stille der tiefer dunkelnden Nacht, aus der das Gewitter immer ferner und schweigsamer abdonnerte,|In der Stille der tiefer dunkelnden Nacht, aus der das Gewitter immer ferner und schweigsamer abdonnerte,
undine_14_f000071|in dem behaglichen Gefühl der Sicherheit und des bequemen Fortkommens entspann sich zwischen Huldbrand und Bertalda ein trauliches Gespräch.|in dem behaglichen Gefühl der Sicherheit und des bequemen Fortkommens entspann sich zwischen Huldbrand und Bertalda ein trauliches Gespräch.
undine_14_f000072|Mit schmeichelnden Worten schalt er sie um ihr trotziges Flüchten; mit Demut und Rührung entschuldigte sie sich, und aus allem, was sie sprach,|Mit schmeichelnden Worten schalt er sie um ihr trotziges Flüchten; mit Demut und Rührung entschuldigte sie sich, und aus allem, was sie sprach,
undine_14_f000073|leuchtete es hervor, gleich einer Lampe, die dem Geliebten zwischen Nacht und Geheimnis kundgibt, die Geliebte harre noch sein.|leuchtete es hervor, gleich einer Lampe, die dem Geliebten zwischen Nacht und Geheimnis kundgibt, die Geliebte harre noch sein.
undine_14_f000074|Der Ritter fühlte den Sinn dieser Reden weit mehr, als daß er auf die Bedeutung der Worte achtgegeben hätte, und antwortete auch einzig auf jenen.|Der Ritter fühlte den Sinn dieser Reden weit mehr, als daß er auf die Bedeutung der Worte achtgegeben hätte, und antwortete auch einzig auf jenen.
undine_14_f000075|Da rief der Fuhrmann plötzlich mit kreischender Stimme: Hoch, ihr Schimmel! Hoch den Fuß! Nehmt euch zusammen, Schimmel! Denkt hübsch, was ihr seid!|Da rief der Fuhrmann plötzlich mit kreischender Stimme: Hoch, ihr Schimmel! Hoch den Fuß! Nehmt euch zusammen, Schimmel! Denkt hübsch, was ihr seid!
undine_14_f000076|Der Ritter beugte sich aus dem Wagen und sah, wie die Pferde mitten im schäumenden Wasser dahinschritten oder fast schon schwammen, des Wagens Räder wie Mühlenräder blinkten und rauschten,|Der Ritter beugte sich aus dem Wagen und sah, wie die Pferde mitten im schäumenden Wasser dahinschritten oder fast schon schwammen, des Wagens Räder wie Mühlenräder blinkten und rauschten,
undine_14_f000077|der Kärrner vor der wachsenden Flut auf das Fuhrwerk gestiegen war.|der Kärrner vor der wachsenden Flut auf das Fuhrwerk gestiegen war.
undine_14_f000078|Was soll das für ein Weg sein? Der geht ja mitten in den Strom! rief Huldbrand seinem Führer zu. – Nein, Herr, lachte dieser zurück; es ist grad umgekehrt.|Was soll das für ein Weg sein? Der geht ja mitten in den Strom! rief Huldbrand seinem Führer zu. - Nein, Herr, lachte dieser zurück; es ist grad umgekehrt.
undine_14_f000079|Der Strom geht mitten in unsern Weg. Seht Euch nur um, wie alles übergetreten ist.|Der Strom geht mitten in unsern Weg. Seht Euch nur um, wie alles übergetreten ist.
undine_14_f000080|In der Tat wogte und rauschte der ganze Talgrund von plötzlich empörten, sichtbar steigenden Wellen. Das ist der Kühleborn, der böse Wassernix,|In der Tat wogte und rauschte der ganze Talgrund von plötzlich empörten, sichtbar steigenden Wellen. Das ist der Kühleborn, der böse Wassernix,
undine_14_f000081|der uns ersäufen will! rief der Ritter.|der uns ersäufen will! rief der Ritter.
undine_14_f000082|Weißt du kein Sprüchlein wider ihn, Gesell? – Ich wüßte wohl eins, sagte der Fuhrmann, aber ich kann und mag es nicht eher brauchen, als bis Ihr wißt, wer ich bin.|Weißt du kein Sprüchlein wider ihn, Gesell? - Ich wüßte wohl eins, sagte der Fuhrmann, aber ich kann und mag es nicht eher brauchen, als bis Ihr wißt, wer ich bin.
undine_14_f000083|Ist es hier Zeit zu Rätseln? schrie der Ritter. Die Flut steigt immer höher, und was geht es mich an, zu wissen, wer du bist? – Es geht Euch aber doch was an,|Ist es hier Zeit zu Rätseln? schrie der Ritter. Die Flut steigt immer höher, und was geht es mich an, zu wissen, wer du bist? - Es geht Euch aber doch was an,
undine_14_f000084|sagte der Fuhrmann, denn ich bin Kühleborn.|sagte der Fuhrmann, denn ich bin Kühleborn.
undine_14_f000085|Damit lachte er, verzerrten Antlitzes, zum Wagen herein, aber der Wagen blieb nicht Wagen mehr, die Schimmel nicht Schimmel; alles verschäumte,|Damit lachte er, verzerrten Antlitzes, zum Wagen herein, aber der Wagen blieb nicht Wagen mehr, die Schimmel nicht Schimmel; alles verschäumte,
undine_14_f000086|verrann in zischenden Wogen, und selbst der Fuhrmann bäumte sich als eine riesige Welle empor, riß den vergeblich arbeitenden Hengst unter die Gewässer hinab und wuchs dann wieder,|verrann in zischenden Wogen, und selbst der Fuhrmann bäumte sich als eine riesige Welle empor, riß den vergeblich arbeitenden Hengst unter die Gewässer hinab und wuchs dann wieder,
undine_14_f000087|und wuchs über den Häuptern des schwimmenden Paares wie zu einem feuchten Turme an und wollte sie eben rettungslos begraben. –|und wuchs über den Häuptern des schwimmenden Paares wie zu einem feuchten Turme an und wollte sie eben rettungslos begraben. -
undine_14_f000088|Da scholl Undinens anmutige Stimme durch das Getöse hin, der Mond trat aus den Wolken, und mit ihm ward Undine auf den Höhen des Talgrundes sichtbar.|Da scholl Undinens anmutige Stimme durch das Getöse hin, der Mond trat aus den Wolken, und mit ihm ward Undine auf den Höhen des Talgrundes sichtbar.
undine_14_f000089|Sie schalt, sie drohte in die Fluten hinab, die drohende Turmeswoge verschwand murrend und murmelnd, leise rannen die Wasser im Mondglanze dahin,|Sie schalt, sie drohte in die Fluten hinab, die drohende Turmeswoge verschwand murrend und murmelnd, leise rannen die Wasser im Mondglanze dahin,
undine_14_f000090|und wie eine weiße Taube sah man Undinen von der Höhe hinabtauchen, den Ritter und Bertalden erfassen und mit sich nach einem frischen, grünen Rasenfleck auf der Höhe emporheben,|und wie eine weiße Taube sah man Undinen von der Höhe hinabtauchen, den Ritter und Bertalden erfassen und mit sich nach einem frischen, grünen Rasenfleck auf der Höhe emporheben,
undine_14_f000091|wo sie mit ausgesuchten Labungen Ohnmacht und Schrecken vertrieb;|wo sie mit ausgesuchten Labungen Ohnmacht und Schrecken vertrieb;
undine_14_f000092|dann half sie Bertalden zu dem weißen Zelter, der sie selbst hergetragen hatte, hinaufheben, und so gelangten alle dreie nach Burg Ringstetten zurück.|dann half sie Bertalden zu dem weißen Zelter, der sie selbst hergetragen hatte, hinaufheben, und so gelangten alle dreie nach Burg Ringstetten zurück.
undine_14_f000093|Ende des Vierzehntes Kapitels.|Ende des Vierzehntes Kapitels.
undine_15_f000001|Fünfzehntes Kapitel von Undine von Friedrich de la Motte Fouque.|Fünfzehntes Kapitel von Undine von Friedrich de la Motte Fouque.
undine_15_f000002|Diese librivox Aufnahme ist in der publik domain.|Diese librivox Aufnahme ist in der publik domain.
undine_15_f000003|Die Reise nach Wien|Die Reise nach Wien
undine_15_f000004|Es lebte sich seit der letztern Begebenheit still und ruhig auf dem Schloß. Der Ritter erkannte mehr und mehr seiner Frauen himmlische Güte, die sich durch ihr Nacheilen und Retten im Schwarztale,|Es lebte sich seit der letztern Begebenheit still und ruhig auf dem Schloß. Der Ritter erkannte mehr und mehr seiner Frauen himmlische Güte, die sich durch ihr Nacheilen und Retten im Schwarztale,
undine_15_f000005|wo Kühleborns Gewalt wieder anging, so herrlich offenbart hatte;|wo Kühleborns Gewalt wieder anging, so herrlich offenbart hatte;
undine_15_f000006|Undine selbst empfand den Frieden und die Sicherheit, deren ein Gemüt nie ermangelt, solange es mit Besonnenheit fühlt, daß es auf dem rechten Wege sei,|Undine selbst empfand den Frieden und die Sicherheit, deren ein Gemüt nie ermangelt, solange es mit Besonnenheit fühlt, daß es auf dem rechten Wege sei,
undine_15_f000007|und zudem gingen ihr in der neu erwachenden Liebe und Achtung ihres Ehemannes vielfache Schimmer der Hoffnung und Freude auf.|und zudem gingen ihr in der neu erwachenden Liebe und Achtung ihres Ehemannes vielfache Schimmer der Hoffnung und Freude auf.
undine_15_f000008|Bertalda hingegen zeigte sich dankbar, demütig und scheu, ohne daß sie wieder diese Äußerungen als etwas Verdienstliches angeschlagen hätte.|Bertalda hingegen zeigte sich dankbar, demütig und scheu, ohne daß sie wieder diese Äußerungen als etwas Verdienstliches angeschlagen hätte.
undine_15_f000009|Sooft ihr eines der Eheleute über die Verdeckung des Brunnens oder über die Abenteuer im Schwarztale irgend etwas Erklärendes sagen wollte, bat sie inbrünstig,|Sooft ihr eines der Eheleute über die Verdeckung des Brunnens oder über die Abenteuer im Schwarztale irgend etwas Erklärendes sagen wollte, bat sie inbrünstig,
undine_15_f000010|man möge sie damit verschonen, weil sie wegen des Brunnens allzu viele Beschämung und wegen des Schwarztales allzu viele Schrecken empfinde.|man möge sie damit verschonen, weil sie wegen des Brunnens allzu viele Beschämung und wegen des Schwarztales allzu viele Schrecken empfinde.
undine_15_f000011|Sie erfuhr daher auch von beiden weiter nichts; und wozu schien es auch nötig zu sein? Der Friede und die Freude hatten ja ihren sichtbaren Wohnsitz in Burg Ringstetten genommen.|Sie erfuhr daher auch von beiden weiter nichts; und wozu schien es auch nötig zu sein? Der Friede und die Freude hatten ja ihren sichtbaren Wohnsitz in Burg Ringstetten genommen.
undine_15_f000012|Man ward darüber ganz sicher und meinte, nun könne das Leben gar nichts mehr tragen als anmutige Blumen und Früchte.|Man ward darüber ganz sicher und meinte, nun könne das Leben gar nichts mehr tragen als anmutige Blumen und Früchte.
undine_15_f000013|In so erlabenden Verhältnissen war der Winter gekommen und vorübergegangen, und der Frühling sah mit seinen hellgrünen Sprossen und seinem lichtblauen Himmel zu den fröhlichen Menschen herein.|In so erlabenden Verhältnissen war der Winter gekommen und vorübergegangen, und der Frühling sah mit seinen hellgrünen Sprossen und seinem lichtblauen Himmel zu den fröhlichen Menschen herein.
undine_15_f000014|Ihm war zumut wie ihnen, und ihnen wie ihm. Was Wunder, daß seine Störche und Schwalben auch in ihnen die Reiselust anregten! Während sie einmal nach den Donauquellen hinab lustwandelten,|Ihm war zumut wie ihnen, und ihnen wie ihm. Was Wunder, daß seine Störche und Schwalben auch in ihnen die Reiselust anregten! Während sie einmal nach den Donauquellen hinab lustwandelten,
undine_15_f000015|erzählte Huldbrand von der Herrlichkeit des edlen Stromes und wie er wachsend durch gesegnete Länder fließe,|erzählte Huldbrand von der Herrlichkeit des edlen Stromes und wie er wachsend durch gesegnete Länder fließe,
undine_15_f000016|wie das köstliche Wien an seinen Ufern emporglänze und er überhaupt mit jedem Schritte seiner Fahrt an Macht und Lieblichkeit gewinne.|wie das köstliche Wien an seinen Ufern emporglänze und er überhaupt mit jedem Schritte seiner Fahrt an Macht und Lieblichkeit gewinne.
undine_15_f000017|Es müßte herrlich sein, ihn so bis Wien einmal hinabzufahren! brach Bertalda aus, aber gleich darauf in ihre jetzige Demut und Bescheidenheit zurückgesunken, schwieg sie errötend still.|Es müßte herrlich sein, ihn so bis Wien einmal hinabzufahren! brach Bertalda aus, aber gleich darauf in ihre jetzige Demut und Bescheidenheit zurückgesunken, schwieg sie errötend still.
undine_15_f000018|Eben dies rührte Undinen sehr, und im lebhaftesten Wunsch, der lieben Freundin eine Lust zu machen, sagte sie: Wer hindert uns denn, die Reise anzutreten?|Eben dies rührte Undinen sehr, und im lebhaftesten Wunsch, der lieben Freundin eine Lust zu machen, sagte sie: Wer hindert uns denn, die Reise anzutreten?
undine_15_f000019|Bertalda hüpfte vor Freuden in die Höhe, und die beiden Frauen begannen sogleich, sich die anmutige Donaufahrt mit den allerhellsten Farben vor die Sinne zu rufen.|Bertalda hüpfte vor Freuden in die Höhe, und die beiden Frauen begannen sogleich, sich die anmutige Donaufahrt mit den allerhellsten Farben vor die Sinne zu rufen.
undine_15_f000020|Auch Huldbrand stimmte fröhlich darin ein; nur sagte er einmal besorgt Undinen ins Ohr: Aber weiterhin ist Kühleborn wieder gewaltig? – Laß ihn nur kommen, entgegnete sie lachend;|Auch Huldbrand stimmte fröhlich darin ein; nur sagte er einmal besorgt Undinen ins Ohr: Aber weiterhin ist Kühleborn wieder gewaltig? - Laß ihn nur kommen, entgegnete sie lachend;
undine_15_f000021|ich bin ja dabei, und vor mir wagt er sich mit keinem Unheil hervor.|ich bin ja dabei, und vor mir wagt er sich mit keinem Unheil hervor.
undine_15_f000022|Damit war das letzte Hindernis gehoben, man rüstete sich zur Fahrt und trat sie alsbald mit frischem Mut und den heitersten Hoffnungen an.|Damit war das letzte Hindernis gehoben, man rüstete sich zur Fahrt und trat sie alsbald mit frischem Mut und den heitersten Hoffnungen an.
undine_15_f000023|Wundert euch aber nur nicht, ihr Menschen, wenn es dann immer ganz anders kommt, als man gemeint hat. Die tückische Macht, die lauert, uns zu verderben,|Wundert euch aber nur nicht, ihr Menschen, wenn es dann immer ganz anders kommt, als man gemeint hat. Die tückische Macht, die lauert, uns zu verderben,
undine_15_f000024|singt ihr auserkornes Opfer gern mit süßen Liedern und goldnen Märchen in den Schlaf.|singt ihr auserkornes Opfer gern mit süßen Liedern und goldnen Märchen in den Schlaf.
undine_15_f000025|Dagegen pocht der rettende Himmelsbote oftmals scharf und erschreckend an unsre Tür.|Dagegen pocht der rettende Himmelsbote oftmals scharf und erschreckend an unsre Tür.
undine_15_f000026|Sie waren die ersten Tage ihrer Donaufahrt hindurch außerordentlich vergnügt gewesen. Es ward auch alles immer besser und schöner, so wie sie den stolzen flutenden Strom weiter hinunterschifften.|Sie waren die ersten Tage ihrer Donaufahrt hindurch außerordentlich vergnügt gewesen. Es ward auch alles immer besser und schöner, so wie sie den stolzen flutenden Strom weiter hinunterschifften.
undine_15_f000027|Aber in einer sonst höchst anmutigen Gegend, von deren erfreulichem Anblick sie sich die beste Freude versprochen hatten, fing der ungebändige Kühleborn ganz unverhohlen an,|Aber in einer sonst höchst anmutigen Gegend, von deren erfreulichem Anblick sie sich die beste Freude versprochen hatten, fing der ungebändige Kühleborn ganz unverhohlen an,
undine_15_f000028|seine hier eingreifende Macht zu zeigen.|seine hier eingreifende Macht zu zeigen.
undine_15_f000029|Es blieben zwar bloß Neckereien, weil Undine oftmals in die empörten Wellen oder in die hemmenden Winde hineinschalt und sich dann die Gewalt des Feindseligen augenblicklich in Demut ergab;|Es blieben zwar bloß Neckereien, weil Undine oftmals in die empörten Wellen oder in die hemmenden Winde hineinschalt und sich dann die Gewalt des Feindseligen augenblicklich in Demut ergab;
undine_15_f000030|aber wieder kamen die Angriffe, und wieder brauchte es der Mahnung Undines, so daß die Lustigkeit der kleinen Reisegesellschaft eine gänzliche Störung erlitt.|aber wieder kamen die Angriffe, und wieder brauchte es der Mahnung Undines, so daß die Lustigkeit der kleinen Reisegesellschaft eine gänzliche Störung erlitt.
undine_15_f000031|Dabei zischelten sich noch immer die Fährleute zagend in die Ohren und sahen mißtrauisch auf die drei Herrschaften,|Dabei zischelten sich noch immer die Fährleute zagend in die Ohren und sahen mißtrauisch auf die drei Herrschaften,
