tom_sawyer_01_f000001|Vorwort des Autors.|Vorwort des Autors.
tom_sawyer_14_f000028|Traf sie mal in den Wäldern hinter dem Garten der Witwe, und sie machten sich auch gleich davon.|Traf sie mal in den Wäldern hinter dem Garten der Witwe, und sie machten sich auch gleich davon.
tom_sawyer_14_f000029|Fort mit euch, Burschen, sagtes dem Sheriff - könnt euer Frühstück morgen essen!|Fort mit euch, Burschen, sagtes dem Sheriff - könnt euer Frühstück morgen essen!
tom_sawyer_14_f000030|Sofort verschwanden die Söhne des Alten. Als sie das Zimmer verlassen hatten, sprang Huck auf und rief: O, bitte, sagtes niemand, daß iches war, der sie aufgespürt hat - bitte!|Sofort verschwanden die Söhne des Alten. Als sie das Zimmer verlassen hatten, sprang Huck auf und rief: O, bitte, sagtes niemand, daß iches war, der sie aufgespürt hat - bitte!
tom_sawyer_14_f000031|Ist schon gut, Huck, wenn dues wünschst, aber du sollst doch den Lohn für das haben, was du da getan hast!|Ist schon gut, Huck, wenn dues wünschst, aber du sollst doch den Lohn für das haben, was du da getan hast!
tom_sawyer_14_f000032|Ach, nein, nein! Bitte, sagtes nicht!|Ach, nein, nein! Bitte, sagtes nicht!
tom_sawyer_14_f000033|Sie werdenes nicht sagen, beruhigte der Alte, und ich auch nicht.|Sie werdenes nicht sagen, beruhigte der Alte, und ich auch nicht.
tom_sawyer_14_f000034|Aber warum solles keiner wissen?|Aber warum solles keiner wissen?
tom_sawyer_14_f000035|Huck wollte nichts weiter sagen, als daß er schon zu viel über einen der Strolche wisse und nicht wünschte,|Huck wollte nichts weiter sagen, als daß er schon zu viel über einen der Strolche wisse und nicht wünschte,
tom_sawyer_14_f000036|daß der von seiner Mitwisserschaft Wind bekomme, nicht um die Welt, denn es wär sicher, daß er dafür getötet werden würde.|daß der von seiner Mitwisserschaft Wind bekomme, nicht um die Welt, denn es wär sicher, daß er dafür getötet werden würde.
tom_sawyer_14_f000037|Der alte Mann versprach nochmals Schweigen und sagte: Aber, Bursche, wie kamst du denn drauf, diesen Gaunern zu folgen? Kamen sie dir verdächtig vor?|Der alte Mann versprach nochmals Schweigen und sagte: Aber, Bursche, wie kamst du denn drauf, diesen Gaunern zu folgen? Kamen sie dir verdächtig vor?
tom_sawyer_14_f000038|Huck schwieg einen Moment, während er über einer möglichst unverfänglichen Antwort brütete.|Huck schwieg einen Moment, während er über einer möglichst unverfänglichen Antwort brütete.
tom_sawyer_14_f000039|Dann sagte er: Na, seht Ihr, ich bin halt mal en ungehobelter Bursche - jeder sagtes, und ich weiß nicht,|Dann sagte er: Na, seht Ihr, ich bin halt mal en ungehobelter Bursche - jeder sagtes, und ich weiß nicht,
tom_sawyer_14_f000040|was dagegen einzuwenden wäre - und manchmal kann ich nicht schlafen vor dem Gedanken daran, und nehme mir vor, zu versuchen, mich zu ändern.|was dagegen einzuwenden wäre - und manchmal kann ich nicht schlafen vor dem Gedanken daran, und nehme mir vor, zu versuchen, mich zu ändern.
tom_sawyer_14_f000041|es war wieder so letzte Nacht. Ich konnte nicht schlafen und so kam ich um Mitternacht etwa, drüber nachdenkend,|es war wieder so letzte Nacht. Ich konnte nicht schlafen und so kam ich um Mitternacht etwa, drüber nachdenkend,
tom_sawyer_14_f000042|auf die Straße, und wie ich an die alte Mauer beim Temperenzler-Wirtshaus komme, lehne ich mich so, ohne mir was zu denken, dran.|auf die Straße, und wie ich an die alte Mauer beim Temperenzler-Wirtshaus komme, lehne ich mich so, ohne mir was zu denken, dran.
tom_sawyer_14_f000043|Na, gerade in dem Augenblick kamen die beiden Strolche angeschlichen, dicht an mir vorbei, was unterm Arm tragend; es ist gewiß gestohlen, denk ich.|Na, gerade in dem Augenblick kamen die beiden Strolche angeschlichen, dicht an mir vorbei, was unterm Arm tragend; es ist gewiß gestohlen, denk ich.
tom_sawyer_14_f000044|Der eine rauchte, der andere wollte auch Feuer haben;|Der eine rauchte, der andere wollte auch Feuer haben;
tom_sawyer_14_f000045|blieben also gerade vor mir stehn, und beim Anzünden der Zigarren wurden ihre Gesichter erleuchtet, und ich sah,|blieben also gerade vor mir stehn, und beim Anzünden der Zigarren wurden ihre Gesichter erleuchtet, und ich sah,
tom_sawyer_14_f000046|daß der größere der taubstumme Spanier war - an den weißen Haaren und dem Pflaster aus dem Auge, - und der andere war ein roher, zerlumpter Teufel.|daß der größere der taubstumme Spanier war - an den weißen Haaren und dem Pflaster aus dem Auge, - und der andere war ein roher, zerlumpter Teufel.
tom_sawyer_14_f000047|Konntst auch die Lumpen beim Leuchten der Zigarren sehen?|Konntst auch die Lumpen beim Leuchten der Zigarren sehen?
tom_sawyer_14_f000048|Dies verwirrte Huck für enen Augenblick. Dann sagte er: Ja, ich weiß nicht - aber es schien mir wenigsten so.|Dies verwirrte Huck für enen Augenblick. Dann sagte er: Ja, ich weiß nicht - aber es schien mir wenigsten so.
tom_sawyer_14_f000049|Dann gingen sie weiter, und du - ?|Dann gingen sie weiter, und du - ?
tom_sawyer_14_f000050|Folgte ihnen - ja, es war so. Wollte doch sehen, was sie vorhätten - sie schlichen so verdächtig davon.|Folgte ihnen - ja, es war so. Wollte doch sehen, was sie vorhätten - sie schlichen so verdächtig davon.
tom_sawyer_14_f000051|Ich folgte ihnen bis zum Garten der Witwe und stand dort im Dunkeln und hörte den Zerlumpten für die Witwe bitten,|Ich folgte ihnen bis zum Garten der Witwe und stand dort im Dunkeln und hörte den Zerlumpten für die Witwe bitten,
tom_sawyer_14_f000052|und der Spanier schwor, er wollte der Witwe die Nasenlöcher aufschneiden;|und der Spanier schwor, er wollte der Witwe die Nasenlöcher aufschneiden;
tom_sawyer_14_f000053|gerade so wie iches Euch sagte und Euren - Was, all das sagte der taubstumme Mann!|gerade so wie iches Euch sagte und Euren - Was, all das sagte der taubstumme Mann!
tom_sawyer_14_f000054|Huck hatte wieder einen schrecklichen Mißgriff begangen.|Huck hatte wieder einen schrecklichen Mißgriff begangen.
tom_sawyer_14_f000055|Er hatte sich die größtmöglichste Mühe gegeben, den Alten nicht erraten zu lassen, wer der Spanier sei,|Er hatte sich die größtmöglichste Mühe gegeben, den Alten nicht erraten zu lassen, wer der Spanier sei,
tom_sawyer_14_f000056|und doch schien ihn seine Zunge trotz aller Vorsicht in Ungelegenheiten bringen zu wollen.|und doch schien ihn seine Zunge trotz aller Vorsicht in Ungelegenheiten bringen zu wollen.
tom_sawyer_14_f000057|Er machte krampfhafte Anstrengungen, aus seiner Verwirrung herauszukommen, aber das Auge des alten Mannes haftete auf ihm, schärfer und immer schärfer.|Er machte krampfhafte Anstrengungen, aus seiner Verwirrung herauszukommen, aber das Auge des alten Mannes haftete auf ihm, schärfer und immer schärfer.
tom_sawyer_14_f000058|Plötzlich sagte der Walliser: Mein guter Junge, brauchst dich nicht vor mir zu fürchten, möchte um alles in der Welt nicht ein Haar auf deinem Haupte krümmen.|Plötzlich sagte der Walliser: Mein guter Junge, brauchst dich nicht vor mir zu fürchten, möchte um alles in der Welt nicht ein Haar auf deinem Haupte krümmen.
tom_sawyer_14_f000059|Nein - ich würde dich beschützen - verlaß dich drauf.|Nein - ich würde dich beschützen - verlaß dich drauf.
tom_sawyer_14_f000060|Dieser Spanier ist nicht taubstumm. Da hast du dir was entschlüpfen lassen.|Dieser Spanier ist nicht taubstumm. Da hast du dir was entschlüpfen lassen.
tom_sawyer_14_f000061|Du weißt was über diesen Kerl, das du nicht verraten möchtest. Na, vertraue dich mir an - sage mir, was es ist, vertraue mir - werde dich nicht verraten!|Du weißt was über diesen Kerl, das du nicht verraten möchtest. Na, vertraue dich mir an - sage mir, was es ist, vertraue mir - werde dich nicht verraten!
tom_sawyer_14_f000062|Huck blickte in des alten Mannes ehrliche Augen, dann beugte er sich hinüber und flüsterte ihm ins Ohr: es ist kein Spanier - es ist der Indianer-Joe!|Huck blickte in des alten Mannes ehrliche Augen, dann beugte er sich hinüber und flüsterte ihm ins Ohr: es ist kein Spanier - es ist der Indianer-Joe!
tom_sawyer_14_f000063|Der Walliser fuhr fast von seinem Stuhl auf. Nach kurzer Pause sagte er dann: es ist jetzt klar genug.|Der Walliser fuhr fast von seinem Stuhl auf. Nach kurzer Pause sagte er dann: es ist jetzt klar genug.
tom_sawyer_14_f000064|Als du von Nasenaufschlitzen und Ohrenstutzen sprachst, dachte ich, es wär deine eigene Erfindung, denn kein Weißer übt so ene Rache.|Als du von Nasenaufschlitzen und Ohrenstutzen sprachst, dachte ich, es wär deine eigene Erfindung, denn kein Weißer übt so ene Rache.
tom_sawyer_14_f000065|Aber ein Indianer! Das ist freilich en großer Unterschied.|Aber ein Indianer! Das ist freilich en großer Unterschied.
tom_sawyer_14_f000066|Während des Frühstücks ging die Unterhaltung weiter, in deren Verlauf der Alte erwähnte, das letzte, was sie getan hatten,|Während des Frühstücks ging die Unterhaltung weiter, in deren Verlauf der Alte erwähnte, das letzte, was sie getan hatten,
tom_sawyer_14_f000067|bevor sie zu Bett gegangen seien, sei gewesen, mit einer Laterne die Kampfstelle nach Blutspuren zu untersuchen.|bevor sie zu Bett gegangen seien, sei gewesen, mit einer Laterne die Kampfstelle nach Blutspuren zu untersuchen.
tom_sawyer_14_f000068|Die hätten sie nicht gefunden, wohl aber ein dickes Bündel mit - Mit was?|Die hätten sie nicht gefunden, wohl aber ein dickes Bündel mit - Mit was?
tom_sawyer_14_f000069|Wären die Worte Blitze gewesen, sie hätten nicht schneller aus Hucks bleichen Lippen kommen können.|Wären die Worte Blitze gewesen, sie hätten nicht schneller aus Hucks bleichen Lippen kommen können.
tom_sawyer_14_f000070|Seine Augen waren weit aufgerissen, sein Atem stockte - indem er auf Antwort wartete.|Seine Augen waren weit aufgerissen, sein Atem stockte - indem er auf Antwort wartete.
tom_sawyer_14_f000071|Der Walliser stutzte - zögerte mit der Antwort - drei Sekunden - fünf Sekunden - zehn - dann endlich entgegnete er: Mit Einbrecherwerkzeug. - Nanu, was ists mit dir?|Der Walliser stutzte - zögerte mit der Antwort - drei Sekunden - fünf Sekunden - zehn - dann endlich entgegnete er: Mit Einbrecherwerkzeug. - Nanu, was ists mit dir?
tom_sawyer_14_f000072|Huck sank nieder, sein Herz klopfte stürmisch, aber er war dankerfüllt, unsagbar dankerfüllt.|Huck sank nieder, sein Herz klopfte stürmisch, aber er war dankerfüllt, unsagbar dankerfüllt.
tom_sawyer_14_f000073|Der Walliser sah ihn wieder scharf an, erstaunt, und sagte: Ja - Einbrecherwerkzeug.|Der Walliser sah ihn wieder scharf an, erstaunt, und sagte: Ja - Einbrecherwerkzeug.
tom_sawyer_14_f000074|Schien dich mächtig zu freun. Aber was geht das dich an? Was dachtest du denn, was wir gefunden hätten?|Schien dich mächtig zu freun. Aber was geht das dich an? Was dachtest du denn, was wir gefunden hätten?
tom_sawyer_14_f000075|Huck saß schon wieder in der Klemme. Forschende Augen richteten sich wiederum auf ihn - alles hätte er für eine glaubliche Antwort gegeben.|Huck saß schon wieder in der Klemme. Forschende Augen richteten sich wiederum auf ihn - alles hätte er für eine glaubliche Antwort gegeben.
tom_sawyer_14_f000076|Nichts fiel ihm ein; die forschenden Augen drangen tiefer und tiefer - eine unsinnige Antwort drängte sich ihm auf - Zeit zur Überlegung gabes nicht,|Nichts fiel ihm ein; die forschenden Augen drangen tiefer und tiefer - eine unsinnige Antwort drängte sich ihm auf - Zeit zur Überlegung gabes nicht,
tom_sawyer_14_f000077|so stieß er auf gut Glück mit schwacher Stimme heraus:|so stieß er auf gut Glück mit schwacher Stimme heraus:
tom_sawyer_14_f000078|Sonntagsschulbücher, vielleicht - Der arme Huck war zu verwirrt, um lächeln zu können, aber der alte Mann lachte laut und vergnügt,|Sonntagsschulbücher, vielleicht - Der arme Huck war zu verwirrt, um lächeln zu können, aber der alte Mann lachte laut und vergnügt,
tom_sawyer_14_f000079|wurde von Kopf bis zu Fuß vom Lachen geschüttelt und sagte schließlich, so ein Lachen wäre gerade so gut wie bar Geld in der Tasche,|wurde von Kopf bis zu Fuß vom Lachen geschüttelt und sagte schließlich, so ein Lachen wäre gerade so gut wie bar Geld in der Tasche,
tom_sawyer_14_f000080|denn es mache jede Doktorrechnung überflüssig.|denn es mache jede Doktorrechnung überflüssig.
tom_sawyer_14_f000081|Dann fügte er hinzu: Kleiner Dummkopf, bist ja ganz blaß und zitterst; bist nicht wohl.|Dann fügte er hinzu: Kleiner Dummkopf, bist ja ganz blaß und zitterst; bist nicht wohl.
tom_sawyer_14_f000082|es ist kein Wunder, daß du ein wenig aus der Balanze bist. Aber sollst schon wieder ereinkommen. Ruhe und Schlaf wird dich wohl zurechtbringen - hoffe ich.|es ist kein Wunder, daß du ein wenig aus der Balanze bist. Aber sollst schon wieder ereinkommen. Ruhe und Schlaf wird dich wohl zurechtbringen - hoffe ich.
tom_sawyer_14_f000083|Huck ärgerte sich, daß er ein solcher Esel gewesen und solche Aufregung gezeigt hatte, hatte er doch seit dem Gespräch am Gartenzaun der Witwe ohnehin schon den Verdacht gehabt,|Huck ärgerte sich, daß er ein solcher Esel gewesen und solche Aufregung gezeigt hatte, hatte er doch seit dem Gespräch am Gartenzaun der Witwe ohnehin schon den Verdacht gehabt,
tom_sawyer_14_f000084|daß jenes Bündel, das er vom Wirtshaus hatte forttragen sehen, gar nicht sein Schatz gewesen sei.|daß jenes Bündel, das er vom Wirtshaus hatte forttragen sehen, gar nicht sein Schatz gewesen sei.
tom_sawyer_14_f000085|Indessen hatte er das doch nur vermutet, gewußt hatte er es nicht; und so war die Erwähnung von der Auffindung des Bündels zuviel gewesen für seine Selbstbeherrschung.|Indessen hatte er das doch nur vermutet, gewußt hatte er es nicht; und so war die Erwähnung von der Auffindung des Bündels zuviel gewesen für seine Selbstbeherrschung.
tom_sawyer_14_f000086|Da er nun aber volle Gewißheit hatte, beruhigte er sich bald und wurde ganz vergnügt.|Da er nun aber volle Gewißheit hatte, beruhigte er sich bald und wurde ganz vergnügt.
tom_sawyer_14_f000087|Der Schatz mußte noch in Nummer zwei sein, die Kerle würden wohl noch am gleichen Tage erwischt werden,|Der Schatz mußte noch in Nummer zwei sein, die Kerle würden wohl noch am gleichen Tage erwischt werden,
tom_sawyer_14_f000088|so konnten er und Tom ohne alle Angst oder Furcht vor Überraschung nachts das Geld abholen.|so konnten er und Tom ohne alle Angst oder Furcht vor Überraschung nachts das Geld abholen.
tom_sawyer_14_f000089|Gerade war das Frühstück beendet, da klopfte es an die Tür.|Gerade war das Frühstück beendet, da klopfte es an die Tür.
tom_sawyer_14_f000090|Huck sprang schnell in ein Versteck, denn er hatte gar keine Lust, mit den letzten Ereignissen in Verbindung gebracht zu werden.|Huck sprang schnell in ein Versteck, denn er hatte gar keine Lust, mit den letzten Ereignissen in Verbindung gebracht zu werden.
tom_sawyer_14_f000091|Der Walliser ließ einige Damen und Herren ein, unter ihnen die Witwe Douglas, und sah dabei noch verschiedene Gruppen von Bürgern den Hügel heraufklettern,|Der Walliser ließ einige Damen und Herren ein, unter ihnen die Witwe Douglas, und sah dabei noch verschiedene Gruppen von Bürgern den Hügel heraufklettern,
tom_sawyer_14_f000092|um sich den Schauplatz anzusehen.|um sich den Schauplatz anzusehen.
tom_sawyer_14_f000093|So war also die Sache schon allgemein bekannt. Er mußte den Besuchern die Geschichte der Nacht erzählen, worauf sich die Witwe Douglas bei ihm bedankte.|So war also die Sache schon allgemein bekannt. Er mußte den Besuchern die Geschichte der Nacht erzählen, worauf sich die Witwe Douglas bei ihm bedankte.
tom_sawyer_14_f000094|Kein Wort davon, Madam. es ist noch en anderer da, dem Sie mehr zu danken haben als mir und meinen Jungen, denke ich; aber er hates mir nicht erlaubt, seinen Namen zu sagen.|Kein Wort davon, Madam. es ist noch en anderer da, dem Sie mehr zu danken haben als mir und meinen Jungen, denke ich; aber er hates mir nicht erlaubt, seinen Namen zu sagen.
tom_sawyer_14_f000095|Ohne ihn wären wir überhaupt gar nicht dazu gekommen.|Ohne ihn wären wir überhaupt gar nicht dazu gekommen.
tom_sawyer_14_f000096|Dies rief solche Neugier hervor, daß schließlich die Hauptsache darüber vergessen wurde;|Dies rief solche Neugier hervor, daß schließlich die Hauptsache darüber vergessen wurde;
tom_sawyer_14_f000097|aber der Walliser ließ seine Besucher sich ruhig die Köpfe zerbrechen und behielt sein Geheimnis für sich, auch als das ganze Dorf von der Sache erfuhr.|aber der Walliser ließ seine Besucher sich ruhig die Köpfe zerbrechen und behielt sein Geheimnis für sich, auch als das ganze Dorf von der Sache erfuhr.
tom_sawyer_14_f000098|Nachdem alle Einzelheiten erörtert waren, sagte die Witwe: Ich las noch vorm Einschlafen im Bett, dann schlief ich so fest, daß ich von all dem Lärm nichts hörte.|Nachdem alle Einzelheiten erörtert waren, sagte die Witwe: Ich las noch vorm Einschlafen im Bett, dann schlief ich so fest, daß ich von all dem Lärm nichts hörte.
tom_sawyer_14_f000099|Warum haben Sie mich nicht geweckt?|Warum haben Sie mich nicht geweckt?
tom_sawyer_14_f000100|Hieltenes nicht für nötig. Die Schufte würden doch nicht wiederkommen, würden sich wohl gehütet haben; wozu also Sie wecken und zu Tode erschrecken?|Hieltenes nicht für nötig. Die Schufte würden doch nicht wiederkommen, würden sich wohl gehütet haben; wozu also Sie wecken und zu Tode erschrecken?
tom_sawyer_14_f000101|Übrigens haben meine drei Nigger die ganze Nacht vor Ihrem Haus Wache gehalten.|Übrigens haben meine drei Nigger die ganze Nacht vor Ihrem Haus Wache gehalten.
tom_sawyer_14_f000102|Da kommen sie gerade zurück.|Da kommen sie gerade zurück.
tom_sawyer_14_f000103|Noch mehr Besucher kamen, und die Geschichte mußte während mehrerer Stunden wieder und immer wieder erzählt werden.|Noch mehr Besucher kamen, und die Geschichte mußte während mehrerer Stunden wieder und immer wieder erzählt werden.
tom_sawyer_14_f000104|Während der Schulferien fiel auch die Sonntagsschule aus, trotzdem war heut alles frühzeitig in der Kirche.|Während der Schulferien fiel auch die Sonntagsschule aus, trotzdem war heut alles frühzeitig in der Kirche.
tom_sawyer_14_f000105|Das aufregende Ereignis wurde lebhaft erörtert. Es wurde erzählt, daß noch keine Spur von den Landstreichern gefunden worden sei.|Das aufregende Ereignis wurde lebhaft erörtert. Es wurde erzählt, daß noch keine Spur von den Landstreichern gefunden worden sei.
tom_sawyer_14_f000106|Als die Predigt zu Ende war, ging die Frau des Richters Thatcher auf Frau Harper zu, die mit der großen Menge den Gang hinunterschritt, und sagte:|Als die Predigt zu Ende war, ging die Frau des Richters Thatcher auf Frau Harper zu, die mit der großen Menge den Gang hinunterschritt, und sagte:
tom_sawyer_14_f000107|Will meine Becky denn den ganzen Tag schlafen?|Will meine Becky denn den ganzen Tag schlafen?
tom_sawyer_14_f000108|Habs mir aber wohl gedacht, daß sie todmüde sein würde.|Habs mir aber wohl gedacht, daß sie todmüde sein würde.
tom_sawyer_14_f000109|Ihre Becky?|Ihre Becky?
tom_sawyer_14_f000110|Freilich. Mit erschrockenem Blick: Blieb sie denn abends nicht bei Ihnen?|Freilich. Mit erschrockenem Blick: Blieb sie denn abends nicht bei Ihnen?
tom_sawyer_14_f000111|Bewahre.|Bewahre.
tom_sawyer_14_f000112|Mrs. Thatcher wurde leichenblaß und sank auf eine Bank in dem Augenblick, als Tante Polly, mit einer Bekannten sich unterhaltend, vorbeikam.|Mrs. Thatcher wurde leichenblaß und sank auf eine Bank in dem Augenblick, als Tante Polly, mit einer Bekannten sich unterhaltend, vorbeikam.
tom_sawyer_14_f000113|Guten Morgen, Mrs. Thatcher, sagte sie, guten Morgen, Mrs.|Guten Morgen, Mrs. Thatcher, sagte sie, guten Morgen, Mrs.
tom_sawyer_14_f000114|Harper. Habe wieder mal enen verlorenen Jungen. Denke wohl, Tom ist die Nacht im Haus von einer von Ihnen geblieben.|Harper. Habe wieder mal enen verlorenen Jungen. Denke wohl, Tom ist die Nacht im Haus von einer von Ihnen geblieben.
tom_sawyer_14_f000115|Nun hat er Angst, in die Kirche zu kommen. Werde wieder mal Abrechnung halten müssen mit ihm.|Nun hat er Angst, in die Kirche zu kommen. Werde wieder mal Abrechnung halten müssen mit ihm.
tom_sawyer_14_f000116|Frau Thatcher schüttelte schwach den Kopf und wurde noch blasser.|Frau Thatcher schüttelte schwach den Kopf und wurde noch blasser.
tom_sawyer_14_f000117|Bei uns ist er nicht gewesen, sagte unsicher Frau Harper.|Bei uns ist er nicht gewesen, sagte unsicher Frau Harper.
tom_sawyer_14_f000118|In Tante Pollys Gesicht zeigte sich merkliche Unruhe. Joe Harper, hast du meinen Tom diesen Morgen schon gesehen?|In Tante Pollys Gesicht zeigte sich merkliche Unruhe. Joe Harper, hast du meinen Tom diesen Morgen schon gesehen?
tom_sawyer_14_f000119|Nein, Maem.|Nein, Maem.
tom_sawyer_14_f000120|Wann hast du ihn zuletzt gesehen?|Wann hast du ihn zuletzt gesehen?
tom_sawyer_14_f000121|Joe versuchte sich zu erinnern, konntes aber nicht bestimmt sagen.|Joe versuchte sich zu erinnern, konntes aber nicht bestimmt sagen.
tom_sawyer_14_f000122|Die Leute blieben allmählich, neugierig geworden, stehen.|Die Leute blieben allmählich, neugierig geworden, stehen.
tom_sawyer_14_f000123|Geflüster entstand, lebhafte Erregung verbreitete sich unter ihnen, Kinder wurden ängstlich ausgehorcht, auch die jungen Wächter.|Geflüster entstand, lebhafte Erregung verbreitete sich unter ihnen, Kinder wurden ängstlich ausgehorcht, auch die jungen Wächter.
tom_sawyer_14_f000124|Alle sagten sie, sie hätten nicht acht gegeben, ob Tom und Becky bei der Heimfahrt an Bord gewesen seien;|Alle sagten sie, sie hätten nicht acht gegeben, ob Tom und Becky bei der Heimfahrt an Bord gewesen seien;
tom_sawyer_14_f000125|es war dunkel gewesen und niemand hatte daran gedacht, sich zu vergewissern, ob auch jemand fehle.|es war dunkel gewesen und niemand hatte daran gedacht, sich zu vergewissern, ob auch jemand fehle.
tom_sawyer_14_f000126|Schließlich platzte ein junger Mann damit heraus, sie möchten noch in der Höhle stecken! Frau Thatcher fiel in Ohnmacht, Tante Polly begann zu weinen und die Hände zu ringen.|Schließlich platzte ein junger Mann damit heraus, sie möchten noch in der Höhle stecken! Frau Thatcher fiel in Ohnmacht, Tante Polly begann zu weinen und die Hände zu ringen.
tom_sawyer_14_f000127|Die schrecklichen Worte gingen von Mund zu Mund, von Gruppe zu Gruppe, von Straße zu Straße, und in nicht ganz fünf Minuten hallten die Glocken wild,|Die schrecklichen Worte gingen von Mund zu Mund, von Gruppe zu Gruppe, von Straße zu Straße, und in nicht ganz fünf Minuten hallten die Glocken wild,
tom_sawyer_14_f000128|und die ganze Ortschaft war in Aufregung.|und die ganze Ortschaft war in Aufregung.
tom_sawyer_14_f000129|Die Geschichte von Cardiff Hill wurde zur gleichgültigen Episode, die Einbrecher waren vergessen, Pferde wurden gesattelt,|Die Geschichte von Cardiff Hill wurde zur gleichgültigen Episode, die Einbrecher waren vergessen, Pferde wurden gesattelt,
tom_sawyer_14_f000130|Boote bemannt, das Dampfboot instandgesetzt, und ehe der allgemeine Schreck eine halbe Stunde alt geworden,|Boote bemannt, das Dampfboot instandgesetzt, und ehe der allgemeine Schreck eine halbe Stunde alt geworden,
tom_sawyer_14_f000131|waren zweihundert Mann unterwegs, über den Fluß und auf dem Wege zur Höhle.|waren zweihundert Mann unterwegs, über den Fluß und auf dem Wege zur Höhle.
tom_sawyer_14_f000132|Den ganzen langen Nachmittag schien das Dorf tot und verlassen.|Den ganzen langen Nachmittag schien das Dorf tot und verlassen.
tom_sawyer_14_f000133|Eine Menge Frauen besuchten Tante Polly und Frau Thatcher, und versuchten, sie zu trösten. Oder sie weinten mit ihnen - und das war noch besser als alle Worte.|Eine Menge Frauen besuchten Tante Polly und Frau Thatcher, und versuchten, sie zu trösten. Oder sie weinten mit ihnen - und das war noch besser als alle Worte.
tom_sawyer_14_f000134|Während der ganzen schrecklichen Nacht warteten die Frauen auf Nachricht;|Während der ganzen schrecklichen Nacht warteten die Frauen auf Nachricht;
tom_sawyer_14_f000135|aber als schließlich der Morgen graute, bekam man nichts zu hören als: Schickt mehr Kerzen und Lebensmittel Frau Thatcher war völlig verzweifelt, Tante Polly nicht weniger.|aber als schließlich der Morgen graute, bekam man nichts zu hören als: Schickt mehr Kerzen und Lebensmittel Frau Thatcher war völlig verzweifelt, Tante Polly nicht weniger.
tom_sawyer_14_f000136|Richter Thatcher schickte hoffnungsvolle Botschaften aus der Höhle, aber sie brachten keine rechte Erleichterung.|Richter Thatcher schickte hoffnungsvolle Botschaften aus der Höhle, aber sie brachten keine rechte Erleichterung.
tom_sawyer_14_f000137|Gegen Morgen kam der alte Walliser, mit Lehm und Wachs beschmiert, nach Hause, zu Tode erschöpft.|Gegen Morgen kam der alte Walliser, mit Lehm und Wachs beschmiert, nach Hause, zu Tode erschöpft.
tom_sawyer_14_f000138|Er fand Huck noch im Bett, das für ihn hergerichtet worden war, und im Fieber irreredend.|Er fand Huck noch im Bett, das für ihn hergerichtet worden war, und im Fieber irreredend.
tom_sawyer_14_f000139|Die Ärzte waren alle in der Höhle, so kam die Witwe Douglas, um sich nach dem Patienten umzusehen.|Die Ärzte waren alle in der Höhle, so kam die Witwe Douglas, um sich nach dem Patienten umzusehen.
tom_sawyer_14_f000140|Sie sagte, sie wolle ihr Bestes für ihn tun, denn, ob er nun gut, schlecht oder keins von beiden sei, er sei Gottes Geschöpf, und nichts, was von Gott sei, dürfe man mißachten.|Sie sagte, sie wolle ihr Bestes für ihn tun, denn, ob er nun gut, schlecht oder keins von beiden sei, er sei Gottes Geschöpf, und nichts, was von Gott sei, dürfe man mißachten.
tom_sawyer_14_f000141|Der Walliser meinte, Huck habe wohl gute Seiten, worauf die Witwe entgegnete: Sie können sich darauf verlassen.|Der Walliser meinte, Huck habe wohl gute Seiten, worauf die Witwe entgegnete: Sie können sich darauf verlassen.
tom_sawyer_14_f000142|Er trägt des Herren Mal an sich. Er wird ihn nie verlassen. Er tutes nie. Er vergißt keine Kreatur, die von ihm stammt.|Er trägt des Herren Mal an sich. Er wird ihn nie verlassen. Er tutes nie. Er vergißt keine Kreatur, die von ihm stammt.
tom_sawyer_14_f000143|Früh am Vormittag kamen einzelne Trupps von Männern ins Dorf zurück, die meisten aber suchten noch immer weiter.|Früh am Vormittag kamen einzelne Trupps von Männern ins Dorf zurück, die meisten aber suchten noch immer weiter.
tom_sawyer_14_f000144|Alles, was zu berichten war, war, daß man so weit wie noch nie jemand in die Höhle vorgedrungen sei; daß jeder Winkel, jede Spalte aufs sorgfältigste abgesucht worden sei.|Alles, was zu berichten war, war, daß man so weit wie noch nie jemand in die Höhle vorgedrungen sei; daß jeder Winkel, jede Spalte aufs sorgfältigste abgesucht worden sei.
tom_sawyer_14_f000145|Wo man auch gehe in den Irrgängen, überall könne man Lichter nah und fern hin und her huschen sehen;|Wo man auch gehe in den Irrgängen, überall könne man Lichter nah und fern hin und her huschen sehen;
tom_sawyer_14_f000146|Rufe und Pistolenschüsse hätten ihren Schall bis in die tiefsten Gänge hinuntergesandt.|Rufe und Pistolenschüsse hätten ihren Schall bis in die tiefsten Gänge hinuntergesandt.
tom_sawyer_14_f000147|An einer Stelle, fern von dem gewöhnlich besuchten Teil, hatte man die Namen Becky und Tom mit Ruß an einem Felsen geschrieben gefunden, und nahe dabei ein beschmutztes Band.|An einer Stelle, fern von dem gewöhnlich besuchten Teil, hatte man die Namen Becky und Tom mit Ruß an einem Felsen geschrieben gefunden, und nahe dabei ein beschmutztes Band.
tom_sawyer_14_f000148|Frau Thatcher erkannte das Band und brach in Tränen aus.|Frau Thatcher erkannte das Band und brach in Tränen aus.
