reisenachtilsit_1_f000001|Die Reise nach Tilsit Eine litauische Geschichte Wilwischken liegt am Haff.|Die Reise nach Tilsit Eine litauische Geschichte Wilwischken liegt am Haff.
reisenachtilsit_3_f000031|Der Ansas sagt: Hier aber ist das Schönste und weist auf ein Schild, das die Aufschrift trägt: Konditorei von Dekomin.|Der Ansas sagt: Hier aber ist das Schönste und weist auf ein Schild, das die Aufschrift trägt: Konditorei von Dekomin.
reisenachtilsit_3_f000032|Und da ein kaltes Mittagsbrot nie ganz satt macht, so beschließen sie auch sogleich hineinzugehen und die leeren Stellen im Magen aufzufüllen.|Und da ein kaltes Mittagsbrot nie ganz satt macht, so beschließen sie auch sogleich hineinzugehen und die leeren Stellen im Magen aufzufüllen.
reisenachtilsit_3_f000033|Und wie sie eintreten, o Gott, was sieht die Indre da!|Und wie sie eintreten, o Gott, was sieht die Indre da!
reisenachtilsit_3_f000034|In einer langen, schmalen Stube, in der es kühl und halbdunkel ist, steht nicht weit von der Wand ein Tisch, der von einem Ende bis zum andern reicht und der ganz bedeckt ist mit Kuchen und Torten und sonstigen Süßigkeiten aller Art.|In einer langen, schmalen Stube, in der es kühl und halbdunkel ist, steht nicht weit von der Wand ein Tisch, der von einem Ende bis zum andern reicht und der ganz bedeckt ist mit Kuchen und Torten und sonstigen Süßigkeiten aller Art.
reisenachtilsit_3_f000035|Da wollen wir nun schwelgen, sagt der Ansas und reckt sich.|Da wollen wir nun schwelgen, sagt der Ansas und reckt sich.
reisenachtilsit_3_f000036|Aber sie traut sich noch nicht, und er muß ihr die Stücke einzeln auf den Teller legen.|Aber sie traut sich noch nicht, und er muß ihr die Stücke einzeln auf den Teller legen.
reisenachtilsit_3_f000037|Auch einen schönen Rosenlikör bestellt er.|Auch einen schönen Rosenlikör bestellt er.
reisenachtilsit_3_f000038|Der ist süß wie der Himmel und klebt an den Fingern, so daß man immerzu nachlecken muß.|Der ist süß wie der Himmel und klebt an den Fingern, so daß man immerzu nachlecken muß.
reisenachtilsit_3_f000039|Darf ich auch den Kindern was mitbringen? fragt sie.|Darf ich auch den Kindern was mitbringen? fragt sie.
reisenachtilsit_3_f000040|Nun, das versteht sich, sagt er und lacht.|Nun, das versteht sich, sagt er und lacht.
reisenachtilsit_3_f000041|Da sticht ihr plötzlich der Gedanke ins Herz, daß sie die Kinder vielleicht niemals mehr sehen wird.|Da sticht ihr plötzlich der Gedanke ins Herz, daß sie die Kinder vielleicht niemals mehr sehen wird.
reisenachtilsit_3_f000042|Ganz abgeängstigt blickt sie ihn an und siehe da!|Ganz abgeängstigt blickt sie ihn an und siehe da!
reisenachtilsit_3_f000043|auch sein Gesicht hat sich verändert.|auch sein Gesicht hat sich verändert.
reisenachtilsit_3_f000044|Der Mund steht ihm offen, ganz hohl sind die Backen, und die Augen schielen an ihr vorbei.|Der Mund steht ihm offen, ganz hohl sind die Backen, und die Augen schielen an ihr vorbei.
reisenachtilsit_3_f000045|Es wird doch geschehen, denkt sie und legt den Teelöffel hin, ißt auch nicht einen Bissen mehr; nur die Krumen, die rings um den Teller verstreut auf dem Steintisch liegen, wischt sie mit den Fingerspitzen auf und denkt dabei ja, was denkt sie?|Es wird doch geschehen, denkt sie und legt den Teelöffel hin, ißt auch nicht einen Bissen mehr; nur die Krumen, die rings um den Teller verstreut auf dem Steintisch liegen, wischt sie mit den Fingerspitzen auf und denkt dabei ja, was denkt sie?
reisenachtilsit_3_f000046|Nichts denkt sie. Und auch er sitzt da wie vor den Kopf geschlagen und redet kein Wort.|Nichts denkt sie. Und auch er sitzt da wie vor den Kopf geschlagen und redet kein Wort.
reisenachtilsit_3_f000047|Also wird es doch geschehen! Dann, wie er aufsteht, sagt er: Nun laß dir einpacken.|Also wird es doch geschehen! Dann, wie er aufsteht, sagt er: Nun laß dir einpacken.
reisenachtilsit_3_f000048|Aber sie kann nicht. Bring du es ihnen, sagt sie, und er tritt an den Tisch und sucht aus.|Aber sie kann nicht. Bring du es ihnen, sagt sie, und er tritt an den Tisch und sucht aus.
reisenachtilsit_3_f000049|Aber er weiß nicht, was er aussucht, denn seine Augen gehen immer nach ihr zurück, als will er was sagen und traut sich nicht.|Aber er weiß nicht, was er aussucht, denn seine Augen gehen immer nach ihr zurück, als will er was sagen und traut sich nicht.
reisenachtilsit_3_f000050|Dann, wie sie wieder auf die Straße hinaustreten, die von der Nachmittagssonne geheizt ist wie ein Backofen, gibt er sich einen Ruck und fängt von neuem mit dem Erklären an.|Dann, wie sie wieder auf die Straße hinaustreten, die von der Nachmittagssonne geheizt ist wie ein Backofen, gibt er sich einen Ruck und fängt von neuem mit dem Erklären an.
reisenachtilsit_3_f000051|Dies ist das und jenes ist das.|Dies ist das und jenes ist das.
reisenachtilsit_3_f000052|Aber sie hört kaum mehr hin.|Aber sie hört kaum mehr hin.
reisenachtilsit_3_f000053|Ganz benommen ist sie von neuer Angst.|Ganz benommen ist sie von neuer Angst.
reisenachtilsit_3_f000054|Die kommt und geht, wie die Haffwellen ans Ufer schlagen.|Die kommt und geht, wie die Haffwellen ans Ufer schlagen.
reisenachtilsit_3_f000055|Dann stehen sie vor einem Kurzwarenladen, in dessen Schaufenster auch Kindersachen ausliegen.|Dann stehen sie vor einem Kurzwarenladen, in dessen Schaufenster auch Kindersachen ausliegen.
reisenachtilsit_3_f000056|Wir wollen ereingehen, sagt sie.|Wir wollen ereingehen, sagt sie.
reisenachtilsit_3_f000057|Du kannst den Kindern ein Andenken mitbringen.|Du kannst den Kindern ein Andenken mitbringen.
reisenachtilsit_3_f000058|Andenken? An wen? fragt er und stottert dabei.|Andenken? An wen? fragt er und stottert dabei.
reisenachtilsit_3_f000059|An mich, sagt sie und sieht ihn fest an.|An mich, sagt sie und sieht ihn fest an.
reisenachtilsit_3_f000060|Da wird er wieder rot, wendet die Augen ab und fragt nichts weiter.|Da wird er wieder rot, wendet die Augen ab und fragt nichts weiter.
reisenachtilsit_3_f000061|Es wird also ganz sicher geschehen.|Es wird also ganz sicher geschehen.
reisenachtilsit_3_f000062|Sie sucht für den Endrik eine Wachstuchschürze mit roten Rändern, damit er sich nicht schmutzig macht, wenn er im Sand spielt; für die Elske eine blaue Kappe gegen die Sonne und für den kleinen Willus was kann es viel sein?|Sie sucht für den Endrik eine Wachstuchschürze mit roten Rändern, damit er sich nicht schmutzig macht, wenn er im Sand spielt; für die Elske eine blaue Kappe gegen die Sonne und für den kleinen Willus was kann es viel sein?
reisenachtilsit_3_f000063|ein Sabberschlabbchen, unter das Kinn zu binden.|ein Sabberschlabbchen, unter das Kinn zu binden.
reisenachtilsit_3_f000064|Vielleicht werden doch noch einmal Pfarrerbäffchen daraus, denkt sie und verbeißt ihre Tränen.|Vielleicht werden doch noch einmal Pfarrerbäffchen daraus, denkt sie und verbeißt ihre Tränen.
reisenachtilsit_3_f000065|Der junge Mann, der die Sachen einwickelt, sagt zu Ansas gewandt: Vielleicht haben Sie auch für die Frau Gemahlin einen Wunsch.|Der junge Mann, der die Sachen einwickelt, sagt zu Ansas gewandt: Vielleicht haben Sie auch für die Frau Gemahlin einen Wunsch.
reisenachtilsit_3_f000066|Er steht verlegen und geschmeichelt, weil man die Indre eine Frau Gemahlin nennt, was von einer litauischen Fischersfrau wohl nicht häufig gesagt wird.|Er steht verlegen und geschmeichelt, weil man die Indre eine Frau Gemahlin nennt, was von einer litauischen Fischersfrau wohl nicht häufig gesagt wird.
reisenachtilsit_3_f000067|Und der junge Mann fährt fort: Vielleicht darf ich auf unsere echten Schleiertücher aufmerksam machen, denn, wenn ich mir die Bemerkung erlauben darf, das, welches die Frau Gemahlin augenblicklich trägt, ist etwas durchgeschwitzt.|Und der junge Mann fährt fort: Vielleicht darf ich auf unsere echten Schleiertücher aufmerksam machen, denn, wenn ich mir die Bemerkung erlauben darf, das, welches die Frau Gemahlin augenblicklich trägt, ist etwas durchgeschwitzt.
reisenachtilsit_3_f000068|Indre erschrickt und sucht einen Spiegel, denn noch hat sie nicht den Mut gehabt, sich irgendwo zu besehen.|Indre erschrickt und sucht einen Spiegel, denn noch hat sie nicht den Mut gehabt, sich irgendwo zu besehen.
reisenachtilsit_3_f000069|Und der junge Mann breitet eilig seine Gewebe aus.|Und der junge Mann breitet eilig seine Gewebe aus.
reisenachtilsit_3_f000070|Die sind rein wie aus Spinnweben gemacht und haben Muster wie die schönsten Mullgardinen.|Die sind rein wie aus Spinnweben gemacht und haben Muster wie die schönsten Mullgardinen.
reisenachtilsit_3_f000071|Ansas wählt das teuerste von allen er getraut sich gar nicht, ihr zu sagen, wie teuer es ist –, und der junge Mann führt sie vor eine Wand, die ganz und gar ein Spiegel ist.|Ansas wählt das teuerste von allen er getraut sich gar nicht, ihr zu sagen, wie teuer es ist -, und der junge Mann führt sie vor eine Wand, die ganz und gar ein Spiegel ist.
reisenachtilsit_3_f000072|Wie sie das Tuch am Halse geknotet hat, so daß es die Ohren bedeckt und die Augen verschattet, da weiß er sich vor Entzücken gar nicht zu lassen.|Wie sie das Tuch am Halse geknotet hat, so daß es die Ohren bedeckt und die Augen verschattet, da weiß er sich vor Entzücken gar nicht zu lassen.
reisenachtilsit_3_f000073|Nein, wie schön die Frau Gemahlin ist!|Nein, wie schön die Frau Gemahlin ist!
reisenachtilsit_3_f000074|ruft er einmal über das andere.|ruft er einmal über das andere.
reisenachtilsit_3_f000075|Nie hat dieser Spiegel etwas Schöneres gesehen!|Nie hat dieser Spiegel etwas Schöneres gesehen!
reisenachtilsit_3_f000076|Und sie bemerkt fast erschrocken, wie der Ansas sich freut.|Und sie bemerkt fast erschrocken, wie der Ansas sich freut.
reisenachtilsit_3_f000077|Im Rausgehen wendet er sich noch einmal um und fragt den jungen Mann, ob er wohl weiß, wie die Züge gehen.|Im Rausgehen wendet er sich noch einmal um und fragt den jungen Mann, ob er wohl weiß, wie die Züge gehen.
reisenachtilsit_3_f000078|Zur Ankunft oder zur Abfahrt? fragt der junge Mann.|Zur Ankunft oder zur Abfahrt? fragt der junge Mann.
reisenachtilsit_3_f000079|Und Ansas meint, das wäre ganz gleich.|Und Ansas meint, das wäre ganz gleich.
reisenachtilsit_3_f000080|Da lächelt der junge Mann und sagt, bald nach viere komme einer an, und gegen sechse fahre einer ab.|Da lächelt der junge Mann und sagt, bald nach viere komme einer an, und gegen sechse fahre einer ab.
reisenachtilsit_3_f000081|Man habe also die Auswahl. Ansas bedankt sich und sagt, als sie draußen sind: Wir wollen lieber die Abfahrt nehmen, denn da sieht man ihn in der Ferne verschwinden.|Man habe also die Auswahl. Ansas bedankt sich und sagt, als sie draußen sind: Wir wollen lieber die Abfahrt nehmen, denn da sieht man ihn in der Ferne verschwinden.
reisenachtilsit_3_f000082|Aber bis sechs ist noch viel Zeit.|Aber bis sechs ist noch viel Zeit.
reisenachtilsit_3_f000083|Was kann man da machen? Der Indre ist alles egal.|Was kann man da machen? Der Indre ist alles egal.
reisenachtilsit_3_f000084|Sie denkt bloß: Wenn es doch geschehen soll, warum hat er dann noch so viel Geld für mich ausgegeben?|Sie denkt bloß: Wenn es doch geschehen soll, warum hat er dann noch so viel Geld für mich ausgegeben?
reisenachtilsit_3_f000085|Und in ihr Herz kommt wieder einmal die Hoffnung zurück.|Und in ihr Herz kommt wieder einmal die Hoffnung zurück.
reisenachtilsit_3_f000086|Ansas ist vor einer Mauer stehen geblieben, auf der ein Zettel klebt: JAKOBSRUH heute vier Uhr GROSSES MILITÄRKONZERT ausgeführt von der Kapelle des litauischen Dragonerregiments Prinz Albrecht.|Ansas ist vor einer Mauer stehen geblieben, auf der ein Zettel klebt: JAKOBSRUH heute vier Uhr GROSSES MILITÄRKONZERT ausgeführt von der Kapelle des litauischen Dragonerregiments Prinz Albrecht.
reisenachtilsit_3_f000087|Und darunter steht alles gedruckt, was sie spielen werden.|Und darunter steht alles gedruckt, was sie spielen werden.
reisenachtilsit_3_f000088|Der Stein in Indres Brust ist nun ganz leicht geworden; kaum zu fühlen ist er.|Der Stein in Indres Brust ist nun ganz leicht geworden; kaum zu fühlen ist er.
reisenachtilsit_3_f000089|Aber sie hat Zweifel, ob bei einem solchen Vergnügen, das augenscheinlich für die Deutschen bestimmt ist, auch Litauer zugegen sein dürfen und dazu noch in ihrer Landestracht.|Aber sie hat Zweifel, ob bei einem solchen Vergnügen, das augenscheinlich für die Deutschen bestimmt ist, auch Litauer zugegen sein dürfen und dazu noch in ihrer Landestracht.
reisenachtilsit_3_f000090|Aber Ansas lacht sie aus.|Aber Ansas lacht sie aus.
reisenachtilsit_3_f000091|Wer sein Eintrittsgeld bezahlt, ist eingeladen, gleichgültig ob er wokiszkai spricht oder lietuwiszkai.|Wer sein Eintrittsgeld bezahlt, ist eingeladen, gleichgültig ob er wokiszkai spricht oder lietuwiszkai.
reisenachtilsit_3_f000092|Indre zweifelt noch immer, und nur der Gedanke, daß es ja ein litauisches Dragonerregiment ist, welches die Musiker hergibt, macht ihr Schamhaftigkeit etwas geringer.|Indre zweifelt noch immer, und nur der Gedanke, daß es ja ein litauisches Dragonerregiment ist, welches die Musiker hergibt, macht ihr Schamhaftigkeit etwas geringer.
reisenachtilsit_3_f000093|So fahren sie also in einer Droschke nach Jakobsruh, jenem Lustort, der bekanntlich so schön ist wie nichts auf der Welt.|So fahren sie also in einer Droschke nach Jakobsruh, jenem Lustort, der bekanntlich so schön ist wie nichts auf der Welt.
reisenachtilsit_3_f000094|Bäume, so hoch und schattengebend wie diese, hat Indre noch nie gesehen, auch nicht in Heydekrug und nicht in Memel.|Bäume, so hoch und schattengebend wie diese, hat Indre noch nie gesehen, auch nicht in Heydekrug und nicht in Memel.
reisenachtilsit_3_f000095|Am Haff, wo es nur kurze Weiden gibt und dünne Erlen, könnte man sich von einer solchen Blätterkirche erst recht keinen Begriff machen.|Am Haff, wo es nur kurze Weiden gibt und dünne Erlen, könnte man sich von einer solchen Blätterkirche erst recht keinen Begriff machen.
reisenachtilsit_3_f000096|Aber trotz ihrer Freude ist ihr vor dem fremden Orte noch bange genug, denn ringsum sitzen an rotgedeckten Tischen lauter städtische Herrenleute, und als Ansas vorangeht, einen Platz zu suchen, recken alle die Hälse und sehen hinter ihnen her.|Aber trotz ihrer Freude ist ihr vor dem fremden Orte noch bange genug, denn ringsum sitzen an rotgedeckten Tischen lauter städtische Herrenleute, und als Ansas vorangeht, einen Platz zu suchen, recken alle die Hälse und sehen hinter ihnen her.
reisenachtilsit_3_f000097|Es ist, um in die Erde zu sinken. Ansas dagegen fürchtet sich nicht im mindesten.|Es ist, um in die Erde zu sinken. Ansas dagegen fürchtet sich nicht im mindesten.
reisenachtilsit_3_f000098|Er findet auch gleich einen leeren Tisch, wischt mit dem Schnupftuch den Staub von den Stühlen und befiehlt einem feinen deutschen Herrn, ihm und ihr Kaffee und Kuchen zu bringen.|Er findet auch gleich einen leeren Tisch, wischt mit dem Schnupftuch den Staub von den Stühlen und befiehlt einem feinen deutschen Herrn, ihm und ihr Kaffee und Kuchen zu bringen.
reisenachtilsit_3_f000099|Genau so, wie es die anderen machen. So ein mutiger Mann ist der Ansas.|Genau so, wie es die anderen machen. So ein mutiger Mann ist der Ansas.
reisenachtilsit_3_f000100|Man fühlt sich gut geborgen bei ihm, und alle die Angst war ein Unsinn.|Man fühlt sich gut geborgen bei ihm, und alle die Angst war ein Unsinn.
reisenachtilsit_3_f000101|Nicht weit von ihnen ist eine kleine Halle aufgebaut mit dünnen Eisenständern und einem runden Dachchen darauf.|Nicht weit von ihnen ist eine kleine Halle aufgebaut mit dünnen Eisenständern und einem runden Dachchen darauf.
reisenachtilsit_3_f000102|Die füllt sich mit hellblauen Soldaten!|Die füllt sich mit hellblauen Soldaten!
reisenachtilsit_3_f000103|O Gott, so vielen und blanken Soldaten!|O Gott, so vielen und blanken Soldaten!
reisenachtilsit_3_f000104|Während es doch sonst nur drei oder vier schmutzige Vagabunden sind, die Musik machen.|Während es doch sonst nur drei oder vier schmutzige Vagabunden sind, die Musik machen.
reisenachtilsit_3_f000105|Zuerst kommt ein Stück, das heißt Der Rosenwalzer.|Zuerst kommt ein Stück, das heißt Der Rosenwalzer.
reisenachtilsit_3_f000106|So steht auf einem Blatt zu lesen, das Ansas von dem Kassierer gekauft hat.|So steht auf einem Blatt zu lesen, das Ansas von dem Kassierer gekauft hat.
reisenachtilsit_3_f000107|Wie das gespielt wird, ist es, als flöge man gleich in den Himmel.|Wie das gespielt wird, ist es, als flöge man gleich in den Himmel.
reisenachtilsit_3_f000108|Dicht vor den Musikern haben sich zwei Kinderchen gegenseitig um den Leib gefaßt und drehen sich im Tanze.|Dicht vor den Musikern haben sich zwei Kinderchen gegenseitig um den Leib gefaßt und drehen sich im Tanze.
reisenachtilsit_3_f000109|Da möchte man gleich mittanzen.|Da möchte man gleich mittanzen.
reisenachtilsit_3_f000110|Und hat sich doch vor einer Stunde noch in Todesnöten gewunden!|Und hat sich doch vor einer Stunde noch in Todesnöten gewunden!
reisenachtilsit_3_f000111|Wie das Stück zu Ende ist, klatschen alle, und auch die Indre klatscht.|Wie das Stück zu Ende ist, klatschen alle, und auch die Indre klatscht.
reisenachtilsit_3_f000112|Rings wird es still, und die Kaffeetassen klappern.|Rings wird es still, und die Kaffeetassen klappern.
reisenachtilsit_3_f000113|Ansas sitzt da und rührt sich nicht.|Ansas sitzt da und rührt sich nicht.
reisenachtilsit_3_f000114|Wie sie ihn etwas fragen will so gut ist sie schon wieder mit ihm –, da macht er ihr ein heimliches Zeichen nach links hin: Sie soll horchen.|Wie sie ihn etwas fragen will so gut ist sie schon wieder mit ihm -, da macht er ihr ein heimliches Zeichen nach links hin: Sie soll horchen.
reisenachtilsit_3_f000115|Am Nebentisch sprechen ein Herr und eine Dame von ihr.|Am Nebentisch sprechen ein Herr und eine Dame von ihr.
reisenachtilsit_3_f000116|Wenn eine Litauerin hübsch ist, ist sie viel hübscher als wir deutschen Frauen, sagt die Dame.|Wenn eine Litauerin hübsch ist, ist sie viel hübscher als wir deutschen Frauen, sagt die Dame.
reisenachtilsit_3_f000117|Und der Herr sagt: In ihrer blassen Lieblichkeit sieht sie aus wie eine Madonna von Und nun kommt ein Name, den sie nicht versteht.|Und der Herr sagt: In ihrer blassen Lieblichkeit sieht sie aus wie eine Madonna von Und nun kommt ein Name, den sie nicht versteht.
reisenachtilsit_3_f000118|Auch was das ist: Madonna, weiß sie nicht.|Auch was das ist: Madonna, weiß sie nicht.
reisenachtilsit_3_f000119|Für ihr Leben gern hätte sie den Ansas gefragt, der alles weiß, aber sie schämt sich.|Für ihr Leben gern hätte sie den Ansas gefragt, der alles weiß, aber sie schämt sich.
reisenachtilsit_3_f000120|Da fängt sie einen Blick des Ansas auf, mit dem er gleichsam zu ihr in die Höhe schaut, und nun weiß sie, was sie schon im Laden geahnt hat: Er ist stolz auf sie, und sie braucht nie mehr Angst zu haben.|Da fängt sie einen Blick des Ansas auf, mit dem er gleichsam zu ihr in die Höhe schaut, und nun weiß sie, was sie schon im Laden geahnt hat: Er ist stolz auf sie, und sie braucht nie mehr Angst zu haben.
reisenachtilsit_3_f000121|Dann hört die Pause auf, und es kommt ein neues Stück.|Dann hört die Pause auf, und es kommt ein neues Stück.
reisenachtilsit_3_f000122|Das heißt Zar und Zimmermann.|Das heißt Zar und Zimmermann.
reisenachtilsit_3_f000123|Der Zar ist der russische Kaiser.|Der Zar ist der russische Kaiser.
reisenachtilsit_3_f000124|Daß man von dem Musik macht, läßt sich begreifen.|Daß man von dem Musik macht, läßt sich begreifen.
reisenachtilsit_3_f000125|Warum aber ein Zimmermann zu solchen Ehren kommt, ein Mensch, der schmutzige Pluderhosen trägt und immerzu Balken abmißt, bleibt ein Rätsel.|Warum aber ein Zimmermann zu solchen Ehren kommt, ein Mensch, der schmutzige Pluderhosen trägt und immerzu Balken abmißt, bleibt ein Rätsel.
reisenachtilsit_3_f000126|Dann kommt ein drittes Stück, das wenig hübsch ist und bloß den Kopf müde macht.|Dann kommt ein drittes Stück, das wenig hübsch ist und bloß den Kopf müde macht.
reisenachtilsit_3_f000127|Das hat sich ein gewisser Beethoven ausgedacht. Aber dann kommt etwas!|Das hat sich ein gewisser Beethoven ausgedacht. Aber dann kommt etwas!
reisenachtilsit_3_f000128|Daß es so was Schönes auf Erden gibt, hat man selbst im Traum nicht für möglich gehalten.|Daß es so was Schönes auf Erden gibt, hat man selbst im Traum nicht für möglich gehalten.
reisenachtilsit_3_f000129|Es heißt: Die Post im Walde.|Es heißt: Die Post im Walde.
reisenachtilsit_3_f000130|Ein Trompeter ist vorher weggegangen und spielt die Melodie ganz leise und sehnsüchtig von weit, weit her, während die andern ihn ebenso leise begleiten.|Ein Trompeter ist vorher weggegangen und spielt die Melodie ganz leise und sehnsüchtig von weit, weit her, während die andern ihn ebenso leise begleiten.
reisenachtilsit_3_f000131|Man bleibt gar nicht Mensch, wenn man das hört!|Man bleibt gar nicht Mensch, wenn man das hört!
reisenachtilsit_3_f000132|Und weil die Fremden, die Deutschen, ringsum nicht sehen dürfen, wie sie sich hat, springt sie rasch auf und eilt durch den Haufen, der die Kapelle umgibt, und an vielen Tischen vorbei dorthin,|Und weil die Fremden, die Deutschen, ringsum nicht sehen dürfen, wie sie sich hat, springt sie rasch auf und eilt durch den Haufen, der die Kapelle umgibt, und an vielen Tischen vorbei dorthin,
reisenachtilsit_3_f000133|wo es einsam ist und wo hinter den Bäumen versteckt noch leere Bänke stehen.|wo es einsam ist und wo hinter den Bäumen versteckt noch leere Bänke stehen.
reisenachtilsit_3_f000134|Dort setzt sie sich hin, schiebt das neue Kopftuch aus den Augen, damit es nicht naß wird, und weint, und weint sich all die ach, all die ausgestandene Angst von der Seele.|Dort setzt sie sich hin, schiebt das neue Kopftuch aus den Augen, damit es nicht naß wird, und weint, und weint sich all die ach, all die ausgestandene Angst von der Seele.
reisenachtilsit_3_f000135|Und dann setzt sich einer neben sie und nimmt ihre Hand.|Und dann setzt sich einer neben sie und nimmt ihre Hand.
reisenachtilsit_3_f000136|Sie weiß natürlich, daß es der Ansas ist, aber sie ist vor Tränen ganz blind.|Sie weiß natürlich, daß es der Ansas ist, aber sie ist vor Tränen ganz blind.
reisenachtilsit_3_f000137|Sie lehnt den Kopf an seine Schulter und sagt immer schluchzend: Mein Ansuttis, mein Ansaschen, bitte, bitte, tu mir nichts, tu mir nichts.|Sie lehnt den Kopf an seine Schulter und sagt immer schluchzend: Mein Ansuttis, mein Ansaschen, bitte, bitte, tu mir nichts, tu mir nichts.
reisenachtilsit_3_f000138|Sie weiß, daß er ihr nun nichts mehr tun wird, aber sie kann nicht anders sie muß immerzu bitten.|Sie weiß, daß er ihr nun nichts mehr tun wird, aber sie kann nicht anders sie muß immerzu bitten.
reisenachtilsit_3_f000139|Er zittert am ganzen Leibe, hält ihre Hand fest und sagt einmal über das andere: Was redest du da nur?|Er zittert am ganzen Leibe, hält ihre Hand fest und sagt einmal über das andere: Was redest du da nur?
reisenachtilsit_3_f000140|Was redest du da nur? Sie sagt: Noch ist es nicht gut.|Was redest du da nur? Sie sagt: Noch ist es nicht gut.
reisenachtilsit_3_f000141|Ehe du es nicht gestehst, ist es noch nicht ganz gut.|Ehe du es nicht gestehst, ist es noch nicht ganz gut.
reisenachtilsit_3_f000142|Er sagt: Ich habe nichts zu gestehen.|Er sagt: Ich habe nichts zu gestehen.
reisenachtilsit_3_f000143|Und sie streichelt seinen Arm und sagt: Du wirst es schon noch gestehen.|Und sie streichelt seinen Arm und sagt: Du wirst es schon noch gestehen.
reisenachtilsit_3_f000144|Ich weiß, daß du es gestehen wirst.|Ich weiß, daß du es gestehen wirst.
reisenachtilsit_3_f000145|Er bleibt immer noch dabei, daß er nichts zu gestehen hat, und sie gibt sich zufrieden.|Er bleibt immer noch dabei, daß er nichts zu gestehen hat, und sie gibt sich zufrieden.
reisenachtilsit_3_f000146|Nur wenn sie daran denkt, daß daheim im Dorf die Busze sitzt und lauert, läuft es ihr ab und zu kalt über den Rücken.|Nur wenn sie daran denkt, daß daheim im Dorf die Busze sitzt und lauert, läuft es ihr ab und zu kalt über den Rücken.
reisenachtilsit_3_f000147|Mit aneinandergelegten Händen gehen sie zu ihrem Tische zurück und kümmern sich nicht mehr um die Leute, die nicht satt werden können, ihnen nachzusehen.|Mit aneinandergelegten Händen gehen sie zu ihrem Tische zurück und kümmern sich nicht mehr um die Leute, die nicht satt werden können, ihnen nachzusehen.
reisenachtilsit_3_f000148|Und weil nun ringsum die Kaffeetassen verschwunden sind und statt ihrer Biergläser stehen, bestellt sich Ansas auch was bei dem feinen Herrn aber kein Bier bestellt er, sondern eine Flasche süßen Muskatwein, wie ihn die Litauer lieben.|Und weil nun ringsum die Kaffeetassen verschwunden sind und statt ihrer Biergläser stehen, bestellt sich Ansas auch was bei dem feinen Herrn aber kein Bier bestellt er, sondern eine Flasche süßen Muskatwein, wie ihn die Litauer lieben.
reisenachtilsit_3_f000149|Und beide trinken und sehen sich an, bis Indre sich ein Herz faßt und ihn fragt: Mein Ansaschen, was heißt das eine Madonna?|Und beide trinken und sehen sich an, bis Indre sich ein Herz faßt und ihn fragt: Mein Ansaschen, was heißt das eine Madonna?
reisenachtilsit_3_f000150|So nennt man die katholische heilige Jungfrau, sagt er.|So nennt man die katholische heilige Jungfrau, sagt er.
reisenachtilsit_3_f000151|Sie zieht die Lippen hoch und sagt verächtlich: Wennes weiter nichts ist.|Sie zieht die Lippen hoch und sagt verächtlich: Wennes weiter nichts ist.
reisenachtilsit_3_f000152|Denn die Neidischen, die sie ärgern wollten, haben sie schon als Mädchen so genannt, und sie ist doch stets eine fromme Lutheranerin gewesen.|Denn die Neidischen, die sie ärgern wollten, haben sie schon als Mädchen so genannt, und sie ist doch stets eine fromme Lutheranerin gewesen.
reisenachtilsit_3_f000153|Und sie trinken immer noch mehr, und Indre fühlt, daß sie rote Backen bekommt, und weiß sich vor Fröhlichkeit gar nicht zu lassen.|Und sie trinken immer noch mehr, und Indre fühlt, daß sie rote Backen bekommt, und weiß sich vor Fröhlichkeit gar nicht zu lassen.
reisenachtilsit_3_f000154|Da plötzlich fällt dem Ansas ein: O Gott die Eisenbahn!|Da plötzlich fällt dem Ansas ein: O Gott die Eisenbahn!
reisenachtilsit_3_f000155|Und die Uhr ist gleich sechs!|Und die Uhr ist gleich sechs!
reisenachtilsit_3_f000156|Er ruft den feinen Herrn herbei und bezahlt mit zwei harten Talern.|Er ruft den feinen Herrn herbei und bezahlt mit zwei harten Talern.
reisenachtilsit_3_f000157|Dann fragt er nach dem kürzesten Weg zum Bahnhof.|Dann fragt er nach dem kürzesten Weg zum Bahnhof.
reisenachtilsit_3_f000158|Aber wie sie nun dorthin laufen wollen, ergibt es sich, daß sie nicht mehr ganz gerade stehen können.|Aber wie sie nun dorthin laufen wollen, ergibt es sich, daß sie nicht mehr ganz gerade stehen können.
reisenachtilsit_3_f000159|Die Leute lachen hinter ihnen her, und die Dame am Nebentisch sagt bedauernd: Daß diese Litauer sich doch immer betrinken müssen.|Die Leute lachen hinter ihnen her, und die Dame am Nebentisch sagt bedauernd: Daß diese Litauer sich doch immer betrinken müssen.
reisenachtilsit_3_f000160|Hätte sie gewußt, was hier gefeiert wird, so hätte siees wohl nicht gesagt.|Hätte sie gewußt, was hier gefeiert wird, so hätte siees wohl nicht gesagt.
reisenachtilsit_3_f000161|Die Straße zum Bahnhof führt ziemlich nah an den Schienen entlang.|Die Straße zum Bahnhof führt ziemlich nah an den Schienen entlang.
reisenachtilsit_3_f000162|Sie laufen und lachen und laufen.|Sie laufen und lachen und laufen.
reisenachtilsit_3_f000163|Da mit einmal macht es irgendwo: Puff, Puff, Puff.|Da mit einmal macht es irgendwo: Puff, Puff, Puff.
