das_letzte_marchen_004_f000001|Abschnitt 4 von das letzte Märchen vom Paul Keller.|Abschnitt vier von das letzte Marchen vom Paul Keller.
das_letzte_marchen_012_f000415|Durch ein Gewirr von schmalen Pfaden, durch viele maskierte Durchgänge, teilweise durch unterirdische Wanderungen und in halsbrecherischen Kletterpartien waren wir endlich an die geheime Höhle gelangt, die im verlorensten Teile des völlig unwegsamen Gebirges lag.|Durch ein Gewirr von schmalen Pfaden, durch viele maskierte Durchgänge, teilweise durch unterirdische Wanderungen und in halsbrecherischen Kletterpartien waren wir endlich an die geheime Höhle gelangt, die im verlorensten Teile des völlig unwegsamen Gebirges lag.
das_letzte_marchen_012_f000416|Die Höhle war von großer Ausdehnung und bot ein Chaos von geraubten Gegenständen aller Art.|Die Höhle war von großer Ausdehnung und bot ein Chaos von geraubten Gegenständen aller Art.
das_letzte_marchen_012_f000417|Gold- und Silbersachen, Geschmeide, Seidenstoffe, kostbare Geräte und Waffen, Teppiche, Uhren, Kunstgegenstände, aber auch Wäschestücke, alte, abgeschabte Anzüge, landwirtschaftliche Geräte, Handwerkszeuge, Musikinstrumente, Schuhe und Stiefel, Lampen, selbst Kinderspielzeug – das alles lag, lehnte, stand, hing, quetschte durch-, über- und untereinander.|Gold- und Silbersachen, Geschmeide, Seidenstoffe, kostbare Geräte und Waffen, Teppiche, Uhren, Kunstgegenstände, aber auch Wäschestücke, alte, abgeschabte Anzüge, landwirtschaftliche Geräte, Handwerkszeuge, Musikinstrumente, Schuhe und Stiefel, Lampen, selbst Kinderspielzeug - das alles lag, lehnte, stand, hing, quetschte durch-, über- und untereinander.
das_letzte_marchen_012_f000418|Brumbu seufzte.|Brumbu seufzte.
das_letzte_marchen_012_f000419|Glauben Sie mir, wenn ich einmal Inventur mache, das ist eine Hundearbeit, sagte er zu mir.|Glauben Sie mir, wenn ich einmal Inventur mache, das ist eine Hundearbeit, sagte er zu mir.
das_letzte_marchen_012_f000420|Machen Sie manchmal Inventur?|Machen Sie manchmal Inventur?
das_letzte_marchen_012_f000421|Hier selten!|Hier selten!
das_letzte_marchen_012_f000422|Aber in den offiziellen Höhlen muß ich in jedem Jahr Inventur machen.|Aber in den offiziellen Höhlen muß ich in jedem Jahr Inventur machen.
das_letzte_marchen_012_f000423|Es ist wegen der Steuer.|Es ist wegen der Steuer.
das_letzte_marchen_012_f000424|Zahlen Sie denn Steuer?|Zahlen Sie denn Steuer?
das_letzte_marchen_012_f000425|Ja, natürlich, was glauben Sie denn?|Ja, natürlich, was glauben Sie denn?
das_letzte_marchen_012_f000426|Gewerbe-, Einkommen- und Vermögenssteuer!|Gewerbe-, Einkommen- und Vermögenssteuer!
das_letzte_marchen_012_f000427|Kommunallasten gebe ich nicht, weil ich meist unbestimmten Aufenthaltes bin.|Kommunallasten gebe ich nicht, weil ich meist unbestimmten Aufenthaltes bin.
das_letzte_marchen_012_f000428|Aber der Staat!|Aber der Staat!
das_letzte_marchen_012_f000429|O, ich sage Ihnen, ich muß jedes Jahr reklamieren, denn die Herren am grünen Tische schätzen mich immer zu hoch ein.|O, ich sage Ihnen, ich muß jedes Jahr reklamieren, denn die Herren am grünen Tische schätzen mich immer zu hoch ein.
das_letzte_marchen_012_f000430|Und sie haben keine Ahnung von meinen Spesen und der schwierigen Geschäftslage.|Und sie haben keine Ahnung von meinen Spesen und der schwierigen Geschäftslage.
das_letzte_marchen_012_f000431|Es ist gar nicht uninteressant, einmal in einer Räuberhöhle zu hausen.|Es ist gar nicht uninteressant, einmal in einer Räuberhöhle zu hausen.
das_letzte_marchen_012_f000432|An viele der geraubten Gegenstände knüpften sich aufregende Geschichten, die ich aber nicht wiedergebe, weil ich annehme, daß Brumbu in seiner Eitelkeit vieles übertrieb und zu seinem Vorteil ausschmückte.|An viele der geraubten Gegenstände knüpften sich aufregende Geschichten, die ich aber nicht wiedergebe, weil ich annehme, daß Brumbu in seiner Eitelkeit vieles übertrieb und zu seinem Vorteil ausschmückte.
das_letzte_marchen_012_f000433|Denn er war ungeheuer eitel.|Denn er war ungeheuer eitel.
das_letzte_marchen_012_f000434|Bei vielen seiner Abenteuer hatte er sogar von einem seiner Leute photographische Momentaufnahmen machen lassen; auch besaß er eine Autographensammlung berühmter Gefangener, in die ich wohl oder übel meinen Namen eintragen mußte.|Bei vielen seiner Abenteuer hatte er sogar von einem seiner Leute photographische Momentaufnahmen machen lassen; auch besaß er eine Autographensammlung berühmter Gefangener, in die ich wohl oder übel meinen Namen eintragen mußte.
das_letzte_marchen_012_f000435|Bei der Besichtigung des Inventars hatte Dr. Schnugu zu seiner großen Freude die alte Tabakspfeife wieder entdeckt, die ihm Brumbu bei der Konsultation einst geraubt hatte.|Bei der Besichtigung des Inventars hatte Dr. Schnugu zu seiner großen Freude die alte Tabakspfeife wieder entdeckt, die ihm Brumbu bei der Konsultation einst geraubt hatte.
das_letzte_marchen_012_f000436|Der alte Walddoktor saß nun meist draußen zwischen den Felsen, rauchte und starrte in die Ferne.|Der alte Walddoktor saß nun meist draußen zwischen den Felsen, rauchte und starrte in die Ferne.
das_letzte_marchen_012_f000437|Ich saß bei ihm, ebenso schweigsam und in Gedanken verloren wie er, während Dr. Nein in der Höhle Studien mächte, einen Artikel über die Abschaffung der Staatsräuberei skizzierte und beständig Händel mit Brumbu hatte.|Ich saß bei ihm, ebenso schweigsam und in Gedanken verloren wie er, während Dr. Nein in der Höhle Studien mächte, einen Artikel über die Abschaffung der Staatsräuberei skizzierte und beständig Händel mit Brumbu hatte.
das_letzte_marchen_012_f000438|Ganz einsam, von uns allen abgesondert, war Stimpekrex.|Ganz einsam, von uns allen abgesondert, war Stimpekrex.
das_letzte_marchen_012_f000439|Er litt unbeschreiblich in jenen Tagen.|Er litt unbeschreiblich in jenen Tagen.
das_letzte_marchen_012_f000440|Zwischen den Felsen war eine bedrückende Stille.|Zwischen den Felsen war eine bedrückende Stille.
das_letzte_marchen_012_f000441|Stumpf und öde lag das Gebirge.|Stumpf und öde lag das Gebirge.
das_letzte_marchen_012_f000442|Mit starren Armen dehnte es sich tot gegen den braunen, unbewegten Himmel hin und wieder kaum ein paar grüne Halme; selten ein Vogel, der sich daher verirrte, vor der Einsamkeit erschrak und kreischend zurückflog ins Tal.|Mit starren Armen dehnte es sich tot gegen den braunen, unbewegten Himmel hin und wieder kaum ein paar grüne Halme; selten ein Vogel, der sich daher verirrte, vor der Einsamkeit erschrak und kreischend zurückflog ins Tal.
das_letzte_marchen_012_f000443|Aber dieser lautlose, tote Friede quälte uns nicht so sehr wie die stumpfe Ruhe, zu der wir selbst verurteilt waren in jenen Tagen, da das ganze Land von den heftigsten Kämpfen durchtobt war.|Aber dieser lautlose, tote Friede quälte uns nicht so sehr wie die stumpfe Ruhe, zu der wir selbst verurteilt waren in jenen Tagen, da das ganze Land von den heftigsten Kämpfen durchtobt war.
das_letzte_marchen_012_f000444|Dazu kam bei mir die Sorge um die Geliebte und auch um Goldina, das Kind des toten Königs.|Dazu kam bei mir die Sorge um die Geliebte und auch um Goldina, das Kind des toten Königs.
das_letzte_marchen_012_f000445|So zersann ich mir bei Tage und in der Nacht den Kopf, was ich Vernünftiges zu tun vermöchte, das irgendwie der guten Sache von Nutzen sein konnte.|So zersann ich mir bei Tage und in der Nacht den Kopf, was ich Vernünftiges zu tun vermöchte, das irgendwie der guten Sache von Nutzen sein konnte.
das_letzte_marchen_012_f000446|Ich fand nichts; auch Dr. Schnugu wußte keinen Rat.|Ich fand nichts; auch Dr. Schnugu wußte keinen Rat.
das_letzte_marchen_012_f000447|Wir waren beide bereit, jedes Opfer zu bringen, wenn wir nur gewußt hätten, wozu es dienen sollte.|Wir waren beide bereit, jedes Opfer zu bringen, wenn wir nur gewußt hätten, wozu es dienen sollte.
das_letzte_marchen_012_f000448|So waren wir in der Tat in einer grausamen Gefangenschaft.|So waren wir in der Tat in einer grausamen Gefangenschaft.
das_letzte_marchen_012_f000449|Am fünften Tage unseres Aufenthalts in der Höhle brachte einer der Leute Brumbus aus dem Tale die Nachricht, die erste Schlacht sei gefallen, die Herididasufoturanier seien vollständig geschlagen, und die Hakulatotuländer seien auf dem Wege nach Marilkaporta.|Am fünften Tage unseres Aufenthalts in der Höhle brachte einer der Leute Brumbus aus dem Tale die Nachricht, die erste Schlacht sei gefallen, die Herididasufoturanier seien vollständig geschlagen, und die Hakulatotuländer seien auf dem Wege nach Marilkaporta.
das_letzte_marchen_012_f000450|Die Bestürzung im Lande sei furchtbar.|Die Bestürzung im Lande sei furchtbar.
das_letzte_marchen_012_f000451|Hamrigula habe die wilde Flucht seines Heeres nicht aufhalten können.|Hamrigula habe die wilde Flucht seines Heeres nicht aufhalten können.
das_letzte_marchen_012_f000452|Nun stehe er mit seiner Schar nahe beim verbotenen Berge vor der heiligen Stadt.|Nun stehe er mit seiner Schar nahe beim verbotenen Berge vor der heiligen Stadt.
das_letzte_marchen_012_f000453|Dort wollten die Herididasufoturanier den verzweifeltsten Widerstand leisten.|Dort wollten die Herididasufoturanier den verzweifeltsten Widerstand leisten.
das_letzte_marchen_012_f000454|Eine fiebernde Erregung ergriff uns.|Eine fiebernde Erregung ergriff uns.
das_letzte_marchen_012_f000455|Das eigene Volk geschlagen, der Feind vor dem Tor der heiligen Stadt!|Das eigene Volk geschlagen, der Feind vor dem Tor der heiligen Stadt!
das_letzte_marchen_012_f000456|Und doch war das der Weg, das Land vor noch schwererem Unglück zu bewahren, es zu erlösen aus der Hand dieses Verräters.|Und doch war das der Weg, das Land vor noch schwererem Unglück zu bewahren, es zu erlösen aus der Hand dieses Verräters.
das_letzte_marchen_012_f000457|Die Frage beschäftigte uns, wie eine so vollständige Niederlage, eine so haltlose Flucht möglich gewesen sei.|Die Frage beschäftigte uns, wie eine so vollständige Niederlage, eine so haltlose Flucht möglich gewesen sei.
das_letzte_marchen_012_f000458|Der Bote gab uns einigen Anhalt.|Der Bote gab uns einigen Anhalt.
das_letzte_marchen_012_f000459|Die Herididasufoturanier waren ohne die rechte Begeisterung in den Krieg gezogen.|Die Herididasufoturanier waren ohne die rechte Begeisterung in den Krieg gezogen.
das_letzte_marchen_012_f000460|Männer waren unter ihnen aufgestanden, die an das Friedenstestament des toten Königs erinnert hatten; andere, die sich offen aufgelehnt hatten gegen die Gewaltherrschaft Hamrigulas.|Männer waren unter ihnen aufgestanden, die an das Friedenstestament des toten Königs erinnert hatten; andere, die sich offen aufgelehnt hatten gegen die Gewaltherrschaft Hamrigulas.
das_letzte_marchen_012_f000461|So konnte der Prinz nur durch eiserne Strenge die Ordnung in seinem Sinne aufrecht erhalten.|So konnte der Prinz nur durch eiserne Strenge die Ordnung in seinem Sinne aufrecht erhalten.
das_letzte_marchen_012_f000462|Auf dem Lande und in den kleinen Städten gärte es, in Marilkaporta herrschte tote Stille.|Auf dem Lande und in den kleinen Städten gärte es, in Marilkaporta herrschte tote Stille.
das_letzte_marchen_012_f000463|Immerhin hatte der Prinz noch einen großen Anhang.|Immerhin hatte der Prinz noch einen großen Anhang.
das_letzte_marchen_012_f000464|Er suchte ihn zu erhalten und zu vergrößern, indem er immer wieder die Lügenmären über den Erbprinzen neu auffrischte.|Er suchte ihn zu erhalten und zu vergrößern, indem er immer wieder die Lügenmären über den Erbprinzen neu auffrischte.
das_letzte_marchen_012_f000465|Nehmt Rache an Juvento, dem Mörder unseres toten Königs!|Nehmt Rache an Juvento, dem Mörder unseres toten Königs!
das_letzte_marchen_012_f000466|Und das Volk glaubte es, und die armen, irregeleiteten Patrioten strömten ihm zu.|Und das Volk glaubte es, und die armen, irregeleiteten Patrioten strömten ihm zu.
das_letzte_marchen_012_f000467|Der Bote brachte auch die neueste Nummer der Posaune mit.|Der Bote brachte auch die neueste Nummer der Posaune mit.
das_letzte_marchen_012_f000468|Das Blatt enthielt wieder die gemeinsten Beleidigungen unseres Volkes, des Prinzen Hamrigula und des toten Königs.|Das Blatt enthielt wieder die gemeinsten Beleidigungen unseres Volkes, des Prinzen Hamrigula und des toten Königs.
das_letzte_marchen_012_f000469|Auf der dritten Seite der Posaune stand folgende Notiz: Wie bekannt, sind die vier Redakteure der Zeitung in unsere Gewalt gebracht worden, auch Dr. Schnugu, der das verbrecherische Urteil über den Königsmord abgegeben hat.|Auf der dritten Seite der Posaune stand folgende Notiz: Wie bekannt, sind die vier Redakteure der Zeitung in unsere Gewalt gebracht worden, auch Dr. Schnugu, der das verbrecherische Urteil über den Königsmord abgegeben hat.
das_letzte_marchen_012_f000470|Die Redakteure sind vor ein Kriegsgericht gestellt, abgeurteilt und vorgestern erschossen worden.|Die Redakteure sind vor ein Kriegsgericht gestellt, abgeurteilt und vorgestern erschossen worden.
das_letzte_marchen_012_f000471|Dr. Schnugu wurde gehängt.|Dr. Schnugu wurde gehängt.
das_letzte_marchen_012_f000472|Durch solch unrühmlichen, aber wohlverdienten Tod haben die Herididasufoturanier ein paar der Edelsten ihrer Nation verloren.|Durch solch unrühmlichen, aber wohlverdienten Tod haben die Herididasufoturanier ein paar der Edelsten ihrer Nation verloren.
das_letzte_marchen_012_f000473|Sie werden sich aber zu trösten wissen, denn solcher Galgenvögel, wie Dr. Schnugu, haben sie noch sehr viel im Lande.|Sie werden sich aber zu trösten wissen, denn solcher Galgenvögel, wie Dr. Schnugu, haben sie noch sehr viel im Lande.
das_letzte_marchen_012_f000474|Hurra! schrie Dr. Nein, wir sind tot!|Hurra! schrie Dr. Nein, wir sind tot!
das_letzte_marchen_012_f000475|Mausetot!|Mausetot!
das_letzte_marchen_012_f000476|Erschossen und begraben!|Erschossen und begraben!
das_letzte_marchen_012_f000477|Und Sie, edler Dr. Schnugu, hängen an einem Galgen, und die Hakulatotuländer spielen Zappelmann mit Ihnen.|Und Sie, edler Dr. Schnugu, hängen an einem Galgen, und die Hakulatotuländer spielen Zappelmann mit Ihnen.
das_letzte_marchen_012_f000478|Wir konnten diese Fröhlichkeit nicht teilen.|Wir konnten diese Fröhlichkeit nicht teilen.
das_letzte_marchen_012_f000479|Abermals wurden unsere Namen mißbraucht, um den Haß des Volkes zu schüren; nun konnten wir unmöglich länger schweigen; nun war selbst ein nutzloser Tod besser als dieses Schweigen.|Abermals wurden unsere Namen mißbraucht, um den Haß des Volkes zu schüren; nun konnten wir unmöglich länger schweigen; nun war selbst ein nutzloser Tod besser als dieses Schweigen.
das_letzte_marchen_012_f000480|Draußen in den Felsen hielt ich mit den Getreuen eine Beratung.|Draußen in den Felsen hielt ich mit den Getreuen eine Beratung.
das_letzte_marchen_012_f000481|Auch Brumbu hatte dabei Sitz und Stimme.|Auch Brumbu hatte dabei Sitz und Stimme.
das_letzte_marchen_012_f000482|Wir berieten nicht lange und gingen unmittelbar an die Ausführung unserer Beschlüsse.|Wir berieten nicht lange und gingen unmittelbar an die Ausführung unserer Beschlüsse.
das_letzte_marchen_012_f000483|Am Nachmittag saß ich in Brumbus kleinem Kontor und schrieb mit fliegender Hand Blatt um Blatt.|Am Nachmittag saß ich in Brumbus kleinem Kontor und schrieb mit fliegender Hand Blatt um Blatt.
das_letzte_marchen_012_f000484|Eine Darstellung des Lügengewebes, in das das Volk verstrickt war.|Eine Darstellung des Lügengewebes, in das das Volk verstrickt war.
das_letzte_marchen_012_f000485|Die Entlarvung Hamrigulas.|Die Entlarvung Hamrigulas.
das_letzte_marchen_012_f000486|Wenn ich lebte, sollte mir dieser Artikel eine Waffe sein, wenn ich sterben mußte, war er mein Testament.|Wenn ich lebte, sollte mir dieser Artikel eine Waffe sein, wenn ich sterben mußte, war er mein Testament.
das_letzte_marchen_012_f000487|Nach zwei Stunden war ich fertig.|Nach zwei Stunden war ich fertig.
das_letzte_marchen_012_f000488|Brumbu hatte inzwischen aus seinem Chaos eine Anzahl Anzüge herausgesucht, aus denen wir uns je einen auswählten: ich, der Redakteur, einen blauen, Schnugu, der Arzt, einen schwarzen, Dr. Nein, der Parlamentarier, einen gescheckten.|Brumbu hatte inzwischen aus seinem Chaos eine Anzahl Anzüge herausgesucht, aus denen wir uns je einen auswählten: ich, der Redakteur, einen blauen, Schnugu, der Arzt, einen schwarzen, Dr. Nein, der Parlamentarier, einen gescheckten.
das_letzte_marchen_012_f000489|Stimpekrex, der Hofmann, hätte einen grünen wählen müssen, verschmähte aber die Farbe und kleidete sich blau wie ich.|Stimpekrex, der Hofmann, hätte einen grünen wählen müssen, verschmähte aber die Farbe und kleidete sich blau wie ich.
das_letzte_marchen_012_f000490|Dann öffnete Brumbu zwei Kisten, die von oben bis unten mit künstlichen Bärten gefüllt waren.|Dann öffnete Brumbu zwei Kisten, die von oben bis unten mit künstlichen Bärten gefüllt waren.
das_letzte_marchen_012_f000491|Einer der Räuber, der früher Theatercoiffeur gewesen war, übte seine Künste; nicht lange, so hatten wir jeder einen passenden Bart angeklebt und sahen nun genau so aus wie früher.|Einer der Räuber, der früher Theatercoiffeur gewesen war, übte seine Künste; nicht lange, so hatten wir jeder einen passenden Bart angeklebt und sahen nun genau so aus wie früher.
das_letzte_marchen_012_f000492|So traten wir vier nebeneinander und hielten gemeinsam eine Tafel hoch, auf der zu lesen stand: Wir leben!|So traten wir vier nebeneinander und hielten gemeinsam eine Tafel hoch, auf der zu lesen stand: Wir leben!
das_letzte_marchen_012_f000493|Hamrigula hat uns gefangen gehalten, Wir sind ihm entflohen.|Hamrigula hat uns gefangen gehalten, Wir sind ihm entflohen.
das_letzte_marchen_012_f000494|Unsere Urteile über den Königsmord sind von Hamrigula gefälscht.|Unsere Urteile über den Königsmord sind von Hamrigula gefälscht.
das_letzte_marchen_012_f000495|Hamrigula selbst ist der Mörder des Königs.|Hamrigula selbst ist der Mörder des Königs.
das_letzte_marchen_012_f000496|Macht Frieden mit Juvento!|Macht Frieden mit Juvento!
das_letzte_marchen_012_f000497|In dieser Aufstellung wurden wir photographiert.|In dieser Aufstellung wurden wir photographiert.
das_letzte_marchen_012_f000498|Brumbu hatte zu diesem Zweck aus seinen Vorräten ungefähr zwölf photographische Apparate herausgesucht.|Brumbu hatte zu diesem Zweck aus seinen Vorräten ungefähr zwölf photographische Apparate herausgesucht.
das_letzte_marchen_012_f000499|Infolge der hochentwickelten Technik waren die ausgezeichneten Bilder in wenigen Minuten fertig.|Infolge der hochentwickelten Technik waren die ausgezeichneten Bilder in wenigen Minuten fertig.
das_letzte_marchen_012_f000500|Es war gegen Abend, als wir uns anschickten, die Höhle zu verlassen.|Es war gegen Abend, als wir uns anschickten, die Höhle zu verlassen.
das_letzte_marchen_012_f000501|Zuvor hielten wir noch ein Mahl.|Zuvor hielten wir noch ein Mahl.
das_letzte_marchen_012_f000502|Um ein brodelndes Feuer lagen wir, das flackerte und knisterte eine geheimnisvolle Musik und bestrahlte mit rotem Schein die bunten phantastischen Gewänder der Räuber.|Um ein brodelndes Feuer lagen wir, das flackerte und knisterte eine geheimnisvolle Musik und bestrahlte mit rotem Schein die bunten phantastischen Gewänder der Räuber.
das_letzte_marchen_012_f000503|Der Hauptmann hatte großen Staat angelegt; seine Kleider waren von der kostbarsten Seide, der Griff seines Dolches war ein einziger großer, blaugrüner Diamant.|Der Hauptmann hatte großen Staat angelegt; seine Kleider waren von der kostbarsten Seide, der Griff seines Dolches war ein einziger großer, blaugrüner Diamant.
das_letzte_marchen_012_f000504|Musternd glitt sein Blick über die Schar.|Musternd glitt sein Blick über die Schar.
das_letzte_marchen_012_f000505|Wir werden jetzt ausziehen, um einen Einbruch zu verüben, sagte er mit feierlicher Würde.|Wir werden jetzt ausziehen, um einen Einbruch zu verüben, sagte er mit feierlicher Würde.
das_letzte_marchen_012_f000506|Aber den Gästen kann ich die Beteiligung nicht gestatten.|Aber den Gästen kann ich die Beteiligung nicht gestatten.
das_letzte_marchen_012_f000507|Dazu gehört eine große Kunstfertigkeit, die ihnen mangelt.|Dazu gehört eine große Kunstfertigkeit, die ihnen mangelt.
das_letzte_marchen_012_f000508|Nur Dr. Barragu werde ich mitnehmen, weil er unbedingt notwendig ist.|Nur Dr. Barragu werde ich mitnehmen, weil er unbedingt notwendig ist.
das_letzte_marchen_012_f000509|Die anderen werden im Walde warten, bis wir von dem Einbruch zurückkehren.|Die anderen werden im Walde warten, bis wir von dem Einbruch zurückkehren.
das_letzte_marchen_012_f000510|Die andern werden sich schön bedanken, sagte Dr. Nein; sie werden nicht warten, weil das viel zu langweilig wäre, sondern lieber bei dem Einbruch mitmachen.|Die andern werden sich schön bedanken, sagte Dr. Nein; sie werden nicht warten, weil das viel zu langweilig wäre, sondern lieber bei dem Einbruch mitmachen.
das_letzte_marchen_012_f000511|Die Räuber starrten erschrocken Dr. Nein an, der es wagte, ihrem Hauptmann zu widersprechen.|Die Räuber starrten erschrocken Dr. Nein an, der es wagte, ihrem Hauptmann zu widersprechen.
das_letzte_marchen_012_f000512|Es kam zu einer heftigen Aussprache zwischen den beiden, in welcher sich der Parlamentarier dem Räuberchef an Grobheit weit überlegen erwies.|Es kam zu einer heftigen Aussprache zwischen den beiden, in welcher sich der Parlamentarier dem Räuberchef an Grobheit weit überlegen erwies.
das_letzte_marchen_012_f000513|Endlich mußte die Debatte ohne Resultat abgebrochen werden, da es Zeit zum Aufbruch wurde.|Endlich mußte die Debatte ohne Resultat abgebrochen werden, da es Zeit zum Aufbruch wurde.
das_letzte_marchen_012_f000514|Brumbu hielt einen Abschiedstoast.|Brumbu hielt einen Abschiedstoast.
das_letzte_marchen_012_f000515|Er freue sich, sagte er, daß er uns habe in seiner Häuslichkeit aufnehmen können.|Er freue sich, sagte er, daß er uns habe in seiner Häuslichkeit aufnehmen können.
das_letzte_marchen_012_f000516|Nun gingen wir vier: Dr. Schnugu, Dr. Nein, Stimpekrex und ich einer gefahrvollen Zukunft entgegen.|Nun gingen wir vier: Dr. Schnugu, Dr. Nein, Stimpekrex und ich einer gefahrvollen Zukunft entgegen.
das_letzte_marchen_012_f000517|Sollten wir (was er für höchst wahrscheinlich halte) in den nächsten Tagen unseren Tod finden, so wolle er uns – mit Ausnahme von Dr. Nein – ein ehrenvolles Andenken bewahren.|Sollten wir was er für höchst wahrscheinlich halte in den nächsten Tagen unseren Tod finden, so wolle er uns - mit Ausnahme von Dr. Nein - ein ehrenvolles Andenken bewahren.
das_letzte_marchen_012_f000518|Ich dankte Herrn Brumbu in einem kurzen Gegentoast, und dann brachen wir auf.|Ich dankte Herrn Brumbu in einem kurzen Gegentoast, und dann brachen wir auf.
das_letzte_marchen_012_f000519|Der Räuberchef mit feinen besten Leuten begleitete uns.|Der Räuberchef mit feinen besten Leuten begleitete uns.
das_letzte_marchen_012_f000520|Er gab stundenlange, mühsame Kletterpartien, dann bestiegen wir Pferde und trabten rasch dahin.|Er gab stundenlange, mühsame Kletterpartien, dann bestiegen wir Pferde und trabten rasch dahin.
das_letzte_marchen_012_f000521|In einem Walde hielten wir an.|In einem Walde hielten wir an.
das_letzte_marchen_012_f000522|Drüben auf einer Wiese lagen mehrere große Gebäude, ein bißchen weiter ins Tal hinab erstreckte sich eine Stadt.|Drüben auf einer Wiese lagen mehrere große Gebäude, ein bißchen weiter ins Tal hinab erstreckte sich eine Stadt.
das_letzte_marchen_012_f000523|Tiefe Nacht.|Tiefe Nacht.
das_letzte_marchen_012_f000524|Einsam und still lagen die Häuser auf der Wiese.|Einsam und still lagen die Häuser auf der Wiese.
das_letzte_marchen_012_f000525|Brumbu zeigte auf das eine der Gebäude und sagte: Also das ist das Haus, das ich meine!|Brumbu zeigte auf das eine der Gebäude und sagte: Also das ist das Haus, das ich meine!
das_letzte_marchen_012_f000526|Ich gehe kundschaften.|Ich gehe kundschaften.
das_letzte_marchen_012_f000527|Wenn der Ruf des Käuzchens erschallt, kommt Dr. Barragu mit meinen Leuten über die Wiese gekrochen.|Wenn der Ruf des Käuzchens erschallt, kommt Dr. Barragu mit meinen Leuten über die Wiese gekrochen.
das_letzte_marchen_012_f000528|Gekrochen, sag ich!|Gekrochen, sag ich!
das_letzte_marchen_012_f000529|Und alle anderen bleiben hier – alle!|Und alle anderen bleiben hier - alle!
das_letzte_marchen_012_f000530|Denjenigen, die noch nie an einem Einbruch beteiligt gewesen sind, kann ich verraten, daß es eine aufregende Sache ist.|Denjenigen, die noch nie an einem Einbruch beteiligt gewesen sind, kann ich verraten, daß es eine aufregende Sache ist.
das_letzte_marchen_012_f000531|Wer schwache Nerven oder gar einen Herzfehler hat, dem rate ich entschieden ab, bei solchen Dingen mitzumachen, selbst wenn das Einbrechen einmal Modesport werden sollte, was ja leicht möglich ist.|Wer schwache Nerven oder gar einen Herzfehler hat, dem rate ich entschieden ab, bei solchen Dingen mitzumachen, selbst wenn das Einbrechen einmal Modesport werden sollte, was ja leicht möglich ist.
das_letzte_marchen_012_f000532|Ich muß sagen, daß mir sehr elend zu Mute war, als ich so in dem Walde wartete.|Ich muß sagen, daß mir sehr elend zu Mute war, als ich so in dem Walde wartete.
das_letzte_marchen_012_f000533|Endlich erscholl der Ruf des Käuzchens, der ja in allen Räubergeschichten erschallt.|Endlich erscholl der Ruf des Käuzchens, der ja in allen Räubergeschichten erschallt.
das_letzte_marchen_012_f000534|Brumbus Leute warfen sich auf den Bauch und schlängelten sich über die Wiese, und ich warf mich auch auf den Bauch und gab mir Mühe, mich ihnen kunstgerecht nachzuschlängeln.|Brumbus Leute warfen sich auf den Bauch und schlängelten sich über die Wiese, und ich warf mich auch auf den Bauch und gab mir Mühe, mich ihnen kunstgerecht nachzuschlängeln.
das_letzte_marchen_012_f000535|Als wir zur Hälfte drüben waren, hörte ich eine leise Stimme hinter mir: Ich bin auch da!|Als wir zur Hälfte drüben waren, hörte ich eine leise Stimme hinter mir: Ich bin auch da!
das_letzte_marchen_012_f000536|Dr. Nein!|Dr. Nein!
das_letzte_marchen_012_f000537|Aber Sie sollen doch gar nicht mitkommen!|Aber Sie sollen doch gar nicht mitkommen!
das_letzte_marchen_012_f000538|Unsinn!|Unsinn!
das_letzte_marchen_012_f000539|Ich werd' mir gerade von dem alten Spitzbuben was befehlen lassen.|Ich werd' mir gerade von dem alten Spitzbuben was befehlen lassen.
das_letzte_marchen_012_f000540|Sie sind doch aber so gegen das Räuberwesen.|Sie sind doch aber so gegen das Räuberwesen.
das_letzte_marchen_012_f000541|Bloß als Parlamentarier!|Bloß als Parlamentarier!
das_letzte_marchen_012_f000542|Als Privatperson macht es mir Spaß.|Als Privatperson macht es mir Spaß.
das_letzte_marchen_012_f000543|Sogar mächtigen Spaß!|Sogar mächtigen Spaß!
das_letzte_marchen_012_f000544|Verdammt,– jetzt hab' ich mir in die linke Hand einen Dorn eingetreten!|Verdammt,- jetzt hab' ich mir in die linke Hand einen Dorn eingetreten!
das_letzte_marchen_012_f000545|Das Kriechen ist eine faule Sache!|Das Kriechen ist eine faule Sache!
das_letzte_marchen_012_f000546|Wir krochen dicht an das Haus heran.|Wir krochen dicht an das Haus heran.
das_letzte_marchen_012_f000547|Brumbu hatte indes ein zu ebener Erde gelegenes Fenster geöffnet und war bereits emgestiegen.|Brumbu hatte indes ein zu ebener Erde gelegenes Fenster geöffnet und war bereits emgestiegen.
das_letzte_marchen_012_f000548|Er winkte mir.|Er winkte mir.
das_letzte_marchen_012_f000549|Eine ganz eigentümliche Übelkeit überkam mich, aber ich nahm mich zusammen und stieg ein.|Eine ganz eigentümliche Übelkeit überkam mich, aber ich nahm mich zusammen und stieg ein.
das_letzte_marchen_012_f000550|Wir waren in einer hübsch eingerichteten Stube.|Wir waren in einer hübsch eingerichteten Stube.
das_letzte_marchen_012_f000551|Nacheinander stiegen die Räuber durchs Fenster.|Nacheinander stiegen die Räuber durchs Fenster.
das_letzte_marchen_012_f000552|Sind alle herein? flüsterte Brumbu.|Sind alle herein? flüsterte Brumbu.
das_letzte_marchen_012_f000553|Da sah er Dr. Nein.|Da sah er Dr. Nein.
