jizn_gnora_s000001|казалось, отбивает такт некоего мысленного расчета, какой она производит.|казалось, отбивает такт некоего мысленного расчета, какой она производит.
jizn_gnora_s000828|— не может обыкновенная женщина родить такого счастливца.|- не может обыкновенная женщина родить такого счастливца.
jizn_gnora_s000829|Нурс привел Геннисона к темнице надежд, открыл дверь, электричество, сам стал на пороге, скептически окинув взглядом холодное, высокое помещение,|Нурс привел Геннисона к темнице надежд, открыл дверь, электричество, сам стал на пороге, скептически окинув взглядом холодное, высокое помещение,
jizn_gnora_s000830|Дверь, тем временем, поддаваясь усилиям солдат и сторожей, глухо звенела латами валявшихся на полу рыцарей. Комон стоял в душной ароматической тьме ящика и прислушивался.|Дверь, тем временем, поддаваясь усилиям солдат и сторожей, глухо звенела латами валявшихся на полу рыцарей. Комон стоял в душной ароматической тьме ящика и прислушивался.
jizn_gnora_s000831|Гнор молча поставил кий. Он не ожидал проигрыша, и происшедшее казалось ему поэтому вдвойне нелепым. Ты не принесла мне сегодня счастья, - подумал он,|Гнор молча поставил кий. Он не ожидал проигрыша, и происшедшее казалось ему поэтому вдвойне нелепым. Ты не принесла мне сегодня счастья, - подумал он,
jizn_gnora_s000832|не написанное еще письмо Гнор желал прочесть как можно скорее.|не написанное еще письмо Гнор желал прочесть как можно скорее.
jizn_gnora_s000833|Четырнадцать взрослых ребят, делая страшные глаза и таинственно кашляя, рассказывали друг другу о приметах пиратов, о странствиях проклятой бочки с водкой,|Четырнадцать взрослых ребят, делая страшные глаза и таинственно кашляя, рассказывали друг другу о приметах пиратов, о странствиях проклятой бочки с водкой,
jizn_gnora_s000834|изображения святых, скорченные темные идолы, напоминавшие свирепых младенцев в материнской утробе; полуосвещенное море голов теснилось вокруг них, вопя и рыдая;|изображения святых, скорченные темные идолы, напоминавшие свирепых младенцев в материнской утробе; полуосвещенное море голов теснилось вокруг них, вопя и рыдая;
jizn_gnora_s000835|2.|два.
jizn_gnora_s000836|Мне снова есть чем рисковать, - не по вашей вине. У меня много седых волос, а ведь мне нет еще тридцати. Я вас искал упорно и долго, работая,|Мне снова есть чем рисковать, - не по вашей вине. У меня много седых волос, а ведь мне нет еще тридцати. Я вас искал упорно и долго, работая,
jizn_gnora_s000837|Поступить на пароход казалось мне так же легко, как это происходит в романах. Поэтому крайне был озадачен я тем, что на меня никто не обращает внимания,|Поступить на пароход казалось мне так же легко, как это происходит в романах. Поэтому крайне был озадачен я тем, что на меня никто не обращает внимания,
jizn_gnora_s000838|Бежали робкие грузины, – вскричал Гимнаст и бросился к выходу, расчищая себе путь своим Дюрандалем. Любопытные, столпившиеся у подъезда, разбежались при виде страшного,|Бежали робкие грузины,- вскричал Гимнаст и бросился к выходу, расчищая себе путь своим Дюрандалем. Любопытные, столпившиеся у подъезда, разбежались при виде страшного,
jizn_gnora_s000839|Есть, - отвечал другой.|Есть, - отвечал другой.
jizn_gnora_s000840|Была полная тишина. Все мы, сидевшие, как бы не слушая, по своим койкам, но не проронившие ни одного слова, замерли в ожидании. Что скажет раненый?|Была полная тишина. Все мы, сидевшие, как бы не слушая, по своим койкам, но не проронившие ни одного слова, замерли в ожидании. Что скажет раненый?
jizn_gnora_s000841|Ему хотелось дорого и недурно продать жизнь. Гимнаст выбрал меч, огромный, сверкающий и тяжелый, каким, вероятно, не раз крошила железная саксонская рука звонких латников.|Ему хотелось дорого и недурно продать жизнь. Гимнаст выбрал меч, огромный, сверкающий и тяжелый, каким, вероятно, не раз крошила железная саксонская рука звонких латников.
jizn_gnora_s000842|Рассчитывая, по крайней мере, через месяц, попасть в Индию или на Сандвичевы острова, я взял с собой ящичек с дешевыми красками, чтобы рисовать тропических птиц или цветы редких растений.|Рассчитывая, по крайней мере, через месяц, попасть в Индию или на Сандвичевы острова, я взял с собой ящичек с дешевыми красками, чтобы рисовать тропических птиц или цветы редких растений.
jizn_gnora_s000843|Волосы темного цвета падали ниже плеч. Он был одет в сильно измятый костюм городского покроя и высокие сапоги. Взгляд неизвестного быстро переходил с лица на лицо;|Волосы темного цвета падали ниже плеч. Он был одет в сильно измятый костюм городского покроя и высокие сапоги. Взгляд неизвестного быстро переходил с лица на лицо;
jizn_gnora_s000844|как вой голодного или шишка на лбу; она жестока и интересна.|как вой голодного или шишка на лбу; она жестока и интересна.
jizn_gnora_s000845|Все ли было у вас в порядке? Совершенно.|Все ли было у вас в порядке? Совершенно.
jizn_gnora_s000846|Не любит его: просто — не любит. С этим ничего не поделаешь. Так можно лишь объяснить.|Не любит его: просто - не любит. С этим ничего не поделаешь. Так можно лишь объяснить.
jizn_gnora_s000847|Мард сделал попытку жестикулировать ушибленной правой рукой, но побагровел от боли и рассердился.|Мард сделал попытку жестикулировать ушибленной правой рукой, но побагровел от боли и рассердился.
jizn_gnora_s000848|Роз положил перо.|Роз положил перо.
jizn_gnora_s000849|его никуда не тянуло, и ничего ему не хотелось; у него был хороший аппетит, крепкий сон; внутреннее состояние его напоминало в миниатюре зевок человека,|его никуда не тянуло, и ничего ему не хотелось; у него был хороший аппетит, крепкий сон; внутреннее состояние его напоминало в миниатюре зевок человека,
jizn_gnora_s000850|III. Комон, т. е. Баярд|III. Комон, т.е. Баярд
jizn_gnora_s000851|где, на каждом шагу, открывал Америку.|где, на каждом шагу, открывал Америку.
jizn_gnora_s000852|Конечно, конечно, — подхватил Геннисон, — но, право, у меня душа не на месте и неспокойно мне, пока не посмотрю еще раз на свое. Вы меня поймите по-человечески.|Конечно, конечно,- подхватил Геннисон,- но, право, у меня душа не на месте и неспокойно мне, пока не посмотрю еще раз на свое. Вы меня поймите по-человечески.
jizn_gnora_s000853|Он ждал ее кротко, как дитя; жадно, как истомленный любовник; грозно и молча, как восстановляющий право. Секундой он переживал годы; мир, полный терпеливой любви, окружал его;|Он ждал ее кротко, как дитя; жадно, как истомленный любовник; грозно и молча, как восстановляющий право. Секундой он переживал годы; мир, полный терпеливой любви, окружал его;
jizn_gnora_s000854|Это должен быть очень замкнутый и высокомерный человек, ему терять нечего, - сказал Гнор.|Это должен быть очень замкнутый и высокомерный человек, ему терять нечего, - сказал Гнор.
jizn_gnora_s000855|Александр Грин.|Александр Грин.
jizn_gnora_s000856|Я еще не видал таких лохмотьев. Шерсть на нем торчала из шкур, как трава на гнилой крыше.|Я еще не видал таких лохмотьев. Шерсть на нем торчала из шкур, как трава на гнилой крыше.
jizn_gnora_s000857|Нет. О топоре и шее.|Нет. О топоре и шее.
jizn_gnora_s000858|соединявший отверстие люка с тенистой глубиной каюты, дрогнул и скрылся на палубе. Орфей повернулся.|соединявший отверстие люка с тенистой глубиной каюты, дрогнул и скрылся на палубе. Орфей повернулся.
jizn_gnora_s000859|Это вы, - глухо сказал он. - Вы, Энниок. Ну, вот мы и вместе. Я рад.|Это вы, - глухо сказал он. - Вы, Энниок. Ну, вот мы и вместе. Я рад.
jizn_gnora_s000860|То был прекрасный и страшный сон - великий обман.|То был прекрасный и страшный сон - великий обман.
jizn_gnora_s000861|Молчите, - подхватил другой. - Дайте ему сказать.|Молчите, - подхватил другой. - Дайте ему сказать.
jizn_gnora_s000862|фыркающей, как насос, кровью.|фыркающей, как насос, кровью.
jizn_gnora_s000863|Значит, по закону? — повторил он.|Значит, по закону?- повторил он.
jizn_gnora_s000864|Кто-то шепнул, задыхаясь:|Кто-то шепнул, задыхаясь:
jizn_gnora_s000865|По закону. Как сказал, — кивнул матрос и закрыл глаза.|По закону. Как сказал,- кивнул матрос и закрыл глаза.
jizn_gnora_s000866|Шестерка бубей, - сказал Гнор, открывая свою. - Начнем снова.|Шестерка бубей, - сказал Гнор, открывая свою. - Начнем снова.
jizn_gnora_s000867|Если бы пуговица думала об этом так упорно, как голова Эбергайля.|Если бы пуговица думала об этом так упорно, как голова Эбергайля.
jizn_gnora_s000868|блестела тусклая позолота дерева; металлические хоругви, задевая друг друга, звенели и дребезжали.|блестела тусклая позолота дерева; металлические хоругви, задевая друг друга, звенели и дребезжали.
jizn_gnora_s000869|как, после пробежавшего по всему телу огненного вихря, шея его стремительно вытянулась и голова свесилась до помоста; затем умер.|как, после пробежавшего по всему телу огненного вихря, шея его стремительно вытянулась и голова свесилась до помоста; затем умер.
jizn_gnora_s000870|сновали прохожие; высокие, закутанные до переносья женщины шли медленной поступью; черные глаза их, подернутые влажным блеском, звали к истасканным циновкам,|сновали прохожие; высокие, закутанные до переносья женщины шли медленной поступью; черные глаза их, подернутые влажным блеском, звали к истасканным циновкам,
jizn_gnora_s000871|Кармен смотрела и улыбалась. Он дышит, - сказала она, - такой маленький. Тогда я взял ее за руку и сказал то, что долго меня терзало; я сказал ей о своей любви.|Кармен смотрела и улыбалась. Он дышит, - сказала она, - такой маленький. Тогда я взял ее за руку и сказал то, что долго меня терзало; я сказал ей о своей любви.
jizn_gnora_s000872|точным представлением о ней, - в вопросе о шее и топоре.|точным представлением о ней, - в вопросе о шее и топоре.
jizn_gnora_s000873|А сейчас?|А сейчас?
jizn_gnora_s000874|Я чувствовал себя так, как если бы рисковал жизнью. Похоже на это теперешнее мое состояние. Я боюсь и хочу видеть вашего человека; он должен быть другим, чем мы с вами.|Я чувствовал себя так, как если бы рисковал жизнью. Похоже на это теперешнее мое состояние. Я боюсь и хочу видеть вашего человека; он должен быть другим, чем мы с вами.
jizn_gnora_s000875|другую, третью, ясно чувствуя течение времени.|другую, третью, ясно чувствуя течение времени.
jizn_gnora_s000876|Поэтому я отправился в соседнее купе, чтобы предупредить там пожилую еврейку с большим количеством багажа. С ней я тоже свел знакомство. Вообще в поезде все знали,|Поэтому я отправился в соседнее купе, чтобы предупредить там пожилую еврейку с большим количеством багажа. С ней я тоже свел знакомство. Вообще в поезде все знали,
jizn_gnora_s000877|Свет забытого фонаря выдвигал из тьмы наглухо задраенный люк трюма, борта и нижнюю часть вант. Аллигу поднял фонарь; тени перескочили за борт.|Свет забытого фонаря выдвигал из тьмы наглухо задраенный люк трюма, борта и нижнюю часть вант. Аллигу поднял фонарь; тени перескочили за борт.
jizn_gnora_s000878|Он двинул им на первого солдата незащищенного, разумеется, кольчугой и отрубил ему, наискось, от плеча к бедру, верхнюю часть организма.|Он двинул им на первого солдата незащищенного, разумеется, кольчугой и отрубил ему, наискось, от плеча к бедру, верхнюю часть организма.
jizn_gnora_s000879|Вы тоже едете?|Вы тоже едете?
jizn_gnora_s000880|Первое, что сделал Комон, – это баррикаду у захлопнутой за собой двери. Он навалил на нее трех оглушительно зазвеневших стальных рыцарей времен Меровингов,|Первое, что сделал Комон,- это баррикаду у захлопнутой за собой двери. Он навалил на нее трех оглушительно зазвеневших стальных рыцарей времен Меровингов,
jizn_gnora_s000881|камень заскакал по воде и скрылся.|камень заскакал по воде и скрылся.
jizn_gnora_s000882|Капитан Мард совершенно закрыл левый глаз, отчего правый стал невыносимо презрительным. Роз стукнул кулаком по столу, но смирился.|Капитан Мард совершенно закрыл левый глаз, отчего правый стал невыносимо презрительным. Роз стукнул кулаком по столу, но смирился.
jizn_gnora_s000883|Все дело случая, - как бы угадывая его мысли, сказал Энниок, продолжая возиться у полотенца. - Может быть, вы зато счастливы в любви. Итак, я вам приготовлю каюту.|Все дело случая, - как бы угадывая его мысли, сказал Энниок, продолжая возиться у полотенца. - Может быть, вы зато счастливы в любви. Итак, я вам приготовлю каюту.
jizn_gnora_s000884|Оставим это, - сказал Коломб. - Очевидность часто говорит то, что хотят от нее слышать. Эбергайль - великий стигматик.|Оставим это, - сказал Коломб. - Очевидность часто говорит то, что хотят от нее слышать. Эбергайль - великий стигматик.
jizn_gnora_s000885|На подоконнике сидел человек. Он смотрел вниз с высоты третьего этажа, на вечернюю суету улицы. Дом, мостовая и человек дрожали от грохота экипажей.|На подоконнике сидел человек. Он смотрел вниз с высоты третьего этажа, на вечернюю суету улицы. Дом, мостовая и человек дрожали от грохота экипажей.
jizn_gnora_s000886|Он так разваливался, картавил, делал такие капризные широкие жесты, что я принял его за мошенника благодаря еще обилию брелоков и колец, так как читал,|Он так разваливался, картавил, делал такие капризные широкие жесты, что я принял его за мошенника благодаря еще обилию брелоков и колец, так как читал,
jizn_gnora_s000887|Консервы? Есть. Белье? Есть.|Консервы? Есть. Белье? Есть.
jizn_gnora_s000888|IV.|IV.
jizn_gnora_s000889|Джен, молодая женщина с требовательным, нервным выражением сурово горящих глаз, нехотя улыбнулась.|Джен, молодая женщина с требовательным, нервным выражением сурово горящих глаз, нехотя улыбнулась.
jizn_gnora_s000890|Палач не ударил. - Он поднял руку вверх, изображая движение топора. Топор остановился в воздухе вот так, и, после известных слов прокурора,|Палач не ударил. - Он поднял руку вверх, изображая движение топора. Топор остановился в воздухе вот так, и, после известных слов прокурора,
jizn_gnora_s000891|Во имя науки ответьте мне на некоторые вопросы, - кротко сказал Коломб, - это, может быть, развлечет вас.|Во имя науки ответьте мне на некоторые вопросы, - кротко сказал Коломб, - это, может быть, развлечет вас.
jizn_gnora_s000892|Безответный лес выслушал эти слова и ничего не прибавил к ним. Прогулка пока еще ничего не дала Гнору, кроме утомительного и бесплодного напряжения.|Безответный лес выслушал эти слова и ничего не прибавил к ним. Прогулка пока еще ничего не дала Гнору, кроме утомительного и бесплодного напряжения.
jizn_gnora_s000893|Неизвестно, чем бы он занялся после этого, если бы до конца вечера остался один. С некоторых пор ему доставляло тихое удовольствие сидеть дома,|Неизвестно, чем бы он занялся после этого, если бы до конца вечера остался один. С некоторых пор ему доставляло тихое удовольствие сидеть дома,
jizn_gnora_s000894|берущего глухо и слепо первую, еще тягостную от рыданий ласку, он склонился к ногам Кармен, обнимая их ревнивым кольцом вздрагивающих измученных рук.|берущего глухо и слепо первую, еще тягостную от рыданий ласку, он склонился к ногам Кармен, обнимая их ревнивым кольцом вздрагивающих измученных рук.
jizn_gnora_s000895|У него жена, дети, сам он — военный матрос, откомандированный на частный пароход это практиковалось. Он полон раскаяния. Его ожидают каторжные работы.|У него жена, дети, сам он - военный матрос, откомандированный на частный пароход это практиковалось. Он полон раскаяния. Его ожидают каторжные работы.
jizn_gnora_s000896|Энниок! - снова закричал Гнор. - Что вы хотите делать?|Энниок! - снова закричал Гнор. - Что вы хотите делать?
jizn_gnora_s000897|Детское живет в человеке до седых волос - Энниок удержал Гнора взглядом и загородил дверь.|Детское живет в человеке до седых волос - Энниок удержал Гнора взглядом и загородил дверь.
jizn_gnora_s000898|насколько это было возможно, заплясавшими нервами и выпрямился. Он был вне себя.|насколько это было возможно, заплясавшими нервами и выпрямился. Он был вне себя.
jizn_gnora_s000899|Наконец-то фортуна пересекает нашу дорогу, — сказал Геннисон, закрывая дверь и вешая промокшее от дождя пальто. — Ну, Джен, — отвратительная погода,|Наконец-то фортуна пересекает нашу дорогу,- сказал Геннисон, закрывая дверь и вешая промокшее от дождя пальто.- Ну, Джен,- отвратительная погода,
jizn_gnora_s000900|Сын инженера.|Сын инженера.
jizn_gnora_s000901|В настоящем Гнор видел себя, сожженного безгласной любовью, страданием многих лет, окаменевшего в одном желании, более сильном, чем закон и радость.|В настоящем Гнор видел себя, сожженного безгласной любовью, страданием многих лет, окаменевшего в одном желании, более сильном, чем закон и радость.
jizn_gnora_s000902|Энниок нажал кнопку; электрические тюльпаны безжизненно засияли под потолком; свет этот, мешаясь с дневным, вяло озарил комнату. Энниок рассматривал кий,|Энниок нажал кнопку; электрические тюльпаны безжизненно засияли под потолком; свет этот, мешаясь с дневным, вяло озарил комнату. Энниок рассматривал кий,
jizn_gnora_s000903|но судьба его, не знаю - почему, трогает и печалит меня;|но судьба его, не знаю - почему, трогает и печалит меня;
jizn_gnora_s000904|От него несло океаном, родиной больших душ. И он был так симпатично мужествен, как умный атлет.|От него несло океаном, родиной больших душ. И он был так симпатично мужествен, как умный атлет.
jizn_gnora_s000905|Эти слова произнес он быстро, чуть-чуть изменившимся голосом, и тотчас же принялся хохотать, глядя на удивленного Гнора неподвижными, добрыми глазами.|Эти слова произнес он быстро, чуть-чуть изменившимся голосом, и тотчас же принялся хохотать, глядя на удивленного Гнора неподвижными, добрыми глазами.
jizn_gnora_s000906|Лицо неизвестного заставляло капитана морщиться. Он ничего не понимал. Что вы говорите?|Лицо неизвестного заставляло капитана морщиться. Он ничего не понимал. Что вы говорите?
jizn_gnora_s000907|Вы также брились?|Вы также брились?
jizn_gnora_s000908|Он избегал людей, но о нем, видимо, помнили, снабжая необходимым, - дело рук Энниока.|Он избегал людей, но о нем, видимо, помнили, снабжая необходимым, - дело рук Энниока.
jizn_gnora_s000909|я напряженно жду его появления. Когда он придет. я.|я напряженно жду его появления. Когда он придет. я.
jizn_gnora_s000910|Он закурил слегка дрожащими пальцами сигару и усиленно затянулся, жадно глотая дым.|Он закурил слегка дрожащими пальцами сигару и усиленно затянулся, жадно глотая дым.
jizn_gnora_s000911|Стол? Освещение? Туалет? Это жестоко, Энниок, - возразил, смеясь, Гнор, - жестоко заставлять человека располагать в виде благодарности лишь жалкими человеческими словами.|Стол? Освещение? Туалет? Это жестоко, Энниок, - возразил, смеясь, Гнор, - жестоко заставлять человека располагать в виде благодарности лишь жалкими человеческими словами.
jizn_gnora_s000912|но возвратилась и, подойдя к роялю, блестевшему в пыльном свете окна, тронула клавиши.|но возвратилась и, подойдя к роялю, блестевшему в пыльном свете окна, тронула клавиши.
jizn_gnora_s000913|Энниок шел, привыкая к мысли о близкой смерти. За углом раздался меланхолический стон туземного барабана, пронзительный вой рожков, адская музыка сопровождала ночную религиозную процессию.|Энниок шел, привыкая к мысли о близкой смерти. За углом раздался меланхолический стон туземного барабана, пронзительный вой рожков, адская музыка сопровождала ночную религиозную процессию.
jizn_gnora_s000914|Этого он ни в коем случае не сделает.|Этого он ни в коем случае не сделает.
jizn_gnora_s000915|Ропот водяных струй, обливающих корпус яхты стремительными прикосновениями; топот ног вверху; заглушенный возглас, долетающий как бы из другого мира;|Ропот водяных струй, обливающих корпус яхты стремительными прикосновениями; топот ног вверху; заглушенный возглас, долетающий как бы из другого мира;
jizn_gnora_s000916|Да, но вы академик.|Да, но вы академик.
jizn_gnora_s000917|Притягательный образ вдруг выяснился его напряженному чувству, почти воплотился. Это была маленькая, смуглая, прекрасная голова; растроганно улыбаясь,|Притягательный образ вдруг выяснился его напряженному чувству, почти воплотился. Это была маленькая, смуглая, прекрасная голова; растроганно улыбаясь,
jizn_gnora_s000918|Джен подняла пристальный взгляд. Та же мысль тревожила и ее, но так же, как Геннисон, она ее скрыла и выдала, поспешно сказав:|Джен подняла пристальный взгляд. Та же мысль тревожила и ее, но так же, как Геннисон, она ее скрыла и выдала, поспешно сказав:
jizn_gnora_s000919|Охотно. Я попытаюсь отыграть вчерашний свой проигрыш раззолоченному мяснику Кнасту.|Охотно. Я попытаюсь отыграть вчерашний свой проигрыш раззолоченному мяснику Кнасту.
jizn_gnora_s000920|Мард вопросительно посмотрел на боцмана.|Мард вопросительно посмотрел на боцмана.
jizn_gnora_s000921|со всей болью представления об этом, и, поборов, таким образом, физическую галлюцинацию, лежал несколько минут обессиленный, думая все-таки о топоре и шее.|со всей болью представления об этом, и, поборов, таким образом, физическую галлюцинацию, лежал несколько минут обессиленный, думая все-таки о топоре и шее.
jizn_gnora_s000922|Пусть возят пассажиров тонконогие франты с батистовыми платочками; пока я на Морском Кузнечике капитан, у меня этого балласта не будет. Я парусный грузовик.|Пусть возят пассажиров тонконогие франты с батистовыми платочками; пока я на Морском Кузнечике капитан, у меня этого балласта не будет. Я парусный грузовик.
jizn_gnora_s000923|Здесь бился пульс мира. Горы угля, рев гудков и сирен, заставляющий плакать мое сердце зовом в Америку и Китай, Австралию и Японию, — по океанам,|Здесь бился пульс мира. Горы угля, рев гудков и сирен, заставляющий плакать мое сердце зовом в Америку и Китай, Австралию и Японию,- по океанам,
jizn_gnora_s000924|Поступки красноречивы, - сказал себе Гнор. - Он мягче, чем я думал о нем.|Поступки красноречивы, - сказал себе Гнор. - Он мягче, чем я думал о нем.
jizn_gnora_s000925|В каюте висел фонарь, озарявший три головы тенями и светом старинных портретов. Углы помещения, заваленные сдвинутыми в одну кучу складными стульями,|В каюте висел фонарь, озарявший три головы тенями и светом старинных портретов. Углы помещения, заваленные сдвинутыми в одну кучу складными стульями,
jizn_gnora_s000926|Венчик распускается каждый день утром, свертываясь к одиннадцати. Накануне я сказал той, которую продолжаю любить. Встаньте рано, я покажу вам каприз растительного мира.|Венчик распускается каждый день утром, свертываясь к одиннадцати. Накануне я сказал той, которую продолжаю любить. Встаньте рано, я покажу вам каприз растительного мира.
jizn_gnora_s000927|Зверский треск якорной цепи перебил мысли Гнора на том месте, где он говорил Энниоку: Ваше беспокойство напрасно и смахивает на шутку. Солнечный свет,|Зверский треск якорной цепи перебил мысли Гнора на том месте, где он говорил Энниоку: Ваше беспокойство напрасно и смахивает на шутку. Солнечный свет,
jizn_gnora_s000928|Как дети, сели они на полу, не замечая этого, сжимая руки, глядя друг другу в лицо, и все, чем жили оба до встречи, стало для них.|Как дети, сели они на полу, не замечая этого, сжимая руки, глядя друг другу в лицо, и все, чем жили оба до встречи, стало для них.
jizn_gnora_s000929|Эта изящная девушка, с доброй складкой бровей и твердым ртом, говорила открытым грудным голосом, немного старившим ее, как бабушкин чепчик, надетый десятилетней девочкой.|Эта изящная девушка, с доброй складкой бровей и твердым ртом, говорила открытым грудным голосом, немного старившим ее, как бабушкин чепчик, надетый десятилетней девочкой.
jizn_gnora_s000930|Нурс, откройте, пожалуйста, северную угловую, я хочу еще раз взглянуть на свою работу и, может быть, подправить кой-что. Ну, как — много ли доставлено сегодня моделей?|Нурс, откройте, пожалуйста, северную угловую, я хочу еще раз взглянуть на свою работу и, может быть, подправить кой-что. Ну, как - много ли доставлено сегодня моделей?
jizn_gnora_s000931|тень лошади перебирала ногами.|тень лошади перебирала ногами.
jizn_gnora_s000932|голос этот повторил его собственные недавние слова:|голос этот повторил его собственные недавние слова:
jizn_gnora_s000933|Она была относительно хороша, но существенно плоха рядом с Леданом. С мучением и тоской, в свете высшей справедливости, которой не изменял никогда,|Она была относительно хороша, но существенно плоха рядом с Леданом. С мучением и тоской, в свете высшей справедливости, которой не изменял никогда,
jizn_gnora_s000934|Он быстро пошел вперед и исчез в крыле коридора. Гнор двинулся вслед за ним. Но, услыхав сзади хорошо знакомые шаги, обернулся и радостно протянул руки.|Он быстро пошел вперед и исчез в крыле коридора. Гнор двинулся вслед за ним. Но, услыхав сзади хорошо знакомые шаги, обернулся и радостно протянул руки.
jizn_gnora_s000935|Доктор, тоже помолчав, встал.|Доктор, тоже помолчав, встал.
jizn_gnora_s000936|что кончится это для него плохо.|что кончится это для него плохо.
jizn_gnora_s000937|Я никогда не думала, что ты умер.|Я никогда не думала, что ты умер.
jizn_gnora_s000938|Всему было одно имя - Кармен. Только одно было у него в настоящем - имя, обвеянное волнением, боготворимое имя женщины с золотой кожей - Кармен.|Всему было одно имя - Кармен. Только одно было у него в настоящем - имя, обвеянное волнением, боготворимое имя женщины с золотой кожей - Кармен.
jizn_gnora_s000939|И Комон благополучно удрал. Это бывает. Простое вдохновение часто выручает человека лучше всяких расчетов.|И Комон благополучно удрал. Это бывает. Простое вдохновение часто выручает человека лучше всяких расчетов.
jizn_gnora_s000940|одеждой и инструментами, напоминали подвал старьевщика.|одеждой и инструментами, напоминали подвал старьевщика.
jizn_gnora_s000941|Глупости, - сказал он, кусая усы, - он не поедет.|Глупости, - сказал он, кусая усы, - он не поедет.
jizn_gnora_s000942|Маленькие пятна экипажных фонарей беззвучно мчались по мостовой. Черная дыра переулка, полная фантастических силуэтов, желтая от огня окон, уличного свиста и шума,|Маленькие пятна экипажных фонарей беззвучно мчались по мостовой. Черная дыра переулка, полная фантастических силуэтов, желтая от огня окон, уличного свиста и шума,
jizn_gnora_s000943|Ничего не может быть действительнее описанного мною происшествия.|Ничего не может быть действительнее описанного мною происшествия.
jizn_gnora_s000944|С пассажиром? - Мард подвинулся к фонарю, и Аллигу увидел злорадно торжествующее лицо. - Обольстительнейший и драгоценнейший Аллигу, вы ошиблись.|С пассажиром? - Мард подвинулся к фонарю, и Аллигу увидел злорадно торжествующее лицо. - Обольстительнейший и драгоценнейший Аллигу, вы ошиблись.
