meraviglieduemila_01_salgari_f000001|Le meraviglie del Duemila di Emilio Salgari|Le meraviglie del Duemila di Emilio Salgari
meraviglieduemila_16_salgari_f000011|L’acqua dolce non poteva mancare, essendovi dei potenti distillatori elettrici che potevano fornirne in grande quantità;|Lacqua dolce non poteva mancare, essendovi dei potenti distillatori elettrici che potevano fornirne in grande quantità;
meraviglieduemila_16_salgari_f000012|i viveri nemmeno, perchè reti ve n’erano in abbondanza e si sa che gli oceani sono ben più ricchi dei mari.|i viveri nemmeno, perchè reti ve nerano in abbondanza e si sa che gli oceani sono ben più ricchi dei mari.
meraviglieduemila_16_salgari_f000013|Disgraziatamente l’uragano aveva ben poca intenzione di finire.|Disgraziatamente luragano aveva ben poca intenzione di finire.
meraviglieduemila_16_salgari_f000014|Nè le onde, nè il vento accennavano a calmarsi|Nè le onde, nè il vento accennavano a calmarsi
meraviglieduemila_16_salgari_f000015|minacciando di trascinare la città galleggiante in mezzo all’Atlantico, poichè la bufera imperversava da levante.|minacciando di trascinare la città galleggiante in mezzo allAtlantico, poichè la bufera imperversava da levante.
meraviglieduemila_16_salgari_f000016|La gigantesca cassa d’acciaio, dopo essere sprofondata, era subito risalita a galla, rollando spaventosamente e girando su se stessa.|La gigantesca cassa dacciaio, dopo essere sprofondata, era subito risalita a galla, rollando spaventosamente e girando su se stessa.
meraviglieduemila_16_salgari_f000017|Se i piloni d’acciaio avevano ceduto sotto gli urti possenti delle onde|Se i piloni dacciaio avevano ceduto sotto gli urti possenti delle onde
meraviglieduemila_16_salgari_f000018|la cupola aveva meravigliosamente resistito al tuffo e meglio ancora avevano resistito i tre americani|la cupola aveva meravigliosamente resistito al tuffo e meglio ancora avevano resistito i tre americani
meraviglieduemila_16_salgari_f000019|il capitano ed il pilota del Centauro e Jao.|il capitano ed il pilota del Centauro e Jao.
meraviglieduemila_16_salgari_f000020|Aggrappati tenacemente alle traverse, avevano aspettato che la città ritornasse a galla, opponendo una resistenza disperata alle onde.|Aggrappati tenacemente alle traverse, avevano aspettato che la città ritornasse a galla, opponendo una resistenza disperata alle onde.
meraviglieduemila_16_salgari_f000021|— Credevo che la nostra ultima ora fosse giunta — disse Brandok dopo aver respirata una gran boccata d’aria. — E tu, Toby?|- Credevo che la nostra ultima ora fosse giunta - disse Brandok dopo aver respirata una gran boccata daria. - E tu, Toby?
meraviglieduemila_16_salgari_f000022|— Io mi domando se sono ancora vivo o se navigo sotto l’Atlantico — rispose il dottore.|- Io mi domando se sono ancora vivo o se navigo sotto lAtlantico - rispose il dottore.
meraviglieduemila_16_salgari_f000023|— Spero che sarai soddisfatto degli ingegneri che hanno fatto costruire questa colossale cassa.|- Spero che sarai soddisfatto degli ingegneri che hanno fatto costruire questa colossale cassa.
meraviglieduemila_16_salgari_f000024|— Gente meravigliosa, mio caro.|- Gente meravigliosa, mio caro.
meraviglieduemila_16_salgari_f000025|Ai nostri tempi non sarebbero stati capaci di fare altrettanto. — Ne sono pienamente convinto.|Ai nostri tempi non sarebbero stati capaci di fare altrettanto. - Ne sono pienamente convinto.
meraviglieduemila_16_salgari_f000026|Capitano, dove ci spinge la tempesta?|Capitano, dove ci spinge la tempesta?
meraviglieduemila_16_salgari_f000027|— Verso sud-ovest — rispose il comandante del Centauro.|- Verso sud-ovest - rispose il comandante del Centauro.
meraviglieduemila_16_salgari_f000028|— Vi sono isole in questa direzione? — Le Azzorre.|- Vi sono isole in questa direzione? - Le Azzorre.
meraviglieduemila_16_salgari_f000029|— Andremo a sfracellarci contro di esse?|- Andremo a sfracellarci contro di esse?
meraviglieduemila_16_salgari_f000030|— Ciò dipende dalla durata della bufera, signore. — Non vi pare che si calmi? — Niente affatto.|- Ciò dipende dalla durata della bufera, signore. - Non vi pare che si calmi? - Niente affatto.
meraviglieduemila_16_salgari_f000031|Infuria sempre tremendamente e temo che ci faccia ballare per molto tempo.|Infuria sempre tremendamente e temo che ci faccia ballare per molto tempo.
meraviglieduemila_16_salgari_f000032|Soffrite il mal di mare? — Niente affatto. — Allora tutto va bene.|Soffrite il mal di mare? - Niente affatto. - Allora tutto va bene.
meraviglieduemila_16_salgari_f000033|— E se fra un paio di giorni questo cassone si schiaccerà contro qualche scoglio, andrà anche allora tutto bene? — chiese Holker, ridendo.|- E se fra un paio di giorni questo cassone si schiaccerà contro qualche scoglio, andrà anche allora tutto bene? - chiese Holker, ridendo.
meraviglieduemila_16_salgari_f000034|— Non l’abbiamo ancora incontrato quello scoglio, quindi, finchè non lo incontreremo|- Non labbiamo ancora incontrato quello scoglio, quindi, finchè non lo incontreremo
meraviglieduemila_16_salgari_f000035|non abbiamo alcun motivo per allarmarci — rispose il capitano del Centauro.|non abbiamo alcun motivo per allarmarci - rispose il capitano del Centauro.
meraviglieduemila_16_salgari_f000036|— Vi è però un’altra cosa che mi preoccupa assai. — Quale?|- Vi è però unaltra cosa che mi preoccupa assai. - Quale?
meraviglieduemila_16_salgari_f000037|— La risposta dovete darmela voi, Jao. — Parlate, capitano.|- La risposta dovete darmela voi, Jao. - Parlate, capitano.
meraviglieduemila_16_salgari_f000038|— I vostri sudditi posseggono dei viveri?|- I vostri sudditi posseggono dei viveri?
meraviglieduemila_16_salgari_f000039|— Per due o tre giorni, non di più. — E noi?|- Per due o tre giorni, non di più. - E noi?
meraviglieduemila_16_salgari_f000040|— Prima che l’uragano scoppiasse, vi erano molti pesci messi a seccare lungo le balaustrate, ma credo che il mare abbia portato via tutto.|- Prima che luragano scoppiasse, vi erano molti pesci messi a seccare lungo le balaustrate, ma credo che il mare abbia portato via tutto.
meraviglieduemila_16_salgari_f000041|— Ne potremo avere dai forzati?|- Ne potremo avere dai forzati?
meraviglieduemila_16_salgari_f000042|— Forse, quando si saranno stancati di bere — rispose Jao.|- Forse, quando si saranno stancati di bere - rispose Jao.
meraviglieduemila_16_salgari_f000043|— Vi sono però delle reti in un ripostiglio della cupola.|- Vi sono però delle reti in un ripostiglio della cupola.
meraviglieduemila_16_salgari_f000044|— Ma nessun distillatore per procurarci l’acqua... — Quassù no.|- Ma nessun distillatore per procurarci lacqua... - Quassù no.
meraviglieduemila_16_salgari_f000045|— Corriamo dunque il pericolo di morire se non di fame, per lo meno di sete, se i vostri sudditi si rifiuteranno di fornirci l’acqua.|- Corriamo dunque il pericolo di morire se non di fame, per lo meno di sete, se i vostri sudditi si rifiuteranno di fornirci lacqua.
meraviglieduemila_16_salgari_f000046|Ecco quello che temevo.|Ecco quello che temevo.
meraviglieduemila_16_salgari_f000047|— Abbiamo l’ascensore, capitano — disse Jao.|- Abbiamo lascensore, capitano - disse Jao.
meraviglieduemila_16_salgari_f000048|— Che ci servirà ottimamente per farci accoppare da quei pazzi.|- Che ci servirà ottimamente per farci accoppare da quei pazzi.
meraviglieduemila_16_salgari_f000049|Non sarò certamente io che scenderò nella città per chiedere dell’acqua a quei furfanti. A proposito, che cosa fanno?|Non sarò certamente io che scenderò nella città per chiedere dellacqua a quei furfanti. A proposito, che cosa fanno?
meraviglieduemila_16_salgari_f000050|Che si siano accorti che la loro prigione cammina attraverso l’Atlantico?|Che si siano accorti che la loro prigione cammina attraverso lAtlantico?
meraviglieduemila_16_salgari_f000051|— Io scommetterei di no — disse Toby. — Che dormano? — chiese Brandok. — Non odo più le loro grida.|- Io scommetterei di no - disse Toby. - Che dormano? - chiese Brandok. - Non odo più le loro grida.
meraviglieduemila_16_salgari_f000052|— Andiamo a vedere — disse il capitano.|- Andiamo a vedere - disse il capitano.
meraviglieduemila_16_salgari_f000053|— Sono curioso di sapere se continuano a bere ed a ballare.|- Sono curioso di sapere se continuano a bere ed a ballare.
meraviglieduemila_16_salgari_f000054|Si spinsero verso il pozzo dell’ascensore.|Si spinsero verso il pozzo dellascensore.
meraviglieduemila_16_salgari_f000055|Le lampade a radium ardevano sempre, ed un profondo silenzio regnava nell’interno della città galleggiante.|Le lampade a radium ardevano sempre, ed un profondo silenzio regnava nellinterno della città galleggiante.
meraviglieduemila_16_salgari_f000056|Sulla piazza, in mezzo ad un gran numero di barili e d’ogni sorta di rottami|Sulla piazza, in mezzo ad un gran numero di barili e dogni sorta di rottami
meraviglieduemila_16_salgari_f000057|dormivano dei gruppi di forzati, fulminati di certo da quelle terribili bevute.|dormivano dei gruppi di forzati, fulminati di certo da quelle terribili bevute.
meraviglieduemila_16_salgari_f000058|Altri giacevano stesi al suolo entro le case semidistrutte, prive dei tetti.|Altri giacevano stesi al suolo entro le case semidistrutte, prive dei tetti.
meraviglieduemila_16_salgari_f000059|Un orribile tanfo saliva sempre.|Un orribile tanfo saliva sempre.
meraviglieduemila_16_salgari_f000060|— Dormono come ghiri — disse Brandok.|- Dormono come ghiri - disse Brandok.
meraviglieduemila_16_salgari_f000061|— Sfido io, dopo una simile orgia! — rispose Toby — Un barile di ammoniaca non basterebbe a rimetterli in piedi.|- Sfido io, dopo una simile orgia! - rispose Toby - Un barile di ammoniaca non basterebbe a rimetterli in piedi.
meraviglieduemila_16_salgari_f000062|— E noi approfitteremo del loro sonno — disse Jao. — Per fare che cosa?|- E noi approfitteremo del loro sonno - disse Jao. - Per fare che cosa?
meraviglieduemila_16_salgari_f000063|— chiese il capitano del Centauro.|- chiese il capitano del Centauro.
meraviglieduemila_16_salgari_f000064|— Per fare la nostra provvista d’acqua, signore.|- Per fare la nostra provvista dacqua, signore.
meraviglieduemila_16_salgari_f000065|— Voi siete un uomo meraviglioso. Chi scenderà? — Io. — E se vi accoppano?|- Voi siete un uomo meraviglioso. Chi scenderà? - Io. - E se vi accoppano?
meraviglieduemila_16_salgari_f000066|— Non vi è alcun pericolo — disse Toby.|- Non vi è alcun pericolo - disse Toby.
meraviglieduemila_16_salgari_f000067|— Quei furfanti non si sveglieranno prima di ventiquattro ore. — Ed i miei marinai?|- Quei furfanti non si sveglieranno prima di ventiquattro ore. - Ed i miei marinai?
meraviglieduemila_16_salgari_f000068|— chiese il capitano — Che siano stati uccisi?|- chiese il capitano - Che siano stati uccisi?
meraviglieduemila_16_salgari_f000069|— Ne vedo qualcuno steso sulla piazza — disse il pilota.|- Ne vedo qualcuno steso sulla piazza - disse il pilota.
meraviglieduemila_16_salgari_f000070|— Essi non hanno potuto resistere alla tentazione di fare una colossale bevuta,|- Essi non hanno potuto resistere alla tentazione di fare una colossale bevuta,
meraviglieduemila_16_salgari_f000071|ed hanno fatto causa comune coi forzati. Non contate più su di loro. — Miserabili! — Sono tutti irlandesi;|ed hanno fatto causa comune coi forzati. Non contate più su di loro. - Miserabili! - Sono tutti irlandesi;
meraviglieduemila_16_salgari_f000072|voi sapete quanto me se quella gente beva, quando si presenta l’occasione.|voi sapete quanto me se quella gente beva, quando si presenta loccasione.
meraviglieduemila_16_salgari_f000073|— Non perdiamo tempo — disse Jao. — Aiutatemi, signori.|- Non perdiamo tempo - disse Jao. - Aiutatemi, signori.
meraviglieduemila_16_salgari_f000074|L’ascensore fu sbloccato e l’ex governatore scese nella città accompagnato dal pilota.|Lascensore fu sbloccato e lex governatore scese nella città accompagnato dal pilota.
meraviglieduemila_16_salgari_f000075|La sua prima preoccupazione fu di sfondare tutti i barili pieni d’alcool che non erano stati ancora vuotati|La sua prima preoccupazione fu di sfondare tutti i barili pieni dalcool che non erano stati ancora vuotati
meraviglieduemila_16_salgari_f000076|e così por fine a quell’orgia pericolosa;|e così por fine a quellorgia pericolosa;
meraviglieduemila_16_salgari_f000077|poi s’impadronì d’una cassa di pesce secco e di un caratello d’acqua dolce.|poi simpadronì duna cassa di pesce secco e di un caratello dacqua dolce.
meraviglieduemila_16_salgari_f000078|Nessun forzato si era svegliato.|Nessun forzato si era svegliato.
meraviglieduemila_16_salgari_f000079|Quei trecento e più furfanti non si erano mossi e russavano con un fragore tale da far tremare perfino i vetri della cupola.|Quei trecento e più furfanti non si erano mossi e russavano con un fragore tale da far tremare perfino i vetri della cupola.
meraviglieduemila_16_salgari_f000080|L’ascensore risalì e fu subito bloccato perchè non potessero servirsene quelli che stavano sotto.|Lascensore risalì e fu subito bloccato perchè non potessero servirsene quelli che stavano sotto.
meraviglieduemila_16_salgari_f000081|— Ora — disse Jao — possiamo aspettare l’incontro di una nave.|- Ora - disse Jao - possiamo aspettare lincontro di una nave.
meraviglieduemila_16_salgari_f000082|Per quindici giorni almeno non correremo il pericolo di morire di fame e di sete.|Per quindici giorni almeno non correremo il pericolo di morire di fame e di sete.
meraviglieduemila_16_salgari_f000083|— Ed i vostri sudditi ne avranno abbastanza per resistere tanto? — chiese Brandok.|- Ed i vostri sudditi ne avranno abbastanza per resistere tanto? - chiese Brandok.
meraviglieduemila_16_salgari_f000084|— Che crepino tutti! Sono dei miserabili che non destano alcuna compassione — rispose Jao con rabbia.|- Che crepino tutti! Sono dei miserabili che non destano alcuna compassione - rispose Jao con rabbia.
meraviglieduemila_16_salgari_f000085|— Io non mi occuperò più di loro.|- Io non mi occuperò più di loro.
meraviglieduemila_16_salgari_f000086|— Eppure io temo invece che noi saremo costretti ad occuparcene e molto — disse Brandok.|- Eppure io temo invece che noi saremo costretti ad occuparcene e molto - disse Brandok.
meraviglieduemila_16_salgari_f000087|— Quando si risveglieranno e sentiranno la loro città ballare vorranno salire anche loro e ci daranno non pochi fastidi.|- Quando si risveglieranno e sentiranno la loro città ballare vorranno salire anche loro e ci daranno non pochi fastidi.
meraviglieduemila_16_salgari_f000088|— Ed io condivido il vostro pensiero, signore — disse il capitano.|- Ed io condivido il vostro pensiero, signore - disse il capitano.
meraviglieduemila_16_salgari_f000089|— Avremo la tempesta sopra le nostre teste e quei pazzi sotto di noi.|- Avremo la tempesta sopra le nostre teste e quei pazzi sotto di noi.
meraviglieduemila_16_salgari_f000090|La nostra passeggiata attraverso l’Atlantico, prevedo che non sarà troppo divertente.|La nostra passeggiata attraverso lAtlantico, prevedo che non sarà troppo divertente.
meraviglieduemila_16_salgari_f000091|Chissà! Aspettiamo che il sole si mostri per poter meglio giudicare la violenza e la durata di questo ciclone.|Chissà! Aspettiamo che il sole si mostri per poter meglio giudicare la violenza e la durata di questo ciclone.
meraviglieduemila_16_salgari_f000092|Emergendo assai la città galleggiante dopo il suo distacco dalla roccia|Emergendo assai la città galleggiante dopo il suo distacco dalla roccia
meraviglieduemila_16_salgari_f000093|e non essendovi alcun pericolo che le onde giungessero fino al culmine della cupola|e non essendovi alcun pericolo che le onde giungessero fino al culmine della cupola
meraviglieduemila_16_salgari_f000094|i sei uomini si sdraiarono presso l’orifizio del pozzo, per concedersi, se era possibile, qualche ora di sonno.|i sei uomini si sdraiarono presso lorifizio del pozzo, per concedersi, se era possibile, qualche ora di sonno.
meraviglieduemila_16_salgari_f000095|L’enorme massa metallica subiva però dei soprassalti così terribili e così bruschi da rendere impossibile una buona dormita.|Lenorme massa metallica subiva però dei soprassalti così terribili e così bruschi da rendere impossibile una buona dormita.
meraviglieduemila_16_salgari_f000096|Le onde che si succedevano alle onde con furia sempre maggiore|Le onde che si succedevano alle onde con furia sempre maggiore
meraviglieduemila_16_salgari_f000097|la scrollavano terribilmente e la facevano talvolta girare su se stessa, essendo sprovvista di timoni.|la scrollavano terribilmente e la facevano talvolta girare su se stessa, essendo sprovvista di timoni.
meraviglieduemila_16_salgari_f000098|Di quando in quando sprofondava pesantemente negli avvallamenti, come se dovesse scomparire per sempre nei baratri dell’Atlantico;|Di quando in quando sprofondava pesantemente negli avvallamenti, come se dovesse scomparire per sempre nei baratri dellAtlantico;
meraviglieduemila_16_salgari_f000099|poi si risollevava bruscamente con mille strani fragori che impressionavano specialmente Brandok|poi si risollevava bruscamente con mille strani fragori che impressionavano specialmente Brandok
meraviglieduemila_16_salgari_f000100|i cui nervi, già da qualche tempo, sembravano fortemente scossi.|i cui nervi, già da qualche tempo, sembravano fortemente scossi.
meraviglieduemila_16_salgari_f000101|Talvolta s’alzava sulle creste dei cavalloni con un dondolio spaventoso|Talvolta salzava sulle creste dei cavalloni con un dondolio spaventoso
meraviglieduemila_16_salgari_f000102|quindi scendeva, scendeva, con rapidità vertiginosa, roteando come una trottola.|quindi scendeva, scendeva, con rapidità vertiginosa, roteando come una trottola.
meraviglieduemila_16_salgari_f000103|E l’uragano intanto, invece di calmarsi, aumentava sempre.|E luragano intanto, invece di calmarsi, aumentava sempre.
meraviglieduemila_16_salgari_f000104|Lampi accecanti si succedevano senza tregua con un crescendo terrorizzante|Lampi accecanti si succedevano senza tregua con un crescendo terrorizzante
meraviglieduemila_16_salgari_f000105|seguiti da tuoni formidabili che si ripercuotevano sinistramente perfino dentro la città|seguiti da tuoni formidabili che si ripercuotevano sinistramente perfino dentro la città
meraviglieduemila_16_salgari_f000106|facendo vibrare le pareti di metallo, senza riuscire a svegliare gli ubriachi.|facendo vibrare le pareti di metallo, senza riuscire a svegliare gli ubriachi.
meraviglieduemila_16_salgari_f000107|Tutta la notte, l’enorme massa oscillò e girò, percossa incessantemente dai cavalloni|Tutta la notte, lenorme massa oscillò e girò, percossa incessantemente dai cavalloni
meraviglieduemila_16_salgari_f000108|i quali la spingevano verso il Mar dei Sargassi piuttosto che verso le Azzorre, come dapprima aveva creduto il capitano.|i quali la spingevano verso il Mar dei Sargassi piuttosto che verso le Azzorre, come dapprima aveva creduto il capitano.
meraviglieduemila_16_salgari_f000109|Finalmente, verso le quattro del mattino, un barlume di luce apparve fra uno squarcio delle tempestose nubi.|Finalmente, verso le quattro del mattino, un barlume di luce apparve fra uno squarcio delle tempestose nubi.
meraviglieduemila_16_salgari_f000110|L’Atlantico offriva uno spettacolo impressionante.|LAtlantico offriva uno spettacolo impressionante.
meraviglieduemila_16_salgari_f000111|Masse d’acqua, coperte di spuma, si accavallavano rabbiosamente, urtandosi e spingendosi.|Masse dacqua, coperte di spuma, si accavallavano rabbiosamente, urtandosi e spingendosi.
meraviglieduemila_16_salgari_f000112|Nessuna nave, nè aerea, nè marittima, appariva.|Nessuna nave, nè aerea, nè marittima, appariva.
meraviglieduemila_16_salgari_f000113|Solamente dei grossi albatros volteggiavano fra la spuma e la caligine, grugnendo come porci.|Solamente dei grossi albatros volteggiavano fra la spuma e la caligine, grugnendo come porci.
meraviglieduemila_16_salgari_f000114|— Nessuna speranza di venire salvati, è vero, capitano? — chiese Brandok.|- Nessuna speranza di venire salvati, è vero, capitano? - chiese Brandok.
meraviglieduemila_16_salgari_f000115|— Per ora, no — rispose il comandante del Centauro. — Dove ci spinge il vento? — Verso sud-ovest.|- Per ora, no - rispose il comandante del Centauro. - Dove ci spinge il vento? - Verso sud-ovest.
meraviglieduemila_16_salgari_f000116|— Lontano dalle rotte tenute dalle navi? — Purtroppo, signore.|- Lontano dalle rotte tenute dalle navi? - Purtroppo, signore.
meraviglieduemila_16_salgari_f000117|— Dove andremo a finire dunque?|- Dove andremo a finire dunque?
meraviglieduemila_16_salgari_f000118|— Sarebbe impossibile dirlo, poichè il vento potrebbe anche cambiare da un momento all’altro.|- Sarebbe impossibile dirlo, poichè il vento potrebbe anche cambiare da un momento allaltro.
meraviglieduemila_16_salgari_f000119|In quell’istante delle grida spaventevoli scoppiarono nell’interno della città galleggiante.|In quellistante delle grida spaventevoli scoppiarono nellinterno della città galleggiante.
meraviglieduemila_16_salgari_f000120|I tre americani, il capitano, il pilota e Jao si affrettarono a raggiungere la bocca del pozzo.|I tre americani, il capitano, il pilota e Jao si affrettarono a raggiungere la bocca del pozzo.
meraviglieduemila_16_salgari_f000121|I forzati si erano svegliati e, presi chissà da quale furioso delirio|I forzati si erano svegliati e, presi chissà da quale furioso delirio
meraviglieduemila_16_salgari_f000122|si azzuffavano ferocemente fra di loro armati degli attrezzi da pesca e di coltelli.|si azzuffavano ferocemente fra di loro armati degli attrezzi da pesca e di coltelli.
meraviglieduemila_16_salgari_f000123|I miserabili cadevano a dozzine, immersi in veri laghi di sangue|I miserabili cadevano a dozzine, immersi in veri laghi di sangue
meraviglieduemila_16_salgari_f000124|coi crani spaccati da colpi di rampone o coi petti squarciati da colpi di coltello. — Disgraziati, che cosa fate? — gridò Jao inorridito.|coi crani spaccati da colpi di rampone o coi petti squarciati da colpi di coltello. - Disgraziati, che cosa fate? - gridò Jao inorridito.
meraviglieduemila_16_salgari_f000125|La sua voce si perdette fra i clamori spaventevoli dei combattenti.|La sua voce si perdette fra i clamori spaventevoli dei combattenti.
meraviglieduemila_16_salgari_f000126|Il capitano sparò alcuni colpi della sua rivoltella elettrica, sperando che quelle detonazioni|Il capitano sparò alcuni colpi della sua rivoltella elettrica, sperando che quelle detonazioni
meraviglieduemila_16_salgari_f000127|troppo deboli, però, attirassero l’attenzione di quei furfanti.|troppo deboli, però, attirassero lattenzione di quei furfanti.
meraviglieduemila_16_salgari_f000128|Nessuno vi aveva fatto caso: forse nemmeno un colpo di cannone sarebbe stato sufficiente ad impressionarli.|Nessuno vi aveva fatto caso: forse nemmeno un colpo di cannone sarebbe stato sufficiente ad impressionarli.
meraviglieduemila_16_salgari_f000129|— Lasciate che si scannino — disse Brandok.|- Lasciate che si scannino - disse Brandok.
meraviglieduemila_16_salgari_f000130|— Tanti pessimi soggetti di meno.|- Tanti pessimi soggetti di meno.
meraviglieduemila_16_salgari_f000131|— D’altronde, noi nulla potremmo fare per calmarli — disse il capitano del Centauro.|- Daltronde, noi nulla potremmo fare per calmarli - disse il capitano del Centauro.
meraviglieduemila_16_salgari_f000132|— Se scendessimo, ci farebbero a pezzi.|- Se scendessimo, ci farebbero a pezzi.
meraviglieduemila_16_salgari_f000133|— Io vorrei sapere per quale ragione si scannano a quel modo — disse Holker.|- Io vorrei sapere per quale ragione si scannano a quel modo - disse Holker.
meraviglieduemila_16_salgari_f000134|— Sono ancora ubriachi, non lo vedete? — disse il capitano.|- Sono ancora ubriachi, non lo vedete? - disse il capitano.
meraviglieduemila_16_salgari_f000135|— Vomitano sangue e alcool insieme.|- Vomitano sangue e alcool insieme.
meraviglieduemila_16_salgari_f000136|— Finitela! — gridava intanto, con quanta voce aveva in gola Jao! — Basta, miserabili! Basta! Era fiato sprecato.|- Finitela! - gridava intanto, con quanta voce aveva in gola Jao! - Basta, miserabili! Basta! Era fiato sprecato.
meraviglieduemila_16_salgari_f000137|La strage orrenda continuava con maggior rabbia fra i due partiti, formatisi chissà per quale motivo.|La strage orrenda continuava con maggior rabbia fra i due partiti, formatisi chissà per quale motivo.
meraviglieduemila_16_salgari_f000138|Combattevano sulla piazza, nelle viuzze, perfino dentro le case, fra urla e bestemmie.|Combattevano sulla piazza, nelle viuzze, perfino dentro le case, fra urla e bestemmie.
meraviglieduemila_16_salgari_f000139|Di quando in quando dei gruppi si staccavano e correvano a rinforzarsi ai pochi barili che il pilota e Jao non avevano veduto e sfondato;|Di quando in quando dei gruppi si staccavano e correvano a rinforzarsi ai pochi barili che il pilota e Jao non avevano veduto e sfondato;
meraviglieduemila_16_salgari_f000140|poi, vieppiù eccitati, si scagliavano con furore nella mischia.|poi, vieppiù eccitati, si scagliavano con furore nella mischia.
meraviglieduemila_16_salgari_f000141|Quella battaglia spaventosa durò più di una mezz’ora, con grande strage da una parte e dall’altra;|Quella battaglia spaventosa durò più di una mezzora, con grande strage da una parte e dallaltra;
meraviglieduemila_16_salgari_f000142|poi i superstiti un centinaio appena, esausti, si separarono, rifugiandosi chi nelle baracche semisfondate|poi i superstiti un centinaio appena, esausti, si separarono, rifugiandosi chi nelle baracche semisfondate
meraviglieduemila_16_salgari_f000143|chi negli angoli più oscuri della città, lasciandosi cadere al suolo come corpi morti. — È finita — disse Brandok.|chi negli angoli più oscuri della città, lasciandosi cadere al suolo come corpi morti. - È finita - disse Brandok.
meraviglieduemila_16_salgari_f000144|— Che ricomincino e tramutino la città galleggiante in una città di morti?|- Che ricomincino e tramutino la città galleggiante in una città di morti?
meraviglieduemila_16_salgari_f000145|— Ecco un nuovo pericolo per noi — disse il capitano del Centauro.|- Ecco un nuovo pericolo per noi - disse il capitano del Centauro.
meraviglieduemila_16_salgari_f000146|— Chi getterà in mare quei tre o quattrocento morti?|- Chi getterà in mare quei tre o quattrocento morti?
meraviglieduemila_16_salgari_f000147|Col calore che regna qui si corromperanno presto e scoppierà fra i superstiti qualche malattia che finirà per distruggerli.|Col calore che regna qui si corromperanno presto e scoppierà fra i superstiti qualche malattia che finirà per distruggerli.
meraviglieduemila_16_salgari_f000148|— E che forse non risparmierà nemmeno noi, — disse Toby — se non troveremo qualche mezzo per lasciare questa città di morti.|- E che forse non risparmierà nemmeno noi, - disse Toby - se non troveremo qualche mezzo per lasciare questa città di morti.
meraviglieduemila_16_salgari_f000149|— Per ora rassegnatevi, signori — disse il capitano.|- Per ora rassegnatevi, signori - disse il capitano.
meraviglieduemila_16_salgari_f000150|— Non vedo alcuna terra sorgere all’orizzonte.|- Non vedo alcuna terra sorgere allorizzonte.
meraviglieduemila_16_salgari_f000151|— Il Centauro deve essere stato costruito quando brillava una cattiva stella, mio caro capitano — disse Brandok. — Così pare.|- Il Centauro deve essere stato costruito quando brillava una cattiva stella, mio caro capitano - disse Brandok. - Così pare.
meraviglieduemila_16_salgari_f000152|Non è stato che un continuo succedersi di disgrazie.|Non è stato che un continuo succedersi di disgrazie.
meraviglieduemila_16_salgari_f000153|Chissà, aspettiamo la fine di questo poco allegro viaggio.|Chissà, aspettiamo la fine di questo poco allegro viaggio.
meraviglieduemila_16_salgari_f000154|La città per ora non minaccia di affondare, quindi abbiamo diritto di sperare.|La città per ora non minaccia di affondare, quindi abbiamo diritto di sperare.
meraviglieduemila_16_salgari_f000155|Sembrava però che le speranze dovessero diventare ben magre, poichè l’uragano continuava sempre ad infuriare|Sembrava però che le speranze dovessero diventare ben magre, poichè luragano continuava sempre ad infuriare
meraviglieduemila_16_salgari_f000156|sconvolgendo l’Atlantico per un tratto certamente immenso.|sconvolgendo lAtlantico per un tratto certamente immenso.
meraviglieduemila_16_salgari_f000157|Nondimeno la città galleggiava sempre benissimo, ora sollevandosi ed ora sprofondandosi fino a metà della cupola.|Nondimeno la città galleggiava sempre benissimo, ora sollevandosi ed ora sprofondandosi fino a metà della cupola.
meraviglieduemila_16_salgari_f000158|Talvolta i cavalloni giungevano quasi fino presso i sei uomini|Talvolta i cavalloni giungevano quasi fino presso i sei uomini
meraviglieduemila_16_salgari_f000159|i quali si tenevano bene aggrappati all’orlo del pozzo, per paura di venire portati via.|i quali si tenevano bene aggrappati allorlo del pozzo, per paura di venire portati via.
meraviglieduemila_16_salgari_f000160|La spuma talvolta li avvolgeva così fittamente che non potevano distinguersi l’uno dall’altro, quantunque si trovassero molto vicini.|La spuma talvolta li avvolgeva così fittamente che non potevano distinguersi luno dallaltro, quantunque si trovassero molto vicini.
meraviglieduemila_16_salgari_f000161|Il sole era sorto da qualche ora, però i suoi raggi non riuscivano ad attraversare l’enorme massa di vapori|Il sole era sorto da qualche ora, però i suoi raggi non riuscivano ad attraversare lenorme massa di vapori
meraviglieduemila_16_salgari_f000162|sicchè sull’oceano regnava una semioscurità spaventosa.|sicchè sulloceano regnava una semioscurità spaventosa.
meraviglieduemila_16_salgari_f000163|A mezzodì i naufraghi mangiarono alla meglio qualche boccone;|A mezzodì i naufraghi mangiarono alla meglio qualche boccone;
meraviglieduemila_16_salgari_f000164|poi, dopo essersi assicurati con delle reti alle traverse dei vetri|poi, dopo essersi assicurati con delle reti alle traverse dei vetri
meraviglieduemila_16_salgari_f000165|cercarono di dormire qualche ora sotto la guardia del pilota del Centauro.|cercarono di dormire qualche ora sotto la guardia del pilota del Centauro.
meraviglieduemila_16_salgari_f000166|Tutta la notte non avevano chiuso un solo istante gli occhi|Tutta la notte non avevano chiuso un solo istante gli occhi
