sandmann_1_f000001|Nathanael an Lothar Gewiß seid Ihr alle voll Unruhe, daß ich so lange lange nicht geschrieben.|Nathanael an Lothar Gewiß seid Ihr alle voll Unruhe, daß ich so lange lange nicht geschrieben.
sandmann_3_f000105|Sein Verdruß über Claras kaltes prosaisches Gemüt stieg höher, Clara konnte ihren Unmut über Nathanaels dunkle, düstere, langweilige Mystik nicht überwinden, und so entfernten beide im Innern sich immer mehr voneinander, ohne es selbst zu bemerken.|Sein Verdruß über Claras kaltes prosaisches Gemüt stieg höher, Clara konnte ihren Unmut über Nathanaels dunkle, düstere, langweilige Mystik nicht überwinden, und so entfernten beide im Innern sich immer mehr voneinander, ohne es selbst zu bemerken.
sandmann_3_f000106|Die Gestalt des häßlichen Coppelius war, wie Nathanael selbst es sich gestehen mußte, in seiner Fantasie erbleicht und es kostete ihm oft Mühe, ihn in seinen Dichtungen, wo er als grauser Schicksalspopanz auftrat, recht lebendig zu kolorieren.|Die Gestalt des häßlichen Coppelius war, wie Nathanael selbst es sich gestehen mußte, in seiner Fantasie erbleicht und es kostete ihm oft Mühe, ihn in seinen Dichtungen, wo er als grauser Schicksalspopanz auftrat, recht lebendig zu kolorieren.
sandmann_3_f000107|Es kam ihm endlich ein, jene düstre Ahnung, daß Coppelius sein Liebesglück stören werde, zum Gegenstande eines Gedichts zu machen.|Es kam ihm endlich ein, jene düstre Ahnung, daß Coppelius sein Liebesglück stören werde, zum Gegenstande eines Gedichts zu machen.
sandmann_3_f000108|Er stellte sich und Clara dar, in treuer Liebe verbunden, aber dann und wann war es, als griffe eine schwarze Faust in ihr Leben und risse irgend eine Freude heraus, die ihnen aufgegangen.|Er stellte sich und Clara dar, in treuer Liebe verbunden, aber dann und wann war es, als griffe eine schwarze Faust in ihr Leben und risse irgend eine Freude heraus, die ihnen aufgegangen.
sandmann_3_f000109|Endlich, als sie schon am Traualtar stehen, erscheint der entsetzliche Coppelius und berührt Claras holde Augen; die springen in Nathanaels Brust wie blutige Funken sengend und brennend, Coppelius faßt ihn und wirft ihn in einen flammenden Feuerkreis,|Endlich, als sie schon am Traualtar stehen, erscheint der entsetzliche Coppelius und berührt Claras holde Augen; die springen in Nathanaels Brust wie blutige Funken sengend und brennend, Coppelius faßt ihn und wirft ihn in einen flammenden Feuerkreis,
sandmann_3_f000110|der sich dreht mit der Schnelligkeit des Sturmes und ihn sausend und brausend fortreißt.|der sich dreht mit der Schnelligkeit des Sturmes und ihn sausend und brausend fortreißt.
sandmann_3_f000111|Es ist ein Tosen, als wenn der Orkan grimmig hineinpeitscht in die schäumenden Meereswellen, die sich wie schwarze, weißhauptige Riesen emporbäumen in wütendem Kampfe.|Es ist ein Tosen, als wenn der Orkan grimmig hineinpeitscht in die schäumenden Meereswellen, die sich wie schwarze, weißhauptige Riesen emporbäumen in wütendem Kampfe.
sandmann_3_f000112|Aber durch dies wilde Tosen hört er Claras Stimme: Kannst du mich denn nicht erschauen?|Aber durch dies wilde Tosen hört er Claras Stimme: Kannst du mich denn nicht erschauen?
sandmann_3_f000113|Coppelius hat dich getäuscht, das waren ja nicht meine Augen, die so in deiner Brust brannten, das waren ja glühende Tropfen deines eignen Herzbluts ich habe ja meine Augen, sieh mich doch nur an!|Coppelius hat dich getäuscht, das waren ja nicht meine Augen, die so in deiner Brust brannten, das waren ja glühende Tropfen deines eignen Herzbluts ich habe ja meine Augen, sieh mich doch nur an!
sandmann_3_f000114|Nathanael denkt: Das ist Clara, und ich bin ihr eigen ewiglich.|Nathanael denkt: Das ist Clara, und ich bin ihr eigen ewiglich.
sandmann_3_f000115|Da ist es, als faßt der Gedanke gewaltig in den Feuerkreis hinein, daß er stehen bleibt, und im schwarzen Abgrund verrauscht dumpf das Getöse.|Da ist es, als faßt der Gedanke gewaltig in den Feuerkreis hinein, daß er stehen bleibt, und im schwarzen Abgrund verrauscht dumpf das Getöse.
sandmann_3_f000116|Nathanael blickt in Claras Augen; aber es ist der Tod, der mit Claras Augen ihn freundlich anschaut.|Nathanael blickt in Claras Augen; aber es ist der Tod, der mit Claras Augen ihn freundlich anschaut.
sandmann_3_f000117|Während Nathanael dies dichtete, war er sehr ruhig und besonnen, er feilte und besserte an jeder Zeile und da er sich dem metrischen Zwange unterworfen, ruhte er nicht, bis alles rein und wohlklingend sich fügte.|Während Nathanael dies dichtete, war er sehr ruhig und besonnen, er feilte und besserte an jeder Zeile und da er sich dem metrischen Zwange unterworfen, ruhte er nicht, bis alles rein und wohlklingend sich fügte.
sandmann_3_f000118|Als er jedoch nun endlich fertig worden, und das Gedicht für sich laut las, da faßte ihn Grausen und wildes Entsetzen und er schrie auf.|Als er jedoch nun endlich fertig worden, und das Gedicht für sich laut las, da faßte ihn Grausen und wildes Entsetzen und er schrie auf.
sandmann_3_f000119|Wessen grauenvolle Stimme ist das?|Wessen grauenvolle Stimme ist das?
sandmann_3_f000120|Bald schien ihm jedoch das Ganze wieder nur eine sehr gelungene Dichtung, und es war ihm, als müsse Claras kaltes Gemüt dadurch entzündet werden, wiewohl er nicht deutlich dachte, wozu denn Clara entzündet,|Bald schien ihm jedoch das Ganze wieder nur eine sehr gelungene Dichtung, und es war ihm, als müsse Claras kaltes Gemüt dadurch entzündet werden, wiewohl er nicht deutlich dachte, wozu denn Clara entzündet,
sandmann_3_f000121|und wozu es denn nun eigentlich führen solle, sie mit den grauenvollen Bildern zu ängstigen, die ein entsetzliches, ihre Liebe zerstörendes Geschick weissagten.|und wozu es denn nun eigentlich führen solle, sie mit den grauenvollen Bildern zu ängstigen, die ein entsetzliches, ihre Liebe zerstörendes Geschick weissagten.
sandmann_3_f000122|Sie, Nathanael und Clara, saßen in der Mutter kleinem Garten, Clara war sehr heiter, weil Nathanael sie seit drei Tagen, in denen er an jener Dichtung schrieb, nicht mit seinen Träumen und Ahnungen geplagt hatte.|Sie, Nathanael und Clara, saßen in der Mutter kleinem Garten, Clara war sehr heiter, weil Nathanael sie seit drei Tagen, in denen er an jener Dichtung schrieb, nicht mit seinen Träumen und Ahnungen geplagt hatte.
sandmann_3_f000123|Auch Nathanael sprach lebhaft und froh von lustigen Dingen wie sonst, so, daß Clara sagte: Nun erst habe ich dich ganz wieder, siehst du es wohl, wie wir den häßlichen Coppelius vertrieben haben?|Auch Nathanael sprach lebhaft und froh von lustigen Dingen wie sonst, so, daß Clara sagte: Nun erst habe ich dich ganz wieder, siehst du es wohl, wie wir den häßlichen Coppelius vertrieben haben?
sandmann_3_f000124|Da fiel dem Nathanael erst ein, daß er ja die Dichtung in der Tasche trage, die er habe vorlesen wollen.|Da fiel dem Nathanael erst ein, daß er ja die Dichtung in der Tasche trage, die er habe vorlesen wollen.
sandmann_3_f000125|Er zog auch sogleich die Blätter hervor und fing an zu lesen: Clara, etwas Langweiliges wie gewöhnlich vermutend und sich darein ergebend, fing an, ruhig zu stricken.|Er zog auch sogleich die Blätter hervor und fing an zu lesen: Clara, etwas Langweiliges wie gewöhnlich vermutend und sich darein ergebend, fing an, ruhig zu stricken.
sandmann_3_f000126|Aber so wie immer schwärzer und schwärzer das düstre Gewölk aufstieg, ließ sie den Strickstrumpf sinken und blickte starr dem Nathanael ins Auge.|Aber so wie immer schwärzer und schwärzer das düstre Gewölk aufstieg, ließ sie den Strickstrumpf sinken und blickte starr dem Nathanael ins Auge.
sandmann_3_f000127|Den riß seine Dichtung unaufhaltsam fort, hochrot färbte seine Wangen die innere Glut, Tränen quollen ihm aus den Augen.|Den riß seine Dichtung unaufhaltsam fort, hochrot färbte seine Wangen die innere Glut, Tränen quollen ihm aus den Augen.
sandmann_3_f000128|Endlich hatte er geschlossen, er stöhnte in tiefer Ermattung er faßte Claras Hand und seufzte wie aufgelöst in trostlosem Jammer: Ach!|Endlich hatte er geschlossen, er stöhnte in tiefer Ermattung er faßte Claras Hand und seufzte wie aufgelöst in trostlosem Jammer: Ach!
sandmann_3_f000129|Clara Clara! Clara drückte ihn sanft an ihren Busen und sagte leise, aber sehr langsam und ernst: Nathanael mein herzlieber Nathanael!|Clara Clara! Clara drückte ihn sanft an ihren Busen und sagte leise, aber sehr langsam und ernst: Nathanael mein herzlieber Nathanael!
sandmann_3_f000130|wirf das tolle unsinnige wahnsinnige Märchen ins Feuer.|wirf das tolle unsinnige wahnsinnige Märchen ins Feuer.
sandmann_3_f000131|Da sprang Nathanael entrüstet auf und rief, Clara von sich stoßend: Du lebloses, verdammtes Automat!|Da sprang Nathanael entrüstet auf und rief, Clara von sich stoßend: Du lebloses, verdammtes Automat!
sandmann_3_f000132|Er rannte fort, bittre Tränen vergoß die tief verletzte Clara: Ach er hat mich niemals geliebt, denn er versteht mich nicht, schluchzte sie laut.|Er rannte fort, bittre Tränen vergoß die tief verletzte Clara: Ach er hat mich niemals geliebt, denn er versteht mich nicht, schluchzte sie laut.
sandmann_3_f000133|Lothar trat in die Laube; Clara mußte ihm erzählen was vorgefallen; er liebte seine Schwester mit ganzer Seele, jedes Wort ihrer Anklage fiel wie ein Funke in sein Inneres,|Lothar trat in die Laube; Clara mußte ihm erzählen was vorgefallen; er liebte seine Schwester mit ganzer Seele, jedes Wort ihrer Anklage fiel wie ein Funke in sein Inneres,
sandmann_3_f000134|so, daß der Unmut, den er wider den träumerischen Nathanael lange im Herzen getragen, sich entzündete zum wilden Zorn.|so, daß der Unmut, den er wider den träumerischen Nathanael lange im Herzen getragen, sich entzündete zum wilden Zorn.
sandmann_3_f000135|Er lief zu Nathanael, er warf ihm das unsinnige Betragen gegen die geliebte Schwester in harten Worten vor, die der aufbrausende Nathanael ebenso erwiderte.|Er lief zu Nathanael, er warf ihm das unsinnige Betragen gegen die geliebte Schwester in harten Worten vor, die der aufbrausende Nathanael ebenso erwiderte.
sandmann_3_f000136|Ein fantastischer, wahnsinniger Geck wurde mit einem miserablen, gemeinen Alltagsmenschen erwidert.|Ein fantastischer, wahnsinniger Geck wurde mit einem miserablen, gemeinen Alltagsmenschen erwidert.
sandmann_3_f000137|Der Zweikampf war unvermeidlich.|Der Zweikampf war unvermeidlich.
sandmann_3_f000138|Sie beschlossen, sich am folgenden Morgen hinter dem Garten nach dortiger akademischer Sitte mit scharfgeschliffenen Stoßrapieren zu schlagen.|Sie beschlossen, sich am folgenden Morgen hinter dem Garten nach dortiger akademischer Sitte mit scharfgeschliffenen Stoßrapieren zu schlagen.
sandmann_3_f000139|Stumm und finster schlichen sie umher, Clara hatte den heftigen Streit gehört und gesehen, daß der Fechtmeister in der Dämmerung die Rapiere brachte.|Stumm und finster schlichen sie umher, Clara hatte den heftigen Streit gehört und gesehen, daß der Fechtmeister in der Dämmerung die Rapiere brachte.
sandmann_3_f000140|Sie ahnte was geschehen sollte.|Sie ahnte was geschehen sollte.
sandmann_3_f000141|Auf dem Kampfplatz angekommen hatten Lothar und Nathanael soeben düsterschweigend die Röcke abgeworfen, blutdürstige Kampflust im brennenden Auge wollten sie gegeneinander ausfallen, als Clara durch die Gartentür herbeistürzte.|Auf dem Kampfplatz angekommen hatten Lothar und Nathanael soeben düsterschweigend die Röcke abgeworfen, blutdürstige Kampflust im brennenden Auge wollten sie gegeneinander ausfallen, als Clara durch die Gartentür herbeistürzte.
sandmann_3_f000142|Schluchzend rief sie laut: Ihr wilden entsetzlichen Menschen!|Schluchzend rief sie laut: Ihr wilden entsetzlichen Menschen!
sandmann_3_f000143|stoßt mich nur gleich nieder, ehe ihr euch anfallt; denn wie soll ich denn länger leben auf der Welt, wenn der Geliebte den Bruder, oder wenn der Bruder den Geliebten ermordet hat!|stoßt mich nur gleich nieder, ehe ihr euch anfallt; denn wie soll ich denn länger leben auf der Welt, wenn der Geliebte den Bruder, oder wenn der Bruder den Geliebten ermordet hat!
sandmann_3_f000144|Lothar ließ die Waffe sinken und sah schweigend zur Erde nieder, aber in Nathanaels Innern ging in herzzerreißender Wehmut alle Liebe wieder auf, wie er sie jemals in der herrlichen Jugendzeit schönsten Tagen für die holde Clara empfunden.|Lothar ließ die Waffe sinken und sah schweigend zur Erde nieder, aber in Nathanaels Innern ging in herzzerreißender Wehmut alle Liebe wieder auf, wie er sie jemals in der herrlichen Jugendzeit schönsten Tagen für die holde Clara empfunden.
sandmann_3_f000145|Das Mordgewehr entfiel seiner Hand, er stürzte zu Claras Füßen.|Das Mordgewehr entfiel seiner Hand, er stürzte zu Claras Füßen.
sandmann_3_f000146|Kannst du mir denn jemals verzeihen, du meine einzige, meine herzgeliebte Clara!|Kannst du mir denn jemals verzeihen, du meine einzige, meine herzgeliebte Clara!
sandmann_3_f000147|Kannst du mir verzeihen, mein herzlieber Bruder Lothar!|Kannst du mir verzeihen, mein herzlieber Bruder Lothar!
sandmann_3_f000148|Lothar wurde gerührt von des Freundes tiefem Schmerz; unter tausend Tränen umarmten sich die drei versöhnten Menschen und schwuren, nicht voneinander zu lassen in steter Liebe und Treue.|Lothar wurde gerührt von des Freundes tiefem Schmerz; unter tausend Tränen umarmten sich die drei versöhnten Menschen und schwuren, nicht voneinander zu lassen in steter Liebe und Treue.
sandmann_3_f000149|Dem Nathanael war es zumute, als sei eine schwere Last, die ihn zu Boden gedrückt, von ihm abgewälzt, ja als habe er, Widerstand leistend der finstern Macht, die ihn befangen, sein ganzes Sein, dem Vernichtung drohte, gerettet.|Dem Nathanael war es zumute, als sei eine schwere Last, die ihn zu Boden gedrückt, von ihm abgewälzt, ja als habe er, Widerstand leistend der finstern Macht, die ihn befangen, sein ganzes Sein, dem Vernichtung drohte, gerettet.
sandmann_3_f000150|Noch drei selige Tage verlebte er bei den Lieben, dann kehrte er zurück nach G., wo er noch ein Jahr zu bleiben, dann aber auf immer nach seiner Vaterstadt zurückzukehren gedachte.|Noch drei selige Tage verlebte er bei den Lieben, dann kehrte er zurück nach G., wo er noch ein Jahr zu bleiben, dann aber auf immer nach seiner Vaterstadt zurückzukehren gedachte.
sandmann_3_f000151|Der Mutter war alles, was sich auf Coppelius bezog, verschwiegen worden; denn man wußte, daß sie nicht ohne Entsetzen an ihn denken konnte, weil sie, wie Nathanael, ihm den Tod ihres Mannes schuld gab.|Der Mutter war alles, was sich auf Coppelius bezog, verschwiegen worden; denn man wußte, daß sie nicht ohne Entsetzen an ihn denken konnte, weil sie, wie Nathanael, ihm den Tod ihres Mannes schuld gab.
sandmann_3_f000152|Wie erstaunte Nathanael, als er in seine Wohnung wollte und sah, daß das ganze Haus niedergebrannt war, so daß aus dem Schutthaufen nur die nackten Feuermauern hervorragten.|Wie erstaunte Nathanael, als er in seine Wohnung wollte und sah, daß das ganze Haus niedergebrannt war, so daß aus dem Schutthaufen nur die nackten Feuermauern hervorragten.
sandmann_3_f000153|Unerachtet das Feuer in dem Laboratorium des Apothekers, der im untern Stocke wohnte, ausgebrochen war, das Haus daher von unten herauf gebrannt hatte, so war es doch den kühnen, rüstigen Freunden gelungen,|Unerachtet das Feuer in dem Laboratorium des Apothekers, der im untern Stocke wohnte, ausgebrochen war, das Haus daher von unten herauf gebrannt hatte, so war es doch den kühnen, rüstigen Freunden gelungen,
sandmann_3_f000154|noch zu rechter Zeit in Nathanaels im obern Stock gelegenes Zimmer zu dringen, und Bücher, Manuskripte, Instrumente zu retten.|noch zu rechter Zeit in Nathanaels im obern Stock gelegenes Zimmer zu dringen, und Bücher, Manuskripte, Instrumente zu retten.
sandmann_3_f000155|Alles hatten sie unversehrt in ein anderes Haus getragen, und dort ein Zimmer in Beschlag genommen, welches Nathanael nun sogleich bezog.|Alles hatten sie unversehrt in ein anderes Haus getragen, und dort ein Zimmer in Beschlag genommen, welches Nathanael nun sogleich bezog.
sandmann_3_f000156|Nicht sonderlich achtete er darauf, daß er dem Professor Spalanzani gegenüber wohnte, und ebensowenig schien es ihm etwas Besonderes, als er bemerkte, daß er aus seinem Fenster gerade hinein in das Zimmer blickte,|Nicht sonderlich achtete er darauf, daß er dem Professor Spalanzani gegenüber wohnte, und ebensowenig schien es ihm etwas Besonderes, als er bemerkte, daß er aus seinem Fenster gerade hinein in das Zimmer blickte,
sandmann_3_f000157|wo oft Olimpia einsam saß, so, daß er ihre Figur deutlich erkennen konnte, wiewohl die Züge des Gesichts undeutlich und verworren blieben.|wo oft Olimpia einsam saß, so, daß er ihre Figur deutlich erkennen konnte, wiewohl die Züge des Gesichts undeutlich und verworren blieben.
sandmann_3_f000158|Wohl fiel es ihm endlich auf, daß Olimpia oft stundenlang in derselben Stellung, wie er sie einst durch die Glastüre entdeckte, ohne irgend eine Beschäftigung an einem kleinen Tische saß und daß sie offenbar unverwandten Blickes nach ihm herüberschaute;|Wohl fiel es ihm endlich auf, daß Olimpia oft stundenlang in derselben Stellung, wie er sie einst durch die Glastüre entdeckte, ohne irgend eine Beschäftigung an einem kleinen Tische saß und daß sie offenbar unverwandten Blickes nach ihm herüberschaute;
sandmann_3_f000159|er mußte sich auch selbst gestehen, daß er nie einen schöneren Wuchs gesehen; indessen, Clara im Herzen, blieb ihm die steife,|er mußte sich auch selbst gestehen, daß er nie einen schöneren Wuchs gesehen; indessen, Clara im Herzen, blieb ihm die steife,
sandmann_3_f000160|starre Olimpia höchst gleichgültig und nur zuweilen sah er flüchtig über sein Kompendium herüber nach der schönen Bildsäule, das war alles.|starre Olimpia höchst gleichgültig und nur zuweilen sah er flüchtig über sein Kompendium herüber nach der schönen Bildsäule, das war alles.
sandmann_3_f000161|Eben schrieb er an Clara, als es leise an die Türe klopfte; sie öffnete sich auf seinen Zuruf und Coppolas widerwärtiges Gesicht sah hinein.|Eben schrieb er an Clara, als es leise an die Türe klopfte; sie öffnete sich auf seinen Zuruf und Coppolas widerwärtiges Gesicht sah hinein.
sandmann_3_f000162|Nathanael fühlte sich im Innersten erbeben; eingedenk dessen, was ihm Spalanzani über den Landsmann Coppola gesagt und was er auch rücksichts des Sandmanns Coppelius der Geliebten so heilig versprochen,|Nathanael fühlte sich im Innersten erbeben; eingedenk dessen, was ihm Spalanzani über den Landsmann Coppola gesagt und was er auch rücksichts des Sandmanns Coppelius der Geliebten so heilig versprochen,
sandmann_3_f000163|schämte er sich aber selbst seiner kindischen Gespensterfurcht, nahm sich mit aller Gewalt zusammen und sprach so sanft und gelassen, als möglich:|schämte er sich aber selbst seiner kindischen Gespensterfurcht, nahm sich mit aller Gewalt zusammen und sprach so sanft und gelassen, als möglich:
sandmann_3_f000164|Ich kaufe kein Wetterglas, mein lieber Freund! gehen Sie nur!|Ich kaufe kein Wetterglas, mein lieber Freund! gehen Sie nur!
sandmann_3_f000165|Da trat aber Coppola vollends in die Stube und sprach mit heiserem Ton, indem sich das weite Maul zum häßlichen Lachen verzog und die kleinen Augen unter den grauen langen Wimpern stechend hervorfunkelten: Ei, nix Wetterglas, nix Wetterglas!|Da trat aber Coppola vollends in die Stube und sprach mit heiserem Ton, indem sich das weite Maul zum häßlichen Lachen verzog und die kleinen Augen unter den grauen langen Wimpern stechend hervorfunkelten: Ei, nix Wetterglas, nix Wetterglas!
sandmann_3_f000166|hab auch sköne Oke sköne Oke!|hab auch sköne Oke sköne Oke!
sandmann_3_f000167|Entsetzt rief Nathanael: Toller Mensch, wie kannst du Augen haben?|Entsetzt rief Nathanael: Toller Mensch, wie kannst du Augen haben?
sandmann_3_f000168|Augen Augen? Aber in dem Augenblick hatte Coppola seine Wettergläser beiseite gesetzt, griff in die weiten Rocktaschen und holte Lorgnetten und Brillen heraus, die er auf den Tisch legte.|Augen Augen? Aber in dem Augenblick hatte Coppola seine Wettergläser beiseite gesetzt, griff in die weiten Rocktaschen und holte Lorgnetten und Brillen heraus, die er auf den Tisch legte.
sandmann_3_f000169|Nu Nu Brill Brill auf der Nas su setze, das sein meine Oke sköne Oke!|Nu Nu Brill Brill auf der Nas su setze, das sein meine Oke sköne Oke!
sandmann_3_f000170|Und damit holte er immer mehr und mehr Brillen heraus, so, daß es auf dem ganzen Tisch seltsam zu flimmern und zu funkeln begann.|Und damit holte er immer mehr und mehr Brillen heraus, so, daß es auf dem ganzen Tisch seltsam zu flimmern und zu funkeln begann.
sandmann_3_f000171|Tausend Augen blickten und zuckten krampfhaft und starrten auf zum Nathanael;|Tausend Augen blickten und zuckten krampfhaft und starrten auf zum Nathanael;
sandmann_3_f000172|aber er konnte nicht wegschauen von dem Tisch, und immer mehr Brillen legte Coppola hin, und immer wilder und wilder sprangen flammende Blicke durcheinander und schossen ihre blutrote Strahlen in Nathanaels Brust.|aber er konnte nicht wegschauen von dem Tisch, und immer mehr Brillen legte Coppola hin, und immer wilder und wilder sprangen flammende Blicke durcheinander und schossen ihre blutrote Strahlen in Nathanaels Brust.
sandmann_3_f000173|Übermannt von tollem Entsetzen schrie er auf. Halt ein!|Übermannt von tollem Entsetzen schrie er auf. Halt ein!
sandmann_3_f000174|halt ein, fürchterlicher Mensch!|halt ein, fürchterlicher Mensch!
sandmann_3_f000175|Er hatte Coppola, der eben in die Tasche griff, um noch mehr Brillen herauszubringen, unerachtet schon der ganze Tisch überdeckt war, beim Arm festgepackt.|Er hatte Coppola, der eben in die Tasche griff, um noch mehr Brillen herauszubringen, unerachtet schon der ganze Tisch überdeckt war, beim Arm festgepackt.
sandmann_3_f000176|Coppola machte sich mit heiserem widrigen Lachen sanft los und mit den Worten: Ah!|Coppola machte sich mit heiserem widrigen Lachen sanft los und mit den Worten: Ah!
sandmann_3_f000177|nix für Sie aber hier sköne Glas hatte er alle Brillen zusammengerafft, eingesteckt und aus der Seitentasche des Rocks eine Menge großer und kleiner Perspektive hervorgeholt.|nix für Sie aber hier sköne Glas hatte er alle Brillen zusammengerafft, eingesteckt und aus der Seitentasche des Rocks eine Menge großer und kleiner Perspektive hervorgeholt.
sandmann_3_f000178|Sowie die Brillen fort waren, wurde Nathanael ganz ruhig und an Clara denkend sah er wohl ein, daß der entsetzliche Spuk nur aus seinem Innern hervorgegangen, sowie daß Coppola ein höchst ehrlicher Mechanikus und Optikus,|Sowie die Brillen fort waren, wurde Nathanael ganz ruhig und an Clara denkend sah er wohl ein, daß der entsetzliche Spuk nur aus seinem Innern hervorgegangen, sowie daß Coppola ein höchst ehrlicher Mechanikus und Optikus,
sandmann_3_f000179|keineswegs aber Coppelii verfluchter Doppeltgänger und Revenant sein könne.|keineswegs aber Coppelii verfluchter Doppeltgänger und Revenant sein könne.
sandmann_3_f000180|Zudem hatten alle Gläser, die Coppola nun auf den Tisch gelegt, gar nichts Besonderes, am wenigsten so etwas Gespenstisches wie die Brillen und, um alles wieder gutzumachen, beschloß Nathanael dem Coppola jetzt wirklich etwas abzukaufen.|Zudem hatten alle Gläser, die Coppola nun auf den Tisch gelegt, gar nichts Besonderes, am wenigsten so etwas Gespenstisches wie die Brillen und, um alles wieder gutzumachen, beschloß Nathanael dem Coppola jetzt wirklich etwas abzukaufen.
sandmann_3_f000181|Er ergriff ein kleines sehr sauber gearbeitetes Taschenperspektiv und sah, um es zu prüfen, durch das Fenster.|Er ergriff ein kleines sehr sauber gearbeitetes Taschenperspektiv und sah, um es zu prüfen, durch das Fenster.
sandmann_3_f000182|Noch im Leben war ihm kein Glas vorgekommen, das die Gegenstände so rein, scharf und deutlich dicht vor die Augen rückte.|Noch im Leben war ihm kein Glas vorgekommen, das die Gegenstände so rein, scharf und deutlich dicht vor die Augen rückte.
sandmann_3_f000183|Unwillkürlich sah er hinein in Spalanzanis Zimmer; Olimpia saß, wie gewöhnlich, vor dem kleinen Tisch, die Arme darauf gelegt, die Hände gefaltet.|Unwillkürlich sah er hinein in Spalanzanis Zimmer; Olimpia saß, wie gewöhnlich, vor dem kleinen Tisch, die Arme darauf gelegt, die Hände gefaltet.
sandmann_3_f000184|Nun erschaute Nathanael erst Olimpias wunderschön geformtes Gesicht.|Nun erschaute Nathanael erst Olimpias wunderschön geformtes Gesicht.
sandmann_3_f000185|Nur die Augen schienen ihm gar seltsam starr und tot.|Nur die Augen schienen ihm gar seltsam starr und tot.
sandmann_3_f000186|Doch wie er immer schärfer und schärfer durch das Glas hinschaute, war es, als gingen in Olimpias Augen feuchte Mondesstrahlen auf.|Doch wie er immer schärfer und schärfer durch das Glas hinschaute, war es, als gingen in Olimpias Augen feuchte Mondesstrahlen auf.
sandmann_3_f000187|Es schien, als wenn nun erst die Sehkraft entzündet würde; immer lebendiger und lebendiger flammten die Blicke.|Es schien, als wenn nun erst die Sehkraft entzündet würde; immer lebendiger und lebendiger flammten die Blicke.
sandmann_3_f000188|Nathanael lag wie festgezaubert im Fenster, immer fort und fort die himmlisch-schöne Olimpia betrachtend.|Nathanael lag wie festgezaubert im Fenster, immer fort und fort die himmlisch-schöne Olimpia betrachtend.
sandmann_3_f000189|Ein Räuspern und Scharren weckte ihn, wie aus tiefem Traum.|Ein Räuspern und Scharren weckte ihn, wie aus tiefem Traum.
sandmann_3_f000190|Coppola stand hinter ihm: Tre Zechini drei Dukat Nathanael hatte den Optikus rein vergessen, rasch zahlte er das Verlangte.|Coppola stand hinter ihm: Tre Zechini drei Dukat Nathanael hatte den Optikus rein vergessen, rasch zahlte er das Verlangte.
sandmann_3_f000191|Nick so? sköne Glas sköne Glas!|Nick so? sköne Glas sköne Glas!
sandmann_3_f000192|frug Coppola mit seiner widerwärtigen heisern Stimme und dem hämischen Lächeln.|frug Coppola mit seiner widerwärtigen heisern Stimme und dem hämischen Lächeln.
sandmann_3_f000193|Ja ja, ja! erwiderte Nathanael verdrießlich.|Ja ja, ja! erwiderte Nathanael verdrießlich.
sandmann_3_f000194|Adieu, lieber Freund!|Adieu, lieber Freund!
sandmann_3_f000195|Coppola verließ nicht ohne viele seltsame Seitenblicke auf Nathanael, das Zimmer.|Coppola verließ nicht ohne viele seltsame Seitenblicke auf Nathanael, das Zimmer.
sandmann_3_f000196|Er hörte ihn auf der Treppe laut lachen.|Er hörte ihn auf der Treppe laut lachen.
sandmann_3_f000197|Nun ja, meinte Nathanael, er lacht mich aus, weil ich ihm das kleine Perspektiv gewiß viel zu teuer bezahlt habe zu teuer bezahlt!|Nun ja, meinte Nathanael, er lacht mich aus, weil ich ihm das kleine Perspektiv gewiß viel zu teuer bezahlt habe zu teuer bezahlt!
sandmann_3_f000198|Indem er diese Worte leise sprach, war es, als halle ein tiefer Todesseufzer grauenvoll durch das Zimmer, Nathanaels Atem stockte vor innerer Angst.|Indem er diese Worte leise sprach, war es, als halle ein tiefer Todesseufzer grauenvoll durch das Zimmer, Nathanaels Atem stockte vor innerer Angst.
sandmann_3_f000199|Er hatte ja aber selbst so aufgeseufzt, das merkte er wohl.|Er hatte ja aber selbst so aufgeseufzt, das merkte er wohl.
sandmann_3_f000200|Clara, sprach er zu sich selber, hat wohl recht, daß sie mich für einen abgeschmackten Geisterseher hält; aber närrisch ist es doch ach wohl mehr,|Clara, sprach er zu sich selber, hat wohl recht, daß sie mich für einen abgeschmackten Geisterseher hält; aber närrisch ist es doch ach wohl mehr,
sandmann_3_f000201|als närrisch, daß mich der dumme Gedanke, ich hätte das Glas dem Coppola zu teuer bezahlt, noch jetzt so sonderbar ängstigt;|als närrisch, daß mich der dumme Gedanke, ich hätte das Glas dem Coppola zu teuer bezahlt, noch jetzt so sonderbar ängstigt;
sandmann_3_f000202|den Grund davon sehe ich gar nicht ein.|den Grund davon sehe ich gar nicht ein.
sandmann_3_f000203|Jetzt setzte er sich hin, um den Brief an Clara zu enden, aber ein Blick durchs Fenster überzeugte ihn, daß Olimpia noch dasäße und im Augenblick, wie von unwiderstehlicher Gewalt getrieben, sprang er auf,|Jetzt setzte er sich hin, um den Brief an Clara zu enden, aber ein Blick durchs Fenster überzeugte ihn, daß Olimpia noch dasäße und im Augenblick, wie von unwiderstehlicher Gewalt getrieben, sprang er auf,
