ferien_vom_ich_001_f000001|Abschnitt 1.|Abschnitt eins.
ferien_vom_ich_015_f000037|Zum Beispiel jetzt habe ich gerade ein wichtiges Geschäft, bei dem Sie unbedingt mitwirken oder dem Sie wenigstens zustimmen müssen, und da ist es mir natürlich verdrießlich, wenn Sie in verkaterter Stimmung sind.|Zum Beispiel jetzt habe ich gerade ein wichtiges Geschäft, bei dem Sie unbedingt mitwirken oder dem Sie wenigstens zustimmen müssen, und da ist es mir natürlich verdrießlich, wenn Sie in verkaterter Stimmung sind.
ferien_vom_ich_015_f000038|Und deswegen suchten Sie mich zu trösten?|Und deswegen suchten Sie mich zu trösten?
ferien_vom_ich_015_f000039|Ja, nur deswegen!|Ja, nur deswegen!
ferien_vom_ich_015_f000040|Ich lächelte.|Ich lächelte.
ferien_vom_ich_015_f000041|Er sah es und wurde erbost.|Er sah es und wurde erbost.
ferien_vom_ich_015_f000042|Mensch, lachen Sie nicht!|Mensch, lachen Sie nicht!
ferien_vom_ich_015_f000043|Was gehen mich denn Ihre Familienangelegenheiten an?|Was gehen mich denn Ihre Familienangelegenheiten an?
ferien_vom_ich_015_f000044|Glauben Sie, daß ich mich bei meinen tausend Geschäftsfreunden darum kümmern kann, ob sie mal Krach mit einem Bruder haben, ob mal ihre Mutter verreist, ob die Motten in ihre Möbel kommen oder ihr Kanarienvogel verhungert?|Glauben Sie, daß ich mich bei meinen tausend Geschäftsfreunden darum kümmern kann, ob sie mal Krach mit einem Bruder haben, ob mal ihre Mutter verreist, ob die Motten in ihre Möbel kommen oder ihr Kanarienvogel verhungert?
ferien_vom_ich_015_f000045|Hätt’ ich viel zu tun.|Hätt ich viel zu tun.
ferien_vom_ich_015_f000046|Aber wenn zwei Feldherren miteinander in den Krieg ziehen und der eine von ihnen Zahnschmerzen hat, hat der andere dafür zu sorgen, daß der Zahn gezogen oder wenigstens plombiert wird.|Aber wenn zwei Feldherren miteinander in den Krieg ziehen und der eine von ihnen Zahnschmerzen hat, hat der andere dafür zu sorgen, daß der Zahn gezogen oder wenigstens plombiert wird.
ferien_vom_ich_015_f000047|Sonst wird nichts aus ihrer Chose.|Sonst wird nichts aus ihrer Chose.
ferien_vom_ich_015_f000048|Ich lächelte nicht mehr, aber ich erwiderte auch nichts.|Ich lächelte nicht mehr, aber ich erwiderte auch nichts.
ferien_vom_ich_015_f000049|Da sagte Stefenson fast niedergeschlagen: Wenn Sie etwas Geschäftssinn hätten, hätten Sie mich längst gefragt, um was für ein Geschäft es sich handelt.|Da sagte Stefenson fast niedergeschlagen: Wenn Sie etwas Geschäftssinn hätten, hätten Sie mich längst gefragt, um was für ein Geschäft es sich handelt.
ferien_vom_ich_015_f000050|So sagen Sie es mir – bitte!|So sagen Sie es mir - bitte!
ferien_vom_ich_015_f000051|Er war verstimmt.|Er war verstimmt.
ferien_vom_ich_015_f000052|Nun, ich kann ja den Weihnachtsberg auch ohne Sie von den Neustädtern zurückkaufen.|Nun, ich kann ja den Weihnachtsberg auch ohne Sie von den Neustädtern zurückkaufen.
ferien_vom_ich_015_f000053|Den Weihnachtsberg wollen Sie zurückkaufen?|Den Weihnachtsberg wollen Sie zurückkaufen?
ferien_vom_ich_015_f000054|Ich sagte es Ihnen eben.|Ich sagte es Ihnen eben.
ferien_vom_ich_015_f000055|Wir müssen unser Heim bis zum Gipfel des Berges ausdehnen, sonst spucken uns die Neustädter auf den Kopf.|Wir müssen unser Heim bis zum Gipfel des Berges ausdehnen, sonst spucken uns die Neustädter auf den Kopf.
ferien_vom_ich_015_f000056|Sie werden den wichtigsten Aussichtspunkt nie hergeben.|Sie werden den wichtigsten Aussichtspunkt nie hergeben.
ferien_vom_ich_015_f000057|Trösten Sie sich.|Trösten Sie sich.
ferien_vom_ich_015_f000058|Wozu habe ich in der ‚Neustädter Umschau‘ seit drei Wochen Artikel gegen den Weihnachtsberg veröffentlicht?|Wozu habe ich in der Neustädter Umschau seit drei Wochen Artikel gegen den Weihnachtsberg veröffentlicht?
ferien_vom_ich_015_f000059|Zum Beispiel, daß sein Besuch von Neustadt aus außerordentlich zu wünschen übrig lasse, weil der viel bequemer zu erreichende Ochsenkopf eine viel bessere Aussicht bietet, daß die Rentabilität außerordentlich gering sei, die Pächter nichts zu leisten vermöchten und solchen Kram mehr.|Zum Beispiel, daß sein Besuch von Neustadt aus außerordentlich zu wünschen übrig lasse, weil der viel bequemer zu erreichende Ochsenkopf eine viel bessere Aussicht bietet, daß die Rentabilität außerordentlich gering sei, die Pächter nichts zu leisten vermöchten und solchen Kram mehr.
ferien_vom_ich_015_f000060|Die Neustädter sind bereits mürbe.|Die Neustädter sind bereits mürbe.
ferien_vom_ich_015_f000061|Denn sie sind wieder mal im Dalles.|Denn sie sind wieder mal im Dalles.
ferien_vom_ich_015_f000062|Nun habe ich vorgestern einen Artikel gebracht, man solle den Weihnachtsberg, wenn sich eine gute Gelegenheit böte, an irgendeine neutrale Person je eher je besser verkaufen, damit er ja nicht mal in Waltersburger Hände fiele, was die Konkurrenz drüben stärken würde.|Nun habe ich vorgestern einen Artikel gebracht, man solle den Weihnachtsberg, wenn sich eine gute Gelegenheit böte, an irgendeine neutrale Person je eher je besser verkaufen, damit er ja nicht mal in Waltersburger Hände fiele, was die Konkurrenz drüben stärken würde.
ferien_vom_ich_015_f000063|Was bezwecken Sie damit?|Was bezwecken Sie damit?
ferien_vom_ich_015_f000064|Daß mein Vertrauensmann, der sich als Privater um den Kauf der Weihnachtsbergkuppe bemüht, die Sache billig bekommt.|Daß mein Vertrauensmann, der sich als Privater um den Kauf der Weihnachtsbergkuppe bemüht, die Sache billig bekommt.
ferien_vom_ich_015_f000065|In vierzehn Tagen, denke ich, können wir oben einziehen.|In vierzehn Tagen, denke ich, können wir oben einziehen.
ferien_vom_ich_015_f000066|Wir waren inzwischen aufgestanden und stiegen langsam den Berg hinab.|Wir waren inzwischen aufgestanden und stiegen langsam den Berg hinab.
ferien_vom_ich_015_f000067|Stefenson sprach immerfort von seinen Plänen und brachte es wirklich zuwege, daß meine Bangigkeit nachließ und ich ihm wenigstens mit halber Aufmerksamkeit zuhörte.|Stefenson sprach immerfort von seinen Plänen und brachte es wirklich zuwege, daß meine Bangigkeit nachließ und ich ihm wenigstens mit halber Aufmerksamkeit zuhörte.
ferien_vom_ich_015_f000068|Er begleitete mich bis in mein Arbeitszimmer.|Er begleitete mich bis in mein Arbeitszimmer.
ferien_vom_ich_015_f000069|Dort sagte Stefenson: Nun gestehen Sie es sich mal selber, lieber Freund: die ganze Zeit, da unser Heim besteht, haben Sie, der die Lehre von den Ferien vom Ich erfunden und gepredigt hat, selbst mit Haut und Haaren mitten im dicksten Ichleben gesteckt.|Dort sagte Stefenson: Nun gestehen Sie es sich mal selber, lieber Freund: die ganze Zeit, da unser Heim besteht, haben Sie, der die Lehre von den Ferien vom Ich erfunden und gepredigt hat, selbst mit Haut und Haaren mitten im dicksten Ichleben gesteckt.
ferien_vom_ich_015_f000070|Hauptsächlich wegen Ihrer Familienangelegenheiten.|Hauptsächlich wegen Ihrer Familienangelegenheiten.
ferien_vom_ich_015_f000071|Jetzt erst, wo sich alles in Frieden löst, werden Sie Ihrer Idee ganz und mit Freuden dienen können.|Jetzt erst, wo sich alles in Frieden löst, werden Sie Ihrer Idee ganz und mit Freuden dienen können.
ferien_vom_ich_015_f000072|Sie lehren selbst: in den Ferien vom Ich los von der Familie!|Sie lehren selbst: in den Ferien vom Ich los von der Familie!
ferien_vom_ich_015_f000073|Deshalb habe ich auch von Anfang an gemeint, wenigstens einer von uns beiden müsse ganz ohne Familie sein.|Deshalb habe ich auch von Anfang an gemeint, wenigstens einer von uns beiden müsse ganz ohne Familie sein.
ferien_vom_ich_015_f000074|Und welcher von uns beiden soll das sein?|Und welcher von uns beiden soll das sein?
ferien_vom_ich_015_f000075|Sie!|Sie!
ferien_vom_ich_015_f000076|Fast hätte ich über den alten Egoisten lachen müssen.|Fast hätte ich über den alten Egoisten lachen müssen.
ferien_vom_ich_015_f000077|Sie wären aber doch viel geeigneter, Stefenson; denn Sie sind doch schon ohne Familie.|Sie wären aber doch viel geeigneter, Stefenson; denn Sie sind doch schon ohne Familie.
ferien_vom_ich_015_f000078|Sie vergessen, daß ich eine Braut habe.|Sie vergessen, daß ich eine Braut habe.
ferien_vom_ich_015_f000079|Eva Bunkert?|Eva Bunkert?
ferien_vom_ich_015_f000080|Ich meine, dieser Verlobtenstand ist einseitig.|Ich meine, dieser Verlobtenstand ist einseitig.
ferien_vom_ich_015_f000081|Er lachte.|Er lachte.
ferien_vom_ich_015_f000082|Bah – wegen der Auskneiferei – wegen dieser Marotte?|Bah - wegen der Auskneiferei - wegen dieser Marotte?
ferien_vom_ich_015_f000083|Ich habe an Eva einen vernünftigen Brief geschrieben, habe ihr gesagt, ich würde ihr gern nachreisen, wenn es nicht zu dumm wäre, und wenn ich Zeit dazu hätte.|Ich habe an Eva einen vernünftigen Brief geschrieben, habe ihr gesagt, ich würde ihr gern nachreisen, wenn es nicht zu dumm wäre, und wenn ich Zeit dazu hätte.
ferien_vom_ich_015_f000084|Sie solle ja nicht annehmen, daß ich jetzt plötzlich an ihrem Theater als Coiffeur, Portier, Kulissenschieber oder dergleichen auftauchen würde, um sie weiter zu beobachten.|Sie solle ja nicht annehmen, daß ich jetzt plötzlich an ihrem Theater als Coiffeur, Portier, Kulissenschieber oder dergleichen auftauchen würde, um sie weiter zu beobachten.
ferien_vom_ich_015_f000085|Das würde abgeschmackt sein; denn ich mache keinen Witz zweimal.|Das würde abgeschmackt sein; denn ich mache keinen Witz zweimal.
ferien_vom_ich_015_f000086|Im übrigen liebte ich sie unverändert weiter und überließe ihr, zu bestimmen, wann unsere Hochzeit sein solle.|Im übrigen liebte ich sie unverändert weiter und überließe ihr, zu bestimmen, wann unsere Hochzeit sein solle.
ferien_vom_ich_015_f000087|Diesen Brief habe ich vor acht Tagen geschrieben und noch keine Antwort.|Diesen Brief habe ich vor acht Tagen geschrieben und noch keine Antwort.
ferien_vom_ich_015_f000088|Das ist doch ein sehr günstiges Zeichen.|Das ist doch ein sehr günstiges Zeichen.
ferien_vom_ich_015_f000089|Ich würde dieses Zeichen anders auslegen.|Ich würde dieses Zeichen anders auslegen.
ferien_vom_ich_015_f000090|Nein.|Nein.
ferien_vom_ich_015_f000091|Sie grämt sich.|Sie grämt sich.
ferien_vom_ich_015_f000092|Sie kann gar nicht schreiben.|Sie kann gar nicht schreiben.
ferien_vom_ich_015_f000093|Wäre ich ihr egal, hätte sie mir einen schnippischen, und wäre sie ein oberflächliches Weib, sofort einen freundlichen Verzeihungsbrief geschrieben.|Wäre ich ihr egal, hätte sie mir einen schnippischen, und wäre sie ein oberflächliches Weib, sofort einen freundlichen Verzeihungsbrief geschrieben.
ferien_vom_ich_015_f000094|So ist sie ein braves Mädel, das mich liebt, und schreibt gar nicht.|So ist sie ein braves Mädel, das mich liebt, und schreibt gar nicht.
ferien_vom_ich_015_f000095|Es kann schon so sein, sagte ich müde; ich hoffe, daß es Eva gut geht!|Es kann schon so sein, sagte ich müde; ich hoffe, daß es Eva gut geht!
ferien_vom_ich_015_f000096|Nun, so ... so ... Vor fünf Tagen hat sie das erstemal auf der Oper gesungen.|Nun, so ... so ... Vor fünf Tagen hat sie das erstemal auf der Oper gesungen.
ferien_vom_ich_015_f000097|Zwei Kritiker haben sie bestehen lassen; einer hat sie etwas mitgenommen.|Zwei Kritiker haben sie bestehen lassen; einer hat sie etwas mitgenommen.
ferien_vom_ich_015_f000098|Mit dem habe ich mich telephonisch verbinden lassen.|Mit dem habe ich mich telephonisch verbinden lassen.
ferien_vom_ich_015_f000099|Ich habe den Mann aufgeklärt, um was es sich handelt – so in großen Zügen natürlich –, und ihm gesagt, daß er mir einen Riesengefallen tun würde, wenn er Fräulein Eva Bunkert nach Strich und Faden verrisse und an der Oper unmöglich mache.|Ich habe den Mann aufgeklärt, um was es sich handelt - so in großen Zügen natürlich -, und ihm gesagt, daß er mir einen Riesengefallen tun würde, wenn er Fräulein Eva Bunkert nach Strich und Faden verrisse und an der Oper unmöglich mache.
ferien_vom_ich_015_f000100|Meine eventuelle Erkenntlichkeit für ihn habe ich dem Kritiker wirklich nur ganz diskret und delikat angedeutet.|Meine eventuelle Erkenntlichkeit für ihn habe ich dem Kritiker wirklich nur ganz diskret und delikat angedeutet.
ferien_vom_ich_015_f000101|Trotzdem hat mir der Grobian gesagt, es sei schade, daß sich telephonisch keine Ohrfeigen austeilen ließen; im übrigen sei Fräulein Bunkert ein außerordentlich hoffnungsvolles Talent.|Trotzdem hat mir der Grobian gesagt, es sei schade, daß sich telephonisch keine Ohrfeigen austeilen ließen; im übrigen sei Fräulein Bunkert ein außerordentlich hoffnungsvolles Talent.
ferien_vom_ich_015_f000102|Das habe ich davon.|Das habe ich davon.
ferien_vom_ich_015_f000103|Nun wird sie auch dieser Kerl loben.|Nun wird sie auch dieser Kerl loben.
ferien_vom_ich_015_f000104|Ach, du lieber Gott, die deutschen Zeitungsschreiber sind sehr verschiedener Art.|Ach, du lieber Gott, die deutschen Zeitungsschreiber sind sehr verschiedener Art.
ferien_vom_ich_015_f000105|Und Sie fürchten gar nicht, daß Eva Bunkert Ihnen verlorengehen könnte?|Und Sie fürchten gar nicht, daß Eva Bunkert Ihnen verlorengehen könnte?
ferien_vom_ich_015_f000106|Nicht eine Minute.|Nicht eine Minute.
ferien_vom_ich_015_f000107|Sie hat gebissen.|Sie hat gebissen.
ferien_vom_ich_015_f000108|Ich halte sie fest.|Ich halte sie fest.
ferien_vom_ich_015_f000109|Wenn sie noch ein wenig herumzappeln will, kann ich ihr den Spaß ja gönnen.|Wenn sie noch ein wenig herumzappeln will, kann ich ihr den Spaß ja gönnen.
ferien_vom_ich_015_f000110|So purzelte Stefensons draufgängerische, frische Art durch den bangsten Tag meines Lebens.|So purzelte Stefensons draufgängerische, frische Art durch den bangsten Tag meines Lebens.
ferien_vom_ich_015_f000111|Und als ich am nächsten Morgen nach tiefem Schlaf erwachte, fühlte ich mich gesund und munter, stark genug, dem Leben ins Auge zu schauen und mit Lust und Freude an meinem schönen Werke weiter zu schaffen.|Und als ich am nächsten Morgen nach tiefem Schlaf erwachte, fühlte ich mich gesund und munter, stark genug, dem Leben ins Auge zu schauen und mit Lust und Freude an meinem schönen Werke weiter zu schaffen.
ferien_vom_ich_015_f000112|Etwa drei Wochen später besuchte mich Stefenson wieder in meinem Arbeitszimmer.|Etwa drei Wochen später besuchte mich Stefenson wieder in meinem Arbeitszimmer.
ferien_vom_ich_015_f000113|Auf dem Tische lag die neueste Nummer der Neustädter Umschau.|Auf dem Tische lag die neueste Nummer der Neustädter Umschau.
ferien_vom_ich_015_f000114|Ich habe diesmal nichts drin, sagte Stefenson und wies auf die Zeitung.|Ich habe diesmal nichts drin, sagte Stefenson und wies auf die Zeitung.
ferien_vom_ich_015_f000115|Trotzdem schlug er sie auf.|Trotzdem schlug er sie auf.
ferien_vom_ich_015_f000116|Und mit einem Male riß er die Augen auf, trat ans Fenster.|Und mit einem Male riß er die Augen auf, trat ans Fenster.
ferien_vom_ich_015_f000117|Haben Sie schon – haben Sie schon gelesen?|Haben Sie schon - haben Sie schon gelesen?
ferien_vom_ich_015_f000118|fragte er aufgeregt.|fragte er aufgeregt.
ferien_vom_ich_015_f000119|Was denn?|Was denn?
ferien_vom_ich_015_f000120|Was steht denn wieder in dem Schundblatt?|Was steht denn wieder in dem Schundblatt?
ferien_vom_ich_015_f000121|Ich habe noch gar nicht hineingeschaut.|Ich habe noch gar nicht hineingeschaut.
ferien_vom_ich_015_f000122|Da – da ... Er wies auf eine kleine Notiz.|Da - da ... Er wies auf eine kleine Notiz.
ferien_vom_ich_015_f000123|Ich las: Verlobung.|Ich las: Verlobung.
ferien_vom_ich_015_f000124|Die Opernsängerin Eva Bunkert, Tochter unseres verflossenen Baurats August Bunkert, hat sich mit dem Grafen Hanns von Simmern, Sohn des herzoglichen Kammerherrn Grafen Eugen von Simmern, verlobt.|Die Opernsängerin Eva Bunkert, Tochter unseres verflossenen Baurats August Bunkert, hat sich mit dem Grafen Hanns von Simmern, Sohn des herzoglichen Kammerherrn Grafen Eugen von Simmern, verlobt.
ferien_vom_ich_015_f000125|– Eine rasche Künstlerkarriere!|- Eine rasche Künstlerkarriere!
ferien_vom_ich_015_f000126|Da haben wir’s, sagte ich.|Da haben wirs, sagte ich.
ferien_vom_ich_015_f000127|Die Sache ist in der Tat sehr rasch gegangen.|Die Sache ist in der Tat sehr rasch gegangen.
ferien_vom_ich_015_f000128|Rasch gegangen!|Rasch gegangen!
ferien_vom_ich_015_f000129|Ist das alles, was Sie zu dieser Schandtat zu sagen wissen?|Ist das alles, was Sie zu dieser Schandtat zu sagen wissen?
ferien_vom_ich_015_f000130|brüllte Stefenson.|brüllte Stefenson.
ferien_vom_ich_015_f000131|Ja, was soll ich in meiner Überraschung dazu sagen?|Ja, was soll ich in meiner Überraschung dazu sagen?
ferien_vom_ich_015_f000132|Es tut mir natürlich leid um Sie!|Es tut mir natürlich leid um Sie!
ferien_vom_ich_015_f000133|Leid!|Leid!
ferien_vom_ich_015_f000134|Ich brauche Ihnen nicht leid zu tun.|Ich brauche Ihnen nicht leid zu tun.
ferien_vom_ich_015_f000135|Niemand brauche ich leid zu tun.|Niemand brauche ich leid zu tun.
ferien_vom_ich_015_f000136|Ich verbitte mir das!|Ich verbitte mir das!
ferien_vom_ich_015_f000137|Denn ich kann froh sein, daß ich diese Gans los bin.|Denn ich kann froh sein, daß ich diese Gans los bin.
ferien_vom_ich_015_f000138|Ich bin auch ganz kolossal froh.|Ich bin auch ganz kolossal froh.
ferien_vom_ich_015_f000139|Nach kaum vier Wochen ist dieses flatterige Ding mit ihrer Lebenswahl fertig.|Nach kaum vier Wochen ist dieses flatterige Ding mit ihrer Lebenswahl fertig.
ferien_vom_ich_015_f000140|Von einem zum andern.|Von einem zum andern.
ferien_vom_ich_015_f000141|Immer zu, immer zu!|Immer zu, immer zu!
ferien_vom_ich_015_f000142|Was verliere ich dabei?|Was verliere ich dabei?
ferien_vom_ich_015_f000143|Weil er ein Graf ist, weil sie sich bei ihm in Taschentücher mit einer neunzackigen Krone die Nase schneuzen kann, deshalb gibt sie mich auf.|Weil er ein Graf ist, weil sie sich bei ihm in Taschentücher mit einer neunzackigen Krone die Nase schneuzen kann, deshalb gibt sie mich auf.
ferien_vom_ich_015_f000144|Einen Mann wie mich, der diese bankerotte Bauratstochter gegen alle Vernunftgründe geliebt hat und sie heiraten wollte, gibt sie auf!|Einen Mann wie mich, der diese bankerotte Bauratstochter gegen alle Vernunftgründe geliebt hat und sie heiraten wollte, gibt sie auf!
ferien_vom_ich_015_f000145|Er sank in einen Stuhl.|Er sank in einen Stuhl.
ferien_vom_ich_015_f000146|Sein Schmerz war maßlos.|Sein Schmerz war maßlos.
ferien_vom_ich_015_f000147|Aber ich blieb kühl.|Aber ich blieb kühl.
ferien_vom_ich_015_f000148|Lieber Freund, sagte ich, es ist sicher für unsere Gründung ganz gut, wenn Sie familienlos bleiben, wenn Sie Ihre Selbständigkeit, den ruhigen, klaren Blick ... Halten Sie den Mund!|Lieber Freund, sagte ich, es ist sicher für unsere Gründung ganz gut, wenn Sie familienlos bleiben, wenn Sie Ihre Selbständigkeit, den ruhigen, klaren Blick ... Halten Sie den Mund!
ferien_vom_ich_015_f000149|Kommen Sie mir nicht mit solchem Blödsinn.|Kommen Sie mir nicht mit solchem Blödsinn.
ferien_vom_ich_015_f000150|Satt hab ich’s, satt.|Satt hab ichs, satt.
ferien_vom_ich_015_f000151|Meinetwegen mag die ganze Geschichte hier zum Teufel gehen.|Meinetwegen mag die ganze Geschichte hier zum Teufel gehen.
ferien_vom_ich_015_f000152|Mir liegt an nichts mehr etwas, an gar nichts mehr!|Mir liegt an nichts mehr etwas, an gar nichts mehr!
ferien_vom_ich_015_f000153|Er wand sich in dem Lehnstuhl, in dem er saß, wie in Krämpfen.|Er wand sich in dem Lehnstuhl, in dem er saß, wie in Krämpfen.
ferien_vom_ich_015_f000154|Ich stellte mich ans Fenster und zündete mir eine Zigarre an.|Ich stellte mich ans Fenster und zündete mir eine Zigarre an.
ferien_vom_ich_015_f000155|Da knirschte er: Sprechen Sie wenigstens; sagen Sie etwas zu mir.|Da knirschte er: Sprechen Sie wenigstens; sagen Sie etwas zu mir.
ferien_vom_ich_015_f000156|Das kann ich doch wohl verlangen.|Das kann ich doch wohl verlangen.
ferien_vom_ich_015_f000157|Sie lassen mich ja nicht zu Worte kommen, Stefenson.|Sie lassen mich ja nicht zu Worte kommen, Stefenson.
ferien_vom_ich_015_f000158|Und dann, ich weiß selbst nicht, was ich zu der Sache sagen soll.|Und dann, ich weiß selbst nicht, was ich zu der Sache sagen soll.
ferien_vom_ich_015_f000159|Jawohl, Sie machen sich eben nichts aus mir.|Jawohl, Sie machen sich eben nichts aus mir.
ferien_vom_ich_015_f000160|Sonst könnten Sie sich jetzt nicht so pomadig eine Zigarre anzünden.|Sonst könnten Sie sich jetzt nicht so pomadig eine Zigarre anzünden.
ferien_vom_ich_015_f000161|Schöner Freund!|Schöner Freund!
ferien_vom_ich_015_f000162|Glauben Sie denn, daß sie mit dem Grafen, diesem neunmal gehörnten Kerl, glücklich sein wird?|Glauben Sie denn, daß sie mit dem Grafen, diesem neunmal gehörnten Kerl, glücklich sein wird?
ferien_vom_ich_015_f000163|Das kann ich nicht beurteilen.|Das kann ich nicht beurteilen.
ferien_vom_ich_015_f000164|Das müssen Sie beurteilen können!|Das müssen Sie beurteilen können!
ferien_vom_ich_015_f000165|Sie müssen wissen, daß solche sogenannten Mesalliancen nie zum Glück führen, daß dieses Weib im Hause ihres gräflichen Gatten als Eindringling entweder gar nicht zugelassen oder sub Luder behandelt werden wird, daß der Mann ihrer überdrüssig sein wird, wenn ihre Schönheit verblüht, daß sie dann im Elend sitzen wird.|Sie müssen wissen, daß solche sogenannten Mesalliancen nie zum Glück führen, daß dieses Weib im Hause ihres gräflichen Gatten als Eindringling entweder gar nicht zugelassen oder sub Luder behandelt werden wird, daß der Mann ihrer überdrüssig sein wird, wenn ihre Schönheit verblüht, daß sie dann im Elend sitzen wird.
ferien_vom_ich_015_f000166|Das kann schon alles so kommen, es kann aber auch anders sein.|Das kann schon alles so kommen, es kann aber auch anders sein.
ferien_vom_ich_015_f000167|Es kommt ganz auf den Mann an.|Es kommt ganz auf den Mann an.
ferien_vom_ich_015_f000168|Prophezeien kann niemand, höchstens unsere alte Wahrsagerin unten in Waltersburg.|Prophezeien kann niemand, höchstens unsere alte Wahrsagerin unten in Waltersburg.
ferien_vom_ich_015_f000169|Wollen Sie mich verspotten?|Wollen Sie mich verspotten?
ferien_vom_ich_015_f000170|Sich über mich lustig machen?|Sich über mich lustig machen?
ferien_vom_ich_015_f000171|Ist das Ihre Freundschaft?|Ist das Ihre Freundschaft?
ferien_vom_ich_015_f000172|Er war wütend.|Er war wütend.
ferien_vom_ich_015_f000173|Lieber Stefenson, Sie sind jetzt sehr aufgeregt.|Lieber Stefenson, Sie sind jetzt sehr aufgeregt.
ferien_vom_ich_015_f000174|Was immer ich auch jetzt sagen möchte, würde Ihnen nicht gefallen.|Was immer ich auch jetzt sagen möchte, würde Ihnen nicht gefallen.
ferien_vom_ich_015_f000175|Warten wir also ab, bis Sie sich etwas beruhigt haben, und daß Sie dann ganz auf mich rechnen können, wissen Sie ja doch!|Warten wir also ab, bis Sie sich etwas beruhigt haben, und daß Sie dann ganz auf mich rechnen können, wissen Sie ja doch!
ferien_vom_ich_015_f000176|Ich werde mich nie beruhigen, sagte er.|Ich werde mich nie beruhigen, sagte er.
ferien_vom_ich_015_f000177|Über das komme ich nicht weg!|Über das komme ich nicht weg!
ferien_vom_ich_015_f000178|Wohl zehn Minuten vergingen, während deren Stefenson im Zimmer auf und ab schritt.|Wohl zehn Minuten vergingen, während deren Stefenson im Zimmer auf und ab schritt.
ferien_vom_ich_015_f000179|Manchmal blieb er stehen, sprach leise mit sich selbst oder fuchtelte mit seinen langen Armen durch die Luft.|Manchmal blieb er stehen, sprach leise mit sich selbst oder fuchtelte mit seinen langen Armen durch die Luft.
ferien_vom_ich_015_f000180|Endlich fragte er: Was ist das mit der Wahrsagerin in Waltersburg, die Sie erwähnten?|Endlich fragte er: Was ist das mit der Wahrsagerin in Waltersburg, die Sie erwähnten?
ferien_vom_ich_015_f000181|Ah, Stefenson, das war doch nur Scherz.|Ah, Stefenson, das war doch nur Scherz.
ferien_vom_ich_015_f000182|Es wohnt da unten im alten Zollhaus, kaum dreihundert Meter unter unserem Grundhof am Waltersburger Weg, ein Weib, das schon uralt war, als ich noch in kurzen Hosen ging.|Es wohnt da unten im alten Zollhaus, kaum dreihundert Meter unter unserem Grundhof am Waltersburger Weg, ein Weib, das schon uralt war, als ich noch in kurzen Hosen ging.
ferien_vom_ich_015_f000183|Sie nennt sich nach ihrem Beruf Sibylle.|Sie nennt sich nach ihrem Beruf Sibylle.
ferien_vom_ich_015_f000184|Wie sie eigentlich heißt, wie alt sie ist, weiß kein Mensch.|Wie sie eigentlich heißt, wie alt sie ist, weiß kein Mensch.
ferien_vom_ich_015_f000185|Für fünfundzwanzig Pfennig prophezeit sie den Bürgern, Bauern und Köchinnen die Zukunft.|Für fünfundzwanzig Pfennig prophezeit sie den Bürgern, Bauern und Köchinnen die Zukunft.
ferien_vom_ich_015_f000186|Und stimmt es, was sie sagt?|Und stimmt es, was sie sagt?
ferien_vom_ich_015_f000187|Ja, das weiß ich nicht.|Ja, das weiß ich nicht.
ferien_vom_ich_015_f000188|Ich hab mich um das alte Fernrohr in die Zukunft nicht gekümmert.|Ich hab mich um das alte Fernrohr in die Zukunft nicht gekümmert.
ferien_vom_ich_015_f000189|Als Jungen haben mal Joachim und ich fünfundzwanzig Pfennig zusammengeschossen und uns weissagen lassen.|Als Jungen haben mal Joachim und ich fünfundzwanzig Pfennig zusammengeschossen und uns weissagen lassen.
ferien_vom_ich_015_f000190|Da hat sie gesagt, wir würden bald eine mächtige Tracht Prügel bekommen.|Da hat sie gesagt, wir würden bald eine mächtige Tracht Prügel bekommen.
ferien_vom_ich_015_f000191|Und das ist auch eingetroffen.|Und das ist auch eingetroffen.
ferien_vom_ich_015_f000192|Es kam nämlich heraus, daß wir die fünfundzwanzig Pfennig zur Sibylle getragen hatten, und wir bekamen Prügel dafür.|Es kam nämlich heraus, daß wir die fünfundzwanzig Pfennig zur Sibylle getragen hatten, und wir bekamen Prügel dafür.
ferien_vom_ich_015_f000193|Ich wußte, daß Stefenson abergläubisch war.|Ich wußte, daß Stefenson abergläubisch war.
ferien_vom_ich_015_f000194|Viele sonst sehr kluge Menschen sind es.|Viele sonst sehr kluge Menschen sind es.
ferien_vom_ich_015_f000195|Stefenson fing an einem Freitag kein Geschäft an, es beunruhigte ihn, wenn eine Katze über seinen Weg lief, und er hatte immer ein altes Hufeisen auf seinem Schreibtische liegen.|Stefenson fing an einem Freitag kein Geschäft an, es beunruhigte ihn, wenn eine Katze über seinen Weg lief, und er hatte immer ein altes Hufeisen auf seinem Schreibtische liegen.
ferien_vom_ich_015_f000196|Er stammte ja auch aus Amerika, wo der Aberglaube zu Hause ist.|Er stammte ja auch aus Amerika, wo der Aberglaube zu Hause ist.
ferien_vom_ich_015_f000197|Jetzt fühlte er das Bedürfnis, sich ein wenig zu rechtfertigen, und sagte: Es ist durchaus falsch, alle Hellseherei von vornherein als Unsinn zu erklären.|Jetzt fühlte er das Bedürfnis, sich ein wenig zu rechtfertigen, und sagte: Es ist durchaus falsch, alle Hellseherei von vornherein als Unsinn zu erklären.
