maerchen_001_f000001|Der glückliche Prinz.|Der glückliche Prinz.
maerchen_010_f000273|Zu beiden Seiten standen in Nischen große Weinkrüge, die bis zum Rande mit Silbermünzen gefüllt waren.|Zu beiden Seiten standen in Nischen große Weinkrüge, die bis zum Rande mit Silbermünzen gefüllt waren.
maerchen_010_f000274|Als wir die Mitte des Ganges erreicht hatten, sprach der Kaiser das Wort, das nicht ausgesprochen werden darf, eine granitene Türe sprang durch eine geheime Feder auf, und er legte seine Hand vor sein Gesicht, damit seine Augen nicht geblendet würden.|Als wir die Mitte des Ganges erreicht hatten, sprach der Kaiser das Wort, das nicht ausgesprochen werden darf, eine granitene Türe sprang durch eine geheime Feder auf, und er legte seine Hand vor sein Gesicht, damit seine Augen nicht geblendet würden.
maerchen_010_f000275|Du kannst dir nicht denken, was für ein wundervoller Ort es war.|Du kannst dir nicht denken, was für ein wundervoller Ort es war.
maerchen_010_f000276|Da lagen große Schildkrötenschalen voll von Perlen, und ausgehöhlte Mondsteine von Riesengröße aufgehäuft mit roten Rubinen.|Da lagen große Schildkrötenschalen voll von Perlen, und ausgehöhlte Mondsteine von Riesengröße aufgehäuft mit roten Rubinen.
maerchen_010_f000277|Das Gold war in Kästen von Elefantenhaut verpackt und der Goldstaub in Lederflaschen.|Das Gold war in Kästen von Elefantenhaut verpackt und der Goldstaub in Lederflaschen.
maerchen_010_f000278|Da gab es Opale in Kristallschalen und Saphire in Schalen von Nephrit.|Da gab es Opale in Kristallschalen und Saphire in Schalen von Nephrit.
maerchen_010_f000279|Runde, grüne Smaragden lagen geordnet auf dünnen Elfenbeintafeln, und in einer Ecke standen seidene Säcke, die einen mit Türkisen, die andern mit Beryllen gefüllt.|Runde, grüne Smaragden lagen geordnet auf dünnen Elfenbeintafeln, und in einer Ecke standen seidene Säcke, die einen mit Türkisen, die andern mit Beryllen gefüllt.
maerchen_010_f000280|Elfenbeinhörner waren gehäuft voll purpurner Amethyste und Erzhörner voll Chalzedon und Karneolen.|Elfenbeinhörner waren gehäuft voll purpurner Amethyste und Erzhörner voll Chalzedon und Karneolen.
maerchen_010_f000281|Die Zedernholzsäulen waren behängt mit Schnüren gelber Luchssteine.|Die Zedernholzsäulen waren behängt mit Schnüren gelber Luchssteine.
maerchen_010_f000282|Auf ovalen flachen Schilden lagen Karfunkeln, weinfarbene und solche, die wie Gras leuchteten.|Auf ovalen flachen Schilden lagen Karfunkeln, weinfarbene und solche, die wie Gras leuchteten.
maerchen_010_f000283|Und doch habe ich dir nur ein Zehntel von allem, was da war, erzählt.|Und doch habe ich dir nur ein Zehntel von allem, was da war, erzählt.
maerchen_010_f000284|Als nun der Kaiser die Hände von seinem Gesicht genommen hatte, sagte er zu mir: Dies ist meine Schatzkammer, und die Hälfte davon ist dein, so wie ich es dir versprochen habe.|Als nun der Kaiser die Hände von seinem Gesicht genommen hatte, sagte er zu mir: Dies ist meine Schatzkammer, und die Hälfte davon ist dein, so wie ich es dir versprochen habe.
maerchen_010_f000285|Ich werde dir Kamele und Kameltreiber geben, sie sollen dir gehorchen und deinen Anteil an dem Schatz hintragen, nach welchem Teil der Welt du auch gehen willst.|Ich werde dir Kamele und Kameltreiber geben, sie sollen dir gehorchen und deinen Anteil an dem Schatz hintragen, nach welchem Teil der Welt du auch gehen willst.
maerchen_010_f000286|Und alles soll heute abend geschehen, denn ich möchte nicht, daß die Sonne, die mein Vater ist, sehen sollte, daß es einen Mann in meiner Stadt gibt, den ich nicht töten kann!|Und alles soll heute abend geschehen, denn ich möchte nicht, daß die Sonne, die mein Vater ist, sehen sollte, daß es einen Mann in meiner Stadt gibt, den ich nicht töten kann!
maerchen_010_f000287|Aber ich antwortete ihm: Das Gold, das hier liegt, ist dein, und das Silber ist auch dein, und dein sind alle kostbaren Edelsteine und wertvollen Dinge.|Aber ich antwortete ihm: Das Gold, das hier liegt, ist dein, und das Silber ist auch dein, und dein sind alle kostbaren Edelsteine und wertvollen Dinge.
maerchen_010_f000288|Was mich angeht, ich brauche das alles nicht.|Was mich angeht, ich brauche das alles nicht.
maerchen_010_f000289|Auch werde ich sonst nichts von dir nehmen außer diesem kleinen Ring, den du am Finger deiner Hand trägst. Da runzelte der Kaiser die Stirne.|Auch werde ich sonst nichts von dir nehmen außer diesem kleinen Ring, den du am Finger deiner Hand trägst. Da runzelte der Kaiser die Stirne.
maerchen_010_f000290|Es ist nur ein bleierner Ring, rief er, und er hat keinen Wert.|Es ist nur ein bleierner Ring, rief er, und er hat keinen Wert.
maerchen_010_f000291|Darum nimm die Hälfte meines Schatzes und gehe fort aus meiner Stadt. Nein, antwortete ich, ich will nichts nehmen, als diesen bleiernen Ring, denn ich kenne die Inschrift darauf und ihren Zweck.|Darum nimm die Hälfte meines Schatzes und gehe fort aus meiner Stadt. Nein, antwortete ich, ich will nichts nehmen, als diesen bleiernen Ring, denn ich kenne die Inschrift darauf und ihren Zweck.
maerchen_010_f000292|Da zitterte der Kaiser und sprach flehend zu mir: Nimm alle meine Schätze und geh aus meiner Stadt.|Da zitterte der Kaiser und sprach flehend zu mir: Nimm alle meine Schätze und geh aus meiner Stadt.
maerchen_010_f000293|Du sollst meine Hälfte noch dazu haben. Und ich tat etwas Seltsames, aber was ich tat, das ist gleichgültig, denn in einer Höhle, die nur eine Tagereise von hier entfernt ist, habe ich den Ring des Reichtums versteckt.|Du sollst meine Hälfte noch dazu haben. Und ich tat etwas Seltsames, aber was ich tat, das ist gleichgültig, denn in einer Höhle, die nur eine Tagereise von hier entfernt ist, habe ich den Ring des Reichtums versteckt.
maerchen_010_f000294|Er ist nur eine Tagereise von hier und wartet auf dein Kommen.|Er ist nur eine Tagereise von hier und wartet auf dein Kommen.
maerchen_010_f000295|Wer aber diesen Ring hat, ist reicher als alle Könige der Welt.|Wer aber diesen Ring hat, ist reicher als alle Könige der Welt.
maerchen_010_f000296|Darum komm und nimm ihn, und die Reichtümer der Welt werden dein sein.|Darum komm und nimm ihn, und die Reichtümer der Welt werden dein sein.
maerchen_010_f000297|Aber der junge Fischer lachte.|Aber der junge Fischer lachte.
maerchen_010_f000298|Liebe ist besser als Reichtum, rief er, und die kleine Seejungfrau liebt mich. Nein, es gibt nichts Besseres als Reichtum, sagte die Seele.|Liebe ist besser als Reichtum, rief er, und die kleine Seejungfrau liebt mich. Nein, es gibt nichts Besseres als Reichtum, sagte die Seele.
maerchen_010_f000299|Liebe ist besser, antwortete der junge Fischer und tauchte in die Tiefe, und die Seele ging weinend über das Marschland davon.|Liebe ist besser, antwortete der junge Fischer und tauchte in die Tiefe, und die Seele ging weinend über das Marschland davon.
maerchen_010_f000300|Ende von Der Fischer und seine Seele teil 2.|Ende von Der Fischer und seine Seele teil zwei.
maerchen_011_f000001|Absnitt 11 von märchen von Oskar Wild.|Absnitt elf von marchen von Oskar Wild.
maerchen_011_f000002|Ubersetzt von wilhelm krämer.|Ubersetzt von wilhelm krämer.
maerchen_011_f000003|Diese librivox aufnahme ist in der public domain.|Diese librivox aufnahme ist in der public domain.
maerchen_011_f000004|Der Fischer und seine Seele teil 3.|Der Fischer und seine Seele teil drei.
maerchen_011_f000005|Als nun das dritte Jahr vorüber war, kam die Seele hinab an das Ufer des Meeres und rief nach dem jungen Fischer.|Als nun das dritte Jahr vorüber war, kam die Seele hinab an das Ufer des Meeres und rief nach dem jungen Fischer.
maerchen_011_f000006|Und er tauchte aus der Tiefe empor und fragte: Warum rufst du nach mir?|Und er tauchte aus der Tiefe empor und fragte: Warum rufst du nach mir?
maerchen_011_f000007|Da antwortete die Seele: Komm näher, damit ich mit dir sprechen kann, denn ich habe wunderbare Dinge gesehen.|Da antwortete die Seele: Komm näher, damit ich mit dir sprechen kann, denn ich habe wunderbare Dinge gesehen.
maerchen_011_f000008|Da kam er näher, setzte sich in das seichte Wasser hin und lehnte seinen Kopf auf die Hand, um zu lauschen.|Da kam er näher, setzte sich in das seichte Wasser hin und lehnte seinen Kopf auf die Hand, um zu lauschen.
maerchen_011_f000009|Und die Seele sprach zu ihm: In einer Stadt, die ich kenne, da gibt es eine Schenke, die an einem Flusse steht.|Und die Seele sprach zu ihm: In einer Stadt, die ich kenne, da gibt es eine Schenke, die an einem Flusse steht.
maerchen_011_f000010|Dort saß ich mit Matrosen, die zwei verschiedenfarbige Weine tranken und Gerstenbrote und kleine Salzfische aßen, die in Lorbeerblättern mit Weinessig angerichtet waren.|Dort saß ich mit Matrosen, die zwei verschiedenfarbige Weine tranken und Gerstenbrote und kleine Salzfische aßen, die in Lorbeerblättern mit Weinessig angerichtet waren.
maerchen_011_f000011|Und als wir zusammen saßen und fröhlich wurden, da trat ein alter Mann zu uns herein, der einen ledernen Teppich trug und eine Laute mit zwei Bernsteinhörnern.|Und als wir zusammen saßen und fröhlich wurden, da trat ein alter Mann zu uns herein, der einen ledernen Teppich trug und eine Laute mit zwei Bernsteinhörnern.
maerchen_011_f000012|Er breitete den Teppich auf der Erde aus und schlug mit einer Feder in die Drahtsaiten seiner Laute, und ein verschleiertes Mädchen lief herein und begann vor uns zu tanzen.|Er breitete den Teppich auf der Erde aus und schlug mit einer Feder in die Drahtsaiten seiner Laute, und ein verschleiertes Mädchen lief herein und begann vor uns zu tanzen.
maerchen_011_f000013|Ihr Gesicht war mit einem Gazeschleier verhüllt, aber ihre Füße waren nackt.|Ihr Gesicht war mit einem Gazeschleier verhüllt, aber ihre Füße waren nackt.
maerchen_011_f000014|Nackt waren ihre Füße, und sie flogen über den Boden hin, wie kleine weiße Tauben.|Nackt waren ihre Füße, und sie flogen über den Boden hin, wie kleine weiße Tauben.
maerchen_011_f000015|Niemals habe ich etwas so Wunderbares gesehen, und die Stadt, in der sie tanzt, ist nur eine Tagereise von hier entfernt.|Niemals habe ich etwas so Wunderbares gesehen, und die Stadt, in der sie tanzt, ist nur eine Tagereise von hier entfernt.
maerchen_011_f000016|Als nun der junge Fischer die Worte seiner Seele hörte, dachte er daran, daß die kleine Seejungfrau keine Füße hatte und nicht tanzen konnte.|Als nun der junge Fischer die Worte seiner Seele hörte, dachte er daran, daß die kleine Seejungfrau keine Füße hatte und nicht tanzen konnte.
maerchen_011_f000017|Und ein großes Verlangen überkam ihn, und er sprach zu sich selbst: Es ist nur eine Tagereise weit, und ich kann zu meiner Liebsten zurückkehren.|Und ein großes Verlangen überkam ihn, und er sprach zu sich selbst: Es ist nur eine Tagereise weit, und ich kann zu meiner Liebsten zurückkehren.
maerchen_011_f000018|Und er lachte und erhob sich aus dem seichten Wasser und schritt auf das Ufer zu.|Und er lachte und erhob sich aus dem seichten Wasser und schritt auf das Ufer zu.
maerchen_011_f000019|Und als er das trockene Ufer erreicht hatte, lachte er von neuem und streckte seine Arme nach seiner Seele aus.|Und als er das trockene Ufer erreicht hatte, lachte er von neuem und streckte seine Arme nach seiner Seele aus.
maerchen_011_f000020|Und seine Seele stieß einen lauten Freudenschrei aus und lief ihm entgegen.|Und seine Seele stieß einen lauten Freudenschrei aus und lief ihm entgegen.
maerchen_011_f000021|Sie vereinigte sich mit ihm, und der junge Fischer sah vor sich auf dem Sande den Schatten des Körpers, der der Körper der Seele ist.|Sie vereinigte sich mit ihm, und der junge Fischer sah vor sich auf dem Sande den Schatten des Körpers, der der Körper der Seele ist.
maerchen_011_f000022|Und seine Seele sprach zu ihm: Laß uns nicht zaudern, sondern sogleich aufbrechen, denn die Götter der See haben Ungeheuer, die ihnen gehorchen.|Und seine Seele sprach zu ihm: Laß uns nicht zaudern, sondern sogleich aufbrechen, denn die Götter der See haben Ungeheuer, die ihnen gehorchen.
maerchen_011_f000023|Da beeilten sie sich und wanderten die ganze Nacht im Mondschein, und den ganzen nächsten Tag wanderten sie im Sonnenlicht, bis sie am Abend dieses Tages nach einer Stadt kamen.|Da beeilten sie sich und wanderten die ganze Nacht im Mondschein, und den ganzen nächsten Tag wanderten sie im Sonnenlicht, bis sie am Abend dieses Tages nach einer Stadt kamen.
maerchen_011_f000024|Und der junge Fischer sprach zu seiner Seele: Ist dies die Stadt, worin die tanzt, von der du mir gesprochen hast?|Und der junge Fischer sprach zu seiner Seele: Ist dies die Stadt, worin die tanzt, von der du mir gesprochen hast?
maerchen_011_f000025|Und seine Seele antwortete ihm: Es ist nicht dieselbe Stadt, sondern eine andere.|Und seine Seele antwortete ihm: Es ist nicht dieselbe Stadt, sondern eine andere.
maerchen_011_f000026|Trotzdem wollen wir hineingehen.|Trotzdem wollen wir hineingehen.
maerchen_011_f000027|Da gingen sie hinein und wanderten durch die Straßen, und als sie durch die Straße der Juweliere kamen, sah der junge Fischer einen schönen Silberbecher, der in einer Bude ausgestellt war.|Da gingen sie hinein und wanderten durch die Straßen, und als sie durch die Straße der Juweliere kamen, sah der junge Fischer einen schönen Silberbecher, der in einer Bude ausgestellt war.
maerchen_011_f000028|Und seine Seele sprach zu ihm: Nimm den Silberbecher und verbirg ihn.|Und seine Seele sprach zu ihm: Nimm den Silberbecher und verbirg ihn.
maerchen_011_f000029|Da nahm er den Becher und verbarg ihn in den Falten seiner Tunika, und sie verließen eiligst die Stadt.|Da nahm er den Becher und verbarg ihn in den Falten seiner Tunika, und sie verließen eiligst die Stadt.
maerchen_011_f000030|Und als sie eine Weile von der Stadt entfernt waren, runzelte der junge Fischer die Stirne, warf den Becher fort und sprach zu seiner Seele: Warum sagtest du mir, ich sollte diesen Becher nehmen und verbergen?|Und als sie eine Weile von der Stadt entfernt waren, runzelte der junge Fischer die Stirne, warf den Becher fort und sprach zu seiner Seele: Warum sagtest du mir, ich sollte diesen Becher nehmen und verbergen?
maerchen_011_f000031|Denn es war eine böse Tat.|Denn es war eine böse Tat.
maerchen_011_f000032|Aber seine Seele antwortete ihm: Sei ruhig, sei ruhig.|Aber seine Seele antwortete ihm: Sei ruhig, sei ruhig.
maerchen_011_f000033|Und am Abend des zweiten Tages kamen sie nach einer Stadt, und der junge Fischer sprach zu seiner Seele: Ist dies die Stadt, worin die tanzt, von der du mir gesprochen hast?|Und am Abend des zweiten Tages kamen sie nach einer Stadt, und der junge Fischer sprach zu seiner Seele: Ist dies die Stadt, worin die tanzt, von der du mir gesprochen hast?
maerchen_011_f000034|Und seine Seele antwortete ihm: Es ist nicht dieselbe Stadt, sondern eine andere.|Und seine Seele antwortete ihm: Es ist nicht dieselbe Stadt, sondern eine andere.
maerchen_011_f000035|Trotzdem wollen wir hineingehen.|Trotzdem wollen wir hineingehen.
maerchen_011_f000036|Da gingen sie hinein und wanderten durch die Straßen, und als sie durch die Straße der Sandalenverkäufer kamen, da sah der junge Fischer ein Kind an einem Wasserbehälter stehn.|Da gingen sie hinein und wanderten durch die Straßen, und als sie durch die Straße der Sandalenverkäufer kamen, da sah der junge Fischer ein Kind an einem Wasserbehälter stehn.
maerchen_011_f000037|Und seine Seele sprach zu ihm: Schlage dieses Kind.|Und seine Seele sprach zu ihm: Schlage dieses Kind.
maerchen_011_f000038|Da schlug er das Kind, bis es weinte, und als er das getan hatte, verließen sie eiligst die Stadt.|Da schlug er das Kind, bis es weinte, und als er das getan hatte, verließen sie eiligst die Stadt.
maerchen_011_f000039|Und als sie eine Weile von der Stadt entfernt waren, da wurde der junge Fischer zornig und sprach zu seiner Seele: Warum sagtest du mir, ich sollte das Kind schlagen?|Und als sie eine Weile von der Stadt entfernt waren, da wurde der junge Fischer zornig und sprach zu seiner Seele: Warum sagtest du mir, ich sollte das Kind schlagen?
maerchen_011_f000040|Denn es war eine böse Tat.|Denn es war eine böse Tat.
maerchen_011_f000041|Aber seine Seele antwortete ihm: Sei ruhig, sei ruhig.|Aber seine Seele antwortete ihm: Sei ruhig, sei ruhig.
maerchen_011_f000042|Und am Abend des dritten Tages kamen sie nach einer Stadt, und der junge Fischer sprach zu seiner Seele: Ist dies die Stadt, worin die tanzt, von der du mir gesprochen hast?|Und am Abend des dritten Tages kamen sie nach einer Stadt, und der junge Fischer sprach zu seiner Seele: Ist dies die Stadt, worin die tanzt, von der du mir gesprochen hast?
maerchen_011_f000043|Und seine Seele antwortete ihm: Vielleicht ist es diese Stadt, deshalb laß uns hineingehen.|Und seine Seele antwortete ihm: Vielleicht ist es diese Stadt, deshalb laß uns hineingehen.
maerchen_011_f000044|Da gingen sie hinein und wanderten durch die Straßen, aber nirgendwo konnte der junge Fischer den Fluß oder die Schenke finden, die am Ufer stand.|Da gingen sie hinein und wanderten durch die Straßen, aber nirgendwo konnte der junge Fischer den Fluß oder die Schenke finden, die am Ufer stand.
maerchen_011_f000045|Und die Leute der Stadt betrachteten ihn mißtrauisch, und er wurde ängstlich und sprach zu seiner Seele: Laß uns weitergehen, denn die, die mit ihren weißen Füßen tanzt, ist nicht hier.|Und die Leute der Stadt betrachteten ihn mißtrauisch, und er wurde ängstlich und sprach zu seiner Seele: Laß uns weitergehen, denn die, die mit ihren weißen Füßen tanzt, ist nicht hier.
maerchen_011_f000046|Aber seine Seele antwortete: Nein, wir wollen verweilen, denn die Nacht ist dunkel, und auf dem Wege werden Räuber sein.|Aber seine Seele antwortete: Nein, wir wollen verweilen, denn die Nacht ist dunkel, und auf dem Wege werden Räuber sein.
maerchen_011_f000047|Da setzte er sich auf den Marktplatz hin und ruhte aus, und nach einiger Zeit kam ein Kaufmann mit einer Kapuze und einem Mantel aus tatarischem Tuch vorbei, und er trug an der Spitze eines Bambusrohres eine Laterne aus durchbrochenem Horn.|Da setzte er sich auf den Marktplatz hin und ruhte aus, und nach einiger Zeit kam ein Kaufmann mit einer Kapuze und einem Mantel aus tatarischem Tuch vorbei, und er trug an der Spitze eines Bambusrohres eine Laterne aus durchbrochenem Horn.
maerchen_011_f000048|Und der Kaufmann sprach zu ihm: Warum sitzest du auf dem Marktplatz, da doch die Läden geschlossen und die Warenballen verschnürt sind?|Und der Kaufmann sprach zu ihm: Warum sitzest du auf dem Marktplatz, da doch die Läden geschlossen und die Warenballen verschnürt sind?
maerchen_011_f000049|Und der junge Fischer antwortete ihm: Ich kann kein Gasthaus in der Stadt finden, auch habe ich keinen Verwandten, der mich beherbergt.|Und der junge Fischer antwortete ihm: Ich kann kein Gasthaus in der Stadt finden, auch habe ich keinen Verwandten, der mich beherbergt.
maerchen_011_f000050|Sind wir nicht alle Verwandte? fragte der Kaufmann.|Sind wir nicht alle Verwandte? fragte der Kaufmann.
maerchen_011_f000051|Hat uns nicht ein Gott geschaffen?|Hat uns nicht ein Gott geschaffen?
maerchen_011_f000052|Darum komm mit mir, denn ich habe eine Gastkammer.|Darum komm mit mir, denn ich habe eine Gastkammer.
maerchen_011_f000053|Da erhob sich der junge Fischer und folgte dem Kaufmann nach seinem Hause.|Da erhob sich der junge Fischer und folgte dem Kaufmann nach seinem Hause.
maerchen_011_f000054|Und als sie einen Garten von Granatapfelbäumen durchschritten und in das Haus eingetreten waren, brachte ihm der Kaufmann in einer kupfernen Schale Rosenwasser, um sich die Hände zu waschen, und reife Melonen, um seinen Durst zu stillen.|Und als sie einen Garten von Granatapfelbäumen durchschritten und in das Haus eingetreten waren, brachte ihm der Kaufmann in einer kupfernen Schale Rosenwasser, um sich die Hände zu waschen, und reife Melonen, um seinen Durst zu stillen.
maerchen_011_f000055|Und er stellte eine Schale mit Reis und ein Stück Lammbraten vor ihn hin.|Und er stellte eine Schale mit Reis und ein Stück Lammbraten vor ihn hin.
maerchen_011_f000056|Als er fertig war, führte ihn der Kaufmann in die Gastkammer und bat ihn, zu schlafen und wohl zu ruhen.|Als er fertig war, führte ihn der Kaufmann in die Gastkammer und bat ihn, zu schlafen und wohl zu ruhen.
maerchen_011_f000057|Und der junge Fischer dankte ihm und küßte den Ring an seiner Hand und warf sich auf die Teppiche aus gefärbtem Ziegenhaar hin.|Und der junge Fischer dankte ihm und küßte den Ring an seiner Hand und warf sich auf die Teppiche aus gefärbtem Ziegenhaar hin.
maerchen_011_f000058|Und als er sich in eine Decke aus schwarzer Schafwolle eingehüllt hatte, schlief er ein.|Und als er sich in eine Decke aus schwarzer Schafwolle eingehüllt hatte, schlief er ein.
maerchen_011_f000059|Aber drei Stunden vor Tagesanbruch, als alles noch still war, weckte ihn seine Seele und sprach zu ihm: Steh auf und geh in das Gemach des Kaufmanns, in dasselbe Gemach, in dem er schläft.|Aber drei Stunden vor Tagesanbruch, als alles noch still war, weckte ihn seine Seele und sprach zu ihm: Steh auf und geh in das Gemach des Kaufmanns, in dasselbe Gemach, in dem er schläft.
maerchen_011_f000060|Töte ihn und nimm ihm sein Gold, denn wir brauchen es.|Töte ihn und nimm ihm sein Gold, denn wir brauchen es.
maerchen_011_f000061|Da erhob sich der junge Fischer und schlich sich in das Gemach des Kaufmanns.|Da erhob sich der junge Fischer und schlich sich in das Gemach des Kaufmanns.
maerchen_011_f000062|Über den Füßen des Kaufmanns aber lag ein gebogener Säbel, und auf dem Tischchen neben dem Kaufmann standen neun Beutel mit Gold.|Über den Füßen des Kaufmanns aber lag ein gebogener Säbel, und auf dem Tischchen neben dem Kaufmann standen neun Beutel mit Gold.
maerchen_011_f000063|Und er streckte seine Hand aus und berührte das Schwert, und als er es berührte, da fuhr der Kaufmann auf und erwachte.|Und er streckte seine Hand aus und berührte das Schwert, und als er es berührte, da fuhr der Kaufmann auf und erwachte.
maerchen_011_f000064|Er sprang empor, griff nach seinem Schwert und sprach zu dem jungen Fischer: Vergiltst du Gutes mit Bösem und bezahlst du mit Blutvergießen die Freundlichkeit, die ich dir erwiesen habe?|Er sprang empor, griff nach seinem Schwert und sprach zu dem jungen Fischer: Vergiltst du Gutes mit Bösem und bezahlst du mit Blutvergießen die Freundlichkeit, die ich dir erwiesen habe?
maerchen_011_f000065|Und die Seele sprach zu dem jungen Fischer: Triff ihn, und er traf ihn so, daß er die Besinnung verlor.|Und die Seele sprach zu dem jungen Fischer: Triff ihn, und er traf ihn so, daß er die Besinnung verlor.
maerchen_011_f000066|Dann ergriff der Fischer die neun Beutel mit Gold und floh eiligst durch den Garten mit den Granatapfelbäumen.|Dann ergriff der Fischer die neun Beutel mit Gold und floh eiligst durch den Garten mit den Granatapfelbäumen.
maerchen_011_f000067|Und er nahm die Richtung nach dem Stern, der der Morgenstern ist.|Und er nahm die Richtung nach dem Stern, der der Morgenstern ist.
maerchen_011_f000068|Als sie eine Meile von der Stadt entfernt waren, schlug sich der junge Fischer an die Brust und sprach zu seiner Seele: Warum verlangtest du von mir, ich sollte den Kaufmann erschlagen und sein Gold nehmen?|Als sie eine Meile von der Stadt entfernt waren, schlug sich der junge Fischer an die Brust und sprach zu seiner Seele: Warum verlangtest du von mir, ich sollte den Kaufmann erschlagen und sein Gold nehmen?
maerchen_011_f000069|Sicherlich bist du böse.|Sicherlich bist du böse.
maerchen_011_f000070|Aber seine Seele antwortete ihm: Sei ruhig, sei ruhig.|Aber seine Seele antwortete ihm: Sei ruhig, sei ruhig.
maerchen_011_f000071|Nein, schrie der Fischer, ich kann nicht ruhig sein, denn alles, was ich auf dein Geheiß getan habe, hasse ich.|Nein, schrie der Fischer, ich kann nicht ruhig sein, denn alles, was ich auf dein Geheiß getan habe, hasse ich.
maerchen_011_f000072|Dich selbst hasse ich auch, und ich bitte dich, sage mir, weshalb du mich dazu verführt hast.|Dich selbst hasse ich auch, und ich bitte dich, sage mir, weshalb du mich dazu verführt hast.
maerchen_011_f000073|Und seine Seele antwortete ihm: Als du mich hinaus in die Welt schicktest, gabst du mir kein Herz, daher lernte ich, alles dies zu tun und es zu lieben.|Und seine Seele antwortete ihm: Als du mich hinaus in die Welt schicktest, gabst du mir kein Herz, daher lernte ich, alles dies zu tun und es zu lieben.
maerchen_011_f000074|Was meinst du damit? murmelte der junge Fischer.|Was meinst du damit? murmelte der junge Fischer.
maerchen_011_f000075|Du weißt es, antwortete seine Seele, du weißt es gut.|Du weißt es, antwortete seine Seele, du weißt es gut.
maerchen_011_f000076|Hast du vergessen, daß du mir kein Herz gabst?|Hast du vergessen, daß du mir kein Herz gabst?
maerchen_011_f000077|Ich glaube nicht.|Ich glaube nicht.
maerchen_011_f000078|Und darum laß es weder dich noch mich kümmern, sondern sei ruhig, denn es gibt keinen Schmerz, den du nicht austeilen, und keine Lust, die du nicht empfangen sollst.|Und darum laß es weder dich noch mich kümmern, sondern sei ruhig, denn es gibt keinen Schmerz, den du nicht austeilen, und keine Lust, die du nicht empfangen sollst.
maerchen_011_f000079|Aber als der junge Fischer diese Worte hörte, zitterte er und sprach zu seiner Seele: Nein, du bist böse, du trägst die Schuld, daß ich meine Liebe vergessen habe, und du hast mich in Versuchung geführt und meine Füße auf den Weg der Sünde gestellt.|Aber als der junge Fischer diese Worte hörte, zitterte er und sprach zu seiner Seele: Nein, du bist böse, du trägst die Schuld, daß ich meine Liebe vergessen habe, und du hast mich in Versuchung geführt und meine Füße auf den Weg der Sünde gestellt.
maerchen_011_f000080|Und seine Seele antwortete ihm: Du hast nicht vergessen, daß du mir kein Herz gabst, als du mich in die Welt hinausschicktest.|Und seine Seele antwortete ihm: Du hast nicht vergessen, daß du mir kein Herz gabst, als du mich in die Welt hinausschicktest.
maerchen_011_f000081|Komm, laß uns in eine andere Stadt gehen und fröhlich sein, denn wir haben neun Beutel mit Gold.|Komm, laß uns in eine andere Stadt gehen und fröhlich sein, denn wir haben neun Beutel mit Gold.
maerchen_011_f000082|Aber der junge Fischer nahm die neun Beutel mit Gold, warf sie zu Boden und trat darauf.|Aber der junge Fischer nahm die neun Beutel mit Gold, warf sie zu Boden und trat darauf.
maerchen_011_f000083|Nein, schrie er, ich will nichts mehr mit dir zu tun haben, noch will ich irgendwohin mit dir gehen, sondern so, wie ich dich früher fortgesandt habe, will ich dich auch jetzt fortsenden, denn du hast mir nichts Gutes getan.|Nein, schrie er, ich will nichts mehr mit dir zu tun haben, noch will ich irgendwohin mit dir gehen, sondern so, wie ich dich früher fortgesandt habe, will ich dich auch jetzt fortsenden, denn du hast mir nichts Gutes getan.
maerchen_011_f000084|Und er wandte dem Mond den Rücken zu, nahm das kleine Messer mit dem Griff aus grüner Vipernhaut und versuchte von seinen Füßen den Schatten des Körpers abzuschneiden, der der Körper der Seele ist.|Und er wandte dem Mond den Rücken zu, nahm das kleine Messer mit dem Griff aus grüner Vipernhaut und versuchte von seinen Füßen den Schatten des Körpers abzuschneiden, der der Körper der Seele ist.
maerchen_011_f000085|Doch die Seele rührte sich nicht von ihm, noch achtete sie auf seinen Befehl, sondern sprach: Der Zauber, den dir die Hexe gegeben hat, nutzt dir nichts mehr, denn ich kann dich nicht verlassen, noch kannst du mich forttreiben.|Doch die Seele rührte sich nicht von ihm, noch achtete sie auf seinen Befehl, sondern sprach: Der Zauber, den dir die Hexe gegeben hat, nutzt dir nichts mehr, denn ich kann dich nicht verlassen, noch kannst du mich forttreiben.
maerchen_011_f000086|Einmal in seinem Leben darf ein Mensch seine Seele fortsenden, aber wenn er sie zurückerhält, muß er für immer mit ihr zusammenbleiben, und dies ist seine Strafe und seine Belohnung.|Einmal in seinem Leben darf ein Mensch seine Seele fortsenden, aber wenn er sie zurückerhält, muß er für immer mit ihr zusammenbleiben, und dies ist seine Strafe und seine Belohnung.
maerchen_011_f000087|Da erbleichte der junge Fischer, ballte seine Fäuste und schrie: Sie war eine falsche Hexe, weil sie mir das nicht gesagt hat.|Da erbleichte der junge Fischer, ballte seine Fäuste und schrie: Sie war eine falsche Hexe, weil sie mir das nicht gesagt hat.
maerchen_011_f000088|Nein, antwortete die Seele, denn sie war Ihm treu, den sie anbetet, und dessen Dienerin sie immer sein will.|Nein, antwortete die Seele, denn sie war Ihm treu, den sie anbetet, und dessen Dienerin sie immer sein will.
