koenigsgaukler_1_f000001|Die Geburt Mantaos in der Lotosblume|Die Geburt Mantaos in der Lotosblume
koenigsgaukler_4_f000069|Gegen Morgen erwachte Mantao von einem Rascheln in der Ecke des Zimmers, wie wenn große Elefantenohren sich bewegen.|Gegen Morgen erwachte Mantao von einem Rascheln in der Ecke des Zimmers, wie wenn große Elefantenohren sich bewegen.
koenigsgaukler_4_f000070|Da stand der Kleine mit den Elefantenohren, bewegte seine Ohren hin und her und raschelte vernehmlich damit.|Da stand der Kleine mit den Elefantenohren, bewegte seine Ohren hin und her und raschelte vernehmlich damit.
koenigsgaukler_4_f000071|Siehe, sagte der Kleine mit den Elefantenohren, ich hörte mit meinen Elefantenohren – der Erhabene segne Mammamutra und seine Kinder und Kindeskinder – ich hörte, wie deine Lotosblume feine Fäden spann zu diesem Mädchen in der Stadt der bunten Lampen.|Siehe, sagte der Kleine mit den Elefantenohren, ich hörte mit meinen Elefantenohren - der Erhabene segne Mammamutra und seine Kinder und Kindeskinder - ich hörte, wie deine Lotosblume feine Fäden spann zu diesem Mädchen in der Stadt der bunten Lampen.
koenigsgaukler_4_f000072|Es ist nur eine Tänzerin, keine Königsgenossin, aber sie hat dir Herberge gegeben aus Liebe und sie hat deinen kleinen Affen in seidene Kissen gebettet.|Es ist nur eine Tänzerin, keine Königsgenossin, aber sie hat dir Herberge gegeben aus Liebe und sie hat deinen kleinen Affen in seidene Kissen gebettet.
koenigsgaukler_4_f000073|Zerschneide ihren Faden nicht ganz, Mantao, mein Königsgaukler.|Zerschneide ihren Faden nicht ganz, Mantao, mein Königsgaukler.
koenigsgaukler_4_f000074|Mantao schaute auf die schlafende Tänzerin.|Mantao schaute auf die schlafende Tänzerin.
koenigsgaukler_4_f000075|Ich will meinen Schild über ihr halten, wenn ihre Lampe erloschen ist, sagte er.|Ich will meinen Schild über ihr halten, wenn ihre Lampe erloschen ist, sagte er.
koenigsgaukler_4_f000076|Der Kleine mit den Elefantenohren raschelte und verschwand auf die gleiche rätselhafte Weise, wie er gekommen war.|Der Kleine mit den Elefantenohren raschelte und verschwand auf die gleiche rätselhafte Weise, wie er gekommen war.
koenigsgaukler_4_f000077|Die Sonne ging auf und die Stadt der bunten Lampen erwachte zu neuem Leben.|Die Sonne ging auf und die Stadt der bunten Lampen erwachte zu neuem Leben.
koenigsgaukler_5_f000001|Prinzessin Amaranth.|Prinzessin Amaranth.
koenigsgaukler_5_f000002|Um diese Zeit begab es sich, daß Prinzessin Amaranth in ihren Zauberspiegel schaute, um zu erkunden, welche Fremdlinge wieder in ihre Stadt der bunten Lampen gekommen wären.|Um diese Zeit begab es sich, daß Prinzessin Amaranth in ihren Zauberspiegel schaute, um zu erkunden, welche Fremdlinge wieder in ihre Stadt der bunten Lampen gekommen wären.
koenigsgaukler_5_f000003|Denn Prinzessin Amaranth war eine Zauberin und den Spiegel hatte sie von ihrem alten Oheim geerbt, der ein so böser Zauberer war, daß er schließlich vor lauter Bösartigkeit zerplatzt war und nichts mehr von ihm übrig geblieben war als nur dieser Spiegel.|Denn Prinzessin Amaranth war eine Zauberin und den Spiegel hatte sie von ihrem alten Oheim geerbt, der ein so böser Zauberer war, daß er schließlich vor lauter Bösartigkeit zerplatzt war und nichts mehr von ihm übrig geblieben war als nur dieser Spiegel.
koenigsgaukler_5_f000004|Der Spiegel aber war aus feinstem blankgeschliffenem Silber, mit allerlei seltsamen Zeichen versehen, und wenn Prinzessin Amaranth hineinschaute, so erblickte sie darin alles, was es Neues gab in der Stadt der bunten Lampen und was für sie wert war|Der Spiegel aber war aus feinstem blankgeschliffenem Silber, mit allerlei seltsamen Zeichen versehen, und wenn Prinzessin Amaranth hineinschaute, so erblickte sie darin alles, was es Neues gab in der Stadt der bunten Lampen und was für sie wert war
koenigsgaukler_5_f000005|es zu wissen oder gar zu besitzen.|es zu wissen oder gar zu besitzen.
koenigsgaukler_5_f000006|Das alles sah sie in kleinen scharfen Bildern und in allen Farben des Lebens.|Das alles sah sie in kleinen scharfen Bildern und in allen Farben des Lebens.
koenigsgaukler_5_f000007|Als nun Prinzessin Amaranth wieder in ihren Zauberspiegel schaute, sah sie alle die vielen Menschen, Dromedare und Ochsen, die in die Stadt der bunten Lampen gekommen waren, aber es war nichts darunter, was sie zu besitzen wünschte.|Als nun Prinzessin Amaranth wieder in ihren Zauberspiegel schaute, sah sie alle die vielen Menschen, Dromedare und Ochsen, die in die Stadt der bunten Lampen gekommen waren, aber es war nichts darunter, was sie zu besitzen wünschte.
koenigsgaukler_5_f000008|Größere und klügere Menschen beherrschte sie, als jene, die gekommen waren, und ihre Zugochsen und Reittiere waren schöner und edler als die anderen von Hindostan und von Samarkand.|Größere und klügere Menschen beherrschte sie, als jene, die gekommen waren, und ihre Zugochsen und Reittiere waren schöner und edler als die anderen von Hindostan und von Samarkand.
koenigsgaukler_5_f000009|Schließlich aber erblickte sie Mantao, den Königsgaukler, in ihrem Spiegel.|Schließlich aber erblickte sie Mantao, den Königsgaukler, in ihrem Spiegel.
koenigsgaukler_5_f000010|Sie sah ihn auf seinem purpurnen Ruhebett liegen und neben ihm an die Wand gelehnt standen sein Schild und sein Schwert.|Sie sah ihn auf seinem purpurnen Ruhebett liegen und neben ihm an die Wand gelehnt standen sein Schild und sein Schwert.
koenigsgaukler_5_f000011|Diese Waffen muß ich besitzen! rief Prinzessin Amaranth und erblaßte vor Erregung.|Diese Waffen muß ich besitzen! rief Prinzessin Amaranth und erblaßte vor Erregung.
koenigsgaukler_5_f000012|Wenn ich diesen Schild habe, wird er nicht mehr über dem gehalten, was atmet, und seine Schützlinge gehören mir, und mit diesem Schwert weise ich selbst die letzten Engel hinweg von der Stadt der bunten Lampen.|Wenn ich diesen Schild habe, wird er nicht mehr über dem gehalten, was atmet, und seine Schützlinge gehören mir, und mit diesem Schwert weise ich selbst die letzten Engel hinweg von der Stadt der bunten Lampen.
koenigsgaukler_5_f000013|Wenn ich aber den Mann beherrsche, der beides trägt, dann will ich stolzer sein als alle Königinnen von Hindostan bis Ophir.|Wenn ich aber den Mann beherrsche, der beides trägt, dann will ich stolzer sein als alle Königinnen von Hindostan bis Ophir.
koenigsgaukler_5_f000014|Da rief Prinzessin Amaranth ihr Gesinde und sandte Boten aus, zu erkunden, wer jener Mann wäre, der im Hause der Tänzerin Herberge genommen und so kostbare Waffen führe.|Da rief Prinzessin Amaranth ihr Gesinde und sandte Boten aus, zu erkunden, wer jener Mann wäre, der im Hause der Tänzerin Herberge genommen und so kostbare Waffen führe.
koenigsgaukler_5_f000015|Die Boten kamen wieder, lachten und berichteten, es wäre ein Gaukler mit einem Äffchen und seine Waffen wären schmucklos und einfach und keines Königs Wehrgehänge.|Die Boten kamen wieder, lachten und berichteten, es wäre ein Gaukler mit einem Äffchen und seine Waffen wären schmucklos und einfach und keines Königs Wehrgehänge.
koenigsgaukler_5_f000016|Der Gaukler aber hieße Mantao.|Der Gaukler aber hieße Mantao.
koenigsgaukler_5_f000017|Prinzessin Amaranth hatte diesen Namen schon lange in ihren geheimen Büchern gelesen und sie wußte seine Deutung.|Prinzessin Amaranth hatte diesen Namen schon lange in ihren geheimen Büchern gelesen und sie wußte seine Deutung.
koenigsgaukler_5_f000018|Narren seid ihr, rief sie, es ist kein Gaukler, sondern ein König und mit königlichen Ehren will ich ihn empfangen.|Narren seid ihr, rief sie, es ist kein Gaukler, sondern ein König und mit königlichen Ehren will ich ihn empfangen.
koenigsgaukler_5_f000019|Meine vornehmsten Ritter sollen ihn vor meinen Thron bitten, holt allen Reichtum meines Palastes, den seine Gewölbe bergen, herbei, ich aber will mich schmücken für ihn, wie ich mich noch niemals für jemand geschmückt habe!|Meine vornehmsten Ritter sollen ihn vor meinen Thron bitten, holt allen Reichtum meines Palastes, den seine Gewölbe bergen, herbei, ich aber will mich schmücken für ihn, wie ich mich noch niemals für jemand geschmückt habe!
koenigsgaukler_5_f000020|Da gingen die Ritter, um Mantao, den Königsgaukler zu holen.|Da gingen die Ritter, um Mantao, den Königsgaukler zu holen.
koenigsgaukler_5_f000021|Prinzessin Amaranth aber kleidete sich in ihr herrlichstes Gewand, das über und über mit Perlen bestickt war, und setzte sich ein Diadem von Opalen aufs Haupt.|Prinzessin Amaranth aber kleidete sich in ihr herrlichstes Gewand, das über und über mit Perlen bestickt war, und setzte sich ein Diadem von Opalen aufs Haupt.
koenigsgaukler_5_f000022|Als nun die Gesandten Amaranths zum Hause der Tänzerin kamen, verneigten sie sich viele Male und baten Mantao, er möge ihnen zum Throne der Prinzessin folgen.|Als nun die Gesandten Amaranths zum Hause der Tänzerin kamen, verneigten sie sich viele Male und baten Mantao, er möge ihnen zum Throne der Prinzessin folgen.
koenigsgaukler_5_f000023|Ich muß Abschied von dir nehmen, sagte Mantao zur Tänzerin, Prinzessin Amaranth ruft mich zu sich an ihren Thron.|Ich muß Abschied von dir nehmen, sagte Mantao zur Tänzerin, Prinzessin Amaranth ruft mich zu sich an ihren Thron.
koenigsgaukler_5_f000024|Habe Dank für deine Herberge und deine Liebe.|Habe Dank für deine Herberge und deine Liebe.
koenigsgaukler_5_f000025|Da weinte die Tänzerin Myramar, die gestern noch gelacht hatte.|Da weinte die Tänzerin Myramar, die gestern noch gelacht hatte.
koenigsgaukler_5_f000026|Siehe, sagte Mantao, ich darf keinem und keiner gehören.|Siehe, sagte Mantao, ich darf keinem und keiner gehören.
koenigsgaukler_5_f000027|Ich bin ein Schildträger Brahmas und muß meinen Pfad wandern als ein Einsamer, um meinen Schild zu halten, über allem, was atmet.|Ich bin ein Schildträger Brahmas und muß meinen Pfad wandern als ein Einsamer, um meinen Schild zu halten, über allem, was atmet.
koenigsgaukler_5_f000028|Wir folgen alle den Fäden, bis wir sie gelöst haben.|Wir folgen alle den Fäden, bis wir sie gelöst haben.
koenigsgaukler_5_f000029|Aber den Faden, den deine Seele zu meiner Seele spann, will ich nicht zerreißen.|Aber den Faden, den deine Seele zu meiner Seele spann, will ich nicht zerreißen.
koenigsgaukler_5_f000030|Der Erhabene segne dich. Ich will meinen Schild über dir halten, wenn deine Lampe erlöscht.|Der Erhabene segne dich. Ich will meinen Schild über dir halten, wenn deine Lampe erlöscht.
koenigsgaukler_5_f000031|Da nahm Myramar, die Tänzerin, Abschied von Mantao, dem Königsgaukler.|Da nahm Myramar, die Tänzerin, Abschied von Mantao, dem Königsgaukler.
koenigsgaukler_5_f000032|Mantao aber nahm seinen Schild und sein Schwert, hob den kleinen Affen auf seine Arme und folgte den Gesandten zum Palast der Prinzessin Amaranth.|Mantao aber nahm seinen Schild und sein Schwert, hob den kleinen Affen auf seine Arme und folgte den Gesandten zum Palast der Prinzessin Amaranth.
koenigsgaukler_5_f000033|Als Mantao den Königssaal betrat, stieg Prinzessin Amaranth die Stufen ihres Thrones herab und neigte sich vor ihm.|Als Mantao den Königssaal betrat, stieg Prinzessin Amaranth die Stufen ihres Thrones herab und neigte sich vor ihm.
koenigsgaukler_5_f000034|Noch niemals hat ein so königlicher Mann diesen Saal betreten, sagte sie, aber mich dünkt, deine Waffen sind nicht eines Königs Waffen, sondern die Waffen eines Gauklers.|Noch niemals hat ein so königlicher Mann diesen Saal betreten, sagte sie, aber mich dünkt, deine Waffen sind nicht eines Königs Waffen, sondern die Waffen eines Gauklers.
koenigsgaukler_5_f000035|Lege sie ab und wähle dir aus meiner Waffenkammer das, was dir am schönsten erscheint.|Lege sie ab und wähle dir aus meiner Waffenkammer das, was dir am schönsten erscheint.
koenigsgaukler_5_f000036|Mantao sah um sich und erblickte zu seinen Füßen die herrlichsten Waffen, Schilde und Schwerter von solchem Glanz und von so kunstvoller Arbeit, wie er sie noch nie gesehen.|Mantao sah um sich und erblickte zu seinen Füßen die herrlichsten Waffen, Schilde und Schwerter von solchem Glanz und von so kunstvoller Arbeit, wie er sie noch nie gesehen.
koenigsgaukler_5_f000037|Der kleine Affe aber wimmerte leise und verkroch sich unter Mantaos Schild.|Der kleine Affe aber wimmerte leise und verkroch sich unter Mantaos Schild.
koenigsgaukler_5_f000038|Mantao faßte seinen Schild und sein Schwert fester.|Mantao faßte seinen Schild und sein Schwert fester.
koenigsgaukler_5_f000039|Diese Waffen gebe ich nicht her, sagte er, es sind heilige Waffen, wenn sie dir auch als eines Gauklers Waffen erscheinen.|Diese Waffen gebe ich nicht her, sagte er, es sind heilige Waffen, wenn sie dir auch als eines Gauklers Waffen erscheinen.
koenigsgaukler_5_f000040|Ich will mich gerne von dir belehren lassen, sagte Prinzessin Amaranth, behalte deine Waffen, wie es dir beliebt, aber bleibe bei mir in meinem Königsschlosse und sei mein Gemahl.|Ich will mich gerne von dir belehren lassen, sagte Prinzessin Amaranth, behalte deine Waffen, wie es dir beliebt, aber bleibe bei mir in meinem Königsschlosse und sei mein Gemahl.
koenigsgaukler_5_f000041|Alle Macht, die in meinen Händen ist, will ich dir schenken und dir dienen, und du sollst die Stadt der bunten Lampen noch bunter und lachender gestalten, als jetzt.|Alle Macht, die in meinen Händen ist, will ich dir schenken und dir dienen, und du sollst die Stadt der bunten Lampen noch bunter und lachender gestalten, als jetzt.
koenigsgaukler_5_f000042|Die Minister machten noch dümmere Gesichter als sonst, als sie hörten, der Gaukler im seltsamen, ärmlichen Gewand solle ihr König werden.|Die Minister machten noch dümmere Gesichter als sonst, als sie hörten, der Gaukler im seltsamen, ärmlichen Gewand solle ihr König werden.
koenigsgaukler_5_f000043|Nur ein Minister, ein häßlicher dürrer Mann mit einem einzigen Auge auf der Stirn, lächelte listig und wandte sich zu Prinzessin Amaranth.|Nur ein Minister, ein häßlicher dürrer Mann mit einem einzigen Auge auf der Stirn, lächelte listig und wandte sich zu Prinzessin Amaranth.
koenigsgaukler_5_f000044|Es nützt dir nichts, flüsterte er, wenn er auch dein Gemahl wird.|Es nützt dir nichts, flüsterte er, wenn er auch dein Gemahl wird.
koenigsgaukler_5_f000045|Seine Waffen werden herrschen über dich und über die Stadt der bunten Lampen.|Seine Waffen werden herrschen über dich und über die Stadt der bunten Lampen.
koenigsgaukler_5_f000046|Du mußt ihn von dem Affen trennen, über den er zuerst seinen Schild gehalten hat.|Du mußt ihn von dem Affen trennen, über den er zuerst seinen Schild gehalten hat.
koenigsgaukler_5_f000047|Dann hast du ihn entwaffnet und du wirst herrschen über ihn und über ganz Indien.|Dann hast du ihn entwaffnet und du wirst herrschen über ihn und über ganz Indien.
koenigsgaukler_5_f000048|Mantao sah die Königin an und er sah, daß sie sehr schön war.|Mantao sah die Königin an und er sah, daß sie sehr schön war.
koenigsgaukler_5_f000049|Er wußte auch, daß es eine große Macht war, die ihm angeboten wurde.|Er wußte auch, daß es eine große Macht war, die ihm angeboten wurde.
koenigsgaukler_5_f000050|Siehe, wie ich mich für dich geschmückt habe, sagte Prinzessin Amaranth und lächelte demütig.|Siehe, wie ich mich für dich geschmückt habe, sagte Prinzessin Amaranth und lächelte demütig.
koenigsgaukler_5_f000051|Mein schönstes Diadem habe ich für dich angelegt und in mein herrlichstes Perlengewand habe ich mich gekleidet.|Mein schönstes Diadem habe ich für dich angelegt und in mein herrlichstes Perlengewand habe ich mich gekleidet.
koenigsgaukler_5_f000052|So habe ich mich noch niemals für jemand geschmückt, Mantao, mein König!|So habe ich mich noch niemals für jemand geschmückt, Mantao, mein König!
koenigsgaukler_5_f000053|Prinzessin Amaranth, sagte Mantao, die Opale deines Diadems sind kalte Steine, in denen sich kein Sonnenlicht verfangen.|Prinzessin Amaranth, sagte Mantao, die Opale deines Diadems sind kalte Steine, in denen sich kein Sonnenlicht verfangen.
koenigsgaukler_5_f000054|Sie sind matt und schillernd wie Schlangenleiber.|Sie sind matt und schillernd wie Schlangenleiber.
koenigsgaukler_5_f000055|Ich habe schönere Diademe als dieses gesehn.|Ich habe schönere Diademe als dieses gesehn.
koenigsgaukler_5_f000056|Da nahm Prinzessin Amaranth das Diadem ans ihren Haaren und legte es vor sich in den Staub.|Da nahm Prinzessin Amaranth das Diadem ans ihren Haaren und legte es vor sich in den Staub.
koenigsgaukler_5_f000057|Prinzessin Amaranth, sagte Mantao, mir scheint, die Perlen deines Gewandes sind Tränen, die geweint wurden.|Prinzessin Amaranth, sagte Mantao, mir scheint, die Perlen deines Gewandes sind Tränen, die geweint wurden.
koenigsgaukler_5_f000058|Prinzessin Amaranth, du redest nur von einer Stadt der bunten Lampen.|Prinzessin Amaranth, du redest nur von einer Stadt der bunten Lampen.
koenigsgaukler_5_f000059|Gibt es nicht auch eine Stadt der erloschenen Lampen in deinem Königreich?|Gibt es nicht auch eine Stadt der erloschenen Lampen in deinem Königreich?
koenigsgaukler_5_f000060|Ich weiß es nicht, sagte Prinzessin Amaranth und erblaßte, aber wenn du die Stadt der erloschenen Lampen findest – siehe, sie soll dir gehören, wie die Stadt der bunten Lampen, und du magst sie so glücklich machen|Ich weiß es nicht, sagte Prinzessin Amaranth und erblaßte, aber wenn du die Stadt der erloschenen Lampen findest - siehe, sie soll dir gehören, wie die Stadt der bunten Lampen, und du magst sie so glücklich machen
koenigsgaukler_5_f000061|daß sie wieder eine Stadt der bunten Lampen wird.|daß sie wieder eine Stadt der bunten Lampen wird.
koenigsgaukler_5_f000062|Mantao zauderte und überlegte.|Mantao zauderte und überlegte.
koenigsgaukler_5_f000063|Nur um eines bitte ich dich, flüsterte Prinzessin Amaranth und ihre Lippen bebten, denn sie wußte, daß alles für sie von der Gewährung dieser Bitte abhing.|Nur um eines bitte ich dich, flüsterte Prinzessin Amaranth und ihre Lippen bebten, denn sie wußte, daß alles für sie von der Gewährung dieser Bitte abhing.
koenigsgaukler_5_f000064|Was ist es, worum du mich bittest, Prinzessin Amaranth? Trenne dich von dem Affen.|Was ist es, worum du mich bittest, Prinzessin Amaranth? Trenne dich von dem Affen.
koenigsgaukler_5_f000065|Siehe, es ist ein kleines häßliches Tier, und ich will nicht, daß die Gassenkinder meinem königlichen Gemahl nachlaufen, daß ihn das Volk einen Gaukler nennt und ihn verachtet.|Siehe, es ist ein kleines häßliches Tier, und ich will nicht, daß die Gassenkinder meinem königlichen Gemahl nachlaufen, daß ihn das Volk einen Gaukler nennt und ihn verachtet.
koenigsgaukler_5_f000066|Mantao erblaßte bis in die Lippen.|Mantao erblaßte bis in die Lippen.
koenigsgaukler_5_f000067|Er sah den kleinen Affen auf seinem Arm an und dann schaute er Prinzessin Amaranth lange und tief in die Augen.|Er sah den kleinen Affen auf seinem Arm an und dann schaute er Prinzessin Amaranth lange und tief in die Augen.
koenigsgaukler_5_f000068|Mir scheint, in des Affen Augen ist Brahmas ewiges Leben, das keine Verachtung kennt.|Mir scheint, in des Affen Augen ist Brahmas ewiges Leben, das keine Verachtung kennt.
koenigsgaukler_5_f000069|Mir scheint, des Affen Augen sind schöner als deine Augen, Prinzessin Amaranth.|Mir scheint, des Affen Augen sind schöner als deine Augen, Prinzessin Amaranth.
koenigsgaukler_5_f000070|So wandte sich Mantao, der Königsgaukler, und verließ den Palast der Prinzessin Amaranth und die Stadt der bunten Lampen.|So wandte sich Mantao, der Königsgaukler, und verließ den Palast der Prinzessin Amaranth und die Stadt der bunten Lampen.
koenigsgaukler_5_f000071|Und niemand wagte ihn zu halten.|Und niemand wagte ihn zu halten.
koenigsgaukler_5_f000072|Prinzessin Amaranth aber raste vor Wut und Enttäuschung und sie bot ihr ganzes Heer auf gegen Mantao und seinen Affen.|Prinzessin Amaranth aber raste vor Wut und Enttäuschung und sie bot ihr ganzes Heer auf gegen Mantao und seinen Affen.
koenigsgaukler_5_f000073|Bringt mir beide, den Gaukler und seinen Affen, tot oder lebendig, daß ich meine Schmach in seinem Blute abwaschen kann.|Bringt mir beide, den Gaukler und seinen Affen, tot oder lebendig, daß ich meine Schmach in seinem Blute abwaschen kann.
koenigsgaukler_5_f000074|Da brachen Reiter und Fußvolk auf und eilten Mantao nach und sie erreichten ihn in einer öden Gegend, die zwischen der Stadt der bunten Lampen und der Stadt der erloschenen Lampen lag.|Da brachen Reiter und Fußvolk auf und eilten Mantao nach und sie erreichten ihn in einer öden Gegend, die zwischen der Stadt der bunten Lampen und der Stadt der erloschenen Lampen lag.
koenigsgaukler_5_f000075|Es war Nacht und die Trompeten Amaranths riefen gellend zum Kampf gegen den Gaukler und seinen Affen.|Es war Nacht und die Trompeten Amaranths riefen gellend zum Kampf gegen den Gaukler und seinen Affen.
koenigsgaukler_5_f000076|Da wandte sich Mantao, der Königsgaukler, und hielt seinen Schild über dem kleinen Affen.|Da wandte sich Mantao, der Königsgaukler, und hielt seinen Schild über dem kleinen Affen.
koenigsgaukler_5_f000077|Sein Schwert aber erhob er zum ersten Male hoch über sein Haupt und aus dem Schwert sprangen furchtbare Flammen, denen keiner zu nahen wagte.|Sein Schwert aber erhob er zum ersten Male hoch über sein Haupt und aus dem Schwert sprangen furchtbare Flammen, denen keiner zu nahen wagte.
koenigsgaukler_5_f000078|Ein namenloses Grauen ergriff das ganze Heer und Reiter und Fußvolk jagten in wilder Flucht zurück zum Palast der Prinzessin Amaranth.|Ein namenloses Grauen ergriff das ganze Heer und Reiter und Fußvolk jagten in wilder Flucht zurück zum Palast der Prinzessin Amaranth.
koenigsgaukler_5_f000079|Mantao, der Königsgaukler, stand noch lange ruhig und unbeweglich da.|Mantao, der Königsgaukler, stand noch lange ruhig und unbeweglich da.
koenigsgaukler_5_f000080|Er hielt seinen Schild über dem kleinen Affen und die furchtbaren Flammen seines Schwertes lohten durch die dunkle Nacht.|Er hielt seinen Schild über dem kleinen Affen und die furchtbaren Flammen seines Schwertes lohten durch die dunkle Nacht.
koenigsgaukler_5_f000081|Zur selben Stunde aber, als Mantao, der Königsgaukler, die Stadt der bunten Lampen verlassen hatte, erlosch die Lampe der Tänzerin Myramar.|Zur selben Stunde aber, als Mantao, der Königsgaukler, die Stadt der bunten Lampen verlassen hatte, erlosch die Lampe der Tänzerin Myramar.
koenigsgaukler_6_f000001|Stadt der erloschenen Lampen.|Stadt der erloschenen Lampen.
koenigsgaukler_6_f000002|Mantao, der Königsgaukler, ging seinen Pfad weiter und je näher er der Stadt der erloschenen Lampen kam, um so mehr Menschen gingen mit ihm den gleichen Weg.|Mantao, der Königsgaukler, ging seinen Pfad weiter und je näher er der Stadt der erloschenen Lampen kam, um so mehr Menschen gingen mit ihm den gleichen Weg.
koenigsgaukler_6_f000003|Es waren stille traurige Menschen und in ihren Händen hielten sie erloschene Lampen.|Es waren stille traurige Menschen und in ihren Händen hielten sie erloschene Lampen.
koenigsgaukler_6_f000004|Wohin führt dieser Weg, den ihr alle so still und traurig geht?|Wohin führt dieser Weg, den ihr alle so still und traurig geht?
koenigsgaukler_6_f000005|fragte Mantao seine stummen Begleiter, aber niemand antwortete ihm.|fragte Mantao seine stummen Begleiter, aber niemand antwortete ihm.
koenigsgaukler_6_f000006|Endlich gesellte sich ein kleines Mädchen zu ihm, das eine zerbrochene Puppe trug und leise weinte.|Endlich gesellte sich ein kleines Mädchen zu ihm, das eine zerbrochene Puppe trug und leise weinte.
koenigsgaukler_6_f000007|Es deutete mit der Hand auf graue Tore und Mauern, die in dickem Nebel lagen, und sagte: Das ist die Stadt der erloschenen Lampen.|Es deutete mit der Hand auf graue Tore und Mauern, die in dickem Nebel lagen, und sagte: Das ist die Stadt der erloschenen Lampen.
koenigsgaukler_6_f000008|Da wußte Mantao, der Königsgaukler, daß er den richtigen Weg ging, wohin die feinen Fäden seiner Lotosblume ihn zogen.|Da wußte Mantao, der Königsgaukler, daß er den richtigen Weg ging, wohin die feinen Fäden seiner Lotosblume ihn zogen.
koenigsgaukler_6_f000009|Als sie nun in der Stadt der erloschenen Lampen angekommen waren, suchte Mantao eine Herberge für sich und seinen Affen.|Als sie nun in der Stadt der erloschenen Lampen angekommen waren, suchte Mantao eine Herberge für sich und seinen Affen.
koenigsgaukler_6_f000010|Eine solche war leicht zu finden, denn es war viel Raum in der Stadt der erloschenen Lampen, verfallene Paläste und Tempel, morsche Häuser und Hütten und tiefe, leere Kellergewölbe, in denen einstmals reiche Schätze gelagert haben mochten.|Eine solche war leicht zu finden, denn es war viel Raum in der Stadt der erloschenen Lampen, verfallene Paläste und Tempel, morsche Häuser und Hütten und tiefe, leere Kellergewölbe, in denen einstmals reiche Schätze gelagert haben mochten.
koenigsgaukler_6_f000011|Mantao brachte sich und den kleinen Affen in einer alten Tempelhalle unter, deren Säulen morsch und geneigt dastanden, als trügen sie eine schwere Schuld vergangener Tage, und in deren dunkler Nische ein Bildnis Brahmas stand.|Mantao brachte sich und den kleinen Affen in einer alten Tempelhalle unter, deren Säulen morsch und geneigt dastanden, als trügen sie eine schwere Schuld vergangener Tage, und in deren dunkler Nische ein Bildnis Brahmas stand.
koenigsgaukler_6_f000012|Es war ein schönes vergoldetes Bildnis, aber das Gold war matt und verblichen und die Spinnen spannen ihre Netze um den Gott Indiens.|Es war ein schönes vergoldetes Bildnis, aber das Gold war matt und verblichen und die Spinnen spannen ihre Netze um den Gott Indiens.
koenigsgaukler_6_f000013|Mantao störte die Spinnen nicht, denn Brahma selbst erlaubte es ihnen ja, ihre Silberfäden um das erloschene Gold seines Hauptes zu weben.|Mantao störte die Spinnen nicht, denn Brahma selbst erlaubte es ihnen ja, ihre Silberfäden um das erloschene Gold seines Hauptes zu weben.
koenigsgaukler_6_f000014|Keine Lampe brannte in der Stadt der erloschenen Lampen, still und traurig gingen die Menschen ihrer Arbeit nach und bedrückt suchten die Tiere ihre wenige Nahrung.|Keine Lampe brannte in der Stadt der erloschenen Lampen, still und traurig gingen die Menschen ihrer Arbeit nach und bedrückt suchten die Tiere ihre wenige Nahrung.
koenigsgaukler_6_f000015|Auch sie waren ja mit ihren menschlichen Brüdern verbunden mit feinen Fäden, denn es ist alles verkettet in der großen Kette der Dinge und alles miteinander versponnen im Teppich des Lebens.|Auch sie waren ja mit ihren menschlichen Brüdern verbunden mit feinen Fäden, denn es ist alles verkettet in der großen Kette der Dinge und alles miteinander versponnen im Teppich des Lebens.
koenigsgaukler_6_f000016|Mantao aber ging durch die erstorbenen Gassen und tröstete die stillen und traurigen Menschen und redete mit ihnen von ihren erloschenen Lampen und wie man sie einmal wieder zum Brennen bringen könne.|Mantao aber ging durch die erstorbenen Gassen und tröstete die stillen und traurigen Menschen und redete mit ihnen von ihren erloschenen Lampen und wie man sie einmal wieder zum Brennen bringen könne.
koenigsgaukler_6_f000017|Er redete auch mit den Tieren, er half ihnen ihre Nahrung suchen und erzählte ihnen von einem schönen Garten, in den sie einmal wieder kommen würden.|Er redete auch mit den Tieren, er half ihnen ihre Nahrung suchen und erzählte ihnen von einem schönen Garten, in den sie einmal wieder kommen würden.
koenigsgaukler_6_f000018|Den Kindern aber fertigte er Spielzeug aus Scherben und kleinen Steinen und lehrte sie damit zu bauen.|Den Kindern aber fertigte er Spielzeug aus Scherben und kleinen Steinen und lehrte sie damit zu bauen.
koenigsgaukler_6_f000019|Seit der Zeit wurde weniger geweint in der Stadt der erloschenen Lampen.|Seit der Zeit wurde weniger geweint in der Stadt der erloschenen Lampen.
koenigsgaukler_6_f000020|Der kleine Affe aber wanderte getreulich mit Mantao und redete auch in seiner Weise mit den Menschen und Tieren, eifrig und mit erläuternden Bewegungen seiner Arme, seiner Beine und seines Schwanzes.|Der kleine Affe aber wanderte getreulich mit Mantao und redete auch in seiner Weise mit den Menschen und Tieren, eifrig und mit erläuternden Bewegungen seiner Arme, seiner Beine und seines Schwanzes.
koenigsgaukler_6_f000021|Da geschah es, daß zum ersten Male wieder ein Kind lachte in der Stadt der erloschenen Lampen.|Da geschah es, daß zum ersten Male wieder ein Kind lachte in der Stadt der erloschenen Lampen.
