weihnachtsabend_01_f000001|Marley war tot, damit wollen wir anfangen. Ein Zweifel darüber kann nicht stattfinden.|Marley war tot, damit wollen wir anfangen. Ein Zweifel darüber kann nicht stattfinden.
weihnachtsabend_07_f000016|doch nichts sehen konnte als eine gespenstische Hand und eine große, schwarze Faltenmasse.|doch nichts sehen konnte als eine gespenstische Hand und eine große, schwarze Faltenmasse.
weihnachtsabend_07_f000017|Geist der Zukunft, rief er, ich fürchte dich mehr als die Geister, die ich schon gesehen habe.|Geist der Zukunft, rief er, ich fürchte dich mehr als die Geister, die ich schon gesehen habe.
weihnachtsabend_07_f000018|Aber da ich weiß, daß es dein Zweck ist, mir Gutes zu thun, und da ich hoffe zu leben, um ein anderer Mensch zu werden,|Aber da ich weiß, daß es dein Zweck ist, mir Gutes zu thun, und da ich hoffe zu leben, um ein anderer Mensch zu werden,
weihnachtsabend_07_f000019|als ich früher war, bin ich bereit, dich zu begleiten und thue es mit einem dankerfüllten Herzen.|als ich früher war, bin ich bereit, dich zu begleiten und thue es mit einem dankerfüllten Herzen.
weihnachtsabend_07_f000020|Willst du nicht zu mir sprechen?|Willst du nicht zu mir sprechen?
weihnachtsabend_07_f000021|Die Gestalt gab ihm keine Antwort. Die Hand wies gerade in die Ferne vor ihn.|Die Gestalt gab ihm keine Antwort. Die Hand wies gerade in die Ferne vor ihn.
weihnachtsabend_07_f000022|Führe mich, sagte Scrooge. Führe mich, die Nacht schwindet schnell und die Zeit ist kostbar für mich. Führe mich, Geist.|Führe mich, sagte Scrooge. Führe mich, die Nacht schwindet schnell und die Zeit ist kostbar für mich. Führe mich, Geist.
weihnachtsabend_07_f000023|Die Erscheinung bewegte sich von ihm weg, wie sie auf ihn zugekommen war. Scrooge folgte dem Schatten ihres Gewandes, welcher, schien es ihm, ihn erhob und von dannen trug.|Die Erscheinung bewegte sich von ihm weg, wie sie auf ihn zugekommen war. Scrooge folgte dem Schatten ihres Gewandes, welcher, schien es ihm, ihn erhob und von dannen trug.
weihnachtsabend_07_f000024|Kaum war es, als ob sie in die City träten; denn die City schien mehr rings um sie in die Höhe zu wachsen und sie zu umstellen.|Kaum war es, als ob sie in die City träten; denn die City schien mehr rings um sie in die Höhe zu wachsen und sie zu umstellen.
weihnachtsabend_07_f000025|Aber sie waren doch im Herzen derselben, auf der Börse unter den Kaufleuten, welche hin und her eilten,|Aber sie waren doch im Herzen derselben, auf der Börse unter den Kaufleuten, welche hin und her eilten,
weihnachtsabend_07_f000026|mit dem Gelde in ihren Taschen klimperten, in Gruppen miteinander sprachen, nach der Uhr blickten und gedankenvoll mit den großen,|mit dem Gelde in ihren Taschen klimperten, in Gruppen miteinander sprachen, nach der Uhr blickten und gedankenvoll mit den großen,
weihnachtsabend_07_f000027|goldenen Siegeln daran spielten, wie Scrooge es oft gesehen hatte.|goldenen Siegeln daran spielten, wie Scrooge es oft gesehen hatte.
weihnachtsabend_07_f000028|Der Geist blieb bei einer Gruppe Kaufleute stehen. Scrooge sah, daß die Hand der Erscheinung darauf hinwies, und so näherte er sich ihnen, um ihr Gespräch zu belauschen.|Der Geist blieb bei einer Gruppe Kaufleute stehen. Scrooge sah, daß die Hand der Erscheinung darauf hinwies, und so näherte er sich ihnen, um ihr Gespräch zu belauschen.
weihnachtsabend_07_f000029|Nein, sagte ein großer, dicker Mann mit einem ungeheuern Unterkinn, ich weiß nicht viel davon zu sagen. Ich weiß nur, daß er tot ist.|Nein, sagte ein großer, dicker Mann mit einem ungeheuern Unterkinn, ich weiß nicht viel davon zu sagen. Ich weiß nur, daß er tot ist.
weihnachtsabend_07_f000030|Wann starb er? frug ein anderer.|Wann starb er? frug ein anderer.
weihnachtsabend_07_f000031|Vorige Nacht, glaube ich.|Vorige Nacht, glaube ich.
weihnachtsabend_07_f000032|Nun, wie geht das zu? fragte ein Dritter, eine große Prise aus einer sehr großen Dose nehmend. Ich glaubte, er würde nie sterben.|Nun, wie geht das zu? fragte ein Dritter, eine große Prise aus einer sehr großen Dose nehmend. Ich glaubte, er würde nie sterben.
weihnachtsabend_07_f000033|Weiß Gott, wie es zugeht, sagte der Erste gähnend.|Weiß Gott, wie es zugeht, sagte der Erste gähnend.
weihnachtsabend_07_f000034|Was hat er mit seinem Gelde angefangen? fragte ein Herr mit einem roten Gesicht und einem Auswuchs an der Nasenspitze, welcher wackelte, wie der Lappen eines Truthahns.|Was hat er mit seinem Gelde angefangen? fragte ein Herr mit einem roten Gesicht und einem Auswuchs an der Nasenspitze, welcher wackelte, wie der Lappen eines Truthahns.
weihnachtsabend_07_f000035|Ich habe nichts davon gehört, sagte der Mann mit dem großen Unterkinn, abermals gähnend.|Ich habe nichts davon gehört, sagte der Mann mit dem großen Unterkinn, abermals gähnend.
weihnachtsabend_07_f000036|Hat es wahrscheinlich seiner Gilde hinterlassen. Mir hat eres nicht vermacht. Das weiß ich.|Hat es wahrscheinlich seiner Gilde hinterlassen. Mir hat eres nicht vermacht. Das weiß ich.
weihnachtsabend_07_f000037|Dieser anmutige Scherz wurde mit einem allgemeinen Gelächter aufgenommen.|Dieser anmutige Scherz wurde mit einem allgemeinen Gelächter aufgenommen.
weihnachtsabend_07_f000038|Es wird wohl ein sehr billiges Begräbnis werden, fuhr derselbe Sprecher fort; denn so wahr ich lebe, ich kenne niemand, der mitgehen sollte.|Es wird wohl ein sehr billiges Begräbnis werden, fuhr derselbe Sprecher fort; denn so wahr ich lebe, ich kenne niemand, der mitgehen sollte.
weihnachtsabend_07_f000039|Wenn wir nun zusammenträten und freiwillig mitgingen?|Wenn wir nun zusammenträten und freiwillig mitgingen?
weihnachtsabend_07_f000040|Ich thue mit, wenn für ein Lunch gesorgt wird, bemerkte der Herr mit dem Auswuchse an der Nasenspitze. Aber ich muß traktiert werden, wenn ich dabei sein soll.|Ich thue mit, wenn für ein Lunch gesorgt wird, bemerkte der Herr mit dem Auswuchse an der Nasenspitze. Aber ich muß traktiert werden, wenn ich dabei sein soll.
weihnachtsabend_07_f000041|Ein neues Gelächter.|Ein neues Gelächter.
weihnachtsabend_07_f000042|Nun da bin ich doch wohl der Uneigennützigste von euch, sagte der erste Sprecher, denn ich trage nie schwarze Handschuhe und esse nie Lunch.|Nun da bin ich doch wohl der Uneigennützigste von euch, sagte der erste Sprecher, denn ich trage nie schwarze Handschuhe und esse nie Lunch.
weihnachtsabend_07_f000043|Aber ich gehe mit, wenn sich noch andere finden. Wenn ich mires recht überlege, war ich am Ende sein vertrautester Freund;|Aber ich gehe mit, wenn sich noch andere finden. Wenn ich mires recht überlege, war ich am Ende sein vertrautester Freund;
weihnachtsabend_07_f000044|denn wir blieben stehen und sprachen miteinander, wenn wir uns auf der Straße trafen. Guten Morgen, guten Morgen!|denn wir blieben stehen und sprachen miteinander, wenn wir uns auf der Straße trafen. Guten Morgen, guten Morgen!
weihnachtsabend_07_f000045|Sprecher und Zuhörer gingen fort und mischten sich  unter andere Gruppen. Scrooge kannte die Leute und sah den Geist mit einem fragenden Blicke an.|Sprecher und Zuhörer gingen fort und mischten sich  unter andere Gruppen. Scrooge kannte die Leute und sah den Geist mit einem fragenden Blicke an.
weihnachtsabend_07_f000046|Die Erscheinung schwebte weiter auf die Straße.|Die Erscheinung schwebte weiter auf die Straße.
weihnachtsabend_07_f000047|Ihre Hand wies auf zwei sich begegnende Personen.|Ihre Hand wies auf zwei sich begegnende Personen.
weihnachtsabend_07_f000048|Scrooge hörte wieder zu, in der Hoffnung, hier die Erklärung zu finden.|Scrooge hörte wieder zu, in der Hoffnung, hier die Erklärung zu finden.
weihnachtsabend_07_f000049|Auch diese Leute kannte er recht gut. Es waren Kaufleute, sehr reich und von großem Ansehen.|Auch diese Leute kannte er recht gut. Es waren Kaufleute, sehr reich und von großem Ansehen.
weihnachtsabend_07_f000050|Er hatte sich immer bestrebt, sich in ihrer Achtung zu erhalten, das heißt in Geschäftssachen, bloß in Geschäftssachen.|Er hatte sich immer bestrebt, sich in ihrer Achtung zu erhalten, das heißt in Geschäftssachen, bloß in Geschäftssachen.
weihnachtsabend_07_f000051|Wie gehtes? sagte der eine.|Wie gehtes? sagte der eine.
weihnachtsabend_07_f000052|Wie gehtes Ihnen? sagte der andere.|Wie gehtes Ihnen? sagte der andere.
weihnachtsabend_07_f000053|Gut, sagte der Erste. Der alte Geizhals ist endlich tot, wissen Sie es?|Gut, sagte der Erste. Der alte Geizhals ist endlich tot, wissen Sie es?
weihnachtsabend_07_f000054|Ich hörte es, erwiderte der Zweite. es ist kalt, nicht?|Ich hörte es, erwiderte der Zweite. es ist kalt, nicht?
weihnachtsabend_07_f000055|Wie siches zu Weihnachten paßt. Sie sind wohl kein Schlittschuhläufer?|Wie siches zu Weihnachten paßt. Sie sind wohl kein Schlittschuhläufer?
weihnachtsabend_07_f000056|Nein, nein. Habe an andere Sachen zu denken. Guten Morgen!|Nein, nein. Habe an andere Sachen zu denken. Guten Morgen!
weihnachtsabend_07_f000057|Kein Wort weiter. So trafen sie sich, so schieden sie.|Kein Wort weiter. So trafen sie sich, so schieden sie.
weihnachtsabend_07_f000058|Scrooge war erst zu staunen geneigt, daß der Geist auf anscheinend so unbedeutende Gespräche ein Gewicht zu legen schien;|Scrooge war erst zu staunen geneigt, daß der Geist auf anscheinend so unbedeutende Gespräche ein Gewicht zu legen schien;
weihnachtsabend_07_f000059|aber sein Gefühl sagte ihm, daß sie eine verborgene Bedeutung haben müßten und er dachte nach, was wohl diese sein möge.|aber sein Gefühl sagte ihm, daß sie eine verborgene Bedeutung haben müßten und er dachte nach, was wohl diese sein möge.
weihnachtsabend_07_f000060|Sie konnten sich nicht auf den Tod Jakobs, seines alten Compagnons, beziehen, denn der gehörte der Vergangenheit an, und sein Führer war der Geist der Zukunft.|Sie konnten sich nicht auf den Tod Jakobs, seines alten Compagnons, beziehen, denn der gehörte der Vergangenheit an, und sein Führer war der Geist der Zukunft.
weihnachtsabend_07_f000061|Auch konnte er sich niemand von den ihn näher Angehenden denken, auf den er sie hätte beziehen können.|Auch konnte er sich niemand von den ihn näher Angehenden denken, auf den er sie hätte beziehen können.
weihnachtsabend_07_f000062|Aber in der Gewißheit, daß, auf wen sie sich auch beziehen möchten, doch für ihn eine wichtige Lehre darin liege,|Aber in der Gewißheit, daß, auf wen sie sich auch beziehen möchten, doch für ihn eine wichtige Lehre darin liege,
weihnachtsabend_07_f000063|beschloß er, jedes Wort, das er hörte und jede Scene, die er sah, treu in seinem Herzen aufzubewahren, und vorzüglich seinen Schatten zu beobachten, wenn er erschien.|beschloß er, jedes Wort, das er hörte und jede Scene, die er sah, treu in seinem Herzen aufzubewahren, und vorzüglich seinen Schatten zu beobachten, wenn er erschien.
weihnachtsabend_07_f000064|Denn er erwartete von dem Benehmen seines zukünftigen Selbst die vermißte  Aufklärung und die Lösung der Rätsel, die ihm jetzt so schwierig schien.|Denn er erwartete von dem Benehmen seines zukünftigen Selbst die vermißte  Aufklärung und die Lösung der Rätsel, die ihm jetzt so schwierig schien.
weihnachtsabend_07_f000065|Schon auf der Börse schaute er sich nach seinem Selbst um;|Schon auf der Börse schaute er sich nach seinem Selbst um;
weihnachtsabend_07_f000066|aber ein anderer stand in seiner gewohnten Ecke und obgleich die Uhr auf die Stunde wies, wo er gewöhnlich dort war,|aber ein anderer stand in seiner gewohnten Ecke und obgleich die Uhr auf die Stunde wies, wo er gewöhnlich dort war,
weihnachtsabend_07_f000067|sah er sich doch auch nicht unter den Scharen, welche durch den Eingang sich herein drängten.|sah er sich doch auch nicht unter den Scharen, welche durch den Eingang sich herein drängten.
weihnachtsabend_07_f000068|Das überraschte ihn jedoch wenig, denn er hatte schon lange daran gedacht, sein Geschäft aufzugeben und glaubte und hoffte,|Das überraschte ihn jedoch wenig, denn er hatte schon lange daran gedacht, sein Geschäft aufzugeben und glaubte und hoffte,
weihnachtsabend_07_f000069|in diesen Erscheinungen die künftige Verwirklichung seines Planes zu sehen.|in diesen Erscheinungen die künftige Verwirklichung seines Planes zu sehen.
weihnachtsabend_07_f000070|Reglos und schwarz stand neben ihm das Gespenst mit seiner ausgestreckten Hand.|Reglos und schwarz stand neben ihm das Gespenst mit seiner ausgestreckten Hand.
weihnachtsabend_07_f000071|Als er wieder von seiner nachdenklichen Stellung aufblickte, glaubte er nach der Richtung der Hand, daß die unsichtbaren Augen sich starr auf ihn hefteten.|Als er wieder von seiner nachdenklichen Stellung aufblickte, glaubte er nach der Richtung der Hand, daß die unsichtbaren Augen sich starr auf ihn hefteten.
weihnachtsabend_07_f000072|Bei dem Gedanken überlief ihn ein kalter Schauer.|Bei dem Gedanken überlief ihn ein kalter Schauer.
weihnachtsabend_07_f000073|Sie verließen die geschäftige Umgebung und gingen in einen abgelegenen Teil der Stadt, wo Scrooge nie vorher gewesen war, dessen Lage und schlechten Ruf er aber kannte.|Sie verließen die geschäftige Umgebung und gingen in einen abgelegenen Teil der Stadt, wo Scrooge nie vorher gewesen war, dessen Lage und schlechten Ruf er aber kannte.
weihnachtsabend_07_f000074|Die Straßen waren schmutzig und eng und krumm; die Läden und Häuser ärmlich; die Menschen halbnackt, betrunken, barfuß, häßlich.|Die Straßen waren schmutzig und eng und krumm; die Läden und Häuser ärmlich; die Menschen halbnackt, betrunken, barfuß, häßlich.
weihnachtsabend_07_f000075|Gäßchen und Thorwege, wie ebensoviele Kloaken, strömten abscheuerregende Gerüche und Schmutz und Menschen in die Straßen;|Gäßchen und Thorwege, wie ebensoviele Kloaken, strömten abscheuerregende Gerüche und Schmutz und Menschen in die Straßen;
weihnachtsabend_07_f000076|und das ganze Viertel schien erfüllt von Verbrechen, von Schmutz und von Elend.|und das ganze Viertel schien erfüllt von Verbrechen, von Schmutz und von Elend.
weihnachtsabend_07_f000077|In einem der tiefsten Winkel dieses Zufluchtsortes der Sünde und der Schmach war ein niedriger, dunkler Laden unter einem Wetterdache,|In einem der tiefsten Winkel dieses Zufluchtsortes der Sünde und der Schmach war ein niedriger, dunkler Laden unter einem Wetterdache,
weihnachtsabend_07_f000078|wo Eisen, Lampen, Flaschen, Knochen und schmierige Abfälle aller Art verkauft wurden.|wo Eisen, Lampen, Flaschen, Knochen und schmierige Abfälle aller Art verkauft wurden.
weihnachtsabend_07_f000079|Auf dem Fußboden drinnen lag ein Haufen verrosteter Schlüssel, Nägel, Ketten, Thürangeln, Feilen, Wagen, Gewichte und altes Eisen aller Art.|Auf dem Fußboden drinnen lag ein Haufen verrosteter Schlüssel, Nägel, Ketten, Thürangeln, Feilen, Wagen, Gewichte und altes Eisen aller Art.
weihnachtsabend_07_f000080|Geheimnisse, nach deren Enträtselung wenige verlangen würden, wurden erzeugt und verborgen in Bergen widriger Lumpen,|Geheimnisse, nach deren Enträtselung wenige verlangen würden, wurden erzeugt und verborgen in Bergen widriger Lumpen,
weihnachtsabend_07_f000081|Massen verdorbenen Fettes und ganzen Beinhäusern von Knochen.|Massen verdorbenen Fettes und ganzen Beinhäusern von Knochen.
weihnachtsabend_07_f000082|Mitten unter den Waren, mit denen er handelte, saß neben einem aus alten Ziegeln zusammengesetzten Ofen ein grauhaariger,|Mitten unter den Waren, mit denen er handelte, saß neben einem aus alten Ziegeln zusammengesetzten Ofen ein grauhaariger,
weihnachtsabend_07_f000083|fast siebzigjähriger Schelm, der sich vor der Kälte draußen durch einen bauschigen Vorhang von allerlei Lumpen,|fast siebzigjähriger Schelm, der sich vor der Kälte draußen durch einen bauschigen Vorhang von allerlei Lumpen,
weihnachtsabend_07_f000084|auf eine Leine gehängt, geschützt hatte und seine Pfeife im Vollgenusse des Behagens rauchte.|auf eine Leine gehängt, geschützt hatte und seine Pfeife im Vollgenusse des Behagens rauchte.
weihnachtsabend_07_f000085|Scrooge und die Erscheinung traten neben diesen Mann, gerade wie eine Frau mit einem schweren Bündel in den Laden schlich.|Scrooge und die Erscheinung traten neben diesen Mann, gerade wie eine Frau mit einem schweren Bündel in den Laden schlich.
weihnachtsabend_07_f000086|Aber sie war kaum eingetreten, als eine zweite Frau, auch mit einem Bündel, ihr nachkam;|Aber sie war kaum eingetreten, als eine zweite Frau, auch mit einem Bündel, ihr nachkam;
weihnachtsabend_07_f000087|und auf diese folgte dicht ein Mann in altem, abgetragenem schwarzen Anzuge, der nicht weniger von ihrem Anblick erschrocken war, als sie vor einander erschrocken waren.|und auf diese folgte dicht ein Mann in altem, abgetragenem schwarzen Anzuge, der nicht weniger von ihrem Anblick erschrocken war, als sie vor einander erschrocken waren.
weihnachtsabend_07_f000088|Nach einigen Augenblicken sprachlosen Staunens, an dem der Alte mit der Pfeife teilgenommen hatte, brachen sie alle drei in ein lautes Gelächter aus.|Nach einigen Augenblicken sprachlosen Staunens, an dem der Alte mit der Pfeife teilgenommen hatte, brachen sie alle drei in ein lautes Gelächter aus.
weihnachtsabend_07_f000089|Sage jemand, die Leichenwäscherin würde die Erste sein, sagte die zuerst Eingetretene.|Sage jemand, die Leichenwäscherin würde die Erste sein, sagte die zuerst Eingetretene.
weihnachtsabend_07_f000090|Sage jemand, die Wärterin würde die Zweite sein; und nenne jemand des Leichenbesorgers Gehilfen den Dritten.|Sage jemand, die Wärterin würde die Zweite sein; und nenne jemand des Leichenbesorgers Gehilfen den Dritten.
weihnachtsabend_07_f000091|Schaue, alter Joe, wie sich das fügt! ob wir uns nicht alle drei hier getroffen haben, ohne daß wires wollten.|Schaue, alter Joe, wie sich das fügt! ob wir uns nicht alle drei hier getroffen haben, ohne daß wires wollten.
weihnachtsabend_07_f000092|Ihr hättet euch an keinem besseren Orte treffen können, sagte der alte Joe, die Pfeife aus dem Munde nehmend.|Ihr hättet euch an keinem besseren Orte treffen können, sagte der alte Joe, die Pfeife aus dem Munde nehmend.
weihnachtsabend_07_f000093|Kommt in das Staatszimmer. Ihr habt schon seit lange das Bürgerrecht dort, das wißt ihr; und die anderen zwei sind auch keine Fremden.|Kommt in das Staatszimmer. Ihr habt schon seit lange das Bürgerrecht dort, das wißt ihr; und die anderen zwei sind auch keine Fremden.
weihnachtsabend_07_f000094|Wartet, bis ich die Ladenthür zugemacht habe. O, wie sie knarrt!|Wartet, bis ich die Ladenthür zugemacht habe. O, wie sie knarrt!
weihnachtsabend_07_f000095|ich glaube, es giebt kein so rostiges Stück Eisen in dem ganzen Laden, als die Thürangeln; und ich weiß, es giebt keine so alten Knochen hier, wie meine.|ich glaube, es giebt kein so rostiges Stück Eisen in dem ganzen Laden, als die Thürangeln; und ich weiß, es giebt keine so alten Knochen hier, wie meine.
weihnachtsabend_07_f000096|Haha, wir passen alle zu unserm Geschäft. Kommt ins Staatszimmer.|Haha, wir passen alle zu unserm Geschäft. Kommt ins Staatszimmer.
weihnachtsabend_07_f000097|Das Staatszimmer war der Raum hinter dem Lumpenvorhange.|Das Staatszimmer war der Raum hinter dem Lumpenvorhange.
weihnachtsabend_07_f000098|Der Alte scharrte das Feuer mit einem alten Rouleaustabe zusammen, schob den Docht seiner rauchigen  Lampe,|Der Alte scharrte das Feuer mit einem alten Rouleaustabe zusammen, schob den Docht seiner rauchigen  Lampe,
weihnachtsabend_07_f000099|denn es war Abend, mit dem Stiele seiner Pfeife in die Höhe und steckte diese wieder in den Mund.|denn es war Abend, mit dem Stiele seiner Pfeife in die Höhe und steckte diese wieder in den Mund.
weihnachtsabend_07_f000100|Während er so beschäftigt war, warf die zuerst eingetretene Frau ihr Bündel auf den Boden und setzte sich mit kokettierender Frechheit auf einen Stuhl,|Während er so beschäftigt war, warf die zuerst eingetretene Frau ihr Bündel auf den Boden und setzte sich mit kokettierender Frechheit auf einen Stuhl,
weihnachtsabend_07_f000101|dann legte sie die Hände auf die Kniee und sah die beiden andern mit kühnem Trotz an.|dann legte sie die Hände auf die Kniee und sah die beiden andern mit kühnem Trotz an.
weihnachtsabend_07_f000102|Nun, was ist da für ein Unterschied, Missis Dilber? Jeder hat das Recht, für sich zu sorgen. Er that es immer.|Nun, was ist da für ein Unterschied, Missis Dilber? Jeder hat das Recht, für sich zu sorgen. Er that es immer.
weihnachtsabend_07_f000103|Das ist wahr, sagte die Wärterin. Keiner that es mehr.|Das ist wahr, sagte die Wärterin. Keiner that es mehr.
weihnachtsabend_07_f000104|Nun, warum guckt ihr euch da einander an, als fürchtetet ihr euch? Wer ist der Klügere? Wir wollen doch nicht einander die Augen aushacken, denke ich!|Nun, warum guckt ihr euch da einander an, als fürchtetet ihr euch? Wer ist der Klügere? Wir wollen doch nicht einander die Augen aushacken, denke ich!
weihnachtsabend_07_f000105|Nein, gewiß nicht, sagten Missis Dilber und der Mann zusammen. Wir wollen es nicht hoffen.|Nein, gewiß nicht, sagten Missis Dilber und der Mann zusammen. Wir wollen es nicht hoffen.
weihnachtsabend_07_f000106|Nun gut denn, rief die Frau, das ist genug. Wem schadetes, wenn wir so ein paar Sachen mitnehmen, wie die hier? Einer Leiche gewiß nicht!|Nun gut denn, rief die Frau, das ist genug. Wem schadetes, wenn wir so ein paar Sachen mitnehmen, wie die hier? Einer Leiche gewiß nicht!
weihnachtsabend_07_f000107|Nein, gewiß nicht, sagte Missis Dilber lachend.|Nein, gewiß nicht, sagte Missis Dilber lachend.
weihnachtsabend_07_f000108|Wenn er sie, wie ein alter Geizhals, noch nach dem Tode behalten wollte, fuhr die Frau fort, warum war er während seines Lebens nicht besser?|Wenn er sie, wie ein alter Geizhals, noch nach dem Tode behalten wollte, fuhr die Frau fort, warum war er während seines Lebens nicht besser?
weihnachtsabend_07_f000109|Wenn eres gewesen wäre, würde jemand um ihn gewesen sein, als er starb, statt daß er allein seinen letzten Atem fahren lassen mußte.|Wenn eres gewesen wäre, würde jemand um ihn gewesen sein, als er starb, statt daß er allein seinen letzten Atem fahren lassen mußte.
weihnachtsabend_07_f000110|Es ist das wahrste Wort, was je gesprochen worden, sagte Missis Dilber.|Es ist das wahrste Wort, was je gesprochen worden, sagte Missis Dilber.
weihnachtsabend_07_f000111|Es ist ein Gottesgericht.|Es ist ein Gottesgericht.
weihnachtsabend_07_f000112|Ich wollte, es wäre ein bißchen schwerer ausgefallen, sagte die Frau; und es wäres auch, verlaßt euch drauf, wenn ich mehr hätte kriegen können.|Ich wollte, es wäre ein bißchen schwerer ausgefallen, sagte die Frau; und es wäres auch, verlaßt euch drauf, wenn ich mehr hätte kriegen können.
weihnachtsabend_07_f000113|Mache das Bündel auf, Joe, und sage mir, was es wert ist.|Mache das Bündel auf, Joe, und sage mir, was es wert ist.
weihnachtsabend_07_f000114|Sprich gerade heraus. Ich fürchte mich nicht, die Erste zu sein, noch es ihnen sehen zu lassen.|Sprich gerade heraus. Ich fürchte mich nicht, die Erste zu sein, noch es ihnen sehen zu lassen.
weihnachtsabend_07_f000115|Wir wußten gut genug, daß wir für uns sorgten, ehe wir uns hier trafen. es ist keine Sünde. Mache das Bündel auf, Joe.|Wir wußten gut genug, daß wir für uns sorgten, ehe wir uns hier trafen. es ist keine Sünde. Mache das Bündel auf, Joe.
weihnachtsabend_07_f000116|Aber die Galanterie ihrer Freunde wollte das nicht erlauben; und der Mann in dem abgetragenen schwarzen Rock brachte seine Beute zuerst.|Aber die Galanterie ihrer Freunde wollte das nicht erlauben; und der Mann in dem abgetragenen schwarzen Rock brachte seine Beute zuerst.
weihnachtsabend_07_f000117|Es war nicht viel daran. Ein oder zwei Siegel, ein silberner Bleistift, ein paar Hemdknöpfe und eine Brosche von geringem Werte, war alles.|Es war nicht viel daran. Ein oder zwei Siegel, ein silberner Bleistift, ein paar Hemdknöpfe und eine Brosche von geringem Werte, war alles.
weihnachtsabend_07_f000118|Sie wurden von dem alten Joe untersucht und abgeschätzt, worauf er die Summe, welche er für jedes bezahlen wollte,|Sie wurden von dem alten Joe untersucht und abgeschätzt, worauf er die Summe, welche er für jedes bezahlen wollte,
weihnachtsabend_07_f000119|an die Wand schrieb und zusammenrechnete, wie er fand, daß nichts mehr kam.|an die Wand schrieb und zusammenrechnete, wie er fand, daß nichts mehr kam.
weihnachtsabend_07_f000120|Das ist Eure Rechnung, sagte Joe, und ich gebe keinen Sixpence mehr und wenn ich in Stücke gehauen werden sollte. Wer kommt jetzt?|Das ist Eure Rechnung, sagte Joe, und ich gebe keinen Sixpence mehr und wenn ich in Stücke gehauen werden sollte. Wer kommt jetzt?
weihnachtsabend_07_f000121|Missis Dilber war die Nächste. Sie hatte Bett- und Handtücher, einige Kleidungsstücke, zwei altmodische silberne Theelöffel, eine Zuckerzange und einige Paar Stiefel.|Missis Dilber war die Nächste. Sie hatte Bett- und Handtücher, einige Kleidungsstücke, zwei altmodische silberne Theelöffel, eine Zuckerzange und einige Paar Stiefel.
weihnachtsabend_07_f000122|Ihre Rechnung wurde auf dieselbe Weise an die Wand geschrieben.|Ihre Rechnung wurde auf dieselbe Weise an die Wand geschrieben.
weihnachtsabend_07_f000123|Damen gebe ich immer zu viel. es ist meine Schwäche und ich richte mich damit zu Grunde, sagte der alte Joe.|Damen gebe ich immer zu viel. es ist meine Schwäche und ich richte mich damit zu Grunde, sagte der alte Joe.
weihnachtsabend_07_f000124|Das ist Eure Rechnung. Wenn Ihr einen Pfennig mehr haben wolltet und ließet es darauf ankommen, so thäte es mir leid,|Das ist Eure Rechnung. Wenn Ihr einen Pfennig mehr haben wolltet und ließet es darauf ankommen, so thäte es mir leid,
weihnachtsabend_07_f000125|so freigebig gewesen zu sein und ich zöge eine halbe Krone ab.|so freigebig gewesen zu sein und ich zöge eine halbe Krone ab.
weihnachtsabend_07_f000126|Und nun mache mein Bündel auf, Joe, sagte die Erste.|Und nun mache mein Bündel auf, Joe, sagte die Erste.
weihnachtsabend_07_f000127|Joe kniete nieder, um bequemer das Bündel öffnen zu können, und nachdem er eine große Menge Knoten aufgemacht hatte,|Joe kniete nieder, um bequemer das Bündel öffnen zu können, und nachdem er eine große Menge Knoten aufgemacht hatte,
weihnachtsabend_07_f000128|zog er eine große und schwere Rolle eines dunklen Zeugs heraus.|zog er eine große und schwere Rolle eines dunklen Zeugs heraus.
weihnachtsabend_07_f000129|Was ist das? sagte Joe. Bettgardinen.|Was ist das? sagte Joe. Bettgardinen.
weihnachtsabend_07_f000130|Ach, rief das Weib lachend und sich vorbeugend, Bettgardinen!|Ach, rief das Weib lachend und sich vorbeugend, Bettgardinen!
weihnachtsabend_07_f000131|Ihr wollt doch nicht sagen, Ihr hättet sie erunter genommen, wie er dort lag? sagte Joe.|Ihr wollt doch nicht sagen, Ihr hättet sie erunter genommen, wie er dort lag? sagte Joe.
weihnachtsabend_07_f000132|I, freilich, sagte das Weib. Warum nicht?|I, freilich, sagte das Weib. Warum nicht?
weihnachtsabend_07_f000133|Ihr seid geboren, Euer Glück zu machen, und Ihr werdetes auch.|Ihr seid geboren, Euer Glück zu machen, und Ihr werdetes auch.
weihnachtsabend_07_f000134|Ich werde doch wahrhaftig meine Hand nicht ruhig einstecken, wenn ich sie nur auszustrecken brauche, um was zu kriegen, um so eines Mannes willen, wie der war.|Ich werde doch wahrhaftig meine Hand nicht ruhig einstecken, wenn ich sie nur auszustrecken brauche, um was zu kriegen, um so eines Mannes willen, wie der war.
weihnachtsabend_07_f000135|Wahrhaftig nicht, Joe, antwortete das Weib ruhig. Laßt kein Oel auf die Bettdecken fallen.|Wahrhaftig nicht, Joe, antwortete das Weib ruhig. Laßt kein Oel auf die Bettdecken fallen.
weihnachtsabend_07_f000136|Seine Bettdecke? fragte Joe.|Seine Bettdecke? fragte Joe.
weihnachtsabend_07_f000137|Von wem soll sie denn sonst sein? antwortete das Weib. Er wird auch ohne dies nicht frieren, das behaupte ich.|Von wem soll sie denn sonst sein? antwortete das Weib. Er wird auch ohne dies nicht frieren, das behaupte ich.
