maedchenvommoorhof_1_f000001|Es ist in einem Thingsaal, weit draußen auf dem Lande.|Es ist in einem Thingsaal, weit draußen auf dem Lande.
maedchenvommoorhof_7_f000069|Sie war doch die erste von allen in der Umgegend, und durch sie wäre er zu großer Macht und Ehre gekommen.|Sie war doch die erste von allen in der Umgegend, und durch sie wäre er zu großer Macht und Ehre gekommen.
maedchenvommoorhof_7_f000070|Er trauerte jetzt nicht nur um Hildur und ihr Hab und Gut, sondern auch um kleinere Dinge.|Er trauerte jetzt nicht nur um Hildur und ihr Hab und Gut, sondern auch um kleinere Dinge.
maedchenvommoorhof_7_f000071|In diesem Augenblick wäre er zur Kirche gefahren, und alle, die ihn gesehen, hätten ihn beneidet.|In diesem Augenblick wäre er zur Kirche gefahren, und alle, die ihn gesehen, hätten ihn beneidet.
maedchenvommoorhof_7_f000072|Und heute hätte er zu oberst an der Hochzeitstafel gesessen.|Und heute hätte er zu oberst an der Hochzeitstafel gesessen.
maedchenvommoorhof_7_f000073|Heute wäre er mitten in Tanz und Fröhlichkeit gewesen.|Heute wäre er mitten in Tanz und Fröhlichkeit gewesen.
maedchenvommoorhof_7_f000074|Es war sein großer Glückstag, der ihm nun entging.|Es war sein großer Glückstag, der ihm nun entging.
maedchenvommoorhof_7_f000075|Erland drehte den Kopf einmal ums andere dem Sohne zu und sah ihn an.|Erland drehte den Kopf einmal ums andere dem Sohne zu und sah ihn an.
maedchenvommoorhof_7_f000076|Er war jetzt nicht so schön und verklärt, wie er am Morgen gewesen war, sondern saß stumpf und schwerfällig da mit erloschenem Blick.|Er war jetzt nicht so schön und verklärt, wie er am Morgen gewesen war, sondern saß stumpf und schwerfällig da mit erloschenem Blick.
maedchenvommoorhof_7_f000077|Der Vater hätte wohl gerne gewußt, ob der Sohn sein Geständnis bereue, und er wollte ihn danach fragen, hielt es aber doch für richtiger, zu schweigen.|Der Vater hätte wohl gerne gewußt, ob der Sohn sein Geständnis bereue, und er wollte ihn danach fragen, hielt es aber doch für richtiger, zu schweigen.
maedchenvommoorhof_7_f000078|Wohin wollen wir jetzt fahren?|Wohin wollen wir jetzt fahren?
maedchenvommoorhof_7_f000079|fragte Gudmund nach einer Weile.|fragte Gudmund nach einer Weile.
maedchenvommoorhof_7_f000080|– Wäre es nicht das beste, gleich zu Gericht zu gehen?|- Wäre es nicht das beste, gleich zu Gericht zu gehen?
maedchenvommoorhof_7_f000081|Du mußt zuerst nach Hause, damit du ruhen und dich ausschlafen kannst, sagte der Vater.|Du mußt zuerst nach Hause, damit du ruhen und dich ausschlafen kannst, sagte der Vater.
maedchenvommoorhof_7_f000082|Du hast in den letzten Nächten wohl nicht viel Schlaf gefunden.|Du hast in den letzten Nächten wohl nicht viel Schlaf gefunden.
maedchenvommoorhof_7_f000083|Mutter wird erschrecken, wenn sie uns sieht.|Mutter wird erschrecken, wenn sie uns sieht.
maedchenvommoorhof_7_f000084|Sie wird nicht so erstaunt sein, sagte der Vater, sie weiß ebensoviel wie ich.|Sie wird nicht so erstaunt sein, sagte der Vater, sie weiß ebensoviel wie ich.
maedchenvommoorhof_7_f000085|Sie wird sich freuen, daß du gestanden hast.|Sie wird sich freuen, daß du gestanden hast.
maedchenvommoorhof_7_f000086|Ich glaube, Mutter und ihr alle miteinander daheim seid froh, mich ins Gefängnis zu bringen, sagte Gudmund bitter.|Ich glaube, Mutter und ihr alle miteinander daheim seid froh, mich ins Gefängnis zu bringen, sagte Gudmund bitter.
maedchenvommoorhof_7_f000087|Wir wissen, daß du viel verlierst, weil du recht gehandelt hast, sagte der Vater, wir können nicht anders: wir müssen uns freuen, daß du dich selbst überwunden hast.|Wir wissen, daß du viel verlierst, weil du recht gehandelt hast, sagte der Vater, wir können nicht anders: wir müssen uns freuen, daß du dich selbst überwunden hast.
maedchenvommoorhof_7_f000088|Gudmund glaubte es nicht ertragen zu können, nach Hause zu fahren und allen den Leuten zuzuhören, die ihn rühmen würden, weil er seine Zukunft vernichtet hatte.|Gudmund glaubte es nicht ertragen zu können, nach Hause zu fahren und allen den Leuten zuzuhören, die ihn rühmen würden, weil er seine Zukunft vernichtet hatte.
maedchenvommoorhof_7_f000089|Er suchte einen Vorwand, um niemand treffen zu müssen, bevor er sich mehr Ruhe erkämpft hätte.|Er suchte einen Vorwand, um niemand treffen zu müssen, bevor er sich mehr Ruhe erkämpft hätte.
maedchenvommoorhof_7_f000090|Nun fuhren sie an der Stelle vorüber, wo der Pfad zum Moorhof abbog.|Nun fuhren sie an der Stelle vorüber, wo der Pfad zum Moorhof abbog.
maedchenvommoorhof_7_f000091|Wollt Ihr hier halten, Vater?|Wollt Ihr hier halten, Vater?
maedchenvommoorhof_7_f000092|Ich denke, ich gehe zu Helga hinauf und spreche mit ihr.|Ich denke, ich gehe zu Helga hinauf und spreche mit ihr.
maedchenvommoorhof_7_f000093|–  Der Vater hielt bereitwillig das Pferd an.|-  Der Vater hielt bereitwillig das Pferd an.
maedchenvommoorhof_7_f000094|Komm nur, sobald du kannst, nach Hause, damit du dich ausruhst, sagte er.|Komm nur, sobald du kannst, nach Hause, damit du dich ausruhst, sagte er.
maedchenvommoorhof_7_f000095|Gudmund schlug den Weg in den Wald ein und war bald zwischen den Bäumen verschwunden.|Gudmund schlug den Weg in den Wald ein und war bald zwischen den Bäumen verschwunden.
maedchenvommoorhof_7_f000096|Er dachte nicht daran, Helga aufzusuchen.|Er dachte nicht daran, Helga aufzusuchen.
maedchenvommoorhof_7_f000097|Er war nur froh, allein zu sein, so daß er sich keinen Zwang aufzuerlegen brauchte.|Er war nur froh, allein zu sein, so daß er sich keinen Zwang aufzuerlegen brauchte.
maedchenvommoorhof_7_f000098|Er fühlte eine unvernünftige Wut gegen alles, er stieß Steine fort, die ihm im Wege lagen, und blieb zuweilen stehen, um einen großen Ast abzubrechen, nur weil ein Blatt sein Gesicht gestreift hatte.|Er fühlte eine unvernünftige Wut gegen alles, er stieß Steine fort, die ihm im Wege lagen, und blieb zuweilen stehen, um einen großen Ast abzubrechen, nur weil ein Blatt sein Gesicht gestreift hatte.
maedchenvommoorhof_7_f000099|Er schlug den Weg zum Moorhof ein, ging aber an der Hütte vorbei und kletterte den Berg hinauf.|Er schlug den Weg zum Moorhof ein, ging aber an der Hütte vorbei und kletterte den Berg hinauf.
maedchenvommoorhof_7_f000100|Hier wurde es ihm bald schwer, weiterzukommen.|Hier wurde es ihm bald schwer, weiterzukommen.
maedchenvommoorhof_7_f000101|Er hatte den Pfad verlassen; und um den nächsten Gipfel zu erreichen, mußte er über ein breites Flußbett voll kantiger Felsblöcke gehen.|Er hatte den Pfad verlassen; und um den nächsten Gipfel zu erreichen, mußte er über ein breites Flußbett voll kantiger Felsblöcke gehen.
maedchenvommoorhof_7_f000102|Es war eine gefährliche Wanderung über die scharfen Felskanten, und er konnte sich Arme und Beine brechen, wenn er einen Fehltritt machte.|Es war eine gefährliche Wanderung über die scharfen Felskanten, und er konnte sich Arme und Beine brechen, wenn er einen Fehltritt machte.
maedchenvommoorhof_7_f000103|Das wußte er sehr wohl, aber er ging doch weiter, als mache es ihm Freude, sich einer Gefahr auszusetzen.|Das wußte er sehr wohl, aber er ging doch weiter, als mache es ihm Freude, sich einer Gefahr auszusetzen.
maedchenvommoorhof_7_f000104|Und wenn ich mich zuschanden falle, so findet mich hier oben niemand, dachte er.|Und wenn ich mich zuschanden falle, so findet mich hier oben niemand, dachte er.
maedchenvommoorhof_7_f000105|Aber was tut das?|Aber was tut das?
maedchenvommoorhof_7_f000106|Ich kann ebensogut hier liegen und sterben wie jahrelang hinter Gefängnismauern sitzen.|Ich kann ebensogut hier liegen und sterben wie jahrelang hinter Gefängnismauern sitzen.
maedchenvommoorhof_7_f000107|Doch alles ging gut ab, und ein paar Minuten später stand er auf der Höhe.|Doch alles ging gut ab, und ein paar Minuten später stand er auf der Höhe.
maedchenvommoorhof_7_f000108|Über den Berg war einmal ein Waldbrand hingegangen.|Über den Berg war einmal ein Waldbrand hingegangen.
maedchenvommoorhof_7_f000109|Die oberste Spitze war noch kahl, und von dort hatte man eine meilenweite Aussicht.|Die oberste Spitze war noch kahl, und von dort hatte man eine meilenweite Aussicht.
maedchenvommoorhof_7_f000110|Er sah Täler und Seen, dunkle Wälder und fruchtbare Äcker, Kirchen und Herrenhöfe, kleine Bauernhütten und große Dörfer.|Er sah Täler und Seen, dunkle Wälder und fruchtbare Äcker, Kirchen und Herrenhöfe, kleine Bauernhütten und große Dörfer.
maedchenvommoorhof_7_f000111|Weit in der Ferne lag die Stadt, in einen weißen Schleier von Sonnenrauch gehüllt, aus dem ein paar funkelnde Türme aufragten.|Weit in der Ferne lag die Stadt, in einen weißen Schleier von Sonnenrauch gehüllt, aus dem ein paar funkelnde Türme aufragten.
maedchenvommoorhof_7_f000112|Durch die Täler schlängelten sich Wege, und ein Eisenbahnzug rollte am Waldessaume vorbei.|Durch die Täler schlängelten sich Wege, und ein Eisenbahnzug rollte am Waldessaume vorbei.
maedchenvommoorhof_7_f000113|Es war ein ganzes Reich, was er da sah.|Es war ein ganzes Reich, was er da sah.
maedchenvommoorhof_7_f000114|Er warf sich zu Boden, hielt aber den Blick noch immer auf die weite Fernsicht geheftet.|Er warf sich zu Boden, hielt aber den Blick noch immer auf die weite Fernsicht geheftet.
maedchenvommoorhof_7_f000115|Es war etwas Stolzes und Großes in dieser Landschaft vor ihm, und er empfand sich selbst und seine Sorgen als klein und unbedeutend.|Es war etwas Stolzes und Großes in dieser Landschaft vor ihm, und er empfand sich selbst und seine Sorgen als klein und unbedeutend.
maedchenvommoorhof_7_f000116|Ihm kam eine Erinnerung aus seiner Kindheit.|Ihm kam eine Erinnerung aus seiner Kindheit.
maedchenvommoorhof_7_f000117|Wenn er damals gelesen hatte, daß der Versucher Jesus auf einen hohen Berg geführt und ihm alle Herrlichkeit der Welt gezeigt hätte, so war er immer der Meinung gewesen,|Wenn er damals gelesen hatte, daß der Versucher Jesus auf einen hohen Berg geführt und ihm alle Herrlichkeit der Welt gezeigt hätte, so war er immer der Meinung gewesen,
maedchenvommoorhof_7_f000118|die beiden müßten hier oben auf dem Gipfel gestanden haben ... Und er sprach die alten Worte vor sich hin:|die beiden müßten hier oben auf dem Gipfel gestanden haben ... Und er sprach die alten Worte vor sich hin:
maedchenvommoorhof_7_f000119|Dies alles will ich dir geben, wenn du niederfällst und mich anbetest.|Dies alles will ich dir geben, wenn du niederfällst und mich anbetest.
maedchenvommoorhof_7_f000120|Da kam es ihm plötzlich vor, als sei ihm selbst in diesen letzten Tagen eine solche Versuchung entgegengetreten.|Da kam es ihm plötzlich vor, als sei ihm selbst in diesen letzten Tagen eine solche Versuchung entgegengetreten.
maedchenvommoorhof_7_f000121|Wahrlich, hatte ihn nicht der Versucher auf einen hohen Berg geführt und ihm alle Herrlichkeit der Macht und des Reichtums gezeigt?|Wahrlich, hatte ihn nicht der Versucher auf einen hohen Berg geführt und ihm alle Herrlichkeit der Macht und des Reichtums gezeigt?
maedchenvommoorhof_7_f000122|Verschweige nur das Böse, das du getan hast, sagte er, und ich will dir dies alles geben.|Verschweige nur das Böse, das du getan hast, sagte er, und ich will dir dies alles geben.
maedchenvommoorhof_7_f000123|Wie Gudmund daran dachte, kam ein klein wenig Befriedigung über ihn.|Wie Gudmund daran dachte, kam ein klein wenig Befriedigung über ihn.
maedchenvommoorhof_7_f000124|Ich habe ja nein geantwortet, sagte er; und plötzlich begriff er, worum es sich für ihn gehandelt hatte.|Ich habe ja nein geantwortet, sagte er; und plötzlich begriff er, worum es sich für ihn gehandelt hatte.
maedchenvommoorhof_7_f000125|Wenn er geschwiegen hätte, wäre er dann nicht all sein Lebtag verurteilt gewesen, den Versucher anzubeten?|Wenn er geschwiegen hätte, wäre er dann nicht all sein Lebtag verurteilt gewesen, den Versucher anzubeten?
maedchenvommoorhof_7_f000126|Ein scheuer, mutloser Mann wäre er geworden, ein Sklave von Hab und Gut.|Ein scheuer, mutloser Mann wäre er geworden, ein Sklave von Hab und Gut.
maedchenvommoorhof_7_f000127|Die Furcht vor der Entdeckung hätte stets auf ihm gelastet.|Die Furcht vor der Entdeckung hätte stets auf ihm gelastet.
maedchenvommoorhof_7_f000128|Nie mehr hätte er sich als ein freier Mann fühlen können.|Nie mehr hätte er sich als ein freier Mann fühlen können.
maedchenvommoorhof_7_f000129|Eine große Ruhe kam über Gudmund.|Eine große Ruhe kam über Gudmund.
maedchenvommoorhof_7_f000130|Er wurde ganz glücklich, weil er einsah, daß er recht gehandelt hatte.|Er wurde ganz glücklich, weil er einsah, daß er recht gehandelt hatte.
maedchenvommoorhof_7_f000131|Wenn er an die vergangenen Tage zurückdachte, schien es ihm, daß er in einer großen Dunkelheit getappt hätte.|Wenn er an die vergangenen Tage zurückdachte, schien es ihm, daß er in einer großen Dunkelheit getappt hätte.
maedchenvommoorhof_7_f000132|Es war wunderbar, daß er sich zuletzt doch zurechtgefunden hatte.|Es war wunderbar, daß er sich zuletzt doch zurechtgefunden hatte.
maedchenvommoorhof_7_f000133|Er fragte sich selbst, wie es zugegangen sei, daß er nicht in der Irre gegangen war.|Er fragte sich selbst, wie es zugegangen sei, daß er nicht in der Irre gegangen war.
maedchenvommoorhof_7_f000134|Ich danke es dem, daß sie daheim alle so gut gegen mich waren, dachte er, und die beste Hilfe war doch, daß Helga kam und mir Glück wünschte.|Ich danke es dem, daß sie daheim alle so gut gegen mich waren, dachte er, und die beste Hilfe war doch, daß Helga kam und mir Glück wünschte.
maedchenvommoorhof_7_f000135|Er blieb noch eine Weile oben auf dem Gipfel liegen, aber bald sagte er sich, er müsse zu Vater und Mutter heimgehen und ihnen sagen, daß er den Frieden mit sich selbst gefunden hätte.|Er blieb noch eine Weile oben auf dem Gipfel liegen, aber bald sagte er sich, er müsse zu Vater und Mutter heimgehen und ihnen sagen, daß er den Frieden mit sich selbst gefunden hätte.
maedchenvommoorhof_7_f000136|Als er nun aufstand, um zu gehen, bemerkte er, daß ein Stück weiter unten Helga auf einem Felsenvorsprung saß.|Als er nun aufstand, um zu gehen, bemerkte er, daß ein Stück weiter unten Helga auf einem Felsenvorsprung saß.
maedchenvommoorhof_7_f000137|Sie hatte dort nicht die große weite Aussicht nur ein kleines Stückchen des Tales war für sie sichtbar.|Sie hatte dort nicht die große weite Aussicht nur ein kleines Stückchen des Tales war für sie sichtbar.
maedchenvommoorhof_7_f000138|Es war die Gegend, wo Närlunda lag, und sie sah vermutlich ein Stück des Hofes.|Es war die Gegend, wo Närlunda lag, und sie sah vermutlich ein Stück des Hofes.
maedchenvommoorhof_7_f000139|Als Gudmund sie erblickte, fühlte er, wie sein Herz, das den ganzen Tag mühsam und ängstlich gearbeitet hatte, leicht und fröhlich zu klopfen begann, und zu gleicher Zeit durchzuckte ihn ein so starkes Glücksgefühl,|Als Gudmund sie erblickte, fühlte er, wie sein Herz, das den ganzen Tag mühsam und ängstlich gearbeitet hatte, leicht und fröhlich zu klopfen begann, und zu gleicher Zeit durchzuckte ihn ein so starkes Glücksgefühl,
maedchenvommoorhof_7_f000140|daß er stehen blieb und über sich selbst staunte.|daß er stehen blieb und über sich selbst staunte.
maedchenvommoorhof_7_f000141|Was ist mir denn?|Was ist mir denn?
maedchenvommoorhof_7_f000142|Was ist das?|Was ist das?
maedchenvommoorhof_7_f000143|Was ist das? dachte er, während das Blut durch seinen Körper strömte und das Glück ihn mit solcher Macht packte, daß er es beinahe schmerzhaft empfand.|Was ist das? dachte er, während das Blut durch seinen Körper strömte und das Glück ihn mit solcher Macht packte, daß er es beinahe schmerzhaft empfand.
maedchenvommoorhof_7_f000144|Endlich sagte er mit erstaunter Stimme zu sich selbst: Aber ich hab ja sie lieb!|Endlich sagte er mit erstaunter Stimme zu sich selbst: Aber ich hab ja sie lieb!
maedchenvommoorhof_7_f000145|Nein, daß ich das bisher gar nicht wußte!|Nein, daß ich das bisher gar nicht wußte!
maedchenvommoorhof_7_f000146|Es packte ihn mit der Stärke eines befreiten Wasserfalls.|Es packte ihn mit der Stärke eines befreiten Wasserfalls.
maedchenvommoorhof_7_f000147|Er war die ganze Zeit, solange er sie kannte, gebunden gewesen.|Er war die ganze Zeit, solange er sie kannte, gebunden gewesen.
maedchenvommoorhof_7_f000148|Alles, was ihn zu ihr hinzog, hatte er zurückgedrängt.|Alles, was ihn zu ihr hinzog, hatte er zurückgedrängt.
maedchenvommoorhof_7_f000149|Jetzt erst war er frei von dem Gedanken, eine andre zu heiraten, hatte er die Freiheit, sie zu lieben.|Jetzt erst war er frei von dem Gedanken, eine andre zu heiraten, hatte er die Freiheit, sie zu lieben.
maedchenvommoorhof_7_f000150|Helga! rief er und begann zugleich den Abhang zu ihr hinunterzuklettern.|Helga! rief er und begann zugleich den Abhang zu ihr hinunterzuklettern.
maedchenvommoorhof_7_f000151|Sie wendete sich mit einem erschrockenen Aufschrei um.|Sie wendete sich mit einem erschrockenen Aufschrei um.
maedchenvommoorhof_7_f000152|Hab keine Angst!|Hab keine Angst!
maedchenvommoorhof_7_f000153|Ich bin es nur.|Ich bin es nur.
maedchenvommoorhof_7_f000154|Aber bist du denn nicht in der Kirche und wirst getraut?|Aber bist du denn nicht in der Kirche und wirst getraut?
maedchenvommoorhof_7_f000155|Ach nein, aus der Hochzeit wird nichts.|Ach nein, aus der Hochzeit wird nichts.
maedchenvommoorhof_7_f000156|Sie will mich nicht haben, Helga.|Sie will mich nicht haben, Helga.
maedchenvommoorhof_7_f000157|Helga richtete sich auf.|Helga richtete sich auf.
maedchenvommoorhof_7_f000158|Sie preßte die Hand aufs Herz und schloß die Augen.|Sie preßte die Hand aufs Herz und schloß die Augen.
maedchenvommoorhof_7_f000159|Sie dachte in diesem Augenblick wohl, daß es nicht Gudmund sei, der da kam.|Sie dachte in diesem Augenblick wohl, daß es nicht Gudmund sei, der da kam.
maedchenvommoorhof_7_f000160|Ihre Augen und Ohren müßten hier im Walde verhext worden sein.|Ihre Augen und Ohren müßten hier im Walde verhext worden sein.
maedchenvommoorhof_7_f000161|Aber schön und herrlich war es doch, daß er sich zeigte, wenn auch nur als Traumerscheinung; und sie schloß die Augen und blieb regungslos stehen, um das Trugbild noch ein paar Augenblicke festzuhalten.|Aber schön und herrlich war es doch, daß er sich zeigte, wenn auch nur als Traumerscheinung; und sie schloß die Augen und blieb regungslos stehen, um das Trugbild noch ein paar Augenblicke festzuhalten.
maedchenvommoorhof_7_f000162|Aber Gudmund war wild und toll von der großen Liebe, die in ihm aufgelodert war.|Aber Gudmund war wild und toll von der großen Liebe, die in ihm aufgelodert war.
maedchenvommoorhof_7_f000163|Sobald er zu Helga heruntergekommen war, schlang er die Arme um sie und küßte sie, und sie ließ es geschehen; denn sie war ganz betäubt und benommen vor Überraschung.|Sobald er zu Helga heruntergekommen war, schlang er die Arme um sie und küßte sie, und sie ließ es geschehen; denn sie war ganz betäubt und benommen vor Überraschung.
maedchenvommoorhof_7_f000164|Es war ja zu wunderbar, daß er, der gerade jetzt in der Kirche stehen sollte, zur Seite seiner Braut, wirklich hierher in den Wald gekommen war.|Es war ja zu wunderbar, daß er, der gerade jetzt in der Kirche stehen sollte, zur Seite seiner Braut, wirklich hierher in den Wald gekommen war.
maedchenvommoorhof_7_f000165|Dieser Geist oder Doppelgänger von ihm, der zu ihr gekommen war, mochte sie immerhin küssen.|Dieser Geist oder Doppelgänger von ihm, der zu ihr gekommen war, mochte sie immerhin küssen.
maedchenvommoorhof_7_f000166|Aber in dem Augenblick, da Gudmund Helga küßte, wachte sie auf und stieß ihn von sich.|Aber in dem Augenblick, da Gudmund Helga küßte, wachte sie auf und stieß ihn von sich.
maedchenvommoorhof_7_f000167|Und nun begann sie ihn mit Fragen zu überschütten.|Und nun begann sie ihn mit Fragen zu überschütten.
maedchenvommoorhof_7_f000168|Ob er es wirklich selbst sei?|Ob er es wirklich selbst sei?
maedchenvommoorhof_7_f000169|Was er im Walde zu tun hätte?|Was er im Walde zu tun hätte?
maedchenvommoorhof_7_f000170|Ob ein Unglück geschehen?|Ob ein Unglück geschehen?
maedchenvommoorhof_7_f000171|Warum man die Hochzeit aufgeschoben hätte?|Warum man die Hochzeit aufgeschoben hätte?
maedchenvommoorhof_7_f000172|Ob Hildur krank sei?|Ob Hildur krank sei?
maedchenvommoorhof_7_f000173|Ob den Pfarrer in der Kirche der Schlag gerührt hätte?|Ob den Pfarrer in der Kirche der Schlag gerührt hätte?
maedchenvommoorhof_7_f000174|Gudmund wollte mit ihr von nichts anderm auf der Welt sprechen als von seiner Liebe; aber sie zwang ihn, zu erzählen, wie alles zugegangen war.|Gudmund wollte mit ihr von nichts anderm auf der Welt sprechen als von seiner Liebe; aber sie zwang ihn, zu erzählen, wie alles zugegangen war.
maedchenvommoorhof_7_f000175|Während er sprach, saß sie still da und hörte mit tiefer Andacht zu.|Während er sprach, saß sie still da und hörte mit tiefer Andacht zu.
maedchenvommoorhof_7_f000176|Sie unterbrach ihn nicht, bis er von der abgebrochnen Klinge erzählte.|Sie unterbrach ihn nicht, bis er von der abgebrochnen Klinge erzählte.
maedchenvommoorhof_7_f000177|Da fuhr sie auf und fragte, ob es sein gewöhnliches Messer sei, das er gehabt hätte, als sie noch auf Närlunda diente.|Da fuhr sie auf und fragte, ob es sein gewöhnliches Messer sei, das er gehabt hätte, als sie noch auf Närlunda diente.
maedchenvommoorhof_7_f000178|Ja, gerade das war es, sagte er.|Ja, gerade das war es, sagte er.
maedchenvommoorhof_7_f000179|Wieviel Klingen waren denn abgebrochen? fragte sie.|Wieviel Klingen waren denn abgebrochen? fragte sie.
maedchenvommoorhof_7_f000180|Nicht mehr als eine.|Nicht mehr als eine.
maedchenvommoorhof_7_f000181|In Helgas Kopf begann es zu arbeiten.|In Helgas Kopf begann es zu arbeiten.
maedchenvommoorhof_7_f000182|Sie saß mit gerunzelter Stirn da und suchte sich an etwas zu erinnern.|Sie saß mit gerunzelter Stirn da und suchte sich an etwas zu erinnern.
maedchenvommoorhof_7_f000183|Wie war es doch?|Wie war es doch?
maedchenvommoorhof_7_f000184|Ja gewiß.|Ja gewiß.
maedchenvommoorhof_7_f000185|Sie entsann sich deutlich, daß sie sich dieses Messer an dem Tage, bevor sie fortging, von ihm ausgeliehen hatte, um Holz zu spalten; dabei hatte sie es zerbrochen, aber sie war nicht dazu gekommen, es ihm zu sagen.|Sie entsann sich deutlich, daß sie sich dieses Messer an dem Tage, bevor sie fortging, von ihm ausgeliehen hatte, um Holz zu spalten; dabei hatte sie es zerbrochen, aber sie war nicht dazu gekommen, es ihm zu sagen.
maedchenvommoorhof_7_f000186|Er war ihr damals immer ausgewichen und hatte nicht mit ihr sprechen wollen.|Er war ihr damals immer ausgewichen und hatte nicht mit ihr sprechen wollen.
maedchenvommoorhof_7_f000187|Und nun hatte er das Messer wohl seitdem in der Tasche gehabt und gar nicht bemerkt, daß es zerbrochen war.|Und nun hatte er das Messer wohl seitdem in der Tasche gehabt und gar nicht bemerkt, daß es zerbrochen war.
maedchenvommoorhof_7_f000188|Sie hob den Kopf und wollte ihm dies eben sagen; doch er erzählte weiter von seinem Besuch heute morgen im Hochzeitshaus, und sie wollte ihn zu Ende kommen lassen.|Sie hob den Kopf und wollte ihm dies eben sagen; doch er erzählte weiter von seinem Besuch heute morgen im Hochzeitshaus, und sie wollte ihn zu Ende kommen lassen.
maedchenvommoorhof_7_f000189|Als sie hörte, wie er von Hildur geschieden war, erschien ihr dies als ein so furchtbares Unglück, daß sie ihn mit Vorwürfen überhäufte.|Als sie hörte, wie er von Hildur geschieden war, erschien ihr dies als ein so furchtbares Unglück, daß sie ihn mit Vorwürfen überhäufte.
maedchenvommoorhof_7_f000190|Das ist deine eigne Schuld, sagte sie.|Das ist deine eigne Schuld, sagte sie.
maedchenvommoorhof_7_f000191|Da kommt ihr, du und dein Vater, angefahren und erschreckt sie zu Tode mit der furchtbaren Botschaft.|Da kommt ihr, du und dein Vater, angefahren und erschreckt sie zu Tode mit der furchtbaren Botschaft.
maedchenvommoorhof_7_f000192|So hätte sie nicht geantwortet, wenn sie bei Sinnen gewesen wäre.|So hätte sie nicht geantwortet, wenn sie bei Sinnen gewesen wäre.
maedchenvommoorhof_7_f000193|Ich will dir eines sagen: ich glaube, sie bereut es schon in diesem Augenblick.|Ich will dir eines sagen: ich glaube, sie bereut es schon in diesem Augenblick.
maedchenvommoorhof_7_f000194|Meinethalben mag sie bereuen, soviel sie will, sagte Gudmund.|Meinethalben mag sie bereuen, soviel sie will, sagte Gudmund.
maedchenvommoorhof_7_f000195|Ich weiß jetzt, daß sie eine ist, die immer nur an sich selbst denkt.|Ich weiß jetzt, daß sie eine ist, die immer nur an sich selbst denkt.
maedchenvommoorhof_7_f000196|Ich bin froh, daß ich sie los bin.|Ich bin froh, daß ich sie los bin.
maedchenvommoorhof_7_f000197|Helga preßte die Lippen aufeinander, damit ihr das große Geheimnis nicht entschlüpfe.|Helga preßte die Lippen aufeinander, damit ihr das große Geheimnis nicht entschlüpfe.
maedchenvommoorhof_7_f000198|Sie hatte viel zu denken.|Sie hatte viel zu denken.
maedchenvommoorhof_7_f000199|Es handelte sich nicht nur darum, Gudmund von dem Morde reinzuwaschen.|Es handelte sich nicht nur darum, Gudmund von dem Morde reinzuwaschen.
maedchenvommoorhof_7_f000200|Es herrschte ja auch Feindschaft zwischen Gudmund und seiner Braut.|Es herrschte ja auch Feindschaft zwischen Gudmund und seiner Braut.
maedchenvommoorhof_7_f000201|Könnte sie nicht versuchen, die beiden mit Hilfe dessen, was sie wußte, zu versöhnen?|Könnte sie nicht versuchen, die beiden mit Hilfe dessen, was sie wußte, zu versöhnen?
maedchenvommoorhof_7_f000202|Wieder saß sie stumm da und grübelte, bis Gudmund davon zu sprechen begann, daß er seinen Sinn jetzt ihr zugewandt hätte.|Wieder saß sie stumm da und grübelte, bis Gudmund davon zu sprechen begann, daß er seinen Sinn jetzt ihr zugewandt hätte.
maedchenvommoorhof_7_f000203|Aber das erschien ihr als das größte Unglück, das ihm an diesem Tage widerfahren war.|Aber das erschien ihr als das größte Unglück, das ihm an diesem Tage widerfahren war.
maedchenvommoorhof_7_f000204|Schlimm war es schon, daß die vorteilhafte Heirat zu scheitern drohte, noch schlimmer aber, daß er um eine wie sie werben wollte.|Schlimm war es schon, daß die vorteilhafte Heirat zu scheitern drohte, noch schlimmer aber, daß er um eine wie sie werben wollte.
maedchenvommoorhof_7_f000205|Nein, so etwas darfst du mir nicht sagen, rief sie und sprang plötzlich auf.|Nein, so etwas darfst du mir nicht sagen, rief sie und sprang plötzlich auf.
maedchenvommoorhof_7_f000206|Warum soll ich es dir nicht sagen? fragte Gudmund und erblaßte.|Warum soll ich es dir nicht sagen? fragte Gudmund und erblaßte.
maedchenvommoorhof_7_f000207|Ist es mit dir vielleicht gerade so wie mit Hildur?|Ist es mit dir vielleicht gerade so wie mit Hildur?
maedchenvommoorhof_7_f000208|Hast du Angst vor mir?|Hast du Angst vor mir?
maedchenvommoorhof_7_f000209|Nein, nicht deshalb.|Nein, nicht deshalb.
maedchenvommoorhof_7_f000210|Sie wollte ihm erklären, daß er in sein eigenes Verderben renne, aber er hörte ihr gar nicht zu.|Sie wollte ihm erklären, daß er in sein eigenes Verderben renne, aber er hörte ihr gar nicht zu.
maedchenvommoorhof_7_f000211|Ich habe gehört, daß es früher einmal Frauen gab, die den Männern zur Seite standen, wenn sie in Not kamen; aber heute trifft man solche Frauen nicht mehr.|Ich habe gehört, daß es früher einmal Frauen gab, die den Männern zur Seite standen, wenn sie in Not kamen; aber heute trifft man solche Frauen nicht mehr.
maedchenvommoorhof_7_f000212|Helga erzitterte.|Helga erzitterte.
