zweiplaneten_01_lasswitz_f000001|Auf zwei Planeten von Kurd Laßwitz|Auf zwei Planeten von Kurd Laßwitz
zweiplaneten_46_lasswitz_f000182|»Ich verstehe Sie gar nicht mehr, lieber Freund.|Ich verstehe Sie gar nicht mehr, lieber Freund.
zweiplaneten_46_lasswitz_f000183|Das wäre die Ansicht bei unsern Beamten?|Das wäre die Ansicht bei unsern Beamten?
zweiplaneten_46_lasswitz_f000184|Dagegen würde ich mich doch recht ernstlich erklären.|Dagegen würde ich mich doch recht ernstlich erklären.
zweiplaneten_46_lasswitz_f000185|»Da es mir einmal so wie man hier redet herausgefahren ist, so mag es denn auch gesagt sein«, erwiderte Hil|Da es mir einmal so wie man hier redet herausgefahren ist, so mag es denn auch gesagt sein, erwiderte Hil
zweiplaneten_46_lasswitz_f000186|»obwohl ich erst in meinem Bericht davon sprechen wollte|obwohl ich erst in meinem Bericht davon sprechen wollte
zweiplaneten_46_lasswitz_f000187|weil ich ihnen erst darin die formellen Belege für meine Beobachtungen geben kann.|weil ich ihnen erst darin die formellen Belege für meine Beobachtungen geben kann.
zweiplaneten_46_lasswitz_f000188|Es ist allerdings eine Gefahr da, eine moralische, die Ihnen in der Auswahl der Beamten ganz besondere Vorsicht auferlegen wird.|Es ist allerdings eine Gefahr da, eine moralische, die Ihnen in der Auswahl der Beamten ganz besondere Vorsicht auferlegen wird.
zweiplaneten_46_lasswitz_f000189|Es ist mir im allgemeinen aufgefallen|Es ist mir im allgemeinen aufgefallen
zweiplaneten_46_lasswitz_f000190|daß die Instruktoren nach einigen Monaten nicht mehr die Ruhe und das heitere Gleichmaß der Gesinnung haben|daß die Instruktoren nach einigen Monaten nicht mehr die Ruhe und das heitere Gleichmaß der Gesinnung haben
zweiplaneten_46_lasswitz_f000191|die wir an den Numen gewohnt sind.|die wir an den Numen gewohnt sind.
zweiplaneten_46_lasswitz_f000192|Der Umgang mit den Menschen, wenigstens in der autokratischen Stellung, die sie einnehmen|Der Umgang mit den Menschen, wenigstens in der autokratischen Stellung, die sie einnehmen
zweiplaneten_46_lasswitz_f000193|wirkt verzeihen Sie den Ausdruck gewissermaßen verrohend, und das äußert sich zunächst in der Sprechweise|wirkt verzeihen Sie den Ausdruck gewissermaßen verrohend, und das äußert sich zunächst in der Sprechweise
zweiplaneten_46_lasswitz_f000194|in einer Geringschätzung der ästhetischen Form, weiterhin in einer Überschätzung der eigenen Bedeutung|in einer Geringschätzung der ästhetischen Form, weiterhin in einer Überschätzung der eigenen Bedeutung
zweiplaneten_46_lasswitz_f000195|schließlich in einer schon das ethisch Statthafte überschreitenden Selbstherrlichkeit.|schließlich in einer schon das ethisch Statthafte überschreitenden Selbstherrlichkeit.
zweiplaneten_46_lasswitz_f000196|Ja, ich habe leider einzelne Fälle beobachtet, wo man direkt von einer Psychose sprechen kann|Ja, ich habe leider einzelne Fälle beobachtet, wo man direkt von einer Psychose sprechen kann
zweiplaneten_46_lasswitz_f000197|ich möchte sie geradezu den Erdkoller nennen.|ich möchte sie geradezu den Erdkoller nennen.
zweiplaneten_46_lasswitz_f000198|»Aber ich bitte Sie, da muß sofort eingeschritten werden.|Aber ich bitte Sie, da muß sofort eingeschritten werden.
zweiplaneten_46_lasswitz_f000199|Darüber werden Sie mir eingehend berichten. »Als Arzt, gewiß.|Darüber werden Sie mir eingehend berichten. Als Arzt, gewiß.
zweiplaneten_46_lasswitz_f000200|Das andere wird Sache der revidierenden Unterkultoren sein, wenn nicht gar des Residenten.|Das andere wird Sache der revidierenden Unterkultoren sein, wenn nicht gar des Residenten.
zweiplaneten_46_lasswitz_f000201|Denn es können politische Verwicklungen entstehen.|Denn es können politische Verwicklungen entstehen.
zweiplaneten_46_lasswitz_f000202|Bis jetzt ist die Sache noch verhältnismäßig harmlos, und ich werde die betreffenden Herren schon morgen zur Beurlaubung vorschlagen.|Bis jetzt ist die Sache noch verhältnismäßig harmlos, und ich werde die betreffenden Herren schon morgen zur Beurlaubung vorschlagen.
zweiplaneten_46_lasswitz_f000203|Da komme ich zum Beispiel ich weiß den Namen nicht auswendig auf eine Kreuzungsstation, wo ich umsteigen muß.|Da komme ich zum Beispiel ich weiß den Namen nicht auswendig auf eine Kreuzungsstation, wo ich umsteigen muß.
zweiplaneten_46_lasswitz_f000204|Aber der neue Zug kommt nicht und kommt nicht er hat über eine halbe Stunde Verspätung.|Aber der neue Zug kommt nicht und kommt nicht er hat über eine halbe Stunde Verspätung.
zweiplaneten_46_lasswitz_f000205|Ich erkundige mich dann bei dem Zugführer und höre: Ja, der Herr Bezirksinstruktor ist ein Stück mitgefahren.|Ich erkundige mich dann bei dem Zugführer und höre: Ja, der Herr Bezirksinstruktor ist ein Stück mitgefahren.
zweiplaneten_46_lasswitz_f000206|Ich frage, warum das so lange aufgehalten habe.|Ich frage, warum das so lange aufgehalten habe.
zweiplaneten_46_lasswitz_f000207|Der Herr Bezirksinstruktor habe einen eigenen Wagen verlangt, der mußte erst geholt werden.|Der Herr Bezirksinstruktor habe einen eigenen Wagen verlangt, der mußte erst geholt werden.
zweiplaneten_46_lasswitz_f000208|Dann könne er aber den Lärm und Dampf der Maschine nicht vertragen|Dann könne er aber den Lärm und Dampf der Maschine nicht vertragen
zweiplaneten_46_lasswitz_f000209|und so mußte man den Wagen erst an das Ende des Zuges bringen und noch einige leere Wagen dazwischenschalten.|und so mußte man den Wagen erst an das Ende des Zuges bringen und noch einige leere Wagen dazwischenschalten.
zweiplaneten_46_lasswitz_f000210|Und endlich mußte man mitten auf der Strecke an einem Dorf halten, weil es ihm beliebte, dort auszusteigen.|Und endlich mußte man mitten auf der Strecke an einem Dorf halten, weil es ihm beliebte, dort auszusteigen.
zweiplaneten_46_lasswitz_f000211|»Und sagten Sie nicht, daß die Bahnbeamten solchem unberechtigten Verlangen nicht nachgeben durften?|Und sagten Sie nicht, daß die Bahnbeamten solchem unberechtigten Verlangen nicht nachgeben durften?
zweiplaneten_46_lasswitz_f000212|»Die zuckten die Achseln und meinten, was will man tun?|Die zuckten die Achseln und meinten, was will man tun?
zweiplaneten_46_lasswitz_f000213|Man darf sich den nicht zum Feind machen.|Man darf sich den nicht zum Feind machen.
zweiplaneten_46_lasswitz_f000214|»Die feigen Toren! Aber der Instruktor muß sofort von seinem Amt suspendiert und vor das Disziplinargericht gestellt werden.|Die feigen Toren! Aber der Instruktor muß sofort von seinem Amt suspendiert und vor das Disziplinargericht gestellt werden.
zweiplaneten_46_lasswitz_f000215|Das ist ja unerhört, wenn sich diese Angaben bestätigen, ich werde aufs genaueste untersuchen lassen.|Das ist ja unerhört, wenn sich diese Angaben bestätigen, ich werde aufs genaueste untersuchen lassen.
zweiplaneten_46_lasswitz_f000216|Wie kann ein Nume seine Berechtigungen so überschreiten!«.|Wie kann ein Nume seine Berechtigungen so überschreiten!.
zweiplaneten_46_lasswitz_f000217|»Es würde ihm auf dem Nu nie einfallen.|Es würde ihm auf dem Nu nie einfallen.
zweiplaneten_46_lasswitz_f000218|Hier achtet er niemand als seinesgleichen.|Hier achtet er niemand als seinesgleichen.
zweiplaneten_46_lasswitz_f000219|Die Theorie, daß Bate keine Numenheit besäßen, ist ja sehr verbreitet.|Die Theorie, daß Bate keine Numenheit besäßen, ist ja sehr verbreitet.
zweiplaneten_46_lasswitz_f000220|»Ich werde dafür sorgen, daß sich meine Beamten ihrer Pflicht erinnern|Ich werde dafür sorgen, daß sich meine Beamten ihrer Pflicht erinnern
zweiplaneten_46_lasswitz_f000221|die Gesetze dieses Staates als die ihrigen zu betrachten, so lange sie hier sind, und sich keine privaten Vorrechte anzumaßen.|die Gesetze dieses Staates als die ihrigen zu betrachten, so lange sie hier sind, und sich keine privaten Vorrechte anzumaßen.
zweiplaneten_46_lasswitz_f000222|Wie sollen die Menschen lernen, sich dem Gesetz zu fügen, wenn Nume solche Beispiele geben? Ich hätte das nicht geglaubt.|Wie sollen die Menschen lernen, sich dem Gesetz zu fügen, wenn Nume solche Beispiele geben? Ich hätte das nicht geglaubt.
zweiplaneten_46_lasswitz_f000223|Warum aber beschwert sich niemand?|Warum aber beschwert sich niemand?
zweiplaneten_46_lasswitz_f000224|Sobald die Presse über einen derartigen Fall berichtete, würde ich sofort untersuchen lassen. Hil zuckte mit den Achseln.|Sobald die Presse über einen derartigen Fall berichtete, würde ich sofort untersuchen lassen. Hil zuckte mit den Achseln.
zweiplaneten_46_lasswitz_f000225|»Die Untersuchung ist nicht immer sehr angenehm.|Die Untersuchung ist nicht immer sehr angenehm.
zweiplaneten_46_lasswitz_f000226|Es ist schwer, alle Einzelheiten zu beweisen.|Es ist schwer, alle Einzelheiten zu beweisen.
zweiplaneten_46_lasswitz_f000227|Übrigens sind solche Fälle glücklicherweise noch vereinzelt.|Übrigens sind solche Fälle glücklicherweise noch vereinzelt.
zweiplaneten_46_lasswitz_f000228|Sollten sie sich wiederholen, so würde die Presse nicht schweigen.|Sollten sie sich wiederholen, so würde die Presse nicht schweigen.
zweiplaneten_46_lasswitz_f000229|Das sehen Sie ja an dem Fall Stuh. »Was meinen Sie da?|Das sehen Sie ja an dem Fall Stuh. Was meinen Sie da?
zweiplaneten_46_lasswitz_f000230|»Haben Sie denn die heutigen Mittagsblätter nicht gelesen?|Haben Sie denn die heutigen Mittagsblätter nicht gelesen?
zweiplaneten_46_lasswitz_f000231|»Es war mir bis jetzt unmöglich.|Es war mir bis jetzt unmöglich.
zweiplaneten_46_lasswitz_f000232|Aber ich würde natürlich nachher. Doch was ist denn geschehen?|Aber ich würde natürlich nachher. Doch was ist denn geschehen?
zweiplaneten_46_lasswitz_f000233|Sie meinen doch nicht Stuh in Frankfurt?|Sie meinen doch nicht Stuh in Frankfurt?
zweiplaneten_46_lasswitz_f000234|»Die Sache spielt in der Nähe von Frankfurt.|Die Sache spielt in der Nähe von Frankfurt.
zweiplaneten_46_lasswitz_f000235|Der Bezirksinstruktor ist vier Stunden im Regen gefahren beachten Sie das, kommt in einen kleinen Ort und ist sehr hungrig.|Der Bezirksinstruktor ist vier Stunden im Regen gefahren beachten Sie das, kommt in einen kleinen Ort und ist sehr hungrig.
zweiplaneten_46_lasswitz_f000236|Er läßt vor dem Wirtshaus halten.|Er läßt vor dem Wirtshaus halten.
zweiplaneten_46_lasswitz_f000237|Es ist Sonntag, alle Zimmer sind überfüllt, der Wirt hat selbst Taufe im Hause.|Es ist Sonntag, alle Zimmer sind überfüllt, der Wirt hat selbst Taufe im Hause.
zweiplaneten_46_lasswitz_f000238|Stuh geht in das Gastzimmer und bestellt sich Essen.|Stuh geht in das Gastzimmer und bestellt sich Essen.
zweiplaneten_46_lasswitz_f000239|Die Bauern rücken auch zusammen und machen ihm eine Ecke frei. Nun kommt das Essen.|Die Bauern rücken auch zusammen und machen ihm eine Ecke frei. Nun kommt das Essen.
zweiplaneten_46_lasswitz_f000240|Stuh sagt dem Wirt, die Leute möchten jetzt das Zimmer verlassen, er wolle essen.|Stuh sagt dem Wirt, die Leute möchten jetzt das Zimmer verlassen, er wolle essen.
zweiplaneten_46_lasswitz_f000241|Der Wirt stellt ihm vor, das könne er nicht verlangen, es sei kein Raum im ganzen Hause frei;|Der Wirt stellt ihm vor, das könne er nicht verlangen, es sei kein Raum im ganzen Hause frei;
zweiplaneten_46_lasswitz_f000242|selbst der Hausflur war besetzt, und draußen regnete es in Strömen.|selbst der Hausflur war besetzt, und draußen regnete es in Strömen.
zweiplaneten_46_lasswitz_f000243|Da wird Stuh von Hunger und Regen wütend und herrscht die Leute an|Da wird Stuh von Hunger und Regen wütend und herrscht die Leute an
zweiplaneten_46_lasswitz_f000244|sie möchten sich hinausscheren, wenn ein Nume esse, habe kein Bat zuzusehen.|sie möchten sich hinausscheren, wenn ein Nume esse, habe kein Bat zuzusehen.
zweiplaneten_46_lasswitz_f000245|Die Bauern haben keine Ahnung, daß es uns nicht möglich ist, so öffentlich den Hunger zu stillen.|Die Bauern haben keine Ahnung, daß es uns nicht möglich ist, so öffentlich den Hunger zu stillen.
zweiplaneten_46_lasswitz_f000246|Sie halten die Anforderung für eine Unverschämtheit und lachen Stuh einfach aus.|Sie halten die Anforderung für eine Unverschämtheit und lachen Stuh einfach aus.
zweiplaneten_46_lasswitz_f000247|Ganz nüchtern waren sie auch nicht mehr. Kurzum, es kommt zum Streit.|Ganz nüchtern waren sie auch nicht mehr. Kurzum, es kommt zum Streit.
zweiplaneten_46_lasswitz_f000248|Stuh will nun hinaus, jetzt aber verhöhnen ihn die Bauern und klopfen ihm mit ihren Stöcken auf den Glockenhelm.|Stuh will nun hinaus, jetzt aber verhöhnen ihn die Bauern und klopfen ihm mit ihren Stöcken auf den Glockenhelm.
zweiplaneten_46_lasswitz_f000249|Unglücklicherweise hat Stuh an seiner Uhr ein kleines Telelytstiftchen.|Unglücklicherweise hat Stuh an seiner Uhr ein kleines Telelytstiftchen.
zweiplaneten_46_lasswitz_f000250|Er nimmt die Uhr heraus, hält sie den Umstehenden entgegen und sagt: Wenn ihr jetzt nicht macht|Er nimmt die Uhr heraus, hält sie den Umstehenden entgegen und sagt: Wenn ihr jetzt nicht macht
zweiplaneten_46_lasswitz_f000251|daß ihr hinauskommt, so lasse ich hier einen Feuerregen heraus, daß ihr alle verbrennen müßt.|daß ihr hinauskommt, so lasse ich hier einen Feuerregen heraus, daß ihr alle verbrennen müßt.
zweiplaneten_46_lasswitz_f000252|Das war ja natürlich eine Aufschneiderei, mit dem Stiftchen konnte er höchstens einem die Kleider versengen.|Das war ja natürlich eine Aufschneiderei, mit dem Stiftchen konnte er höchstens einem die Kleider versengen.
zweiplaneten_46_lasswitz_f000253|Und da nun nicht gleich Platz wird, so läßt er die Funkengarbe aus dem Stiftchen sprühen.|Und da nun nicht gleich Platz wird, so läßt er die Funkengarbe aus dem Stiftchen sprühen.
zweiplaneten_46_lasswitz_f000254|Nun denken die Leute wirklich, das Haus muß anbrennen, und drängen sich zur Tür.|Nun denken die Leute wirklich, das Haus muß anbrennen, und drängen sich zur Tür.
zweiplaneten_46_lasswitz_f000255|Es entsteht ein Gewühl, und eine Menge Verwundungen kommen vor.|Es entsteht ein Gewühl, und eine Menge Verwundungen kommen vor.
zweiplaneten_46_lasswitz_f000256|Das ganze Haus gerät in Aufruhr.|Das ganze Haus gerät in Aufruhr.
zweiplaneten_46_lasswitz_f000257|Stuh verriegelt die Tür und setzt sich ruhig zum Essen.|Stuh verriegelt die Tür und setzt sich ruhig zum Essen.
zweiplaneten_46_lasswitz_f000258|Als nun die Bauern sahen, daß weiter nichts geschehen war und sie sich nur selbst gestoßen und getreten hatten|Als nun die Bauern sahen, daß weiter nichts geschehen war und sie sich nur selbst gestoßen und getreten hatten
zweiplaneten_46_lasswitz_f000259|wurden sie wütend und wollten die Tür einschlagen, um Stuh zu verhauen.|wurden sie wütend und wollten die Tür einschlagen, um Stuh zu verhauen.
zweiplaneten_46_lasswitz_f000260|Zum Glück war inzwischen Polizei herbeigekommen und brachte Stuh unversehrt zum Ort hinaus.|Zum Glück war inzwischen Polizei herbeigekommen und brachte Stuh unversehrt zum Ort hinaus.
zweiplaneten_46_lasswitz_f000261|Aber Sie können sich denken, welche Empörung jetzt in dem Städtchen herrscht.|Aber Sie können sich denken, welche Empörung jetzt in dem Städtchen herrscht.
zweiplaneten_46_lasswitz_f000262|»Das ist unangenehm, sehr unangenehm«, sagte Ell.|Das ist unangenehm, sehr unangenehm, sagte Ell.
zweiplaneten_46_lasswitz_f000263|»Und ich kenne doch Stuh als einen ruhigen, menschenfreundlichen Mann.|Und ich kenne doch Stuh als einen ruhigen, menschenfreundlichen Mann.
zweiplaneten_46_lasswitz_f000264|»Der Regen, Ell! Fahren Sie einmal vier Stunden im Regen mit Pferden, entsetzlicher Gedanke! Schon der Geruch kann einen wahnsinnig machen.|Der Regen, Ell! Fahren Sie einmal vier Stunden im Regen mit Pferden, entsetzlicher Gedanke! Schon der Geruch kann einen wahnsinnig machen.
zweiplaneten_46_lasswitz_f000265|Aber freilich, das können Sie nicht so nachfühlen«.|Aber freilich, das können Sie nicht so nachfühlen.
zweiplaneten_46_lasswitz_f000266|Ell war aufgestanden und auf und ab gegangen.|Ell war aufgestanden und auf und ab gegangen.
zweiplaneten_46_lasswitz_f000267|Er blieb nun stehen und sprach: »Aber das sind Zwischenfälle, die sich nicht vermeiden lassen.|Er blieb nun stehen und sprach: Aber das sind Zwischenfälle, die sich nicht vermeiden lassen.
zweiplaneten_46_lasswitz_f000268|Man muß sie korrigieren, ihnen jedoch kein großes Gewicht beilegen.|Man muß sie korrigieren, ihnen jedoch kein großes Gewicht beilegen.
zweiplaneten_46_lasswitz_f000269|Unsere Aufgabe werden wir trotzdem erfüllen. »Ich zweifle nicht. Aber es sind Symptome.|Unsere Aufgabe werden wir trotzdem erfüllen. Ich zweifle nicht. Aber es sind Symptome.
zweiplaneten_46_lasswitz_f000270|Möchten sie sich nicht häufen! Indessen, sie sind nicht das Schlimmste.|Möchten sie sich nicht häufen! Indessen, sie sind nicht das Schlimmste.
zweiplaneten_46_lasswitz_f000271|Es gibt eine viel größere Gefahr. Deswegen kam ich her. Eine Gefahr für die Menschen. »Sprechen Sie, Hil.|Es gibt eine viel größere Gefahr. Deswegen kam ich her. Eine Gefahr für die Menschen. Sprechen Sie, Hil.
zweiplaneten_46_lasswitz_f000272|»Wissen Sie, was bei uns Gragra ist?|Wissen Sie, was bei uns Gragra ist?
zweiplaneten_46_lasswitz_f000273|»Das ist, wenn ich mich recht erinnere, eine Kinderkrankheit auf dem Mars, die ohne jede Bedeutung ist.|Das ist, wenn ich mich recht erinnere, eine Kinderkrankheit auf dem Mars, die ohne jede Bedeutung ist.
zweiplaneten_46_lasswitz_f000274|»Ganz richtig, das ist sie jetzt, seit einigen tausend Jahren.|Ganz richtig, das ist sie jetzt, seit einigen tausend Jahren.
zweiplaneten_46_lasswitz_f000275|Die Kinder sind ein paar Tage müde, bekommen einen leichten Ausschlag, und dann ist die Sache vorüber. Aber es war nicht immer so.|Die Kinder sind ein paar Tage müde, bekommen einen leichten Ausschlag, und dann ist die Sache vorüber. Aber es war nicht immer so.
zweiplaneten_46_lasswitz_f000276|Im agrarischen Zeitalter war die Gragra eine furchtbare Plage, eine entsetzliche Pest, welche ganze Landstriche bei uns entvölkerte|Im agrarischen Zeitalter war die Gragra eine furchtbare Plage, eine entsetzliche Pest, welche ganze Landstriche bei uns entvölkerte
zweiplaneten_46_lasswitz_f000277|nicht durch einen akuten Verlauf, sondern durch eine langsame, chronische Vergiftung.|nicht durch einen akuten Verlauf, sondern durch eine langsame, chronische Vergiftung.
zweiplaneten_46_lasswitz_f000278|Wir sind ihrer Herr geworden, teils durch unsre Impfungen, teils durch die allmähliche Veränderung der Ernährung.|Wir sind ihrer Herr geworden, teils durch unsre Impfungen, teils durch die allmähliche Veränderung der Ernährung.
zweiplaneten_46_lasswitz_f000279|Und nun die ersten Spuren dieser chronischen Form, doch setzen Sie sich her zu mir, ich muß leise sprechen.|Und nun die ersten Spuren dieser chronischen Form, doch setzen Sie sich her zu mir, ich muß leise sprechen.
zweiplaneten_46_lasswitz_f000280|Ell ließ sich neben Hil nieder. Dieser sprach lange mit ihm.|Ell ließ sich neben Hil nieder. Dieser sprach lange mit ihm.
zweiplaneten_46_lasswitz_f000281|Ells Gesicht war tiefernst geworden.|Ells Gesicht war tiefernst geworden.
zweiplaneten_46_lasswitz_f000282|»Das ist ja furchtbar«, sagte er. »Und was können wir tun?|Das ist ja furchtbar, sagte er. Und was können wir tun?
zweiplaneten_46_lasswitz_f000283|»Noch weiß kein Mensch von der drohenden Gefahr.|Noch weiß kein Mensch von der drohenden Gefahr.
zweiplaneten_46_lasswitz_f000284|Die menschlichen Ärzte sind noch nicht einmal auf diese leichten, ihnen unbekannten ersten Symptome aufmerksam geworden.|Die menschlichen Ärzte sind noch nicht einmal auf diese leichten, ihnen unbekannten ersten Symptome aufmerksam geworden.
zweiplaneten_46_lasswitz_f000285|Und wenn die Krankheit allmählich stärker unter den Menschen auftreten sollte, werden Jahre vergehen|Und wenn die Krankheit allmählich stärker unter den Menschen auftreten sollte, werden Jahre vergehen
zweiplaneten_46_lasswitz_f000286|ehe sie erkennen werden, daß es sich um eine für sie ganz neue Form von Bakterien handelt.|ehe sie erkennen werden, daß es sich um eine für sie ganz neue Form von Bakterien handelt.
zweiplaneten_46_lasswitz_f000287|Denn diese sind so klein, daß sie nur durch unsere besonderen Strahlungsmethoden nachweisbar sind.|Denn diese sind so klein, daß sie nur durch unsere besonderen Strahlungsmethoden nachweisbar sind.
zweiplaneten_46_lasswitz_f000288|Ich habe die Überzeugung, daß die Krankheit in ihrer milden Form vom Mars eingeschleppt worden ist und daß die Bazillen unter den auf der Erde|Ich habe die Überzeugung, daß die Krankheit in ihrer milden Form vom Mars eingeschleppt worden ist und daß die Bazillen unter den auf der Erde
zweiplaneten_46_lasswitz_f000289|respektive im menschlichen Körper herrschenden Verhältnissen so günstige Bedingungen für ihre Vermehrung gefunden haben|respektive im menschlichen Körper herrschenden Verhältnissen so günstige Bedingungen für ihre Vermehrung gefunden haben
zweiplaneten_46_lasswitz_f000290|daß die alte perniziöse Form, die bei uns ausgestorben war, wieder auftritt.|daß die alte perniziöse Form, die bei uns ausgestorben war, wieder auftritt.
zweiplaneten_46_lasswitz_f000291|In einigen Jahren werden wir die Verheerungen sehen.|In einigen Jahren werden wir die Verheerungen sehen.
zweiplaneten_46_lasswitz_f000292|»So müssen wir sofort die Ärzte auf diese Krankheit aufmerksam machen«.|So müssen wir sofort die Ärzte auf diese Krankheit aufmerksam machen.
zweiplaneten_46_lasswitz_f000293|»Überlegen Sie das sehr sorgfältig, Ell.|Überlegen Sie das sehr sorgfältig, Ell.
zweiplaneten_46_lasswitz_f000294|Wie gesagt, von selbst würde kein Mensch auf Jahre hinaus auf die Ursachen der Erscheinungen kommen|Wie gesagt, von selbst würde kein Mensch auf Jahre hinaus auf die Ursachen der Erscheinungen kommen
zweiplaneten_46_lasswitz_f000295|die sich zweifellos mit der Zeit zeigen werden.|die sich zweifellos mit der Zeit zeigen werden.
zweiplaneten_46_lasswitz_f000296|Und bisher sind die Symptome selbst erst für uns wahrnehmbar.|Und bisher sind die Symptome selbst erst für uns wahrnehmbar.
zweiplaneten_46_lasswitz_f000297|Wollen Sie jetzt den Menschen sagen, wir haben Euch ein furchtbares Übel auf die Erde gebracht, schlimmer vielleicht als die Tuberkulose?|Wollen Sie jetzt den Menschen sagen, wir haben Euch ein furchtbares Übel auf die Erde gebracht, schlimmer vielleicht als die Tuberkulose?
zweiplaneten_46_lasswitz_f000298|Wäre das nicht der sichere Weg, unsern Einfluß aufzuheben?|Wäre das nicht der sichere Weg, unsern Einfluß aufzuheben?
zweiplaneten_46_lasswitz_f000299|Würde das nicht zu einem allgemeinen Aufstand führen, den wir nur mit neuen Greueln unterdrücken könnten?|Würde das nicht zu einem allgemeinen Aufstand führen, den wir nur mit neuen Greueln unterdrücken könnten?
zweiplaneten_46_lasswitz_f000300|Nein, es darf kein Mensch ahnen, daß wir ihm nicht bloß Heilsames auf der Erde verbreiten.|Nein, es darf kein Mensch ahnen, daß wir ihm nicht bloß Heilsames auf der Erde verbreiten.
zweiplaneten_46_lasswitz_f000301|»Aber wir müssen die Menschen vor dem drohenden Unheil schützen.|Aber wir müssen die Menschen vor dem drohenden Unheil schützen.
zweiplaneten_46_lasswitz_f000302|»Es ist, wie ich überzeugt bin, möglich, aber es ist sehr schwierig.|Es ist, wie ich überzeugt bin, möglich, aber es ist sehr schwierig.
zweiplaneten_46_lasswitz_f000303|Zunächst müssen die Nume sich jeder unmittelbaren Berührung mit dem Körper der Menschen enthalten|Zunächst müssen die Nume sich jeder unmittelbaren Berührung mit dem Körper der Menschen enthalten
zweiplaneten_46_lasswitz_f000304|es sei denn unter den besonderen Vorsichtsmaßregeln, wie sie der Arzt bei einer Untersuchung anwenden kann.|es sei denn unter den besonderen Vorsichtsmaßregeln, wie sie der Arzt bei einer Untersuchung anwenden kann.
zweiplaneten_46_lasswitz_f000305|Und es fragt sich, ob alle der Unseren in dieser Hinsicht zuverlässig sein werden.|Und es fragt sich, ob alle der Unseren in dieser Hinsicht zuverlässig sein werden.
zweiplaneten_46_lasswitz_f000306|Für die Menschen aber ist zweierlei notwendig: Ernährung durch chemische Nahrungsmittel und allgemein durchgeführte Impfung.|Für die Menschen aber ist zweierlei notwendig: Ernährung durch chemische Nahrungsmittel und allgemein durchgeführte Impfung.
zweiplaneten_46_lasswitz_f000307|Unter diesen Umständen würde auch die Berührung mit den Numen nichts schaden können.|Unter diesen Umständen würde auch die Berührung mit den Numen nichts schaden können.
zweiplaneten_46_lasswitz_f000308|Aber diese Mittel werden nicht anwendbar sein.|Aber diese Mittel werden nicht anwendbar sein.
zweiplaneten_46_lasswitz_f000309|»Die allgemeine Verbannung der agrarischen Nahrungsmittel ist jetzt noch nicht möglich, sie wird sich nur nach und nach einführen lassen.|Die allgemeine Verbannung der agrarischen Nahrungsmittel ist jetzt noch nicht möglich, sie wird sich nur nach und nach einführen lassen.
zweiplaneten_46_lasswitz_f000310|Und bis dahin könnte schon viel Schaden geschehen sein.|Und bis dahin könnte schon viel Schaden geschehen sein.
zweiplaneten_46_lasswitz_f000311|Die Impfung ließe sich ja zwangsweise durchsetzen, aber man müßte doch den Grund mindestens andeuten|Die Impfung ließe sich ja zwangsweise durchsetzen, aber man müßte doch den Grund mindestens andeuten
zweiplaneten_46_lasswitz_f000312|und wir würden jedenfalls auf Widerstand stoßen und Unwillen erregen. Indessen, geschehen muß etwas.|und wir würden jedenfalls auf Widerstand stoßen und Unwillen erregen. Indessen, geschehen muß etwas.
zweiplaneten_46_lasswitz_f000313|Ich erwarte baldigst die eingehenden Belege für die Richtigkeit Ihrer Ansicht und werde dann mit dem Residenten und dem Protektor konferieren.|Ich erwarte baldigst die eingehenden Belege für die Richtigkeit Ihrer Ansicht und werde dann mit dem Residenten und dem Protektor konferieren.
zweiplaneten_46_lasswitz_f000314|Es müßte wohl sicher international vorgegangen werden.|Es müßte wohl sicher international vorgegangen werden.
zweiplaneten_46_lasswitz_f000315|Ach Hil, was für eine neue große Sorge haben Sie mir da gemacht!«. »Es war meine Pflicht. »Gewiß, mein verehrter Freund.|Ach Hil, was für eine neue große Sorge haben Sie mir da gemacht!. Es war meine Pflicht. Gewiß, mein verehrter Freund.
zweiplaneten_46_lasswitz_f000316|Und vergessen Sie nicht bei Ihren Besprechungen mit den Kollegen, daß es sich um ein Numengeheimnis handelt.|Und vergessen Sie nicht bei Ihren Besprechungen mit den Kollegen, daß es sich um ein Numengeheimnis handelt.
zweiplaneten_46_lasswitz_f000317|Es ist zu abscheulich! Nichts ist mir unangenehmer als der Zwang, mit der vollen Wahrheit zurückzuhalten.|Es ist zu abscheulich! Nichts ist mir unangenehmer als der Zwang, mit der vollen Wahrheit zurückzuhalten.
zweiplaneten_46_lasswitz_f000318|Und doch muß hier aufs sorgfältigste überlegt werden, ob wir reden dürfen. Darin haben Sie leider recht.|Und doch muß hier aufs sorgfältigste überlegt werden, ob wir reden dürfen. Darin haben Sie leider recht.
zweiplaneten_46_lasswitz_f000319|Ell trat an das Fenster und blickte, in Nachsinnen verloren, hinaus.|Ell trat an das Fenster und blickte, in Nachsinnen verloren, hinaus.
zweiplaneten_46_lasswitz_f000320|Hil erhob sich, um sich zu verabschieden.|Hil erhob sich, um sich zu verabschieden.
zweiplaneten_46_lasswitz_f000321|Plötzlich zuckte Ell, wie von einem innern Schreck ergriffen, zusammen.|Plötzlich zuckte Ell, wie von einem innern Schreck ergriffen, zusammen.
zweiplaneten_46_lasswitz_f000322|Er drehte sich schnell nach Hil um und sagte:|Er drehte sich schnell nach Hil um und sagte:
