mattiapascal_01_pirandello_f000001|Il fu Mattia Pascal di Luigi Pirandello Capitulo Primo Premessa.|Il fu Mattia Pascal di Luigi Pirandello Capitulo Primo Premessa.
mattiapascal_14_pirandello_f000045|Ecco: s'erano riallacciate da sé, quelle fila;|Ecco: s'erano riallacciate da sé, quelle fila;
mattiapascal_14_pirandello_f000046|e la vita, per quanto io, già in guardia, mi fossi opposto, la vita mi aveva trascinato|e la vita, per quanto io, già in guardia, mi fossi opposto, la vita mi aveva trascinato
mattiapascal_14_pirandello_f000047|con la sua foga irresistibile: la vita che non era più per me.|con la sua foga irresistibile: la vita che non era più per me.
mattiapascal_14_pirandello_f000048|Ah, ora me n'accorgevo veramente, ora che non potevo più con vani pretesti, con infingimenti quasi puerili, con pietose|Ah, ora me n'accorgevo veramente, ora che non potevo più con vani pretesti, con infingimenti quasi puerili, con pietose
mattiapascal_14_pirandello_f000049|meschinissime scuse impedirmi di assumer coscienza del mio sentimento per Adriana|meschinissime scuse impedirmi di assumer coscienza del mio sentimento per Adriana
mattiapascal_14_pirandello_f000050|attenuare il valore delle mie intenzioni, delle mie parole, de' miei atti.|attenuare il valore delle mie intenzioni, delle mie parole, de' miei atti.
mattiapascal_14_pirandello_f000051|Troppe cose, senza parlare, le avevo detto, stringendole la mano, inducendola a intrecciar con le mie le sue dita;|Troppe cose, senza parlare, le avevo detto, stringendole la mano, inducendola a intrecciar con le mie le sue dita;
mattiapascal_14_pirandello_f000052|e un bacio, un bacio infine aveva suggellato il nostro amore.|e un bacio, un bacio infine aveva suggellato il nostro amore.
mattiapascal_14_pirandello_f000053|Ora, come risponder coi fatti alla promessa?|Ora, come risponder coi fatti alla promessa?
mattiapascal_14_pirandello_f000054|Potevo far mia Adriana?|Potevo far mia Adriana?
mattiapascal_14_pirandello_f000055|Ma nella gora del molino, là alla Stìa, ci avevano buttato me quelle due buone donne|Ma nella gora del molino, là alla Stìa, ci avevano buttato me quelle due buone donne
mattiapascal_14_pirandello_f000056|Romilda e la vedova Pescatore,– non ci s'eran mica buttate loro! E libera dunque era rimasta lei, mia moglie;|Romilda e la vedova Pescatore,- non ci s'eran mica buttate loro! E libera dunque era rimasta lei, mia moglie;
mattiapascal_14_pirandello_f000057|non io, che m'ero acconciato a fare il morto, lusingandomi di poter diventare un altro uomo, vivere un'altra vita.|non io, che m'ero acconciato a fare il morto, lusingandomi di poter diventare un altro uomo, vivere un'altra vita.
mattiapascal_14_pirandello_f000058|Un altr'uomo, sì ma a patto di non far nulla.|Un altr'uomo, sì ma a patto di non far nulla.
mattiapascal_14_pirandello_f000059|E che uomo dunque?|E che uomo dunque?
mattiapascal_14_pirandello_f000060|Un'ombra d'uomo! E che vita?|Un'ombra d'uomo! E che vita?
mattiapascal_14_pirandello_f000061|Finché m'ero contentato di star chiuso in me e di veder vivere gli altri, sì|Finché m'ero contentato di star chiuso in me e di veder vivere gli altri, sì
mattiapascal_14_pirandello_f000062|avevo potuto bene o male salvar l'illusione ch'io stessi vivendo un'altra vita;|avevo potuto bene o male salvar l'illusione ch'io stessi vivendo un'altra vita;
mattiapascal_14_pirandello_f000063|ma ora che a questa m'ero accostato fino a cogliere un bacio da due care labbra, ecco, mi toccava a ritrarmene inorridito|ma ora che a questa m'ero accostato fino a cogliere un bacio da due care labbra, ecco, mi toccava a ritrarmene inorridito
mattiapascal_14_pirandello_f000064|come se avessi baciato Adriana con le labbra d'un morto|come se avessi baciato Adriana con le labbra d'un morto
mattiapascal_14_pirandello_f000065|d'un morto che non poteva rivivere per lei! Labbra mercenarie, sì, avrei potuto baciarne;|d'un morto che non poteva rivivere per lei! Labbra mercenarie, sì, avrei potuto baciarne;
mattiapascal_14_pirandello_f000066|ma che sapor di vita in quelle labbra?|ma che sapor di vita in quelle labbra?
mattiapascal_14_pirandello_f000067|Oh, se Adriana, conoscendo il mio strano caso...|Oh, se Adriana, conoscendo il mio strano caso...
mattiapascal_14_pirandello_f000068|Lei? No... no... che! neanche a pensarci! Lei, così pura, così timida...|Lei? No... no... che! neanche a pensarci! Lei, così pura, così timida...
mattiapascal_14_pirandello_f000069|Ma se pur l'amore fosse stato in lei più forte di tutto, più forte d'ogni riguardo sociale...|Ma se pur l'amore fosse stato in lei più forte di tutto, più forte d'ogni riguardo sociale...
mattiapascal_14_pirandello_f000070|ah povera Adriana, e come avrei potuto io chiuderla con me nel vuoto della mia sorte|ah povera Adriana, e come avrei potuto io chiuderla con me nel vuoto della mia sorte
mattiapascal_14_pirandello_f000071|farla compagna d'un uomo che non poteva in alcun modo dichiararsi e provarsi vivo?|farla compagna d'un uomo che non poteva in alcun modo dichiararsi e provarsi vivo?
mattiapascal_14_pirandello_f000072|Che fare? che fare?|Che fare? che fare?
mattiapascal_14_pirandello_f000073|Due colpi all'uscio mi fecero balzar dalla poltrona.|Due colpi all'uscio mi fecero balzar dalla poltrona.
mattiapascal_14_pirandello_f000074|Era lei, Adriana Per quanto con uno sforzo violento cercassi di arrestare in me il tumulto dei sentimenti|Era lei, Adriana Per quanto con uno sforzo violento cercassi di arrestare in me il tumulto dei sentimenti
mattiapascal_14_pirandello_f000075|non potei impedire che non le apparissi almeno turbato.|non potei impedire che non le apparissi almeno turbato.
mattiapascal_14_pirandello_f000076|Turbata era anche lei, ma dal pudore, che non le consentiva di mostrarsi lieta|Turbata era anche lei, ma dal pudore, che non le consentiva di mostrarsi lieta
mattiapascal_14_pirandello_f000077|come avrebbe voluto, di rivedermi finalmente guarito, alla luce, e contento...|come avrebbe voluto, di rivedermi finalmente guarito, alla luce, e contento...
mattiapascal_14_pirandello_f000078|No? Perché no? Alzò appena gli occhi a guardarmi; arrossì; mi porse una busta:|No? Perché no? Alzò appena gli occhi a guardarmi; arrossì; mi porse una busta:
mattiapascal_14_pirandello_f000079|— Ecco, per lei... — Una lettera?|- Ecco, per lei... - Una lettera?
mattiapascal_14_pirandello_f000080|— Non credo. Sarà la nota del dottor Ambrosini.|- Non credo. Sarà la nota del dottor Ambrosini.
mattiapascal_14_pirandello_f000081|Il servo vuol sapere se c'è risposta. Le tremava la voce. Sorrise.|Il servo vuol sapere se c'è risposta. Le tremava la voce. Sorrise.
mattiapascal_14_pirandello_f000082|— Subito, — diss'io; ma un'improvvisa tenerezza mi prese,|- Subito, - diss'io; ma un'improvvisa tenerezza mi prese,
mattiapascal_14_pirandello_f000083|– comprendendo ch'ella era venuta con la scusa di quella nota per aver da me una parola che la raffermasse nelle sue speranze;|- comprendendo ch'ella era venuta con la scusa di quella nota per aver da me una parola che la raffermasse nelle sue speranze;
mattiapascal_14_pirandello_f000084|un'angosciosa, profonda pietà mi vinse, pietà di lei e di me, pietà crudele, che mi spingeva irresistibilmente a carezzarla|un'angosciosa, profonda pietà mi vinse, pietà di lei e di me, pietà crudele, che mi spingeva irresistibilmente a carezzarla
mattiapascal_14_pirandello_f000085|a carezzare in lei il mio dolore, il quale soltanto in lei, che pur ne era la causa, poteva trovar conforto.|a carezzare in lei il mio dolore, il quale soltanto in lei, che pur ne era la causa, poteva trovar conforto.
mattiapascal_14_pirandello_f000086|E pur sapendo che mi sarei compromesso ancor più, non seppi resistere: le porsi ambo le mani.|E pur sapendo che mi sarei compromesso ancor più, non seppi resistere: le porsi ambo le mani.
mattiapascal_14_pirandello_f000087|Ella, fiduciosa, ma col volto in fiamme, alzò pian piano sue e le pose sulle mie.|Ella, fiduciosa, ma col volto in fiamme, alzò pian piano sue e le pose sulle mie.
mattiapascal_14_pirandello_f000088|Mi attirai allora la sua testina bionda sul petto e le passai una mano su i capelli.|Mi attirai allora la sua testina bionda sul petto e le passai una mano su i capelli.
mattiapascal_14_pirandello_f000089|— Povera Adriana! — Perché?|- Povera Adriana! - Perché?
mattiapascal_14_pirandello_f000090|— mi domandò, sotto la carezza.|- mi domandò, sotto la carezza.
mattiapascal_14_pirandello_f000091|— Non siamo contenti?|- Non siamo contenti?
mattiapascal_14_pirandello_f000092|— Sì... — E allora perché povera?|- Sì... - E allora perché povera?
mattiapascal_14_pirandello_f000093|Ebbi in quel momento un impeto di ribellione, fui tentato di svelarle tutto, di risponderle: «Perché?|Ebbi in quel momento un impeto di ribellione, fui tentato di svelarle tutto, di risponderle: Perché?
mattiapascal_14_pirandello_f000094|senti io ti amo, e non posso, non debbo amarti! Se tu vuoi però...|senti io ti amo, e non posso, non debbo amarti! Se tu vuoi però...
mattiapascal_14_pirandello_f000095|Ma dàlli! Che poteva volere quella mite creatura?|Ma dàlli! Che poteva volere quella mite creatura?
mattiapascal_14_pirandello_f000096|Mi premetti forte sul petto la sua testina, e sentii che sarei stato molto più crudele se dalla gioja suprema a cui ella, ignara|Mi premetti forte sul petto la sua testina, e sentii che sarei stato molto più crudele se dalla gioja suprema a cui ella, ignara
mattiapascal_14_pirandello_f000097|si sentiva in quel punto inalzata dall'amore, io l'avessi fatta precipitare nell'abisso della disperazione ch'era in me.|si sentiva in quel punto inalzata dall'amore, io l'avessi fatta precipitare nell'abisso della disperazione ch'era in me.
mattiapascal_14_pirandello_f000098|— Perché, — dissi, lasciandola, — perché so tante cose, per cui lei non può esser contenta...|- Perché, - dissi, lasciandola, - perché so tante cose, per cui lei non può esser contenta...
mattiapascal_14_pirandello_f000099|Ebbe come uno smarrimento penosissimo, nel vedersi, così d'un tratto, sciolta dalle mie braccia.|Ebbe come uno smarrimento penosissimo, nel vedersi, così d'un tratto, sciolta dalle mie braccia.
mattiapascal_14_pirandello_f000100|Si aspettava forse, dopo quelle carezze, che io le dessi del tu?|Si aspettava forse, dopo quelle carezze, che io le dessi del tu?
mattiapascal_14_pirandello_f000101|Mi guardò e, notando la mia agitazione, domandò esitante:|Mi guardò e, notando la mia agitazione, domandò esitante:
mattiapascal_14_pirandello_f000102|— Cose... che sa lei... per sé, o qui... di casa mia?|- Cose... che sa lei... per sé, o qui... di casa mia?
mattiapascal_14_pirandello_f000103|Le risposi col gesto: «Qui, qui» per togliermi la tentazione che di punto in punto mi vinceva, di parlare, di aprirmi con lei.|Le risposi col gesto: Qui, qui per togliermi la tentazione che di punto in punto mi vinceva, di parlare, di aprirmi con lei.
mattiapascal_14_pirandello_f000104|L'avessi fatto! Cagionandole subito quell'unico, forte dolore|L'avessi fatto! Cagionandole subito quell'unico, forte dolore
mattiapascal_14_pirandello_f000105|gliene avrei risparmiato altri, e io non mi sarei cacciato in nuovi e più aspri garbugli.|gliene avrei risparmiato altri, e io non mi sarei cacciato in nuovi e più aspri garbugli.
mattiapascal_14_pirandello_f000106|Ma troppo recente era allora la mia triste scoperta, avevo ancor bisogno d'approfondirla bene|Ma troppo recente era allora la mia triste scoperta, avevo ancor bisogno d'approfondirla bene
mattiapascal_14_pirandello_f000107|e l'amore e la pietà mi toglievano il coraggio d'infrangere così d'un tratto le speranze di lei e la mia vita stessa|e l'amore e la pietà mi toglievano il coraggio d'infrangere così d'un tratto le speranze di lei e la mia vita stessa
mattiapascal_14_pirandello_f000108|cioè quell'ombra d'illusione che di essa, finché tacevo, poteva ancora restarmi.|cioè quell'ombra d'illusione che di essa, finché tacevo, poteva ancora restarmi.
mattiapascal_14_pirandello_f000109|Sentivo poi quanto odiosa sarebbe stata la dichiarazione che avrei dovuto farle, che io, cioè, avevo moglie ancora.|Sentivo poi quanto odiosa sarebbe stata la dichiarazione che avrei dovuto farle, che io, cioè, avevo moglie ancora.
mattiapascal_14_pirandello_f000110|Sì! sì! Svelandole che non ero Adriano Meis io tornavo ad essere Mattia Pascal|Sì! sì! Svelandole che non ero Adriano Meis io tornavo ad essere Mattia Pascal
mattiapascal_14_pirandello_f000111|MORTO E ANCORA AMMOGLIATO! Come si possono dire siffatte cose?|MORTO E ANCORA AMMOGLIATO! Come si possono dire siffatte cose?
mattiapascal_14_pirandello_f000112|Era il colmo, questo, della persecuzione che una moglie possa esercitare sul proprio marito: liberarsene lei|Era il colmo, questo, della persecuzione che una moglie possa esercitare sul proprio marito: liberarsene lei
mattiapascal_14_pirandello_f000113|riconoscendolo morto nel cadavere d'un povero annegato, e pesare ancora, dopo la morte, su lui, addosso a lui, così.|riconoscendolo morto nel cadavere d'un povero annegato, e pesare ancora, dopo la morte, su lui, addosso a lui, così.
mattiapascal_14_pirandello_f000114|Io avrei potuto ribellarmi è vero, dichiararmi vivo, allora...|Io avrei potuto ribellarmi è vero, dichiararmi vivo, allora...
mattiapascal_14_pirandello_f000115|Ma chi, al posto mio, non si sarebbe regolato come me?|Ma chi, al posto mio, non si sarebbe regolato come me?
mattiapascal_14_pirandello_f000116|Tutti, tutti, come me, in quel punto, nei panni miei, avrebbero stimato certo una fortuna potersi liberare in un modo così inatteso|Tutti, tutti, come me, in quel punto, nei panni miei, avrebbero stimato certo una fortuna potersi liberare in un modo così inatteso
mattiapascal_14_pirandello_f000117|insperato, insperabile, della moglie, della suocera, dei debiti, d'un'egra e misera esistenza come quella mia.|insperato, insperabile, della moglie, della suocera, dei debiti, d'un'egra e misera esistenza come quella mia.
mattiapascal_14_pirandello_f000118|Potevo mai pensare, allora, che neanche morto mi sarei liberato della moglie?|Potevo mai pensare, allora, che neanche morto mi sarei liberato della moglie?
mattiapascal_14_pirandello_f000119|lei, sì, di me, e io no di lei?|lei, sì, di me, e io no di lei?
mattiapascal_14_pirandello_f000120|e che la vita che m'ero veduta dinanzi libera libera libera, non fosse in fondo che una illusione|e che la vita che m'ero veduta dinanzi libera libera libera, non fosse in fondo che una illusione
mattiapascal_14_pirandello_f000121|la quale non poteva ridursi in realtà, se non superficialissimamente, e più schiava che mai|la quale non poteva ridursi in realtà, se non superficialissimamente, e più schiava che mai
mattiapascal_14_pirandello_f000122|schiava delle finzioni, delle menzogne che con tanto disgusto m'ero veduto costretto a usare|schiava delle finzioni, delle menzogne che con tanto disgusto m'ero veduto costretto a usare
mattiapascal_14_pirandello_f000123|schiava del timore d'essere scoperto, pur senza aver commesso alcun delitto?|schiava del timore d'essere scoperto, pur senza aver commesso alcun delitto?
mattiapascal_14_pirandello_f000124|Adriana riconobbe che non aveva in casa, veramente, di che esser contenta; ma ora...|Adriana riconobbe che non aveva in casa, veramente, di che esser contenta; ma ora...
mattiapascal_14_pirandello_f000125|E con gli occhi e con un mesto sorriso mi domandò se mai per me potesse rappresentare un ostacolo ciò che per lei era cagione di dolore.|E con gli occhi e con un mesto sorriso mi domandò se mai per me potesse rappresentare un ostacolo ciò che per lei era cagione di dolore.
mattiapascal_14_pirandello_f000126|«No, è vero? » chiedeva quello sguardo e quel mesto sorriso.|No, è vero?  chiedeva quello sguardo e quel mesto sorriso.
mattiapascal_14_pirandello_f000127|— Oh, ma paghiamo il dottor Ambrosini! — esclamai, fingendo di ricordarmi improvvisamente della nota e del servo che attendeva di là.|- Oh, ma paghiamo il dottor Ambrosini! - esclamai, fingendo di ricordarmi improvvisamente della nota e del servo che attendeva di là.
mattiapascal_14_pirandello_f000128|Lacerai la busta e, senza por tempo in mezzo, sforzandomi d'assumere un tono scherzoso: — Seicento lire! — dissi.|Lacerai la busta e, senza por tempo in mezzo, sforzandomi d'assumere un tono scherzoso: - Seicento lire! - dissi.
mattiapascal_14_pirandello_f000129|— Guardi un po', Adriana: la Natura fa una delle sue solite stramberie;|- Guardi un po', Adriana: la Natura fa una delle sue solite stramberie;
mattiapascal_14_pirandello_f000130|per tanti anni mi condanna a portare un occhio, diciamo così, disobbediente;|per tanti anni mi condanna a portare un occhio, diciamo così, disobbediente;
mattiapascal_14_pirandello_f000131|io soffro dolori e prigionia per correggere lo sbaglio di lei, e ora per giunta mi tocca a pagare.|io soffro dolori e prigionia per correggere lo sbaglio di lei, e ora per giunta mi tocca a pagare.
mattiapascal_14_pirandello_f000132|Le sembra giusto? Adriana sorrise con pena.|Le sembra giusto? Adriana sorrise con pena.
mattiapascal_14_pirandello_f000133|— Forse, — disse, — il dottor Ambrosini non sarebbe contento se lei gli rispondesse di rivolgersi alla Natura per il pagamento.|- Forse, - disse, - il dottor Ambrosini non sarebbe contento se lei gli rispondesse di rivolgersi alla Natura per il pagamento.
mattiapascal_14_pirandello_f000134|Credo che si aspetti anche d'esser ringraziato, perché l'occhio...|Credo che si aspetti anche d'esser ringraziato, perché l'occhio...
mattiapascal_14_pirandello_f000135|— Le par che stia bene? Ella si sforzò a guardarmi, e disse piano, riabbassando subito gli occhi:|- Le par che stia bene? Ella si sforzò a guardarmi, e disse piano, riabbassando subito gli occhi:
mattiapascal_14_pirandello_f000136|— Sì... Pare un altro...|- Sì... Pare un altro...
mattiapascal_14_pirandello_f000137|— Io o l'occhio? — Lei.|- Io o l'occhio? - Lei.
mattiapascal_14_pirandello_f000138|— Forse con questa barbaccia...|- Forse con questa barbaccia...
mattiapascal_14_pirandello_f000139|— No... Perché? Le sta bene... Me lo sarei cavato con un dito,|- No... Perché? Le sta bene... Me lo sarei cavato con un dito,
mattiapascal_14_pirandello_f000140|quell'occhio! Che m'importava più d'averlo a posto?|quell'occhio! Che m'importava più d'averlo a posto?
mattiapascal_14_pirandello_f000141|— Eppure, — dissi, — forse esso, per conto suo, era più contento prima.|- Eppure, - dissi, - forse esso, per conto suo, era più contento prima.
mattiapascal_14_pirandello_f000142|Ora mi dà un certo fastidio... Basta.|Ora mi dà un certo fastidio... Basta.
mattiapascal_14_pirandello_f000143|Passerà! Mi recai allo stipetto a muro, in cui tenevo il denaro.|Passerà! Mi recai allo stipetto a muro, in cui tenevo il denaro.
mattiapascal_14_pirandello_f000144|Allora Adriana accennò di volersene andare;|Allora Adriana accennò di volersene andare;
mattiapascal_14_pirandello_f000145|io stupido, la trattenni;|io stupido, la trattenni;
mattiapascal_14_pirandello_f000146|ma, già, come potevo prevedere?|ma, già, come potevo prevedere?
mattiapascal_14_pirandello_f000147|In tutti gl'impicci miei, grandi e piccini, sono stato, come s'è visto, soccorso sempre dalla fortuna.|In tutti gl'impicci miei, grandi e piccini, sono stato, come s'è visto, soccorso sempre dalla fortuna.
mattiapascal_14_pirandello_f000148|Ora ecco com'essa, anche questa volta, mi venne in ajuto.|Ora ecco com'essa, anche questa volta, mi venne in ajuto.
mattiapascal_14_pirandello_f000149|Facendo per aprire lo stipetto, notai che la chiave non girava entro la serratura: spinsi appena appena e|Facendo per aprire lo stipetto, notai che la chiave non girava entro la serratura: spinsi appena appena e
mattiapascal_14_pirandello_f000150|subito, lo sportellino cedette: era aperto! — Come! — esclamai.|subito, lo sportellino cedette: era aperto! - Come! - esclamai.
mattiapascal_14_pirandello_f000151|— Possibile ch'io l'abbia lasciato così?|- Possibile ch'io l'abbia lasciato così?
mattiapascal_14_pirandello_f000152|Notando il mio improvviso turbamento, Adriana era diventata pallidissima.|Notando il mio improvviso turbamento, Adriana era diventata pallidissima.
mattiapascal_14_pirandello_f000153|La guardai, e: — Ma qui...|La guardai, e: - Ma qui...
mattiapascal_14_pirandello_f000154|guardi, signorina, qui qualcuno ha dovuto metter le mani! C'era dentro lo stipetto un gran disordine: i miei biglietti di banca erano stati tratti dalla busta di cuojo|guardi, signorina, qui qualcuno ha dovuto metter le mani! C'era dentro lo stipetto un gran disordine: i miei biglietti di banca erano stati tratti dalla busta di cuojo
mattiapascal_14_pirandello_f000155|in cui li tenevo custoditi, ed erano lì sul palchetto sparpagliati.|in cui li tenevo custoditi, ed erano lì sul palchetto sparpagliati.
mattiapascal_14_pirandello_f000156|Adriana si nascose il volto con le mani, inorridita.|Adriana si nascose il volto con le mani, inorridita.
mattiapascal_14_pirandello_f000157|Io raccolsi febbrilmente quei biglietti e mi diedi a contarli.|Io raccolsi febbrilmente quei biglietti e mi diedi a contarli.
mattiapascal_14_pirandello_f000158|— Possibile? — esclamai, dopo aver contato, passandomi le mani tremanti su la fronte ghiaccia di sudore.|- Possibile? - esclamai, dopo aver contato, passandomi le mani tremanti su la fronte ghiaccia di sudore.
mattiapascal_14_pirandello_f000159|Adriana fu per mancare, ma si sorresse a un tavolinetto lì presso e domandò con una voce che non mi parve più la sua: — Hanno rubato?|Adriana fu per mancare, ma si sorresse a un tavolinetto lì presso e domandò con una voce che non mi parve più la sua: - Hanno rubato?
mattiapascal_14_pirandello_f000160|— Aspetti... aspetti... Com'è possibile? — dissi io.|- Aspetti... aspetti... Com'è possibile? - dissi io.
mattiapascal_14_pirandello_f000161|E mi rimisi a contare, sforzando rabbiosamente le dita e la carta, come se|E mi rimisi a contare, sforzando rabbiosamente le dita e la carta, come se
mattiapascal_14_pirandello_f000162|a furia di stropicciare, potessero da quei biglietti venir fuori gli altri che mancavano.|a furia di stropicciare, potessero da quei biglietti venir fuori gli altri che mancavano.
mattiapascal_14_pirandello_f000163|— Quanto? — mi domandò ella, scontraffatta dall'orrore, dal ribrezzo, appena ebbi finito di contare.|- Quanto? - mi domandò ella, scontraffatta dall'orrore, dal ribrezzo, appena ebbi finito di contare.
mattiapascal_14_pirandello_f000164|— Dodici... dodici mila lire... — balbettai.|- Dodici... dodici mila lire... - balbettai.
mattiapascal_14_pirandello_f000165|— Erano sessantacinque... sono cinquantatré! Conti lei...|- Erano sessantacinque... sono cinquantatré! Conti lei...
mattiapascal_14_pirandello_f000166|Se non avessi fatto a tempo a sorreggerla, la povera Adriana sarebbe caduta per terra, come sotto una mazzata.|Se non avessi fatto a tempo a sorreggerla, la povera Adriana sarebbe caduta per terra, come sotto una mazzata.
mattiapascal_14_pirandello_f000167|Tuttavia, con uno sforzo supremo, ella poté riaversi ancora una volta, e singhiozzando, convulsa|Tuttavia, con uno sforzo supremo, ella poté riaversi ancora una volta, e singhiozzando, convulsa
mattiapascal_14_pirandello_f000168|cercò di sciogliersi da me che volevo adagiarla su la poltrona e fece per spingersi verso l'uscio: — Chiamo il babbo! chiamo il babbo! — No! — le gridai|cercò di sciogliersi da me che volevo adagiarla su la poltrona e fece per spingersi verso l'uscio: - Chiamo il babbo! chiamo il babbo! - No! - le gridai
mattiapascal_14_pirandello_f000169|trattenendola e costringendola a sedere.|trattenendola e costringendola a sedere.
mattiapascal_14_pirandello_f000170|— Non si agiti così, per carità! Lei mi fa più male...|- Non si agiti così, per carità! Lei mi fa più male...
mattiapascal_14_pirandello_f000171|Io non voglio, non voglio! Che c'entra lei?|Io non voglio, non voglio! Che c'entra lei?
mattiapascal_14_pirandello_f000172|Per carità, si calmi. Mi lasci prima accertare, perché...|Per carità, si calmi. Mi lasci prima accertare, perché...
mattiapascal_14_pirandello_f000173|sì, lo stipetto era aperto, ma io non posso, non voglio credere ancora a un furto così ingente...|sì, lo stipetto era aperto, ma io non posso, non voglio credere ancora a un furto così ingente...
mattiapascal_14_pirandello_f000174|Stia buona, via! E daccapo, per un ultimo scrupolo, tornai a contare i biglietti;|Stia buona, via! E daccapo, per un ultimo scrupolo, tornai a contare i biglietti;
mattiapascal_14_pirandello_f000175|pur sapendo di certo che tutto il mio denaro stava lì, in quello stipetto, mi diedi a rovistare da per tutto|pur sapendo di certo che tutto il mio denaro stava lì, in quello stipetto, mi diedi a rovistare da per tutto
mattiapascal_14_pirandello_f000176|anche dove non era in alcun modo possibile ch'io avessi lasciato una tal somma, tranne che non fossi stato colto da un momento di pazzia.|anche dove non era in alcun modo possibile ch'io avessi lasciato una tal somma, tranne che non fossi stato colto da un momento di pazzia.
mattiapascal_14_pirandello_f000177|E per indurmi a quella ricerca che m'appariva a mano a mano sempre più sciocca e vana|E per indurmi a quella ricerca che m'appariva a mano a mano sempre più sciocca e vana
mattiapascal_14_pirandello_f000178|mi sforzavo di credere inverosimile l'audacia del ladro.|mi sforzavo di credere inverosimile l'audacia del ladro.
mattiapascal_14_pirandello_f000179|Ma Adriana, quasi farneticando, con le mani sul volto, con la voce rotta dai singhiozzi: — E inutile! è inutile! — gemeva.|Ma Adriana, quasi farneticando, con le mani sul volto, con la voce rotta dai singhiozzi: - E inutile! è inutile! - gemeva.
mattiapascal_14_pirandello_f000180|— Ladro... ladro... anche ladro!... Tutto congegnato avanti...|- Ladro... ladro... anche ladro!... Tutto congegnato avanti...
mattiapascal_14_pirandello_f000181|Ho sentito, nel bujo... m'è nato il sospetto...|Ho sentito, nel bujo... m'è nato il sospetto...
mattiapascal_14_pirandello_f000182|ma non volli credere ch'egli potesse arrivare fino a tanto...|ma non volli credere ch'egli potesse arrivare fino a tanto...
mattiapascal_14_pirandello_f000183|Papiano, sì: il ladro non poteva esser altri che lui;|Papiano, sì: il ladro non poteva esser altri che lui;
mattiapascal_14_pirandello_f000184|lui, per mezzo del fratello, durante quelle sedute spiritiche...|lui, per mezzo del fratello, durante quelle sedute spiritiche...
mattiapascal_14_pirandello_f000185|— Ma come mai, — gemette ella, angosciata, — come mai teneva lei tanto denaro, così, in casa?|- Ma come mai, - gemette ella, angosciata, - come mai teneva lei tanto denaro, così, in casa?
mattiapascal_14_pirandello_f000186|Mi voltai a guardarla, inebetito. Che risponderle?|Mi voltai a guardarla, inebetito. Che risponderle?
mattiapascal_14_pirandello_f000187|Potevo dirle che per forza, nella condizione mia dovevo tener con me il denaro?|Potevo dirle che per forza, nella condizione mia dovevo tener con me il denaro?
mattiapascal_14_pirandello_f000188|potevo dirle che mi era interdetto d'investirlo in qualche modo, d'affidarlo a qualcuno?|potevo dirle che mi era interdetto d'investirlo in qualche modo, d'affidarlo a qualcuno?
mattiapascal_14_pirandello_f000189|che non avrei potuto neanche lasciarlo in deposito in qualche banca, giacché|che non avrei potuto neanche lasciarlo in deposito in qualche banca, giacché
mattiapascal_14_pirandello_f000190|se poi per caso fosse sorta qualche difficoltà non improbabile per ritirarlo|se poi per caso fosse sorta qualche difficoltà non improbabile per ritirarlo
mattiapascal_14_pirandello_f000191|non avrei più avuto modo di far riconoscere il mio diritto su esso?|non avrei più avuto modo di far riconoscere il mio diritto su esso?
mattiapascal_14_pirandello_f000192|E, per non apparire stupito, fui crudele: — Potevo mai supporre? — dissi.|E, per non apparire stupito, fui crudele: - Potevo mai supporre? - dissi.
mattiapascal_14_pirandello_f000193|Adriana si coprì di nuovo il volto con le mani, gemendo|Adriana si coprì di nuovo il volto con le mani, gemendo
mattiapascal_14_pirandello_f000194|straziata: — Dio! Dio! Dio! Lo sgomento che avrebbe dovuto assalire il ladro nel commettere il furto|straziata: - Dio! Dio! Dio! Lo sgomento che avrebbe dovuto assalire il ladro nel commettere il furto
mattiapascal_14_pirandello_f000195|invase me, invece, al pensiero di ciò che sarebbe avvenuto.|invase me, invece, al pensiero di ciò che sarebbe avvenuto.
mattiapascal_14_pirandello_f000196|Papiano non poteva certo supporre ch'io incolpassi di quel furto il pittore spagnuolo o il signor Anselmo|Papiano non poteva certo supporre ch'io incolpassi di quel furto il pittore spagnuolo o il signor Anselmo
mattiapascal_14_pirandello_f000197|la signorina Caporale o la serva di casa o lo spirito di Max: doveva esser certo che avrei incolpato lui|la signorina Caporale o la serva di casa o lo spirito di Max: doveva esser certo che avrei incolpato lui
mattiapascal_14_pirandello_f000198|lui e il fratello: eppure, ecco, ci s'era messo, quasi sfidandomi.|lui e il fratello: eppure, ecco, ci s'era messo, quasi sfidandomi.
mattiapascal_14_pirandello_f000199|E io? che potevo far io? Denunziarlo? E come?|E io? che potevo far io? Denunziarlo? E come?
mattiapascal_14_pirandello_f000200|Ma niente, niente, niente! io non potevo far niente! ancora una volta, niente! Mi sentii atterrato, annichilito.|Ma niente, niente, niente! io non potevo far niente! ancora una volta, niente! Mi sentii atterrato, annichilito.
mattiapascal_14_pirandello_f000201|Era la seconda scoperta, in quel giorno! Conoscevo il ladro, e non potevo denunziarlo.|Era la seconda scoperta, in quel giorno! Conoscevo il ladro, e non potevo denunziarlo.
mattiapascal_14_pirandello_f000202|Che diritto avevo io alla protezione della legge?|Che diritto avevo io alla protezione della legge?
mattiapascal_14_pirandello_f000203|Io ero fuori d'ogni legge.|Io ero fuori d'ogni legge.
