tschun_01_f000001|Tschun war ein schmutziger kleiner chinesischer Junge.|Tschun war ein schmutziger kleiner chinesischer Junge.
tschun_17_f000064|Und eine wehmütige und doch zugleich die eigene Kampfeskraft stärkende Freude erfüllte sie bei dem Gedanken.|Und eine wehmütige und doch zugleich die eigene Kampfeskraft stärkende Freude erfüllte sie bei dem Gedanken.
tschun_17_f000065|Ja, zu dem Brüllen, den Messern und Fackeln der Boxer, womit der Petang anfänglich angegriffen worden, kam gar bald das Schießen aus modernsten europäischen Waffen.|Ja, zu dem Brüllen, den Messern und Fackeln der Boxer, womit der Petang anfänglich angegriffen worden, kam gar bald das Schießen aus modernsten europäischen Waffen.
tschun_17_f000066|Denn was die Optimisten immer als Unmöglichkeit dargestellt hatten, war nun doch erfolgt – die regulären kaiserlichen Truppen hatten sich den Aufrührern offen angeschlossen.|Denn was die Optimisten immer als Unmöglichkeit dargestellt hatten, war nun doch erfolgt - die regulären kaiserlichen Truppen hatten sich den Aufrührern offen angeschlossen.
tschun_17_f000067|Und jene Kanonen und Gewehre, die die Lieferanten verschiedenster Nationalitäten, unter eifriger Befürwortung ihres jeweiligen Ta-jen,|Und jene Kanonen und Gewehre, die die Lieferanten verschiedenster Nationalitäten, unter eifriger Befürwortung ihres jeweiligen Ta-jen,
tschun_17_f000068|der chinesischen Regierung zum Kauf aufgedrungen hatten, die richteten nun ihre ganze, von diesen Herren einst so warm angepriesene und garantierte Zerstörungskraft auf die Gesandtschaften selbst und zugleich auch auf die Petang-Mission.|der chinesischen Regierung zum Kauf aufgedrungen hatten, die richteten nun ihre ganze, von diesen Herren einst so warm angepriesene und garantierte Zerstörungskraft auf die Gesandtschaften selbst und zugleich auch auf die Petang-Mission.
tschun_17_f000069|Es lag ein gewisser grimmer Humor in dieser Einweihungsarbeit der fremdländischen Mordinstrumente!|Es lag ein gewisser grimmer Humor in dieser Einweihungsarbeit der fremdländischen Mordinstrumente!
tschun_17_f000070|Und Tschun erinnerte sich, wie er früher den Ta-jen hatte ungeduldig klagen hören, daß die Minister im Tsungli-Yamen gar so halsstarrig und für solche Waffengeschäfte schwer zu gewinnen seien.|Und Tschun erinnerte sich, wie er früher den Ta-jen hatte ungeduldig klagen hören, daß die Minister im Tsungli-Yamen gar so halsstarrig und für solche Waffengeschäfte schwer zu gewinnen seien.
tschun_17_f000071|Die mochten jetzt schmunzeln, wenn sie, sicher und geborgen, dem Schießen lauschten und solcher einstmaliger Verhandlungen dabei gedachten!|Die mochten jetzt schmunzeln, wenn sie, sicher und geborgen, dem Schießen lauschten und solcher einstmaliger Verhandlungen dabei gedachten!
tschun_17_f000072|Sicher auch kicherte Tzü Hsi höhnisch, wenn sie vom Kohlenhügel der verbotenen Stadt aus die weißen Wölkchen der Geschosse erblickte,|Sicher auch kicherte Tzü Hsi höhnisch, wenn sie vom Kohlenhügel der verbotenen Stadt aus die weißen Wölkchen der Geschosse erblickte,
tschun_17_f000073|die so hübsch einschlugen, dort, wo ihre einstmaligen Besucherinnen, die leicht zu umgarnenden, leicht zu blendenden Barbarenfrauen wohnten!|die so hübsch einschlugen, dort, wo ihre einstmaligen Besucherinnen, die leicht zu umgarnenden, leicht zu blendenden Barbarenfrauen wohnten!
tschun_17_f000074|Aber es blieb Tschun, wie allen Belagerten, wenig Zeit zu solch rückblickenden Vergleichen.|Aber es blieb Tschun, wie allen Belagerten, wenig Zeit zu solch rückblickenden Vergleichen.
tschun_17_f000075|Denn der Petang wurde immer heftiger und mit allen Mitteln angegriffen.|Denn der Petang wurde immer heftiger und mit allen Mitteln angegriffen.
tschun_17_f000076|Außer den Geschossen sausten auch Brandraketen durch die Luft und fielen zündend auf die Dächer nieder.|Außer den Geschossen sausten auch Brandraketen durch die Luft und fielen zündend auf die Dächer nieder.
tschun_17_f000077|Tief unten aber in der Erde hörte man unheimliche Geräusche.|Tief unten aber in der Erde hörte man unheimliche Geräusche.
tschun_17_f000078|Dort wühlte und bohrte der Feind, bereitete, selbst unsichtbar, heimtückischste Verheerung.|Dort wühlte und bohrte der Feind, bereitete, selbst unsichtbar, heimtückischste Verheerung.
tschun_17_f000079|Da galt es bald zu Löscharbeiten zu eilen, bald Quergräben aufzuwerfen gegen die vordringenden Minenarbeiten.|Da galt es bald zu Löscharbeiten zu eilen, bald Quergräben aufzuwerfen gegen die vordringenden Minenarbeiten.
tschun_17_f000080|Oft signalisierten die Wachthabenden vom Kirchdach herab, daß von den verschiedensten Seiten zugleich Gefahr nahe.|Oft signalisierten die Wachthabenden vom Kirchdach herab, daß von den verschiedensten Seiten zugleich Gefahr nahe.
tschun_17_f000081|Gegen die zahlreichen Angreifer aber standen die wenigen geschulten Verteidiger nur in kleinen Häuflein.|Gegen die zahlreichen Angreifer aber standen die wenigen geschulten Verteidiger nur in kleinen Häuflein.
tschun_17_f000082|So verlernten sie das Schlafen, mußten auch immer mehr das Essen verlernen.|So verlernten sie das Schlafen, mußten auch immer mehr das Essen verlernen.
tschun_17_f000083|Denn kleiner und kleiner wurden die Rationen. Niemand hatte ja je an die Möglichkeit einer so langen Belagerung gedacht,|Denn kleiner und kleiner wurden die Rationen. Niemand hatte ja je an die Möglichkeit einer so langen Belagerung gedacht,
tschun_17_f000084|und der Proviant schwand schnell, täglich an mehr wie dreitausend verteilt.|und der Proviant schwand schnell, täglich an mehr wie dreitausend verteilt.
tschun_17_f000085|Trotz alledem ließ es die Besatzung des Petang aber nicht bei der bloßen Abwehr bewenden.|Trotz alledem ließ es die Besatzung des Petang aber nicht bei der bloßen Abwehr bewenden.
tschun_17_f000086|So klein sie war, wagte sie doch gelegentlich Ausfälle.|So klein sie war, wagte sie doch gelegentlich Ausfälle.
tschun_17_f000087|An einem Tag war ihr Feuer so wirksam gewesen, daß die angreifenden chinesischen Soldaten sich einen Augenblick zurückziehen mußten.|An einem Tag war ihr Feuer so wirksam gewesen, daß die angreifenden chinesischen Soldaten sich einen Augenblick zurückziehen mußten.
tschun_17_f000088|Dabei ließen sie eine ihrer Kanonen unweit des Haupttores stehen.|Dabei ließen sie eine ihrer Kanonen unweit des Haupttores stehen.
tschun_17_f000089|Diesen Augenblick benutzte rasch entschlossen der fremde Offizier und drang mit ein paar seiner Soldaten aus dem Petang in die Straße.|Diesen Augenblick benutzte rasch entschlossen der fremde Offizier und drang mit ein paar seiner Soldaten aus dem Petang in die Straße.
tschun_17_f000090|Von einem Pater geführt und immer wieder angeeifert, folgte eine Schar Konvertiten, unter denen sich Tschun, als einer der ersten, befand.|Von einem Pater geführt und immer wieder angeeifert, folgte eine Schar Konvertiten, unter denen sich Tschun, als einer der ersten, befand.
tschun_17_f000091|Sie sollten die verlassene Kanone nehmen und hereinziehen, gedeckt vom Feuer der fremden Soldaten.|Sie sollten die verlassene Kanone nehmen und hereinziehen, gedeckt vom Feuer der fremden Soldaten.
tschun_17_f000092|Sobald jedoch die Belagerer diese Absicht bemerkten, kehrten sie mit Wutgeheul zurück und eröffneten nun ihrerseits ein wildes Feuer.|Sobald jedoch die Belagerer diese Absicht bemerkten, kehrten sie mit Wutgeheul zurück und eröffneten nun ihrerseits ein wildes Feuer.
tschun_17_f000093|Aber es gelang den europäischen Schützen, sie aufzuhalten, bis die Kanone in Sicherheit gebracht worden war.|Aber es gelang den europäischen Schützen, sie aufzuhalten, bis die Kanone in Sicherheit gebracht worden war.
tschun_17_f000094|Bei dem nur wenige Minuten währenden Ausfall hatte Tschun bloß den einen Gedanken gehabt, sein Bestes zu leisten,|Bei dem nur wenige Minuten währenden Ausfall hatte Tschun bloß den einen Gedanken gehabt, sein Bestes zu leisten,
tschun_17_f000095|um bei der Erbeutung des Geschützes zu helfen, und er hatte sich auch wirklich hervorgetan.|um bei der Erbeutung des Geschützes zu helfen, und er hatte sich auch wirklich hervorgetan.
tschun_17_f000096|Aber später, als seine erste triumphierende Aufregung verflogen, kamen ihm andere Gedanken.|Aber später, als seine erste triumphierende Aufregung verflogen, kamen ihm andere Gedanken.
tschun_17_f000097|Er sah, wie sich die ausländischen Soldaten über den glücklichen Ausgang des tollkühnen Wagnisses ausgelassen freuten; er hörte, wie sie sich untereinander gratulierten.|Er sah, wie sich die ausländischen Soldaten über den glücklichen Ausgang des tollkühnen Wagnisses ausgelassen freuten; er hörte, wie sie sich untereinander gratulierten.
tschun_17_f000098|Das waren nun zwar Gefühle, die sämtliche Belagerte, ob Europäer oder Chinesen, teilten, und Tschun mit ihnen.|Das waren nun zwar Gefühle, die sämtliche Belagerte, ob Europäer oder Chinesen, teilten, und Tschun mit ihnen.
tschun_17_f000099|Aber trotzdem war da irgendein bitterer Nachgeschmack.|Aber trotzdem war da irgendein bitterer Nachgeschmack.
tschun_17_f000100|Etwas wie Hohn, daß solch ein Handstreich überhaupt möglich gewesen, hatte er doch aus den Worten der Soldaten herausgehört.|Etwas wie Hohn, daß solch ein Handstreich überhaupt möglich gewesen, hatte er doch aus den Worten der Soldaten herausgehört.
tschun_17_f000101|Gegen keinen anderen Feind hätten sie das wagen können.|Gegen keinen anderen Feind hätten sie das wagen können.
tschun_17_f000102|Im bloßen Versuch lag die ganze Geringschätzung, die sie für ihn empfanden.|Im bloßen Versuch lag die ganze Geringschätzung, die sie für ihn empfanden.
tschun_17_f000103|Und dieser Feind, so sehr er im Augenblick auch Tschuns Feind sein mochte, blieb eben doch sein Landsmann.|Und dieser Feind, so sehr er im Augenblick auch Tschuns Feind sein mochte, blieb eben doch sein Landsmann.
tschun_17_f000104|Er fühlte sich in seinem Land, seinem Volk gedemütigt.|Er fühlte sich in seinem Land, seinem Volk gedemütigt.
tschun_17_f000105|Der junge Offizier hatte ja auch nachher zu seinen Soldaten gesagt:|Der junge Offizier hatte ja auch nachher zu seinen Soldaten gesagt:
tschun_17_f000106|Könnte ich heute nur über fünfzig, wie Ihr seid, frei verfügen – ich marschierte sofort auf den Kaiserpalast los!|Könnte ich heute nur über fünfzig, wie Ihr seid, frei verfügen - ich marschierte sofort auf den Kaiserpalast los!
tschun_17_f000107|– Ja, so schätzte der China ein! – Und wieder empfand Tschun das Grollen gegen die Fremden, die Entrüstung gegen die eigenen Machthaber.|- Ja, so schätzte der China ein! - Und wieder empfand Tschun das Grollen gegen die Fremden, die Entrüstung gegen die eigenen Machthaber.
tschun_17_f000108|Aber die Augenblicke, wo triumphierende Siegesfreude ausbrechen konnte, waren ja überhaupt selten genug.|Aber die Augenblicke, wo triumphierende Siegesfreude ausbrechen konnte, waren ja überhaupt selten genug.
tschun_17_f000109|Ernste Sorgen erfüllten den Petang mehr und mehr, oft auch bitterer Kummer.|Ernste Sorgen erfüllten den Petang mehr und mehr, oft auch bitterer Kummer.
tschun_17_f000110|Bei den zunehmenden Entbehrungen und der steigenden Hitze, die in schwerem Dunste auf der Stadt lagerte,|Bei den zunehmenden Entbehrungen und der steigenden Hitze, die in schwerem Dunste auf der Stadt lagerte,
tschun_17_f000111|zeigten sich allerhand Krankheiten, besonders unter den vielen Kindern der Flüchtlinge.|zeigten sich allerhand Krankheiten, besonders unter den vielen Kindern der Flüchtlinge.
tschun_17_f000112|Es gab aber keinen Arzt im Petang! – Da hatten die Nönnchen viel zu tun.|Es gab aber keinen Arzt im Petang! - Da hatten die Nönnchen viel zu tun.
tschun_17_f000113|Sie pflegten die Kranken und verbanden die Verwundeten.|Sie pflegten die Kranken und verbanden die Verwundeten.
tschun_17_f000114|Aber trotz all ihrem Mühen verlängerten sich täglich die Reihen der Gräber, die, oft während Kugeln pfiffen, rasch ausgeschaufelt, rasch zugeschüttet werden mußten.|Aber trotz all ihrem Mühen verlängerten sich täglich die Reihen der Gräber, die, oft während Kugeln pfiffen, rasch ausgeschaufelt, rasch zugeschüttet werden mußten.
tschun_17_f000115|Im Klostergarten, durch dessen geheimnisvollen Kräuterduft und blütenreiche Stille Tschun schon als kleines Kind so manchesmal neben der Mutter geschritten war,|Im Klostergarten, durch dessen geheimnisvollen Kräuterduft und blütenreiche Stille Tschun schon als kleines Kind so manchesmal neben der Mutter geschritten war,
tschun_17_f000116|erstreckte sich heute der Friedhof.|erstreckte sich heute der Friedhof.
tschun_17_f000117|Und die schnell entstandenen schmucklosen Gräber lagen zu Füßen jener Madonnenstatue, die damals von Beeten roter Rosen umgeben gewesen,|Und die schnell entstandenen schmucklosen Gräber lagen zu Füßen jener Madonnenstatue, die damals von Beeten roter Rosen umgeben gewesen,
tschun_17_f000118|und für die kämpfen und sterben zu dürfen sich Tschun einst am Tage seiner Konfirmation so sehr gewünscht hatte.|und für die kämpfen und sterben zu dürfen sich Tschun einst am Tage seiner Konfirmation so sehr gewünscht hatte.
tschun_17_f000119|Das war in der Wirklichkeit doch viel grausiger, als man damals so gedacht!|Das war in der Wirklichkeit doch viel grausiger, als man damals so gedacht!
tschun_17_f000120|Außer für Kranke hatten die Nonnen aber auch für Gesunde zu sorgen.|Außer für Kranke hatten die Nonnen aber auch für Gesunde zu sorgen.
tschun_17_f000121|Die vielen verängstigten chinesischen Frauen und Kinder zu beruhigen, ihnen immer wieder Mut zuzusprechen, war vielleicht die schwerste Aufgabe.|Die vielen verängstigten chinesischen Frauen und Kinder zu beruhigen, ihnen immer wieder Mut zuzusprechen, war vielleicht die schwerste Aufgabe.
tschun_17_f000122|Von allem, was sie da leisteten, erfuhr Tschun besonders viel, denn die Mutter war ja unter den Pflegebefohlenen der Nonnen.|Von allem, was sie da leisteten, erfuhr Tschun besonders viel, denn die Mutter war ja unter den Pflegebefohlenen der Nonnen.
tschun_17_f000123|Oftmals, wenn die Granaten und Kugeln gerade an dem Punkt einzuschlagen begannen, wo sie sich eben mit ihren Schützlingen niedergelassen hatten,|Oftmals, wenn die Granaten und Kugeln gerade an dem Punkt einzuschlagen begannen, wo sie sich eben mit ihren Schützlingen niedergelassen hatten,
tschun_17_f000124|mußten sie eilends wieder aufbrechen, um nach einem weniger gefährdeten Platze zu suchen.|mußten sie eilends wieder aufbrechen, um nach einem weniger gefährdeten Platze zu suchen.
tschun_17_f000125|Und während sie die Hilflosesten stützten und trugen, folgten ihnen die anderen wie eine aufgescheuchte Herde, der die weißen Ordenshauben den Weg wiesen.|Und während sie die Hilflosesten stützten und trugen, folgten ihnen die anderen wie eine aufgescheuchte Herde, der die weißen Ordenshauben den Weg wiesen.
tschun_17_f000126|Mit angstvollen Blicken sah Tschun solche Umsiedlungen, sprang herbei, half, soviel er konnte.|Mit angstvollen Blicken sah Tschun solche Umsiedlungen, sprang herbei, half, soviel er konnte.
tschun_17_f000127|Am unheimlichsten von all dem vielen Bedrohlichen war aber das unterirdische Wühlen.|Am unheimlichsten von all dem vielen Bedrohlichen war aber das unterirdische Wühlen.
tschun_17_f000128|Seit Tagen schon hatte es besonders dräuend geklungen.|Seit Tagen schon hatte es besonders dräuend geklungen.
tschun_17_f000129|Aber trotz allem Suchen und Entgegengraben hatte man die eigentliche Stelle nicht zu finden vermocht. Dann war alles still geworden.|Aber trotz allem Suchen und Entgegengraben hatte man die eigentliche Stelle nicht zu finden vermocht. Dann war alles still geworden.
tschun_17_f000130|Da eines Morgens geschah das Gefürchtete. Die Mine explodierte.|Da eines Morgens geschah das Gefürchtete. Die Mine explodierte.
tschun_17_f000131|Mit donnerähnlichem Getöse hob furchtbare Gewalt den Boden, schleuderte die Erde und alles, was auf ihr stand, in die Höhe.|Mit donnerähnlichem Getöse hob furchtbare Gewalt den Boden, schleuderte die Erde und alles, was auf ihr stand, in die Höhe.
tschun_17_f000132|Steine, ganze Dachteile flogen in die Luft, als ob es Papierfetzen wären.|Steine, ganze Dachteile flogen in die Luft, als ob es Papierfetzen wären.
tschun_17_f000133|Und zwischen den leblosen Dingen flogen auch Menschen, Stücke von Menschenleibern in die Luft. Dann stürzte alles in einer ungeheuren Staubund Schuttwolke krachend zusammen.|Und zwischen den leblosen Dingen flogen auch Menschen, Stücke von Menschenleibern in die Luft. Dann stürzte alles in einer ungeheuren Staubund Schuttwolke krachend zusammen.
tschun_17_f000134|Tschun glaubte es alles vom Dach der Kirche aus gesehen zu haben, aber in Wirklichkeit hatte er gar nichts gesehen,|Tschun glaubte es alles vom Dach der Kirche aus gesehen zu haben, aber in Wirklichkeit hatte er gar nichts gesehen,
tschun_17_f000135|denn rascher noch als das ganze Geschehnis war ihm blitzartig der Gedanke durch den Kopf geschossen, daß die Explosion in einem der Frauenquartiere stattfände – dort gerade,|denn rascher noch als das ganze Geschehnis war ihm blitzartig der Gedanke durch den Kopf geschossen, daß die Explosion in einem der Frauenquartiere stattfände - dort gerade,
tschun_17_f000136|wo er eben, ehe er zur Wache ging, die Mutter gelassen hatte.|wo er eben, ehe er zur Wache ging, die Mutter gelassen hatte.
tschun_17_f000137|Da raste er auch schon hinab und durch das Grundstück und langte an, wie er wähnte, während noch das Unheil geschah.|Da raste er auch schon hinab und durch das Grundstück und langte an, wie er wähnte, während noch das Unheil geschah.
tschun_17_f000138|Und doch war schon nichts mehr zu sehen, was vor wenigen Sekunden noch dagestanden.|Und doch war schon nichts mehr zu sehen, was vor wenigen Sekunden noch dagestanden.
tschun_17_f000139|Nur ein Berg aufgeworfener Stauberde, aus dem Pfosten und Balken, Ziegelscherben und Dachfirststücke in wildem Durcheinander hervorragten.|Nur ein Berg aufgeworfener Stauberde, aus dem Pfosten und Balken, Ziegelscherben und Dachfirststücke in wildem Durcheinander hervorragten.
tschun_17_f000140|Und zwischen ihnen Gliedmaßen, einzelne Fleischfetzen, die eben noch lebende Menschen gewesen.|Und zwischen ihnen Gliedmaßen, einzelne Fleischfetzen, die eben noch lebende Menschen gewesen.
tschun_17_f000141|Dazu ein Wimmern und Stöhnen von Verschütteten und, alles übertönend, das gellende Heulen der Belagerer, die in der allgemeinen Verwirrung einen Sturm versuchten.|Dazu ein Wimmern und Stöhnen von Verschütteten und, alles übertönend, das gellende Heulen der Belagerer, die in der allgemeinen Verwirrung einen Sturm versuchten.
tschun_17_f000142|Aber mit Tschun waren von allen Seiten auch andere herbeigeeilt.|Aber mit Tschun waren von allen Seiten auch andere herbeigeeilt.
tschun_17_f000143|Und während die Soldaten den anstürmenden Feind mit mörderischem Feuer zurückzuschrecken suchten, waren Hunderte von Händen an der Arbeit,|Und während die Soldaten den anstürmenden Feind mit mörderischem Feuer zurückzuschrecken suchten, waren Hunderte von Händen an der Arbeit,
tschun_17_f000144|in dem Schutt zu wühlen, ihn abzutragen, um womöglich Überlebende zu retten.|in dem Schutt zu wühlen, ihn abzutragen, um womöglich Überlebende zu retten.
tschun_17_f000145|Tschun war als erster dabei, grub mit den Händen, fühlte nicht, wie er selbst längst schon blutete, stand tief unten zwischen den Trümmern,|Tschun war als erster dabei, grub mit den Händen, fühlte nicht, wie er selbst längst schon blutete, stand tief unten zwischen den Trümmern,
tschun_17_f000146|die nun jeden Augenblick auch ihn zu begraben drohten, hatte nur den einen Gedanken, die Mutter zu finden, sie zu retten.|die nun jeden Augenblick auch ihn zu begraben drohten, hatte nur den einen Gedanken, die Mutter zu finden, sie zu retten.
tschun_17_f000147|Aber es waren ihrer nur wenige, die noch lebend, ja die überhaupt wiedergefunden wurden. Drunten in der Erde war ein rotes Chaos.|Aber es waren ihrer nur wenige, die noch lebend, ja die überhaupt wiedergefunden wurden. Drunten in der Erde war ein rotes Chaos.
tschun_17_f000148|Als es Abend geworden, führte der alte Bischof Tschun schließlich fort. Da ist nichts mehr zu tun, sagte er traurig.|Als es Abend geworden, führte der alte Bischof Tschun schließlich fort. Da ist nichts mehr zu tun, sagte er traurig.
tschun_17_f000149|Die Leichname, die unkenntlichen Gliedmaßen wurden dann nachts eilig in einem einzigen großen Grabe eingescharrt.|Die Leichname, die unkenntlichen Gliedmaßen wurden dann nachts eilig in einem einzigen großen Grabe eingescharrt.
tschun_17_f000150|Und Tschun wußte nicht, war etwas von dem dabei, das er, vor wenigen Stunden noch, Mutter genannt, wußte nur,|Und Tschun wußte nicht, war etwas von dem dabei, das er, vor wenigen Stunden noch, Mutter genannt, wußte nur,
tschun_17_f000151|daß sie am Morgen lebend gewesen und daß am Abend nichts mehr von ihr vorhanden war.|daß sie am Morgen lebend gewesen und daß am Abend nichts mehr von ihr vorhanden war.
tschun_17_f000152|Da begannen in der Dunkelheit allerhand eingeborene chinesische Vorstellungen, die das Christentum für gewöhnlich verdrängt hatte, in ihm zu erwachen.|Da begannen in der Dunkelheit allerhand eingeborene chinesische Vorstellungen, die das Christentum für gewöhnlich verdrängt hatte, in ihm zu erwachen.
tschun_17_f000153|Gedankengänge, die Europäern ganz fremd gewesen wären, ließen ihn jetzt vor allem leiden.|Gedankengänge, die Europäern ganz fremd gewesen wären, ließen ihn jetzt vor allem leiden.
tschun_17_f000154|Es quälten ihn uralte Aberglauben über das, was solche Tote im Jenseits erwartet, deren Körper verstümmelt worden.|Es quälten ihn uralte Aberglauben über das, was solche Tote im Jenseits erwartet, deren Körper verstümmelt worden.
tschun_17_f000155|Er hatte selbst gar nicht gewußt, daß er von diesen Dingen wisse, denn unter den Christen galten sie ja nicht, aber nun waren sie da und verließen ihn nicht.|Er hatte selbst gar nicht gewußt, daß er von diesen Dingen wisse, denn unter den Christen galten sie ja nicht, aber nun waren sie da und verließen ihn nicht.
tschun_17_f000156|Und bleiern lagen auch die Selbstvorwürfe auf ihm, mit denen die heidnischen Chinesen sich stets beim Tode ihrer Eltern zu belasten pflegen,|Und bleiern lagen auch die Selbstvorwürfe auf ihm, mit denen die heidnischen Chinesen sich stets beim Tode ihrer Eltern zu belasten pflegen,
tschun_17_f000157|und die er wähnte, in diesem Falle so ganz besonders zu verdienen.|und die er wähnte, in diesem Falle so ganz besonders zu verdienen.
tschun_17_f000158|Die Mutter hatte ja gar nicht in den Petang flüchten wollen.|Die Mutter hatte ja gar nicht in den Petang flüchten wollen.
tschun_17_f000159|Er hatte sie dazu überredet, hatte sie buchstäblich hergeschleppt.|Er hatte sie dazu überredet, hatte sie buchstäblich hergeschleppt.
tschun_17_f000160|Und nun war sie hier umgekommen, so umgekommen. Und für keine Feier, keinen Prunk bei ihrer Beerdigung hatte er sorgen können,|Und nun war sie hier umgekommen, so umgekommen. Und für keine Feier, keinen Prunk bei ihrer Beerdigung hatte er sorgen können,
tschun_17_f000161|was doch der Niedrigste tut, wofür jeder Mensch in China spart.|was doch der Niedrigste tut, wofür jeder Mensch in China spart.
tschun_17_f000162|Nicht einmal mit Bestimmtheit würde er zu sagen vermögen, wo das Grab seiner Mutter eigentlich sei – nie die Fahne darauf errichten können,|Nicht einmal mit Bestimmtheit würde er zu sagen vermögen, wo das Grab seiner Mutter eigentlich sei - nie die Fahne darauf errichten können,
tschun_17_f000163|die ihrem unstet irrenden Geist diese Ruhestätte zeige.|die ihrem unstet irrenden Geist diese Ruhestätte zeige.
tschun_17_f000164|Mißachtung, bitterste Not in jenseitigen Welten lag darin für sie – und für ihn demütigende Schmach, der Stempel eines pflichtvergessenen Sohnes.|Mißachtung, bitterste Not in jenseitigen Welten lag darin für sie - und für ihn demütigende Schmach, der Stempel eines pflichtvergessenen Sohnes.
tschun_17_f000165|– Er krümmte sich in einer Mischung von Wut und Schande.|- Er krümmte sich in einer Mischung von Wut und Schande.
tschun_17_f000166|Denn über Tschun hatte zur Stunde jenes uralte Chinesentum wieder Macht gewonnen, das er gewähnt aus eigener freier Entschließung von sich tun zu können.|Denn über Tschun hatte zur Stunde jenes uralte Chinesentum wieder Macht gewonnen, das er gewähnt aus eigener freier Entschließung von sich tun zu können.
tschun_17_f000167|Fremder Glaube, fremde Anschauungen, die er innerlich fest erworben zu haben schien, waren, zeitweilig wenigstens,|Fremder Glaube, fremde Anschauungen, die er innerlich fest erworben zu haben schien, waren, zeitweilig wenigstens,
tschun_17_f000168|von ihm abgefallen, weil sie eben doch nie in sein allerinnerstes Wesen übergegangen waren.|von ihm abgefallen, weil sie eben doch nie in sein allerinnerstes Wesen übergegangen waren.
tschun_17_f000169|Er selbst aber wußte kaum etwas davon.|Er selbst aber wußte kaum etwas davon.
tschun_17_f000170|Von da ab glitten die wechselnden Ereignisse der Belagerung traumhaft dumpf, beinahe unbemerkt an Tschun vorüber,|Von da ab glitten die wechselnden Ereignisse der Belagerung traumhaft dumpf, beinahe unbemerkt an Tschun vorüber,
tschun_17_f000171|und er beachtete kaum, daß er während des Kampfes nach der Explosion, als er in den Trümmern grub, selbst einen Streifschuß erhalten hatte.|und er beachtete kaum, daß er während des Kampfes nach der Explosion, als er in den Trümmern grub, selbst einen Streifschuß erhalten hatte.
tschun_17_f000172|Er empfand eigentlich nur eine zunehmende Müdigkeit, die ihn gleichgültig machte gegen Gefahr, stumpf gegen die sich mehrenden grauenvollen Bilder.|Er empfand eigentlich nur eine zunehmende Müdigkeit, die ihn gleichgültig machte gegen Gefahr, stumpf gegen die sich mehrenden grauenvollen Bilder.
tschun_17_f000173|Er hatte nur noch den einen Wunsch, in tiefen, tiefen Schlaf zu sinken, einerlei, ob es der Schlaf des Lebens oder des Todes wäre.|Er hatte nur noch den einen Wunsch, in tiefen, tiefen Schlaf zu sinken, einerlei, ob es der Schlaf des Lebens oder des Todes wäre.
tschun_17_f000174|Aber der Schlaf floh ihn. Mit brennenden Augen, mit schlaffen Gliedern hockte er da.|Aber der Schlaf floh ihn. Mit brennenden Augen, mit schlaffen Gliedern hockte er da.
tschun_17_f000175|Halb verhungert. Denn die Vorräte des Petang waren ja beinahe ganz erschöpft.|Halb verhungert. Denn die Vorräte des Petang waren ja beinahe ganz erschöpft.
tschun_17_f000176|Angstvoll rechnete man: Zwei Tage, einen Tag noch konnten die winzig gewordenen Rationen verteilt werden.|Angstvoll rechnete man: Zwei Tage, einen Tag noch konnten die winzig gewordenen Rationen verteilt werden.
tschun_17_f000177|Dann würde es vorbei sein. Selbst die Blätter von den Bäumen hatten die Chinesen schon gegessen.|Dann würde es vorbei sein. Selbst die Blätter von den Bäumen hatten die Chinesen schon gegessen.
tschun_18_f000001|Viele Leben wurden da durch Entbehrung vernichtet.|Viele Leben wurden da durch Entbehrung vernichtet.
tschun_18_f000002|Aber es traten auch neue ins Dasein. Kinder wurden inmitten dieser Schrecken geboren.|Aber es traten auch neue ins Dasein. Kinder wurden inmitten dieser Schrecken geboren.
tschun_18_f000003|Und auch die Mütter dieser, so zur Unzeit erscheinenden Erdenbewohner litten bitteren Mangel.|Und auch die Mütter dieser, so zur Unzeit erscheinenden Erdenbewohner litten bitteren Mangel.
tschun_18_f000004|Gib mir nur einen kleinen Napf Hirsebrei, daß ich etwas Nahrung kriege und mein Kind stillen kann, riefen sie dem alten Bischof entgegen, wenn er seine täglichen Runden machte.|Gib mir nur einen kleinen Napf Hirsebrei, daß ich etwas Nahrung kriege und mein Kind stillen kann, riefen sie dem alten Bischof entgegen, wenn er seine täglichen Runden machte.
tschun_18_f000005|Aber auch er vermochte ja nichts für die also Flehenden.|Aber auch er vermochte ja nichts für die also Flehenden.
tschun_18_f000006|In gleichem Maße aber, wie all die Leiden gewachsen, hatte sich der Wunsch nach dem Erscheinen der Retter gesteigert.|In gleichem Maße aber, wie all die Leiden gewachsen, hatte sich der Wunsch nach dem Erscheinen der Retter gesteigert.
tschun_18_f000007|Wer noch zu denken vermochte, der dachte nur noch an sie, die Heißersehnten.|Wer noch zu denken vermochte, der dachte nur noch an sie, die Heißersehnten.
tschun_18_f000008|Immer wieder hatte man geglaubt, ihr Schießen aus ganz weiter Ferne zu vernehmen.|Immer wieder hatte man geglaubt, ihr Schießen aus ganz weiter Ferne zu vernehmen.
tschun_18_f000009|Manche auch wollten nachts ihre Scheinwerfer gesehen haben.|Manche auch wollten nachts ihre Scheinwerfer gesehen haben.
