ritrattodeldiavolo_01_barrili_f000001|IL RITRATTO DEL DIAVOLO di ANTON GIULIO BARRILI CAPITULO PRIMO.|IL RITRATTO DEL DIAVOLO di ANTON GIULIO BARRILI CAPITULO PRIMO.
ritrattodeldiavolo_13_barrili_f000031|rechi un po' di sollievo ai suoi mali, e ch'egli non abbia a perderci l'ingegno; che sarebbe veramente peccato!"--.|rechi un po' di sollievo ai suoi mali, e ch'egli non abbia a perderci l'ingegno; che sarebbe veramente peccato!--.
ritrattodeldiavolo_13_barrili_f000032|La lettera di monna Ghita ricordò a messer Dardano Acciaiuoli le sue prime apprensioni.|La lettera di monna Ghita ricordò a messer Dardano Acciaiuoli le sue prime apprensioni.
ritrattodeldiavolo_13_barrili_f000033|Era stato il protettore di Spinello e il pronubo della giovine coppia, e intendeva benissimo come in un giorno di tristezza domestica|Era stato il protettore di Spinello e il pronubo della giovine coppia, e intendeva benissimo come in un giorno di tristezza domestica
ritrattodeldiavolo_13_barrili_f000034|la moglie di Spinello dovesse ricorrere a lui col pensiero e invocare il suo patrocinio.|la moglie di Spinello dovesse ricorrere a lui col pensiero e invocare il suo patrocinio.
ritrattodeldiavolo_13_barrili_f000035|Quel degno gentiluomo non istette in forse, e il giorno dopo che ebbe ricevuto il messaggio della povera donna|Quel degno gentiluomo non istette in forse, e il giorno dopo che ebbe ricevuto il messaggio della povera donna
ritrattodeldiavolo_13_barrili_f000036|si avviò con gran diligenza ad Arezzo, per vedere in che modo potesse tornar utile alla dolente famiglia.|si avviò con gran diligenza ad Arezzo, per vedere in che modo potesse tornar utile alla dolente famiglia.
ritrattodeldiavolo_13_barrili_f000037|Era appena giunto in Arezzo, che gli si parò davanti agli occhi la torbida figura di Tuccio di Credi.|Era appena giunto in Arezzo, che gli si parò davanti agli occhi la torbida figura di Tuccio di Credi.
ritrattodeldiavolo_13_barrili_f000038|Quel disgraziato era assai male in arnese; ma messer Dardano lo riconobbe subito.|Quel disgraziato era assai male in arnese; ma messer Dardano lo riconobbe subito.
ritrattodeldiavolo_13_barrili_f000039|Rammentate che Tuccio di Credi era il compagno inseparabile di Spinello|Rammentate che Tuccio di Credi era il compagno inseparabile di Spinello
ritrattodeldiavolo_13_barrili_f000040|nella sua gita a Firenze, e che proprio a lui si era rivolto messer Dardano|nella sua gita a Firenze, e che proprio a lui si era rivolto messer Dardano
ritrattodeldiavolo_13_barrili_f000041|per avere notizie intorno alla tristezza di quel giovinotto, che andava ogni giorno a sedersi sulla piazza di Santa Maria Novella.|per avere notizie intorno alla tristezza di quel giovinotto, che andava ogni giorno a sedersi sulla piazza di Santa Maria Novella.
ritrattodeldiavolo_13_barrili_f000042|Inoltre, Tuccio di Credi era l'aiuto di Spinello Spinelli, quando questi dipingeva nella chiesa di San Nicolò|Inoltre, Tuccio di Credi era l'aiuto di Spinello Spinelli, quando questi dipingeva nella chiesa di San Nicolò
ritrattodeldiavolo_13_barrili_f000043|in via della Scala, e messer Dardano non poteva averlo dimenticato così facilmente.|in via della Scala, e messer Dardano non poteva averlo dimenticato così facilmente.
ritrattodeldiavolo_13_barrili_f000044|--Tuccio di Credi!--esclamò egli andandogli incontro.|--Tuccio di Credi!--esclamò egli andandogli incontro.
ritrattodeldiavolo_13_barrili_f000045|--Che fortuna d'imbattermi in voi, appena entrato in Arezzo!--.|--Che fortuna d'imbattermi in voi, appena entrato in Arezzo!--.
ritrattodeldiavolo_13_barrili_f000046|Tuccio di Credi aveva veduto messer Dardano anche prima che messer Dardano vedesse lui.|Tuccio di Credi aveva veduto messer Dardano anche prima che messer Dardano vedesse lui.
ritrattodeldiavolo_13_barrili_f000047|E avrebbe voluto cansarlo; ma, come accade in simili circostanze|E avrebbe voluto cansarlo; ma, come accade in simili circostanze
ritrattodeldiavolo_13_barrili_f000048|che il timore d'essere osservati vi trattiene e vi fa cadere più presto nelle unghie di chi volevate sfuggire andò a lui come la biscia all'incanto.|che il timore d'essere osservati vi trattiene e vi fa cadere più presto nelle unghie di chi volevate sfuggire andò a lui come la biscia all'incanto.
ritrattodeldiavolo_13_barrili_f000049|--Messere,--diss'egli,--mi duole di presentarmi a voi... in questo povero stato.|--Messere,--diss'egli,--mi duole di presentarmi a voi... in questo povero stato.
ritrattodeldiavolo_13_barrili_f000050|--Ah, sì, gli è proprio il momento di badare a queste cose; --esclamò l'Acciaiuoli.|--Ah, sì, gli è proprio il momento di badare a queste cose; --esclamò l'Acciaiuoli.
ritrattodeldiavolo_13_barrili_f000051|--Come va il nostro caro Spinello? Son venuto a bella posta per lui.|--Come va il nostro caro Spinello? Son venuto a bella posta per lui.
ritrattodeldiavolo_13_barrili_f000052|--Messere,--balbettò l'altro turbato,--io non lo vedo da un pezzo. --Come? non siete con lui?|--Messere,--balbettò l'altro turbato,--io non lo vedo da un pezzo. --Come? non siete con lui?
ritrattodeldiavolo_13_barrili_f000053|--No, messere, ci siamo lasciati, dopo che egli ebbe dipinto nel camposanto di Pisa. Non lo sapevate?|--No, messere, ci siamo lasciati, dopo che egli ebbe dipinto nel camposanto di Pisa. Non lo sapevate?
ritrattodeldiavolo_13_barrili_f000054|--Io no; Spinello non mi ha detto niente di ciò.|--Io no; Spinello non mi ha detto niente di ciò.
ritrattodeldiavolo_13_barrili_f000055|Ma spera che non sarete diventati nemici. --Per quanto è da me, no, certamente; --rispose Tuccio di Credi.|Ma spera che non sarete diventati nemici. --Per quanto è da me, no, certamente; --rispose Tuccio di Credi.
ritrattodeldiavolo_13_barrili_f000056|--Del resto, abbiamo avuto da dire su cose da nulla, e il torto è stato il mio.|--Del resto, abbiamo avuto da dire su cose da nulla, e il torto è stato il mio.
ritrattodeldiavolo_13_barrili_f000057|Ho parlato di andarmene ed egli mi ha lasciato andare. Già non gli servivo gran fatto.|Ho parlato di andarmene ed egli mi ha lasciato andare. Già non gli servivo gran fatto.
ritrattodeldiavolo_13_barrili_f000058|E da quel giorno sono andato qua e là, per tutta Toscana, in cerca di lavoro... --E non ne avete trovato?|E da quel giorno sono andato qua e là, per tutta Toscana, in cerca di lavoro... --E non ne avete trovato?
ritrattodeldiavolo_13_barrili_f000059|--Ahimè, messere! Con tutta la miglior volontà del mondo, non son venuto a capo di nulla. Che volete?|--Ahimè, messere! Con tutta la miglior volontà del mondo, non son venuto a capo di nulla. Che volete?
ritrattodeldiavolo_13_barrili_f000060|Non si nasce tutti sotto una buona stella, e la mia è stata la più trista. --E siete senza lavoro?|Non si nasce tutti sotto una buona stella, e la mia è stata la più trista. --E siete senza lavoro?
ritrattodeldiavolo_13_barrili_f000061|--Come voi dite, messere. --Ma lavora Spinello, m'immagino. --Sì,--rispose Tuccio di Credi;|--Come voi dite, messere. --Ma lavora Spinello, m'immagino. --Sì,--rispose Tuccio di Credi;
ritrattodeldiavolo_13_barrili_f000062|--quantunque io non riesca ad intendere come gli venga fatto. Voi saprete che egli è impazzito?|--quantunque io non riesca ad intendere come gli venga fatto. Voi saprete che egli è impazzito?
ritrattodeldiavolo_13_barrili_f000063|--La voce ne è corsa; ma speriamo che sia esagerata; --disse messer Dardano.|--La voce ne è corsa; ma speriamo che sia esagerata; --disse messer Dardano.
ritrattodeldiavolo_13_barrili_f000064|--Lo volesse il cielo!--esclamò Tuccio di Credi;|--Lo volesse il cielo!--esclamò Tuccio di Credi;
ritrattodeldiavolo_13_barrili_f000065|ma facendo la sua brava restrizione mentale, di cui messer Dardano Acciaiuoli non doveva avvedersi.|ma facendo la sua brava restrizione mentale, di cui messer Dardano Acciaiuoli non doveva avvedersi.
ritrattodeldiavolo_13_barrili_f000066|--Ah, sì!--ripigliò il vecchio gentiluomo,--Questo dobbiamo tutti desiderare.|--Ah, sì!--ripigliò il vecchio gentiluomo,--Questo dobbiamo tutti desiderare.
ritrattodeldiavolo_13_barrili_f000067|Forse non si tratterà che delle solite malinconie.|Forse non si tratterà che delle solite malinconie.
ritrattodeldiavolo_13_barrili_f000068|Sapete pure, Tuccio, che il nostro amico ha sempre dato nel triste. Sarà la stessa malattia di Firenze.|Sapete pure, Tuccio, che il nostro amico ha sempre dato nel triste. Sarà la stessa malattia di Firenze.
ritrattodeldiavolo_13_barrili_f000069|Certi dolori, quando si sono impadroniti di noi, amano ritornare e non c'è verso di liberarsene del tutto.|Certi dolori, quando si sono impadroniti di noi, amano ritornare e non c'è verso di liberarsene del tutto.
ritrattodeldiavolo_13_barrili_f000070|--Non sa nulla!--pensò Tuccio di Credi, udendo le parole di messer Dardano. E ad alta voce proseguì:|--Non sa nulla!--pensò Tuccio di Credi, udendo le parole di messer Dardano. E ad alta voce proseguì:
ritrattodeldiavolo_13_barrili_f000071|--Messere, da quando non avete più visto Spinello? --Dal suo ritorno da Pistoia a Firenze; --rispose l'Acciaiuoli.|--Messere, da quando non avete più visto Spinello? --Dal suo ritorno da Pistoia a Firenze; --rispose l'Acciaiuoli.
ritrattodeldiavolo_13_barrili_f000072|--Il nostro amico doveva essere già in balia de' suoi tristi pensieri|--Il nostro amico doveva essere già in balia de' suoi tristi pensieri
ritrattodeldiavolo_13_barrili_f000073|poichè non è riescito a far nulla, in quella città, deludendo così l'aspettazione di tutti. Come diamine è andata?|poichè non è riescito a far nulla, in quella città, deludendo così l'aspettazione di tutti. Come diamine è andata?
ritrattodeldiavolo_13_barrili_f000074|Io non ho potuto cavarne un costrutto. Non ne sapete nulla, voi?|Io non ho potuto cavarne un costrutto. Non ne sapete nulla, voi?
ritrattodeldiavolo_13_barrili_f000075|Ma già, dimenticavo che eravate separati.|Ma già, dimenticavo che eravate separati.
ritrattodeldiavolo_13_barrili_f000076|--Ve l'ho detto, messere, ci eravamo lasciati, prima che egli andasse a Pistoia.|--Ve l'ho detto, messere, ci eravamo lasciati, prima che egli andasse a Pistoia.
ritrattodeldiavolo_13_barrili_f000077|--Spero che non sarà una separazione eterna; --disse allora l'Acciaiuoli.|--Spero che non sarà una separazione eterna; --disse allora l'Acciaiuoli.
ritrattodeldiavolo_13_barrili_f000078|--Se Spinello ha avuto dei torti con voi, dovete dimenticarli.|--Se Spinello ha avuto dei torti con voi, dovete dimenticarli.
ritrattodeldiavolo_13_barrili_f000079|Se la colpa è stata vostra, dovete farvela perdonare, cercando di rinfrescar l'amicizia.|Se la colpa è stata vostra, dovete farvela perdonare, cercando di rinfrescar l'amicizia.
ritrattodeldiavolo_13_barrili_f000080|--Non sa nulla! Non sa nulla!--ripetè in cuor suo Tuccio di Credi.|--Non sa nulla! Non sa nulla!--ripetè in cuor suo Tuccio di Credi.
ritrattodeldiavolo_13_barrili_f000081|--Ah, se non sapesse nulla neanche quell'altro! --Siamo dunque intesi; --proseguiva messer Dardano.|--Ah, se non sapesse nulla neanche quell'altro! --Siamo dunque intesi; --proseguiva messer Dardano.
ritrattodeldiavolo_13_barrili_f000082|--Gli parlerò di voi, aggiusterò io questa faccenda.|--Gli parlerò di voi, aggiusterò io questa faccenda.
ritrattodeldiavolo_13_barrili_f000083|Giovinotto, queste freddezza non istanno bene tra compagni d'arte, che sono sempre andati d'accordo. La vita è già troppo piena di noie;|Giovinotto, queste freddezza non istanno bene tra compagni d'arte, che sono sempre andati d'accordo. La vita è già troppo piena di noie;
ritrattodeldiavolo_13_barrili_f000084|non la turbiamo ancora con le nostre contese. Vi vedrò, questa sera? --Volentieri; --disse Tuccio di Credi.|non la turbiamo ancora con le nostre contese. Vi vedrò, questa sera? --Volentieri; --disse Tuccio di Credi.
ritrattodeldiavolo_13_barrili_f000085|--Voi siete così buono con me! Passerò da voi, se vi piace. --No; --rispose messer Dardano.|--Voi siete così buono con me! Passerò da voi, se vi piace. --No; --rispose messer Dardano.
ritrattodeldiavolo_13_barrili_f000086|--Forse rimarrò presso il nostro amico, e non sarà bene che io vi dia la posta in casa sua.|--Forse rimarrò presso il nostro amico, e non sarà bene che io vi dia la posta in casa sua.
ritrattodeldiavolo_13_barrili_f000087|Verrò dopo il vespro in piazza del Duomo. Vi torna? --Ci sarò, messere.|Verrò dopo il vespro in piazza del Duomo. Vi torna? --Ci sarò, messere.
ritrattodeldiavolo_13_barrili_f000088|E siate ringraziato per l'onesta intenzione.|E siate ringraziato per l'onesta intenzione.
ritrattodeldiavolo_13_barrili_f000089|--Che! che! Non mi ringraziate di nulla.|--Che! che! Non mi ringraziate di nulla.
ritrattodeldiavolo_13_barrili_f000090|Sarò proprio felice di aver posto fine a questa mala intesa; che altro non può essere davvero.|Sarò proprio felice di aver posto fine a questa mala intesa; che altro non può essere davvero.
ritrattodeldiavolo_13_barrili_f000091|Fatte queste parole, che vi daranno misura della sua bontà di cuore, messer Dardano Acciaiuoli si avviò alla casa di Spinello Spinelli.|Fatte queste parole, che vi daranno misura della sua bontà di cuore, messer Dardano Acciaiuoli si avviò alla casa di Spinello Spinelli.
ritrattodeldiavolo_13_barrili_f000092|Tuccio di Credi se ne andò per i fatti suoi, contento di quell'incontro|Tuccio di Credi se ne andò per i fatti suoi, contento di quell'incontro
ritrattodeldiavolo_13_barrili_f000093|donde gli appariva che il suo compagno d'arte non sapesse niente delle sue marachelle.|donde gli appariva che il suo compagno d'arte non sapesse niente delle sue marachelle.
ritrattodeldiavolo_13_barrili_f000094|--È strano,--pensava egli,--è strano che egli non sia venuto in chiaro di nulla. Ma già, chi può averglielo detto?|--È strano,--pensava egli,--è strano che egli non sia venuto in chiaro di nulla. Ma già, chi può averglielo detto?
ritrattodeldiavolo_13_barrili_f000095|Il Buontalenti, no certamente, che dev'essergli capitato addosso alla sprovveduta, e per farsi ammazzare come un cane.|Il Buontalenti, no certamente, che dev'essergli capitato addosso alla sprovveduta, e per farsi ammazzare come un cane.
ritrattodeldiavolo_13_barrili_f000096|Che sciocco! È vero che egli, prima di morire, ha freddata la moglie;|Che sciocco! È vero che egli, prima di morire, ha freddata la moglie;
ritrattodeldiavolo_13_barrili_f000097|e in questo io ho riconosciuto il mio uomo.|e in questo io ho riconosciuto il mio uomo.
ritrattodeldiavolo_13_barrili_f000098|Povera madonna Fiordalisa! Ma già, così doveva finire.|Povera madonna Fiordalisa! Ma già, così doveva finire.
ritrattodeldiavolo_13_barrili_f000099|Ed ella, di sicuro, non ha neanche avuto il tempo di raccontare al suo antico fidanzato che parte ci avessi avuto io nella sua risurrezione.|Ed ella, di sicuro, non ha neanche avuto il tempo di raccontare al suo antico fidanzato che parte ci avessi avuto io nella sua risurrezione.
ritrattodeldiavolo_13_barrili_f000100|Ah, madonna Fiordalisa! Siete voi che l'avete voluto.|Ah, madonna Fiordalisa! Siete voi che l'avete voluto.
ritrattodeldiavolo_13_barrili_f000101|Se non vi prendeva quella sciocca mania per l'amico Spinello! Mastro Jacopo vi avrebbe concessa a me, suo primo discepolo; ed io, chi sa?|Se non vi prendeva quella sciocca mania per l'amico Spinello! Mastro Jacopo vi avrebbe concessa a me, suo primo discepolo; ed io, chi sa?
ritrattodeldiavolo_13_barrili_f000102|avrei potuto anche diventare un maestro.|avrei potuto anche diventare un maestro.
ritrattodeldiavolo_13_barrili_f000103|Dicono che l'amore faccia miracoli! Ma vedete quel dannato di Spinello! È fortunato anche nella disgrazia! Ha perduta due volte la sua innamorata|Dicono che l'amore faccia miracoli! Ma vedete quel dannato di Spinello! È fortunato anche nella disgrazia! Ha perduta due volte la sua innamorata
ritrattodeldiavolo_13_barrili_f000104|è impazzito e conserva l'ingegno per dipingere!--.|è impazzito e conserva l'ingegno per dipingere!--.
ritrattodeldiavolo_13_barrili_f000105|Tuccio di Credi era tornato in Arezzo, perchè in nessuna città di Toscana aveva trovato modo di occuparsi.|Tuccio di Credi era tornato in Arezzo, perchè in nessuna città di Toscana aveva trovato modo di occuparsi.
ritrattodeldiavolo_13_barrili_f000106|E sentiva più dura la sua condizione, rientrando così male in arnese nella sua terra natale|E sentiva più dura la sua condizione, rientrando così male in arnese nella sua terra natale
ritrattodeldiavolo_13_barrili_f000107|donde era escito con tanti disegni ambiziosi nell'anima. Una speranza lo sosteneva, nel ritorno;|donde era escito con tanti disegni ambiziosi nell'anima. Una speranza lo sosteneva, nel ritorno;
ritrattodeldiavolo_13_barrili_f000108|la speranza di appoggiarsi a Parri della Quercia, modesto ma non ultimo tra gli scolari di mastro Jacopo di Casentino.|la speranza di appoggiarsi a Parri della Quercia, modesto ma non ultimo tra gli scolari di mastro Jacopo di Casentino.
ritrattodeldiavolo_13_barrili_f000109|E vedete disdetta; Parri della Quercia era morto;|E vedete disdetta; Parri della Quercia era morto;
ritrattodeldiavolo_13_barrili_f000110|lo studio di mastro Jacopo era chiuso per sempre.|lo studio di mastro Jacopo era chiuso per sempre.
ritrattodeldiavolo_13_barrili_f000111|Ma se Parri mancava, era tornato Spinello;|Ma se Parri mancava, era tornato Spinello;
ritrattodeldiavolo_13_barrili_f000112|e la notizia di quel ritorno aveva dato maledettamente sui nervi a Tuccio di Credi.|e la notizia di quel ritorno aveva dato maledettamente sui nervi a Tuccio di Credi.
ritrattodeldiavolo_13_barrili_f000113|Era già sul punto di tornarsene via, anche non sapendo dove sarebbe andato a battere del capo;|Era già sul punto di tornarsene via, anche non sapendo dove sarebbe andato a battere del capo;
ritrattodeldiavolo_13_barrili_f000114|tanto gli riusciva molesto di averlo ad incontrare per via.|tanto gli riusciva molesto di averlo ad incontrare per via.
ritrattodeldiavolo_13_barrili_f000115|Ma subito dopo l'annunzio dell'arrivo di Spinello, aveva avuto quello della sua pazzia|Ma subito dopo l'annunzio dell'arrivo di Spinello, aveva avuto quello della sua pazzia
ritrattodeldiavolo_13_barrili_f000116|naturalmente spiegata a' suoi occhi da ciò che per altra via, gli era giunto all'orecchio, intorno alla tragedia di Colle Gigliato.|naturalmente spiegata a' suoi occhi da ciò che per altra via, gli era giunto all'orecchio, intorno alla tragedia di Colle Gigliato.
ritrattodeldiavolo_13_barrili_f000117|E allora, Tuccio di Credi aveva mutato proposito; era rimasto in Arezzo.|E allora, Tuccio di Credi aveva mutato proposito; era rimasto in Arezzo.
ritrattodeldiavolo_13_barrili_f000118|Messer Dardano gli era capitato proprio in buon punto.|Messer Dardano gli era capitato proprio in buon punto.
ritrattodeldiavolo_13_barrili_f000119|Da lui avrebbe potuto sapere che cosa pensasse Spinello, e che cosa egli avesse a sperare per sè.|Da lui avrebbe potuto sapere che cosa pensasse Spinello, e che cosa egli avesse a sperare per sè.
ritrattodeldiavolo_13_barrili_f000120|Spinello non era in casa, quando messer Dardano Acciaiuoli vi giunse.|Spinello non era in casa, quando messer Dardano Acciaiuoli vi giunse.
ritrattodeldiavolo_13_barrili_f000121|Ma il vecchio gentiluomo ne fu contento, poichè l'assenza del suo protetto gli dava agio d'intrattenersi con monna Ghita.|Ma il vecchio gentiluomo ne fu contento, poichè l'assenza del suo protetto gli dava agio d'intrattenersi con monna Ghita.
ritrattodeldiavolo_13_barrili_f000122|Egli la trovò malinconica, ma rassegnata.|Egli la trovò malinconica, ma rassegnata.
ritrattodeldiavolo_13_barrili_f000123|La povera donna non aveva saputo nulla da nessuno, ma aveva indovinato ogni cosa.|La povera donna non aveva saputo nulla da nessuno, ma aveva indovinato ogni cosa.
ritrattodeldiavolo_13_barrili_f000124|Un uomo si nasconde male con la compagna della sua vita, e Spinello, che non mirava a nascondersi|Un uomo si nasconde male con la compagna della sua vita, e Spinello, che non mirava a nascondersi
ritrattodeldiavolo_13_barrili_f000125|aveva lasciato scorgere a Ghita assai più che ella non fosse curiosa di sapere.|aveva lasciato scorgere a Ghita assai più che ella non fosse curiosa di sapere.
ritrattodeldiavolo_13_barrili_f000126|La buona creatura apparteneva a quella classe di donne, per cui è natura il soffrire in silenzio|La buona creatura apparteneva a quella classe di donne, per cui è natura il soffrire in silenzio
ritrattodeldiavolo_13_barrili_f000127|rinchiudersi nell'esercizio dei proprii doveri e trovarci anche un compenso bastevole a tutti i disinganni della vita.|rinchiudersi nell'esercizio dei proprii doveri e trovarci anche un compenso bastevole a tutti i disinganni della vita.
ritrattodeldiavolo_13_barrili_f000128|Certo il vivere in questa guisa è un sacrificio;|Certo il vivere in questa guisa è un sacrificio;
ritrattodeldiavolo_13_barrili_f000129|ma per il desiderio di rendergli giustizia, non è mestieri esagerarne la grandezza. Spesso è quistione di nervi; più spesso di educazione.|ma per il desiderio di rendergli giustizia, non è mestieri esagerarne la grandezza. Spesso è quistione di nervi; più spesso di educazione.
ritrattodeldiavolo_13_barrili_f000130|Le anime avvezze fin dai primi anni alle freddezze, ai mali trattamenti, alla mancanza d'ogni affetto|Le anime avvezze fin dai primi anni alle freddezze, ai mali trattamenti, alla mancanza d'ogni affetto
ritrattodeldiavolo_13_barrili_f000131|alle aperte ingiustizie degli uomini e della sorte, si raccolgono in sè medesime|alle aperte ingiustizie degli uomini e della sorte, si raccolgono in sè medesime
ritrattodeldiavolo_13_barrili_f000132|imparano a non chieder nulla al di fuori, e acquistano a lungo andare una padronanza di sè, che sfida ogni traversia|imparano a non chieder nulla al di fuori, e acquistano a lungo andare una padronanza di sè, che sfida ogni traversia
ritrattodeldiavolo_13_barrili_f000133|rende men gravi i patimenti, innalza all'eroismo, fa parer bello all'occorrenza il martirio.|rende men gravi i patimenti, innalza all'eroismo, fa parer bello all'occorrenza il martirio.
ritrattodeldiavolo_13_barrili_f000134|E se vi parrà che con questo ragionamento io tolga merito al sacrificio di Ghita Bastianelli|E se vi parrà che con questo ragionamento io tolga merito al sacrificio di Ghita Bastianelli
ritrattodeldiavolo_13_barrili_f000135|pensate che le ragioni della verità son superiori a tutti gli artifizi della rettorica|pensate che le ragioni della verità son superiori a tutti gli artifizi della rettorica
ritrattodeldiavolo_13_barrili_f000136|come a tutte le illusioni del sentimento, e che un elogio modesto è l'omaggio più conveniente alle modeste virtù.|come a tutte le illusioni del sentimento, e che un elogio modesto è l'omaggio più conveniente alle modeste virtù.
ritrattodeldiavolo_13_barrili_f000137|Beati gli umili, e beati coloro che sanno contentarsi del poco.|Beati gli umili, e beati coloro che sanno contentarsi del poco.
ritrattodeldiavolo_13_barrili_f000138|La mammola ascosa nel fogliame, a' piedi delle ripe, non ha lieti splendori per gli occhi del riguardante|La mammola ascosa nel fogliame, a' piedi delle ripe, non ha lieti splendori per gli occhi del riguardante
ritrattodeldiavolo_13_barrili_f000139|ma lo trattiene con la cara soavità delle miti fragranze.|ma lo trattiene con la cara soavità delle miti fragranze.
ritrattodeldiavolo_13_barrili_f000140|E queste anime elette, che adempiono ai loro uffizi senza ombra di ostentazione, non domandano lodi smaccate; si dorrebbero troppo di ottenerle.|E queste anime elette, che adempiono ai loro uffizi senza ombra di ostentazione, non domandano lodi smaccate; si dorrebbero troppo di ottenerle.
ritrattodeldiavolo_13_barrili_f000141|Perchè vi magnificherei io il carattere di Ghita Bastianelli, oltre i confini che gli erano assegnati dalla sua propria coscienza?|Perchè vi magnificherei io il carattere di Ghita Bastianelli, oltre i confini che gli erano assegnati dalla sua propria coscienza?
ritrattodeldiavolo_13_barrili_f000142|Certo, ad un uomo come Spinello Spinelli, carico di gloria e pieno di angoscie così grandi come la gloria, si conveniva una donna simile.|Certo, ad un uomo come Spinello Spinelli, carico di gloria e pieno di angoscie così grandi come la gloria, si conveniva una donna simile.
ritrattodeldiavolo_13_barrili_f000143|Illustri sventurati, anime ferite a morto nelle battaglie dell'esistenza, auguratevi gli estremi conforti di un'umile compagna|Illustri sventurati, anime ferite a morto nelle battaglie dell'esistenza, auguratevi gli estremi conforti di un'umile compagna
ritrattodeldiavolo_13_barrili_f000144|la quale, se non potrà risanare la nostre piaghe, non aiuterà ad inasprirle.|la quale, se non potrà risanare la nostre piaghe, non aiuterà ad inasprirle.
ritrattodeldiavolo_13_barrili_f000145|Soldati che una palla cieca ha colpiti, pensatori che una grande ambizione ha travolti|Soldati che una palla cieca ha colpiti, pensatori che una grande ambizione ha travolti
ritrattodeldiavolo_13_barrili_f000146|fidenti giostratori che il mondo ha abbandonati sull'arena|fidenti giostratori che il mondo ha abbandonati sull'arena
ritrattodeldiavolo_13_barrili_f000147|non lo trovate voi, quel mite conforto, nella corsia d'un ospedale, dove le ebbrezze|non lo trovate voi, quel mite conforto, nella corsia d'un ospedale, dove le ebbrezze
ritrattodeldiavolo_13_barrili_f000148|gli splendori, le speranze, i sogni, andarono miseramente a far capo?|gli splendori, le speranze, i sogni, andarono miseramente a far capo?
ritrattodeldiavolo_13_barrili_f000149|Il sorriso tranquillo e benevolo d'una suora di carità, donna come vostra madre, che è morta, come vostra sorella|Il sorriso tranquillo e benevolo d'una suora di carità, donna come vostra madre, che è morta, come vostra sorella
ritrattodeldiavolo_13_barrili_f000150|che è lontana, come la vostra amante, che s'è data ad un altro, non basta a fare men doloroso il vostro ultimo giorno?|che è lontana, come la vostra amante, che s'è data ad un altro, non basta a fare men doloroso il vostro ultimo giorno?
ritrattodeldiavolo_13_barrili_f000151|Pure, quella donna adempie senza sforzo un ufficio di altissima carità;|Pure, quella donna adempie senza sforzo un ufficio di altissima carità;
ritrattodeldiavolo_13_barrili_f000152|si è appartata dalle gioie del mondo, per ereditarne solamente i dolori;|si è appartata dalle gioie del mondo, per ereditarne solamente i dolori;
ritrattodeldiavolo_13_barrili_f000153|ma non v'intenderebbe, o riderebbe d'un riso tutto suo|ma non v'intenderebbe, o riderebbe d'un riso tutto suo
ritrattodeldiavolo_13_barrili_f000154|se in quella bontà che è la sua consuetudine voi voleste trovare l'argomento di un inno.|se in quella bontà che è la sua consuetudine voi voleste trovare l'argomento di un inno.
ritrattodeldiavolo_13_barrili_f000155|Messer Dardano Acciaiuoli udì da monna Ghita come Spinello fosse ritornato in patria, grandemente mutato da quello di prima|Messer Dardano Acciaiuoli udì da monna Ghita come Spinello fosse ritornato in patria, grandemente mutato da quello di prima
ritrattodeldiavolo_13_barrili_f000156|e come il suo animo, di triste che era, ed inchinevole ad una dolce malinconia, si fosse ottenebrato di schianto.|e come il suo animo, di triste che era, ed inchinevole ad una dolce malinconia, si fosse ottenebrato di schianto.
ritrattodeldiavolo_13_barrili_f000157|Non gli restava altro lume che quello dell'arte;|Non gli restava altro lume che quello dell'arte;
ritrattodeldiavolo_13_barrili_f000158|ma era un lume a sprazzi momentanei, quando l'uomo si trovava sulla sua impalcatura, con la tavolozza e i pennelli tra mani.|ma era un lume a sprazzi momentanei, quando l'uomo si trovava sulla sua impalcatura, con la tavolozza e i pennelli tra mani.
ritrattodeldiavolo_13_barrili_f000159|In quei momenti, si riconosceva ancora Spinello;|In quei momenti, si riconosceva ancora Spinello;
ritrattodeldiavolo_13_barrili_f000160|mancavano le audacie, mancavano quei lampi in cui si mostra la battaglia interna tra il magistero dell'arte e l'idea che vuol condurre a nuove altezze l'ingegno;|mancavano le audacie, mancavano quei lampi in cui si mostra la battaglia interna tra il magistero dell'arte e l'idea che vuol condurre a nuove altezze l'ingegno;
ritrattodeldiavolo_13_barrili_f000161|ma l'ingegno tuttavia si vedeva, e l'ingegno è sempre una luce.|ma l'ingegno tuttavia si vedeva, e l'ingegno è sempre una luce.
ritrattodeldiavolo_13_barrili_f000162|Levato dal suo trèspolo, il povero Spinello diventava un altro uomo: si addensavano le ombre intorno al suo spirito;|Levato dal suo trèspolo, il povero Spinello diventava un altro uomo: si addensavano le ombre intorno al suo spirito;
ritrattodeldiavolo_13_barrili_f000163|non si vedeva un mentecatto, ma si compiangeva uno scemo.|non si vedeva un mentecatto, ma si compiangeva uno scemo.
ritrattodeldiavolo_13_barrili_f000164|Il vecchio gentiluomo ascoltò con grande rammarico la storia dolente del suo povero amico, e confortò come potè quella ottima donna|Il vecchio gentiluomo ascoltò con grande rammarico la storia dolente del suo povero amico, e confortò come potè quella ottima donna
ritrattodeldiavolo_13_barrili_f000165|che gli additava i suoi figli, Parri e Forzore, in cui si raccoglievano tutte le sue tenerezze.|che gli additava i suoi figli, Parri e Forzore, in cui si raccoglievano tutte le sue tenerezze.
